""	baseMean	log2FoldChange	lfcSE	pvalue	padj
NBEAL1	4.36054640194583	-1.57671749104064	0.185415324740433	1.46560437499753e-18	1.26848058656036e-14
IL32	363.626686568659	0.593046965455583	0.0740989306690286	8.16923406746739e-17	3.53523604269651e-13
RPS28	486.730477421544	-0.350691853888517	0.0439489364895124	2.06296639379244e-16	5.9516580460912e-13
MALAT1	2654.25767090213	-0.536837588572654	0.0723399044903075	9.27781726107177e-15	1.96793386796543e-11
KANSL1-AS1	4.17070774266226	1.8408340215997	0.249807360794556	1.13687687346357e-14	1.96793386796543e-11
PHF3	11.6516471903005	-0.628448760601516	0.0857586089408944	1.41019733745983e-14	2.0342096592858e-11
TGFBR2	7.29412061979923	-0.838863520809013	0.119665785500855	1.2214258884006e-13	1.51020586630103e-10
AL136454.1	1.17741383945508	-2.25438310869037	0.333761127907785	4.94960667920831e-13	4.75987175650532e-10
RPS21	313.265535063329	-0.501876261251289	0.0728989288703185	4.7643812029147e-13	4.75987175650532e-10
ZNF431	3.54869641375031	-1.01221405534731	0.149566531483854	6.9969886076332e-13	6.05589363990654e-10
CFL1	162.73999785534	0.277036244566653	0.0403154684911874	1.35317201323688e-12	1.06470034314229e-09
RPS15A	620.024128073585	-0.214241110116756	0.0311814839624638	1.97365481563791e-12	1.42349853577884e-09
MTRNR2L8	11.4826703008469	-1.69836870892891	0.255413840366475	2.66816226283766e-12	1.77638033729692e-09
ANXA2	30.3601599777332	0.609952386995491	0.094334430487891	8.67985272583665e-12	5.3660089530083e-09
CEBPZ	6.77163820580982	-0.781561454872595	0.123321736584891	1.31945760140233e-11	7.61327036009147e-09
RPL34	570.587399933433	-0.279757113326157	0.0441481120619951	4.59410276132709e-11	2.46015641130489e-08
PRPF4B	13.1279493669725	-0.529577216511474	0.0857420468704608	5.11644314309509e-11	2.46015641130489e-08
PHF1	9.18841944572833	-0.58954544684296	0.0952856791743952	4.86822642702402e-11	2.46015641130489e-08
KTN1	16.0544868299706	-0.52851210999926	0.0861778117428654	6.4758075564937e-11	2.94990075797121e-08
RPL21	176.545666797986	1.06249939063316	0.18269280816229	2.82628412710812e-10	1.22307445600604e-07
RPL36	301.940186375703	-0.278670283879683	0.0461918995375756	3.17751159977909e-10	1.30958870933753e-07
PABPC1	121.937263165204	-0.271198734831212	0.0449556379011013	4.45966663429725e-10	1.75447339635649e-07
NME4	1.17617716450888	-2.20079053737902	0.406103152990553	7.73313246987338e-10	2.91001137072844e-07
TMSB4X	1035.11272611582	0.266743176269079	0.0452598925337119	8.45321831968552e-10	3.04844185653659e-07
ANK3	2.3153575324987	-1.13519194664263	0.201909999639237	8.93461368191246e-10	3.09316325667809e-07
RPL39	617.493145628027	-0.31928057240999	0.0548957757685712	9.50006959521086e-10	3.16242701332884e-07
RERE	4.52623669234574	-0.692229365713995	0.124836307384208	1.7060827782977e-09	5.46894312820985e-07
ERAP2	8.42118346750596	-0.88604514247036	0.159486966314219	2.16341362306925e-09	6.68726603845156e-07
CAMK4	15.7257559846497	-0.474330793655573	0.0853340249779811	2.3686449401717e-09	7.06917998523657e-07
SFXN1	12.5971839491278	-0.546489391206992	0.0991883343704633	2.69981838439644e-09	7.53771874740361e-07
MAML2	4.84033652342942	-0.758074414513739	0.139449300082925	2.63258525812498e-09	7.53771874740361e-07
APOBEC3G	9.37828916462459	0.661085021663343	0.121453411331906	3.54363990063678e-09	9.58443854375355e-07
COL6A3	1.15164854075311	1.87139496955904	0.364090517328536	4.03662743830889e-09	1.05869728722919e-06
BAX	19.7200149996127	0.417444185991102	0.0757369176517503	4.3962202224342e-09	1.11909664779906e-06
SARAF	113.899557545975	-0.40242359430196	0.0734529357163972	5.1970664749587e-09	1.2851602954505e-06
HLA-DRB5	15.4729319655688	1.09973369956713	0.208326975204258	7.34266905190574e-09	1.76530001789567e-06
DDX5	112.669746085798	-0.263074893719737	0.0478069651753616	8.59062286314197e-09	2.00950921298632e-06
SF1	39.4215018045459	-0.358408523414681	0.0666865779935479	1.05476376736918e-08	2.40236326488955e-06
PIK3R1	19.9647254167035	-0.771060169261824	0.148457672167071	1.31477802527542e-08	2.91779584839969e-06
RPL37	496.699216440662	-0.270723309217854	0.0505576255353438	1.65146995252887e-08	3.57336810978433e-06
RNASET2	27.2276696425295	-0.389638514542149	0.0737920223502682	1.94101055191287e-08	4.09742593336729e-06
RIC1	4.23096709356094	-0.74789641889513	0.147296473899811	2.04089216336739e-08	4.20569563665351e-06
CAPZB	46.4374144854085	0.291338800602108	0.0548118811556947	2.17121144080976e-08	4.27087159550192e-06
AP002387.2	3.86942579437728	-0.73893587875964	0.145609806553201	2.17068839752825e-08	4.27087159550192e-06
EIF5A	22.3278045523597	0.560472689839585	0.109016438525165	2.4355558760474e-08	4.68438580159783e-06
ANKRD49	5.54568976050564	-0.828199281378246	0.168202626349139	3.15558420936143e-08	5.93730028957025e-06
RPS8	532.628678591396	-0.17620408916059	0.0328165862384574	3.39729585630672e-08	6.25608417794355e-06
MGAT4A	13.0873785872446	-0.551849518029394	0.109965269804553	3.81582056898765e-08	6.88040146345586e-06
RPS12	755.754911505167	-0.205951641645152	0.0395438389965977	6.55341143267816e-08	1.1575464479557e-05
AL662844.4	2.61001628856492	-1.03326163142805	0.21653629863697	8.43233443518541e-08	1.45963709073059e-05
PFN1	350.268082769488	0.211428596955248	0.0412488113348816	9.60382338557867e-08	1.62982532161144e-05
AAK1	19.0807095806877	-0.448076335085192	0.0922819500858918	1.05281259003376e-07	1.75232557052735e-05
KLF2	104.605107008742	-0.384250085275895	0.0779090781402077	1.08618199617619e-07	1.77375569375564e-05
S100A8	3.96179474508878	1.75543384381856	0.383218200772968	1.12419861439485e-07	1.80184055696063e-05
RPS29	230.347049507464	-0.481626873691834	0.100669791244817	1.40016074687436e-07	2.20334386621775e-05
CIRBP	52.8164676667844	-0.23519610321472	0.0468936335366834	1.4507516498301e-07	2.24218848737135e-05
ATP5ME	20.4262322665048	-0.45341226573941	0.0948573568002184	1.50451395201286e-07	2.28448565871427e-05
CREBRF	7.20199601771346	-0.510046652976696	0.108339934115897	1.88100698684776e-07	2.8069164605461e-05
CYTH1	21.8519613508057	-0.334058910984318	0.0692117000243202	1.97497449851157e-07	2.89718716688434e-05
PNISR	41.7612421504123	-0.286688119807052	0.0590144228802351	2.04424855261938e-07	2.94882853715346e-05
HLA-DPB1	26.6248009421751	0.39126864885375	0.0822220960384327	2.14637480347036e-07	3.04538916787475e-05
LGALS1	57.4332001377927	0.615810958375216	0.132140320550962	2.26246859026111e-07	3.15833316914675e-05
TMEM131L	5.69824297980841	-0.570898622149481	0.123145798023394	2.33102903735612e-07	3.20136330694358e-05
LYZ	3.15226989868503	1.86511840961248	0.414568112658618	2.36727038295077e-07	3.20136330694358e-05
NQO2	2.8023540903686	0.90677621207814	0.193838516558972	2.50333674082057e-07	3.33328915258493e-05
EEF2	120.083547231448	-0.241652525796152	0.0492598572233441	2.68381748887104e-07	3.51946066154225e-05
DOCK10	10.3268604684555	-0.4596918882976	0.0986621090778419	2.89552969939593e-07	3.58011564975311e-05
TMA7	85.4807004410997	-0.258528326519538	0.0533762171453294	2.86575864293746e-07	3.58011564975311e-05
SFI1	3.81989441384332	-0.667541496100206	0.145733872854561	2.80342845598309e-07	3.58011564975311e-05
APOBEC3H	1.56196107812109	1.31579454959678	0.289990733621105	2.85868868233569e-07	3.58011564975311e-05
KLF3	16.3522671319911	-0.575840019356573	0.125483518241784	3.15117755020494e-07	3.84132981648222e-05
H3F3B	147.466994410075	-0.215077241466408	0.0439412101891311	3.27341690878008e-07	3.93491990909606e-05
RSRP1	33.175649152378	-0.387644641230225	0.0831330892693298	3.4752603759731e-07	4.07463975778241e-05
SEC62	14.9114357685496	-0.437026211849671	0.0945352489808829	3.48380522329172e-07	4.07463975778241e-05
CXCR3	14.3957248328153	0.7679478939558	0.171311128389413	3.95979879352359e-07	4.56960780772622e-05
H3F3A	110.300684274378	0.168256719283683	0.0342809758957722	4.183763414805e-07	4.76453583620228e-05
