""	baseMean	log2FoldChange	lfcSE	pvalue	padj
NBEAL1	5.50922418658011	-1.76867802787648	0.192631350831459	3.0640634650322e-21	1.7033128802114e-17
TMEM14C	24.4989244797641	-0.527801716922155	0.0748125967119142	1.1806207120144e-13	3.28153526904403e-10
MTRNR2L8	13.4180185090894	-1.84908268239837	0.290637414536532	5.70073296452268e-12	1.05634581832605e-08
RPL21	210.300831842734	1.0660120514681	0.174743854176254	4.83767638187629e-11	6.72316075171257e-08
RPS28	491.226490072494	-0.293355825768836	0.048005870844045	1.03746194527491e-10	1.15345019075664e-07
VIM	560.848543098813	-0.371917308052735	0.0627709821180189	2.08306557402425e-10	1.92996025433347e-07
DHRS9	2.64972582809522	1.56405952293716	0.280487962424307	1.691134560402e-09	1.34300243161067e-06
RPL36	320.516829884584	-0.237490432739078	0.0437324795807281	8.06110990874454e-09	5.60146374783886e-06
RNASET2	47.3992168302231	-0.377662274745521	0.0738736035443374	2.04251178689111e-08	1.26159144703641e-05
BAIAP2	2.71811320374356	-1.07320312436927	0.213616938548374	2.62649112374937e-08	1.46006641569227e-05
HSD17B11	9.98808303366201	1.1389467947489	0.236930879575348	6.61586810860949e-08	3.3434191650691e-05
TMA7	89.4369877833345	-0.278198888077273	0.0562910483854583	7.95619125324815e-08	3.6857055980672e-05
MRPS24	6.43718500751923	-0.825507958130049	0.174246248883446	8.71859569781707e-08	3.72820565262808e-05
CST3	997.712385293213	-0.355737324192252	0.0748465904421428	1.37121375205969e-07	5.44469803407131e-05
NAGK	14.6542653403238	0.554546002810952	0.118669565717205	1.68156527604759e-07	6.23188091303236e-05
CYBA	221.552590159216	0.166085839644863	0.0345880541794433	2.29452197164141e-07	7.97202977522163e-05
RPS20	63.7414037902631	0.290371599120601	0.0617959975380755	2.60057131087156e-07	8.50386818654999e-05
HLA-DRB1	807.085211808039	-0.36928023158938	0.0817544082214004	4.50187554850588e-07	0.00013903292318969
RPL34	572.941350037842	-0.193868694592471	0.0413170220461013	4.92453954980367e-07	0.000144081659775572
S100A10	323.896107290859	-0.299185500996436	0.0673764152006869	7.64371338099568e-07	0.000193142739477068
RPL27A	114.560549630744	0.294364325471031	0.0659059029374694	7.60656327477111e-07	0.000193142739477068
ATP6V0C	33.623032129385	-0.378254888367815	0.0854770645217554	7.24045306578437e-07	0.000193142739477068
MT-ATP6	757.826499189436	0.410539562619177	0.0938639353336255	8.25675073628071e-07	0.00019956207540428
RPL35	228.81541663843	0.147102752682712	0.0318527442451382	1.12740188248923e-06	0.000261134461031569
AC245014.3	9.11761221427942	1.14970548851186	0.275530507345614	1.37797153101807e-06	0.000294620913112671
RPS21	329.325824151957	-0.300809228714907	0.0693487413304026	1.33650525636523e-06	0.000294620913112671
USF2	12.7400700975729	-0.524050176724667	0.12532614208194	1.52401112435064e-06	0.00031377695704686
EIF5A	31.7511986704674	0.483960969339503	0.115138445216848	1.74168940904813e-06	0.000345787550889234
LGMN	4.26329808494864	-1.04863889230416	0.259154896203566	1.89471685507501e-06	0.000363197620598689
FTH1	772.326016763916	-0.292341673756329	0.0693563062822088	2.27470112918201e-06	0.000421502119237427
RPS15A	547.418448491666	-0.156991542211415	0.0354082427579083	2.48494932920311e-06	0.000445607526485163
NME2	40.8056383827993	-0.459018285253841	0.112604135145576	2.60825245581827e-06	0.00045310235630918
LMO4	5.86172546286795	0.637932923955658	0.15882318772837	3.40173368845102e-06	0.000573037502245431
RPL35A	403.548647819705	-0.151201669388461	0.0347139643482381	3.60616953320638e-06	0.000589608718679243
CFD	9.19687929716692	0.77844279232136	0.19638552203878	3.93574704992757e-06	0.000625109081444211
CTSH	42.0065313225297	-0.262699344017794	0.0648530880013991	4.95851690869318e-06	0.000756621678656207
ATP5F1E	173.075779224638	-0.209709000079236	0.0504155513851968	5.0359780734448e-06	0.000756621678656207
RPL37	551.866640531609	-0.187440660041871	0.0448235743072579	5.54669243208576e-06	0.000790617005896532
C6orf48	9.33236892183677	0.486592690735478	0.124029032123322	5.52899879171392e-06	0.000790617005896532
DUSP2	13.9327228281806	-0.917308830722131	0.241478952321662	6.33557321729491e-06	0.00088048628787356
RCC2	6.68603818464674	-0.525803659409833	0.138297336389265	7.02514968066133e-06	0.000952507489629179
CRIP1	18.598031950859	-0.583186637703914	0.154613121709959	8.47396032803051e-06	0.00109550570845399
POU2F2	20.2962490806957	0.445383513623718	0.117030074372661	8.44898250723313e-06	0.00109550570845399
RAC1	78.7886740737104	-0.254240996431307	0.0643274428423287	8.73583169230345e-06	0.00110369291767079
LGALS2	59.8659597221688	-0.584453999347676	0.156500570469719	9.39001326893781e-06	0.00115997963915612
CXXC5	4.31523896531193	-0.666036062851029	0.180748623073119	1.06150786720393e-05	0.00125551536889078
IFT20	8.91850307048749	-0.439972666760135	0.117766705655616	1.04159215417587e-05	0.00125551536889078
MARCKSL1	9.56832650180934	-0.853536677855232	0.232005453455166	1.09698699503932e-05	0.00127044806362992
HLA-DPB1	590.988609371979	-0.321615551579447	0.0853235946415694	1.29541755211938e-05	0.00144616086603928
IGSF6	42.1199784566269	0.33809472714746	0.0903015474822997	1.30537757816661e-05	0.00144616086603928
EIF4A1	17.6081135174921	-0.460149743245376	0.124634767856753	1.32675308810943e-05	0.00144616086603928
ZFAS1	34.6004108903815	0.306240827384092	0.0814788758450653	1.36203854171679e-05	0.00145607158719301
CARD16	41.8816247133335	0.344673477551844	0.0939501246723697	1.61720378590008e-05	0.00169623317845633
CRTAP	28.8344746851971	-0.323869272564076	0.0875034783827255	1.64967908439163e-05	0.00169825296854316
RPL39	674.708624276942	-0.184690601371882	0.0473384747687589	1.78334650133159e-05	0.0018024769456186
BCL6	4.18180086252706	-0.675065927494073	0.194886150090639	2.35649595010025e-05	0.00229820368186093
ALDH2	26.1821883724762	-0.351530062826139	0.0982753728445891	2.337160857592e-05	0.00229820368186093
CFP	60.6820963890222	-0.277095290913493	0.0756771477908606	2.51763567423256e-05	0.00237212486662014
SMDT1	32.55666385168	-0.346056316141638	0.096686729238113	2.48863668270523e-05	0.00237212486662014
TMEM123	18.1459022462959	-0.313638430918206	0.087828681816301	2.63223238081497e-05	0.00243876330082507
GNG7	2.70834798571337	-0.735117865510495	0.215048221752878	2.68799251686505e-05	0.00244959842643488
CA2	3.05412629340605	0.833406674711508	0.245439938435548	3.06524014693123e-05	0.00274833386722431
RPL13A	218.147759301552	0.169413172819037	0.0445827782402026	3.17982514984562e-05	0.00280581714412568
RPS27	564.612330843642	-0.18113943872984	0.0484115750609875	3.44016096285303e-05	0.00298810231132812
TAGLN2	122.147453278851	-0.315722338025599	0.0902674473065751	3.53211385696769e-05	0.00300307532924881
APRT	36.9497830888367	0.285659358395855	0.0814123208159911	3.56544291653933e-05	0.00300307532924881
ENHO	28.1539116340621	-0.575719891527888	0.171267443823258	3.63963060845384e-05	0.00301980694811864
ATP5MD	37.3409184931711	-0.251171407279727	0.0702606856924324	3.698202578387e-05	0.00302328060783137
ARPC1B	34.988379252855	-0.403687822418758	0.118437706376839	4.3347937329962e-05	0.00349233599445302
FAU	366.91925256337	-0.105363867112207	0.0269906268577867	4.53575170286417e-05	0.00360203481660313
CKLF	22.3966692925295	-0.365996911164013	0.109726800082884	5.32431772563869e-05	0.00416871580800359
RPSA	248.326631622677	0.131737855071195	0.0349787608095112	5.43832246462689e-05	0.00419883813623068
CD48	42.9863713497783	0.234926949433065	0.0672457854595712	5.62258508130216e-05	0.00422377709012956
BIN2	8.42157726910073	0.440149678359492	0.132496041462887	5.57174672875894e-05	0.00422377709012956
RPL12	422.311549070123	-0.136751526043739	0.0365862715818288	5.71630293313731e-05	0.00423692373404138
HIST1H4C	13.9805211800455	-0.480993953114324	0.149554589265872	6.23037130340481e-05	0.00449800442540615
PIM3	14.3366315993533	-0.622731892285129	0.196237146009674	6.20514528975472e-05	0.00449800442540615
SRP19	6.01192561775892	-0.482771762442821	0.152519718801842	6.93357850954067e-05	0.00494150806853033
RPS18	581.792342594746	0.15655280776833	0.0435355872177331	8.07235440469825e-05	0.00568028077667311
MIF4GD	7.83017968215376	-0.4073583670093	0.129057642367973	8.42620312277732e-05	0.00578287199500236
KCNK6	11.8249626436491	-0.379559102934708	0.118511812017147	8.40858550058587e-05	0.00578287199500236
LPXN	12.824746547142	0.352549074335354	0.109030505720719	9.07878420375853e-05	0.00615475138886508
LILRA5	5.81128265572616	-0.68716316483785	0.217891377910204	9.70405093830698e-05	0.00649937580313838
MAP3K8	27.5124954930199	-0.578193147749325	0.191511953484679	0.000109454370686663	0.00724353388865666
ARHGAP17	6.99880560864069	0.4469418604666	0.143584055966275	0.000111478311094261	0.00729068154556469
SEC62	12.6329369452805	-0.317763868224148	0.101682330249432	0.000118656912172534	0.00766992761357113
OSER1	3.67192223755891	-0.58361655582792	0.196270073072161	0.00012111162049202	0.00773861492316251
UQCRQ	33.2006558234639	-0.220552628158746	0.0671111008164029	0.000130461100839726	0.00814868830975324
MRPL23	5.22500550753969	-0.578458170607854	0.195769946687057	0.000130347254717776	0.00814868830975324
LMNA	16.2015008791142	-0.694830722928499	0.236052919790301	0.000135846212354019	0.00839076771639988
PDLIM1	6.97456887736632	-0.5429163496975	0.187158755179499	0.000141030262298826	0.00861524426504589
KLF3	11.0531246362823	-0.37116505420393	0.122670577375186	0.000149221993805817	0.00901657677789713
GABARAP	142.167686784204	-0.170236903977287	0.0502996701820876	0.000150998117318637	0.00902579069004627
RPS29	181.148140380973	-0.306436776232247	0.0993875052606827	0.000153402507530788	0.00907196318471967
MT-CYB	670.550477557758	0.283071572386729	0.0906605692537017	0.000155465838234401	0.00909720626047405
ADIPOR1	8.2228532292731	-0.373029779611048	0.125729748731815	0.000172561003786599	0.00999236062551777
HERPUD1	24.4042613598254	-0.375464126590121	0.126221271803878	0.000179443901573372	0.0102838005035708
