""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL21	57.8553454824853	1.04596388435694	0.190408039512084	1.72668906685318e-09	2.46916536560005e-06
RPS21	81.303027842512	-0.449260688405199	0.0888621449298004	2.63146312930448e-08	1.8814961374527e-05
RPL39	148.920575072687	-0.283464348326869	0.0628038193220137	6.29322144125588e-07	0.000299976888699864
HLA-DRB5	24.3971520188834	0.782452218937303	0.196510829123973	3.13199487886006e-06	0.00111968816919247
STK17B	7.67403389484304	-0.619146513957133	0.160670242244798	5.79881281154823e-06	0.00165846046410279
ATP5F1E	50.9790485441205	-0.290492095878959	0.0741991917191923	8.93113411422436e-06	0.00212858696389014
RPS27	179.694522279873	-0.227957331255131	0.0602378767198822	2.3182111490779e-05	0.00363996723781259
RPL37	138.133912044679	-0.243667020604621	0.0652700093420514	2.48090591356122e-05	0.00363996723781259
SOX4	11.4932057066882	-0.976369665201468	0.289011259902326	2.79997479831738e-05	0.00363996723781259
RPL36	50.6100543177399	-0.284559640597167	0.07812008358294	2.68918454950905e-05	0.00363996723781259
RPS28	157.770996491065	-0.279240395542695	0.075873664659581	2.56376946240478e-05	0.00363996723781259
RPL13A	52.0204078501873	0.254123796822108	0.0699846294773989	3.51976693057041e-05	0.00419438892559641
SRP14	31.3946907365595	-0.261129866401386	0.0755474756505575	6.09210535768581e-05	0.00670131589345439
BIN1	2.86087454714754	-0.818081648437034	0.268972921658483	8.74161564250658e-05	0.00892893597770315
TMEM14C	4.973157018058	-0.561138311042451	0.187428631913201	0.000116110169000238	0.0110691694446893
HLA-B	119.613727672205	0.304415284899981	0.103593332104974	0.00027360468331174	0.0244534185709867
RRBP1	9.26880653637882	-0.599011974226983	0.222996825232297	0.000336529216715806	0.0283080458766825
TMA7	22.5986389481336	-0.265181164623294	0.0899552569360928	0.00036189631334646	0.0287506515603021
RPL34	138.322220118593	-0.172701930013412	0.0554621351033596	0.000437423179375997	0.0318459301030262
RPS15A	135.756749341842	-0.175048191055897	0.0565709403836909	0.000445397623818548	0.0318459301030262
MALAT1	618.382943504604	-0.442876576215189	0.170181732100669	0.000468891098718546	0.0319292510079772
APRT	8.99476933352282	0.387191355821428	0.146239938596797	0.000499618743252556	0.0324752183114161
KTN1	8.03794729525892	-0.399544785304691	0.156230476567323	0.000542475739774846	0.0337278394729578
ATP5MG	25.2256972379487	-0.217437907589011	0.0765405122874317	0.000641624221149108	0.0382301098434677
CAP1	8.89454441558275	0.395405201877701	0.162242233920751	0.000840653865381721	0.0445235195368837
RPS3A	170.879255603331	0.160073445223359	0.0540601641748395	0.000799378909806959	0.0445235195368837
CLIC3	17.7178928730376	-0.473574793275323	0.199754281005194	0.000818580445818559	0.0445235195368837
RPL35A	92.4079331392737	-0.162127147558757	0.056778404712715	0.00107989908734423	0.0467590121514758
HIST1H4C	4.66868185866466	-0.527247981340306	0.238445740204601	0.0010778094847541	0.0467590121514758
HLA-E	15.2714909705654	0.350887548819842	0.144358775779465	0.000942123330380719	0.0467590121514758
CYCS	3.78173491375386	0.524338859621711	0.229421257754084	0.0010583449582875	0.0467590121514758
RPS29	40.6697773704953	-0.327791920333236	0.137180221446894	0.00111175273646865	0.0467590121514758
NDUFB1	4.04547741608459	-0.4715461846706	0.210258411553543	0.00101179018100307	0.0467590121514758
PSMB10	7.8017463601446	0.37528914686033	0.156710967512132	0.00100028077852964	0.0467590121514758
SNX17	3.03651376950294	0.547933477437261	0.25367667930298	0.00146167133567401	0.0499331960420856
