""	baseMean	log2FoldChange	lfcSE	pvalue	padj
JUN	44.4506145710258	-1.10732824161444	0.178861755341149	6.21802167075881e-11	3.74851383933908e-08
HLA-DRB1	130.323110161997	-0.622130238096877	0.10011144749137	4.89339466512453e-11	3.74851383933908e-08
RPL27A	45.8398885634966	0.617069155911171	0.10165456486178	6.86122118243883e-11	3.74851383933908e-08
MYC	6.0369705323554	-1.14091684840551	0.195991203291378	7.59609372186736e-10	3.11249940253515e-07
MT-ND3	369.762501926997	0.716172105002747	0.127857988895381	1.05793776133593e-09	3.46791998165918e-07
RPL21	128.683129252509	1.3487211147059	0.257049079608853	4.99087560062672e-09	1.3633408515712e-06
RHOB	6.50547775582251	-2.1576716618148	0.404851984936868	6.49545820911385e-09	1.52086514353394e-06
SMDT1	11.0791478519693	-0.69440002210574	0.131269638719815	7.77965306514861e-09	1.59385642172232e-06
TSC22D3	58.5555899647023	-0.924758910303553	0.17744375561533	1.36727496408652e-08	2.48995962904201e-06
RPL13A	123.987337257001	0.342874311461673	0.0656511870934461	1.88284204387355e-08	3.08597810990874e-06
EIF1	87.2368853604585	-0.481206966893298	0.0924312918877609	2.2817362793119e-08	3.39978705617473e-06
RPS6	209.479343053989	0.291777356914442	0.0568228462007925	5.04585645384743e-08	6.89179893987994e-06
PCBP2	43.2455380801463	-0.38511763241955	0.0771086266113253	6.29891193243977e-08	7.94147435174522e-06
RPL23A	176.24772071893	0.239768377953767	0.0474242335158482	1.06521494844094e-07	1.24706235749622e-05
KLF6	19.3053505437834	-1.07757011954418	0.220851907277096	1.14133544749351e-07	1.24709919896124e-05
EZR	13.3381309121782	-0.634709007709796	0.131375905409866	1.2357560836812e-07	1.26587763822093e-05
RPS3A	287.92461756836	0.303433034529999	0.063511857832314	2.24653666734917e-07	2.16592564575606e-05
RPS18	300.71729742975	0.262754194736348	0.0553916063491462	4.45386846197162e-07	4.05549467176194e-05
HLA-DPA1	106.350727156574	-0.327447401755362	0.0714913045772047	5.7080820667505e-07	4.72009395415334e-05
CD69	28.1615997112503	-1.15515470075698	0.259777508773822	6.04771037444906e-07	4.72009395415334e-05
RPS11	74.8785948354476	0.361458306852347	0.0802967700513258	5.90251192019828e-07	4.72009395415334e-05
