""	baseMean	log2FoldChange	lfcSE	pvalue	padj
LILRA5	61.6233604420856	-0.802916644770125	0.0907364619288919	1.11575073537834e-19	6.3564319394504e-16
FTH1	2440.26208730971	-0.583054872213213	0.0731924828000322	1.43637617827878e-16	2.72767836255141e-13
FTL	3027.42077783574	-0.44399813103191	0.055270194425193	1.15726583096166e-16	2.72767836255141e-13
TIMP1	159.067553052609	-0.841637602109727	0.109509144773287	1.06685626402648e-15	1.51947003403971e-12
TAGLN2	57.8871627387401	-0.912474123713623	0.121660977511893	5.6369380621536e-15	6.42272722801781e-12
YBX1	205.345503139371	-0.449706375133997	0.060011884980554	7.94585052919119e-15	7.54458507746704e-12
MT-ND3	1063.30396781004	0.894714881163825	0.131873752950203	6.34659948632508e-13	5.16522532479914e-10
SLC25A5	78.1613188623768	-0.457628235870193	0.0694741953793171	5.20763403544198e-12	3.46338816900912e-09
IFI30	55.2907330324601	-1.33946119782263	0.209611896325839	5.47138731281062e-12	3.46338816900912e-09
MT-ND2	409.384335412658	0.646731187911124	0.1007260454646	8.49474377613805e-12	4.50244089955786e-09
MT-CO3	1486.77231706983	0.642691676549794	0.0991776565099302	8.69349655873907e-12	4.50244089955786e-09
MT-CO1	2852.5720507204	0.531066156384228	0.0828611866475969	1.40311347649192e-11	6.6612812296454e-09
NINJ1	40.4785266671555	-0.773380013611484	0.126286427425895	3.24030065301685e-11	1.41999944771054e-08
LSP1	149.958842419159	-0.531384294582581	0.0866937365891243	8.07452787091737e-11	3.28575609147259e-08
MT-CYB	1032.12252962574	0.698883207445201	0.115444094296595	1.0772848100771e-10	4.09152770867282e-08
CFP	81.0335916431854	-0.462983831754927	0.0761516502666435	1.32586423732224e-10	4.7209053500155e-08
TXNIP	204.209256394896	0.643265170610921	0.108734669386784	2.28573760380727e-10	7.65991007581766e-08
TPI1	87.7301291289195	-0.370054280457622	0.0617333771819721	2.60583531861697e-10	8.2474687834227e-08
MT-ATP6	1182.70447318175	0.646261791923001	0.110361346651751	3.37539787542303e-10	1.01208640506763e-07
TMEM14C	13.9849033599134	-0.844277115342473	0.146650686683185	7.82325771210965e-10	2.22845495929443e-07
CTSH	21.2476222847979	-0.692041706123873	0.121481584575603	8.29552395942262e-10	2.25045714270622e-07
MT-CO2	2821.29286645491	0.50923288206339	0.0903602728789064	1.44826516329822e-09	3.75034847059543e-07
MT-ATP8	272.836647694283	1.7942122712032	0.328979437285746	1.87897940796328e-09	4.65415029876818e-07
RSRP1	42.7648890750772	0.655187226707057	0.11805877668473	2.18578359481047e-09	5.18850380818134e-07
RPL27A	96.4227447400367	0.415664999259204	0.0739575235125277	2.29444416133068e-09	5.22857935484035e-07
SNN	17.9112893645604	-0.638010046993094	0.117491465406321	3.21210743721897e-09	7.03822156532172e-07
ODC1	7.59441403620804	-0.82437854123606	0.154020070252867	4.15693978455606e-09	8.77114294541329e-07
MT-ND1	512.801528363507	0.570990768002199	0.105126715055653	4.36878869584214e-09	8.88892471436167e-07
AL133415.1	4.12249328989997	-1.28733126063374	0.245931668279653	4.84617844473891e-09	9.52023399988883e-07
HNRNPDL	68.3680674048603	-0.304367441446986	0.0551399795651758	5.85263414537224e-09	1.11141522420619e-06
FBP1	18.8508223619208	-0.738729487342739	0.141938004669154	1.02676586059284e-08	1.88693067993465e-06
RIPOR2	38.5299714702247	0.571447335401117	0.108267039340646	1.25378685058207e-08	2.2321324024269e-06
UTRN	41.8534325537338	0.612037629486364	0.118703162837448	1.66206734972868e-08	2.86933263375888e-06
MT-ND4L	763.102623605452	0.602064393911694	0.116952179990423	1.75769919900848e-08	2.9451800990445e-06
KCNQ1OT1	4.20987072577149	1.39228452997526	0.273720557957063	2.26127830773836e-08	3.68071500548155e-06
IKZF1	33.8951892007968	0.496528815635596	0.0968429729250001	2.58461331814534e-08	4.090150575965e-06
LUC7L3	17.9991762893333	0.725063028206844	0.144683812408239	3.52046356637705e-08	5.4205624155811e-06
SRGN	240.558567334507	-0.495150318953961	0.0984846744899522	4.44403441385307e-08	6.66254317255815e-06
XIST	28.8406004310136	0.781017531319476	0.160979099701255	5.80551030812409e-08	8.48051082702127e-06
HLA-DRB1	283.55788064005	-0.453581541206043	0.0916695662866309	6.70582177458429e-08	9.55076666245168e-06
PCBP2	93.1091457636437	-0.364197466796008	0.072406598283312	6.88393667157053e-08	9.56531395559447e-06
CFLAR	20.789678442332	0.583721047499667	0.119218585789105	8.0882461199542e-08	1.07214754884796e-05
CEBPB	124.937750502113	-0.329814684040258	0.0659217148247115	8.09238978417805e-08	1.07214754884796e-05
ZFAS1	57.1671676307666	0.473785491557328	0.0974122506977468	9.63168337110294e-08	1.24708409466303e-05
RPL21	206.9864019498	1.01891951632872	0.215947212036274	1.04409107257552e-07	1.32181929788061e-05
SMDT1	24.460875421288	-0.588435695155336	0.12310945869285	1.22405074255999e-07	1.51596023486179e-05
ATP6V0C	98.003858042437	-0.444935404867985	0.0941166265056349	2.05301569328344e-07	2.48851710736931e-05
SH3BP1	18.9358395046933	-0.644226417268631	0.137849871549528	2.19610956555895e-07	2.60650754062278e-05
