""	baseMean	log2FoldChange	lfcSE	pvalue	padj
FCER1G	241.068042010322	1.21325588765118	0.113977568869913	1.97185874776896e-28	2.01583119784421e-24
LITAF	159.21919239914	-0.541474583357429	0.0605683017780709	5.58713469800538e-20	2.85586390088545e-16
PPDPF	140.819937654244	-0.734324977568537	0.093563385024811	4.13187218553134e-16	1.40800431175623e-12
IL2RB	113.816393807348	0.795558161976173	0.10260526686728	6.2289998174705e-16	1.59197662835002e-12
C7orf50	14.4018303422672	-0.858697578237863	0.116226545363751	8.92226987513378e-15	1.48430760390236e-11
GSN	13.3249549122778	1.7040779148405	0.230492287484543	7.75858214248032e-15	1.48430760390236e-11
CEBPB	42.8965589236971	-0.894247760633144	0.119619793832148	1.01635070207537e-14	1.48430760390236e-11
ZNF683	10.6584414798122	-2.25789779837745	0.302508128441828	1.48162280354181e-14	1.89332874007599e-11
ANXA5	10.0794919526416	-1.37691358646538	0.189472126880021	3.20432195742133e-14	3.63975370785759e-11
SH2D2A	49.7724594110659	-0.882186199362066	0.123176900042484	9.8616980354073e-14	1.00816139015969e-10
ISCU	31.5860511197926	-0.555063366770312	0.0797288785207288	3.14000886872454e-13	2.91821006045191e-10
LCP1	152.949584655051	0.486784067971764	0.0716020579066713	1.20598148455972e-12	9.48365285896462e-10
MT-ND3	1026.66976916369	0.753303238291941	0.113235231417534	1.15280972832845e-12	9.48365285896462e-10
FTL	426.157006863988	-0.446196176361002	0.065611103562766	1.83580038466245e-12	1.3405276666003e-09
TRBC2	116.623098416915	-0.818403830339086	0.123913032915652	3.67583529640578e-12	2.50520428234375e-09
POLR2L	73.8233976562141	0.472058716519538	0.0717355086369744	4.21891309113617e-12	2.69562178316782e-09
SQSTM1	41.8574418887547	-0.450793202110925	0.0684385651185797	5.59830593877412e-12	3.36655774188752e-09
GZMA	425.567809456827	0.375847011438773	0.0574526733444806	9.42832111495495e-12	5.35476259767692e-09
EEF1D	234.750644671906	-0.342973548160255	0.0524915833950438	1.28361314462198e-11	6.90651430393187e-09
TSEN54	35.1309749689542	-0.483008920526321	0.0754876181679108	1.76529248395082e-11	9.0232925317146e-09
GADD45B	36.5825896761355	-0.622973211806102	0.0984393046280849	2.41381575760677e-11	1.17506849952448e-08
LINC02446	4.7314689836381	-3.38185749570172	0.533988724572879	3.73299374923928e-11	1.73465432265787e-08
GZMH	208.480735355655	-0.734673831281457	0.118183510632651	5.19396976413288e-11	2.30860664777089e-08
FTH1	329.71256377383	-0.443786334283378	0.0712094770481459	5.67772662329279e-11	2.41847496958009e-08
LTB	11.9159569069001	1.32091089841739	0.220840164816081	7.39909040015961e-11	3.02563604643327e-08
ODC1	11.6379146264764	-0.900939719146586	0.14838347531028	7.83705571891073e-11	3.08147002363171e-08
TMED10	40.7378870700471	0.455437668422725	0.074592095533798	1.13370770681857e-10	4.1392478167165e-08
CST7	484.989727268249	-0.420239407110373	0.0676734520468881	1.09603764824146e-10	4.1392478167165e-08
AC245014.3	11.0475023982085	2.00230191924564	0.344954722838604	1.28340412040113e-10	4.52422080098646e-08
RAB11FIP1	13.2410718449814	0.962354258850663	0.16002853677898	1.74990426539097e-10	5.77073267906188e-08
TMIGD2	17.8576420079485	1.27919039097885	0.218215860292383	1.71633417148918e-10	5.77073267906188e-08
RAB11FIP5	2.21676996177904	-2.44821545337682	0.415829483393072	2.11311486152515e-10	6.75074163417861e-08
SHISA5	44.6005290571767	-0.46782201760063	0.0785976145545901	3.05577299579891e-10	9.29760477932752e-08
CNBP	77.5893911340464	-0.355937475353691	0.0591757398466193	3.18317682946751e-10	9.29760477932752e-08
F2R	22.0389645051824	-0.721238612341385	0.122451470675848	3.13891301943189e-10	9.29760477932752e-08
RPL14	499.782290547836	-0.33663860499977	0.0559512702660605	3.28270783453088e-10	9.32197838678032e-08
PHF1	14.7103968630117	-0.858215917952874	0.146894056304092	4.1215434179417e-10	1.13877130707076e-07
KCTD10	8.24469889485901	1.12328701545512	0.195500676298419	4.55257150233284e-10	1.22103778188109e-07
SPSB3	45.1829887658595	-0.455655773658476	0.0771847008356197	4.65817015488238e-10	1.22103778188109e-07
LAG3	5.48442326629946	-2.30144593313661	0.396077744390611	5.90407593975735e-10	1.50893420830349e-07
FAM107B	41.3810016824106	0.509034103825833	0.0886531636784988	9.89995048131316e-10	2.46846814074304e-07
HELZ	26.0077727576453	0.653104348913397	0.115168402915926	1.10723922109257e-09	2.69507298981652e-07
PCBP2	175.067348100075	-0.346944648297462	0.0597786187975034	1.22444876479235e-09	2.91105574941214e-07
KIR2DL1	15.7428415169227	-1.32266250237395	0.231907617683352	1.25587997425577e-09	2.91792294927652e-07
SYTL3	38.5544732811448	-0.813772970563583	0.143349912988346	1.29827721679696e-09	2.94939733051451e-07
MAP1LC3B	40.8139159899483	-0.441820249567049	0.0783089609214252	2.12376196195168e-09	4.71983011674609e-07
HIPK1	9.40324488865991	0.872373976725521	0.159196489237535	2.67825335088942e-09	5.82548595875374e-07
C1orf21	36.4852795788344	-0.521732187593418	0.093987067099409	3.20427920004129e-09	6.82444713792127e-07
KLRC3	27.0200415763433	-1.41354155054168	0.259278168265901	3.72533925864547e-09	7.77227413084339e-07
ITGAM	36.013802655901	0.538672501170526	0.0986103253815514	4.90531488310394e-09	1.00294068099943e-06
PLAC8	106.895664257745	0.481369589220312	0.0888873947975767	5.46260398006703e-09	1.07405018098837e-06
BNC2	4.81472728490576	1.2945305784861	0.237909848915562	5.46323089224254e-09	1.07405018098837e-06
HNRNPDL	123.100487001108	-0.27163842827209	0.0488077443879334	6.60399055212171e-09	1.27382255498755e-06
RASA3	29.051760700222	-0.465668658548147	0.0859503198623173	7.11046134769214e-09	1.34611567328624e-06
ACTR2	47.4487798875478	0.449463627326545	0.0835064781350868	8.21558517380448e-09	1.49978441485363e-06
FGFBP2	322.591712623447	-0.439962979716933	0.0812611079119858	8.20897090624273e-09	1.49978441485363e-06
CCNI	110.152982549985	-0.291338836001735	0.0531656210891862	9.31982224338515e-09	1.6715182946338e-06
PTMA	563.285834228768	-0.19315471902204	0.034349324940156	1.00574316772976e-08	1.74266311927141e-06
CST3	12.4520523583005	1.0423577637718	0.199621123869102	9.89137207387656e-09	1.74266311927141e-06
MACF1	46.4339203959368	0.424099905381998	0.0798204925969259	1.39603584391099e-08	2.37861240538368e-06
RASSF1	53.5946228733079	-0.410165774375257	0.0772940521324641	1.74636179824602e-08	2.9267306005687e-06
HDAC9	2.48286678959532	2.44547856372755	0.457964931018265	2.25941547910617e-08	3.72548458756489e-06
CCL5	806.76974711812	-0.492887055210873	0.0955869019107232	2.80432869381493e-08	4.55057972013811e-06
NDUFA12	48.282259661863	0.404998919616726	0.0784099862483294	3.16584695508799e-08	5.05694584716633e-06
SLFN5	31.1798683611643	0.74928395583051	0.147492364112822	3.24308340711029e-08	5.10062179552131e-06
WDR74	13.8121029367326	1.01996275882694	0.206536193828067	3.41020258951641e-08	5.28219713221611e-06
TLN1	63.5827506281115	0.390078178103344	0.0759725432297549	3.69084110378607e-08	5.63156247820971e-06
TNFRSF1B	25.3605543982631	-0.664025128251839	0.131571517228152	4.10539154986731e-08	6.16979861000541e-06
CTSC	86.0335590972151	0.344658347434951	0.0668432012405419	4.16429721305266e-08	6.16979861000541e-06
NME4	5.95093093892294	-1.54234274046275	0.310374945468283	4.34203913517221e-08	6.34123801126649e-06
ZFP36L2	198.99237582878	-0.531742505663894	0.105522091378011	4.624540872019e-08	6.65868751192257e-06
RPL11	728.506007121647	-0.226817224401665	0.0430705420526316	4.87622141433604e-08	6.92355715538297e-06
GNLY	2415.10606385241	-0.6066807300414	0.123457124228464	6.07036760890261e-08	8.50100932408376e-06
IRF8	6.75285132504275	1.32458509469241	0.27217931911482	6.63821037251656e-08	9.17059792408605e-06
TRG-AS1	11.6316702297696	-1.26132923461969	0.25513164117011	6.789280919292e-08	9.25424251172295e-06
VPS26B	22.7841752694616	-0.468710979593839	0.0943671410906637	7.85555607305537e-08	1.04698445033167e-05
ARID5B	14.1773230642053	-0.702597695277949	0.143465582626413	7.88592415881231e-08	1.04698445033167e-05
LAIR2	22.8308256429066	2.15031871910528	0.514570561670459	8.24013679958764e-08	1.07998613464339e-05
FKBP11	35.7617623250033	0.429188858985889	0.0867966708558504	8.79861890845742e-08	1.13858583672355e-05
DENND2D	44.4309460049167	0.578986024674906	0.118499425256762	8.92998692825972e-08	1.14114070459499e-05
PHPT1	22.8300013377805	0.497252276612476	0.10195580793971	1.01051245234184e-07	1.26463656029831e-05
MT-ATP8	372.781389522838	1.44484490196736	0.30391040035624	1.01438127696823e-07	1.26463656029831e-05
LTBP4	10.5545266106261	-1.05318528153546	0.221116487079964	1.06376920596903e-07	1.31023043284596e-05
EVA1C	3.69114306237923	-1.21172827438904	0.25847826136375	1.10287012334978e-07	1.34221919892914e-05
MALAT1	5366.40701016058	-0.323903859886835	0.0655596547923118	1.17739138382544e-07	1.41605554315853e-05
SON	85.5553496332945	0.320742251266186	0.0641584888157668	1.19789212074243e-07	1.42395943608719e-05
MT-ND1	470.975548405839	0.428020052809933	0.0877983534228413	1.24676646744184e-07	1.46502225248942e-05
DNAJA1	18.1524633122135	0.593760064646418	0.123411743386651	1.38291700570315e-07	1.59355667148413e-05
TUFM	37.1057669159333	-0.385674793149578	0.0787076240304943	1.38732802271435e-07	1.59355667148413e-05
CCDC28B	11.1731181974854	0.927842187854598	0.196183406691036	1.47218454977158e-07	1.67223807247942e-05
TRAPPC6A	15.7294981275963	0.605886114022576	0.12738117350522	1.54579241345444e-07	1.717677808994e-05
SELENOW	56.4997781362628	-0.287762921434093	0.0578594536381417	1.54515618435139e-07	1.717677808994e-05
SRSF6	7.9963744604168	0.771641201458001	0.162495256706761	1.57608623986006e-07	1.7325085623752e-05
SLC2A4RG	10.415068344197	-0.678230513567787	0.143250568669299	1.63768508119311e-07	1.78106963670608e-05
OASL	4.28949700518059	-1.30755993597621	0.275706406612268	1.69642196535317e-07	1.82552860545321e-05
GLIPR1	30.8332983844613	-0.46674227775971	0.0969766355173099	1.73324929071101e-07	1.84572994780611e-05
LINC00944	4.37480027724789	-1.99982337911612	0.420613609731021	1.84316745199311e-07	1.94254648059026e-05
PTPN12	26.8606092596228	0.476776856884707	0.10021449635321	1.9223867675501e-07	2.00536325761884e-05
TP53I11	1.29445359721439	-2.3572904284855	0.527659063462233	2.0550900031138e-07	2.12213990927599e-05
MT-CO1	3145.0684980798	0.392068687108287	0.0820862493569734	2.19426406315962e-07	2.24319615176808e-05
KIAA1671	2.18409554720397	-1.51099390741014	0.332350918041261	2.23264380525261e-07	2.25983342783143e-05
MT-CO3	1687.73988045949	0.429158820496362	0.0903114231026711	2.32137273251211e-07	2.32660720043836e-05
IGF2R	31.6214431249016	0.451154734904042	0.0952287371855598	2.36639475699281e-07	2.34870423308131e-05
SH3BGRL3	561.824704009001	-0.197518987563285	0.0394017842888923	2.44904372571758e-07	2.40736288538566e-05
XBP1	63.6693998873122	0.40674636834657	0.0858947274218004	2.7526266059487e-07	2.68000969453463e-05
ATP8A1	17.2545138006583	-0.529836046233963	0.113842932420923	3.22542211560454e-07	3.0816346063388e-05
PLCB1	9.40359354433686	1.14848737690807	0.25700524907052	3.21062071623779e-07	3.0816346063388e-05
GPR25	3.39023334260937	-1.67812169813356	0.36882257496858	3.28154030095794e-07	3.10622097191602e-05
CFL1	447.36676584399	0.1766962577754	0.0355992214232944	3.35468402222479e-07	3.14632428983523e-05
YBX1	121.357393937245	-0.287240598615288	0.0598789742758986	3.65639305787338e-07	3.39811874823996e-05
C4orf48	8.28889575153121	-0.762250090441439	0.169697870994297	4.17418032068285e-07	3.84438247012079e-05
DOCK5	4.46382924098407	-1.21438860297562	0.268746881047804	4.26259643103356e-07	3.89076101021929e-05
CHST11	15.5834969948814	-0.622142791289449	0.136727331346109	4.42636825828115e-07	3.9693651495095e-05
IL27RA	15.7293814162533	0.653592510049842	0.144656160848532	4.41055985886683e-07	3.9693651495095e-05
CYTL1	1.50472013650702	3.10732000772608	0.660197643632102	4.75773626735168e-07	4.22286659220493e-05
ERP29	41.9668734421759	-0.341994292612411	0.0732654144486526	4.83297849249709e-07	4.22286659220493e-05
CISD3	34.349914228934	0.381177104104695	0.0819665763448639	4.81862932747905e-07	4.22286659220493e-05
