""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	3476.59535450253	0.957342184213651	0.118924550829372	4.89907768912866e-17	5.08524264131555e-13
MT-ND2	962.890605015147	0.777514432948933	0.0989199951826838	1.86597853736771e-16	9.68442860893843e-13
RPL23A	2546.45654833232	0.31930609078717	0.0427916277313165	1.10018146659131e-14	2.63884868075466e-11
ZFP36	220.176173732655	-1.51491377824936	0.207266242775887	1.27112171519974e-14	2.63884868075466e-11
MT-ND1	1664.27485280609	0.751011909315793	0.102403750983639	1.27001505423914e-14	2.63884868075466e-11
RPL27A	727.836643510073	0.565963892238313	0.077291184423615	1.90116844098187e-14	3.28902140289863e-11
CFL1	687.133875179533	0.224273409751787	0.0306957656837158	5.60156429132921e-14	8.30631962057103e-11
LTB	1317.27724099162	0.495469028894512	0.0703868495822536	1.51182288902085e-13	1.96159019850456e-10
RPL27	1161.69278040809	0.332429249514232	0.0469217789717995	1.70138572894808e-13	1.96226487405346e-10
RPS20	577.830433482176	0.473909376310482	0.0703534507884523	1.35524514901964e-12	1.40674446468239e-09
MT-CYB	3967.28987503691	0.565134482829685	0.0863166173715947	3.99475044051796e-12	3.76959177932513e-09
NBEAL1	31.9367558288483	-1.64218540866652	0.252811823985602	4.36605247866558e-12	3.77663539404573e-09
DDIT4	103.337740306058	-1.08187863463333	0.170021495374174	9.14303681589644e-12	7.30036324223116e-09
ZFP36L2	700.117459509051	-0.763588304941339	0.120221564858694	1.47489422658057e-11	1.09352871942188e-08
CCNI	375.342136470761	-0.275230200457236	0.0434011672020736	3.33938619263102e-11	2.31085524530067e-08
STAT4	47.3683442299154	0.559285303097785	0.0905871727684747	4.0298301351179e-11	2.61435230015773e-08
PABPC1	933.693832635926	-0.321634384978576	0.051429981114404	4.51100574530789e-11	2.75436703742917e-08
TOMM7	678.298012730928	0.289246590553329	0.0465130912105563	5.41687475088882e-11	3.12373110634589e-08
MT-CO3	4513.52570906792	0.570776571462034	0.0939473710250536	6.38579513405349e-11	3.48866071007764e-08
MT-CO1	5790.97558084914	0.50343921520223	0.0835668009363086	1.14846666581317e-10	5.96054199557036e-08
JUNB	858.409710292629	-0.82006274566442	0.137847301327074	1.52488644070403e-10	7.53729583547994e-08
SARAF	667.904065823574	-0.268671245851108	0.0450378066785891	3.77949002361456e-10	1.76107204167073e-07
H3F3B	819.024941650352	-0.307958488117525	0.0523419005758011	3.90218275129353e-10	1.76107204167073e-07
KANSL1-AS1	26.0921862466073	1.81939203089388	0.314362582004972	4.15110719425686e-10	1.79535386151609e-07
RPL5	2151.14337097618	-0.138240438518192	0.02277027854767	5.3472488547825e-10	2.22017772450569e-07
PCBP2	520.27928801818	-0.291311948937809	0.0494536070661752	5.64959926936041e-10	2.25549386215235e-07
RPL35	1409.09192070046	0.304232619101134	0.0523814848146412	7.82531212232723e-10	3.00839777147247e-07
SLC40A1	58.0197538641483	0.857778361584938	0.154200371066861	1.44432993165596e-09	5.35433738949604e-07
ERP29	190.60454148381	-0.242062593426313	0.0420112821551698	1.52639986069119e-09	5.46345881171536e-07
GADD45B	58.071950814742	-0.674943676479716	0.122644792073035	1.79214519744071e-09	6.20082238314485e-07
BEX5	4.7512191378926	1.42833714524931	0.265335099741662	3.57225540193811e-09	1.19612938942315e-06
SYTL1	96.7403252292844	-0.362152231752377	0.0660109289276794	4.98099312225368e-09	1.56674874572707e-06
MT-ATP8	972.440176415101	1.5891985643239	0.30088403423143	4.90157678831817e-09	1.56674874572707e-06
DUSP2	78.7746171281344	-0.987819749623685	0.186469895032169	6.09729480785789e-09	1.83568502651294e-06
RPL21	1867.20992450136	1.25025299720201	0.237059709456918	6.18968939575654e-09	1.83568502651294e-06
RPL13A	1699.62753035636	0.247400832672046	0.0450116052510554	6.55670802640723e-09	1.89051748094742e-06
NDUFS5	160.033454626152	0.263423334786094	0.0494869343334598	1.35481354284301e-08	3.80080123640824e-06
MT-ATP6	4222.87442025638	0.51014189032862	0.0991164091576451	1.66957409470405e-08	4.56057344816527e-06
RPS6	3492.04117053881	0.257641099582768	0.0486799099909795	1.93923588456225e-08	5.16135089275798e-06
PHPT1	39.0162326383701	0.438257504584399	0.0854572861677876	2.10023629389789e-08	5.45011318266503e-06
RPL37A	1726.23909171107	0.349750929813543	0.0676768309398549	2.24134747077849e-08	5.67443579187336e-06
LCP1	192.030297546294	0.282922563345558	0.0544895520620088	2.38208624599626e-08	5.88715600796218e-06
RPS11	685.762315029614	0.240847067810961	0.0461324885873258	2.94473056523443e-08	7.10844262026358e-06
RPS18	4978.40812860654	0.278626644502887	0.0534909102745118	3.16642715282796e-08	7.46988951053504e-06
CD52	1393.25290823637	0.324096524723995	0.063203508679192	3.99836697250605e-08	9.02240199448103e-06
BIRC3	61.4176219384071	0.409541302431227	0.0818114996487435	3.99312228803296e-08	9.02240199448103e-06
EIF3F	307.540128173594	-0.190020062578824	0.0364426770122963	5.07622388092617e-08	1.12108944434072e-05
STAP1	2.50168628528601	2.19798753974673	0.455093089723118	7.55664254643469e-08	1.6341239506665e-05
PNPLA2	45.7603481895784	-0.425627264243168	0.0865117252721831	7.87682765630406e-08	1.66860145045788e-05
SOCS3	83.2829965234262	-1.08750213156405	0.226392281027474	8.68495968850104e-08	1.80299763133282e-05
Z94721.1	3.09649196696046	-1.37605913533584	0.287857847361872	9.86924467647139e-08	2.00868156356418e-05
CTBP1-DT	6.08280910081174	-0.912751691516702	0.191293596602633	1.04170599802351e-07	2.07940543451617e-05
RPS27	7508.6681086493	0.400718451158277	0.0833196054688884	1.16620840304058e-07	2.28400815538891e-05
RNASET2	130.714947498296	-0.362695102190591	0.0745756527272444	1.19064448790177e-07	2.28868329341118e-05
SLFN5	64.8977962094282	0.514072973581539	0.107179609840106	1.25630225222751e-07	2.37098497784028e-05
DDT	71.2461113983931	-0.58291341687744	0.12288886589214	1.28953397371504e-07	2.39024332985038e-05
MT-CO2	6692.54702345297	0.393255907530826	0.08279992697994	1.36961053900505e-07	2.49413287629341e-05
FOS	581.962822577881	-1.30141052417069	0.278442058104978	1.5314448611832e-07	2.74075821708305e-05
RPS13	3418.52762219664	-0.153809160419851	0.0305267927393282	1.58225464298469e-07	2.78369545664086e-05
BCL3	15.3695490672365	-0.950345233536488	0.210795814838272	1.62407014456594e-07	2.80964135009908e-05
RPL31	890.434247431472	0.22959109434679	0.0471355863124063	2.01456785946913e-07	3.42806793135894e-05
ST13	134.529674810088	-0.226101797961495	0.0466383328170484	2.20752720959923e-07	3.6958278122e-05
IER2	128.008849482871	-0.531398177686613	0.11481789511519	2.35733066278662e-07	3.88398290154368e-05
TUFM	84.2671554686078	-0.326383157565928	0.0687148596032953	2.48570373943026e-07	4.03150075238845e-05
IL32	1194.36587460551	0.397093150831138	0.0852039116578351	2.54179215584247e-07	4.0590465504069e-05
BET1L	22.7852297111452	-0.495516384885916	0.108196114455933	3.36181103283981e-07	5.28721189710261e-05
DPYD	56.8496333019169	0.373128406150204	0.081670158656816	3.63439851332705e-07	5.5565241017044e-05
BTG2	75.7388573644489	-0.660722409716386	0.146606389857365	3.6401121282842e-07	5.5565241017044e-05
RACK1	1624.6983575654	-0.124645223146639	0.0255502547508848	4.39177314518737e-07	6.60675438362969e-05
CARD8	39.0895774231033	0.374115471481628	0.0820449545914059	4.57638211259924e-07	6.78612090411144e-05
TPT1	5470.08302273117	0.255623136138275	0.0546764771629988	4.7522868836956e-07	6.94770955672681e-05
ITM2C	11.6069123580224	-0.694654928989469	0.15627744216621	5.20837707353515e-07	7.43058734520621e-05
LRRC14	11.7628871930204	-0.613727032857796	0.137343484643172	5.22575025240899e-07	7.43058734520621e-05
RPS25	3246.90277223084	0.196457134216465	0.0416982162387346	6.05181319736377e-07	8.48889472819404e-05
MT-ND4L	3125.47526198852	0.418479897696213	0.0940100125662885	6.24010700099854e-07	8.63630808938199e-05
TRIM8	21.4876760222151	-0.439185379608998	0.0998718684479134	7.83500368253365e-07	0.000107009655558815
ATP6V0E2	42.3380152313595	-0.398960015990089	0.0901741285059314	8.1778839358684e-07	0.000109393910719579
KLF2	619.506614177992	-0.417010117321313	0.0942727172997054	8.22035167256952e-07	0.000109393910719579
CASP1	43.0183887954253	0.404367127737522	0.0919752652592919	8.54336737196759e-07	0.000112253358634207
ZNF90	4.56087395544466	-2.06271232558094	0.475736116053973	9.05467159246461e-07	0.000117484363912228
MTRNR2L1	2.39825299612752	-2.46002981056792	0.587414271229915	9.20508886120052e-07	0.000117961509110199
IFI35	17.6223430130266	0.516670648082636	0.118888655174135	9.460905793915e-07	0.000119761222122973
VAMP8	123.251476729305	0.259679739287303	0.0573644780098906	9.67195945231214e-07	0.00012095775796988
CD300A	10.5144158556722	1.04787312941507	0.259682914906323	9.83353922540172e-07	0.000121514448999607
FIBP	27.1915613256117	-0.396712911248586	0.0908409064716079	1.0102324884441e-06	0.000123367214471174
ABTB1	34.022457439069	-0.392665643340393	0.0901629021105915	1.05666848828852e-06	0.000127537429167847
RNF44	35.6502559420447	-0.410647133436891	0.0938659242959279	1.09250795340431e-06	0.000128866279049281
NFKBIA	147.115162104817	-0.827832200277642	0.195436239458687	1.08758320142123e-06	0.000128866279049281
FBXO32	17.5046813356282	-0.582097031969964	0.13586800266338	1.29677703792161e-06	0.000151242085995801
MACF1	72.0127363670637	0.34966042071528	0.0808528136958788	1.33795608634071e-06	0.000153193010073596
MTRNR2L8	51.1864051482127	-1.23730893538543	0.293361390741211	1.34302157193615e-06	0.000153193010073596
ARL2BP	40.116028975006	-0.322191296741337	0.0739074064598931	1.43851944442223e-06	0.00016230251992503
SP100	90.1954140215936	0.250074000871105	0.0567699168848557	1.61376184461683e-06	0.000180116644592717
EEF2	863.582573081554	-0.27215053520316	0.0621414407849364	1.63791829794305e-06	0.000180867999283499
PBXIP1	101.840168413009	-0.299258995351356	0.0686630694449053	1.73453539794167e-06	0.000189520815059311
MAN1B1-DT	2.51540300691594	-1.35887635117266	0.329786756187101	1.85205463531771e-06	0.000200253407443727
YBX1	350.707229797994	-0.201860714722501	0.045333563524049	2.04076721598654e-06	0.0002158027008324
TMSB10	3794.9759054728	0.165700541576979	0.0367602289753047	2.05823385186971e-06	0.0002158027008324
FTH1	1176.65272944777	-0.36651466193896	0.086694447417155	2.02167145407646e-06	0.0002158027008324
RARA	16.4927220018099	-0.585157077644406	0.141003046435476	2.32798743366983e-06	0.000239252569915771
SKAP1	102.5770840657	-0.241886556447389	0.055573595351049	2.31700434211129e-06	0.000239252569915771
ARHGEF6	36.3528706121808	0.367557376139685	0.0884775399250025	2.7345764939049e-06	0.000278283372615028
VCAN	4.81320131040855	1.97641078635375	0.490144399221537	2.84333007386233e-06	0.000286541419094087
EEF1D	904.827285701991	-0.160469441820436	0.0361348323831167	2.94231114663763e-06	0.000293665285597102
GNB2	99.4727889077895	-0.245489722289626	0.057067411162834	3.04078126598497e-06	0.0003006029480088
TAX1BP1	82.0499793430711	0.25763516067138	0.0610827561781646	3.20211482614724e-06	0.000313565583918947
HSPB1	105.949731125391	0.245901797412558	0.0578685943114707	3.23342104635369e-06	0.000313672060384591
PPP4R3A	38.6481766881146	0.34689053778145	0.0841372762893414	3.28640939761721e-06	0.000315860458770987
PARP14	18.8720057254475	0.641775077525843	0.162173899530967	3.37094212362763e-06	0.000321012653607842
GTF2I	28.9653098146541	0.423279062475132	0.104344578176417	3.40813933239349e-06	0.000321604420638586
TSPAN2	8.48261408130981	-0.944995623211286	0.235676978590798	3.46705457872748e-06	0.000322357606414499
TNFAIP3	206.622295032731	-0.82089654469428	0.207632590117629	3.47823236208322e-06	0.000322357606414499
KLRG1	46.9182686070144	0.636828247936719	0.162447483486695	3.59690908622388e-06	0.000330406339070831
APOL6	27.3480447677902	0.405638373659685	0.0997410699391927	3.73858676251743e-06	0.000340408163113429
AP002884.1	18.450188490954	0.766700287863499	0.193772056925727	4.04902892014094e-06	0.000365468871226634
LINC02325	3.66258177386447	-1.20045585936643	0.3038662129618	4.21245566760851e-06	0.000376942153704968
H2AFY	52.0308979451813	-0.296574686247541	0.0717545322051476	4.30607843486116e-06	0.000382026445759478
FOSB	36.0688919542195	-0.879916622377607	0.230213367034899	4.40476788882763e-06	0.000387470260051109
CD99	212.415176881632	-0.331877295487992	0.0818296356869169	4.49787987861061e-06	0.000392336076806539
AP002387.2	25.8126100430516	-0.480584446547833	0.122358924917053	4.7193016578928e-06	0.000408219593407727
GBP1	31.2914192062724	0.591521569659788	0.150731443019579	5.11284390484666e-06	0.000431474144165109
SLC35B2	10.0194670427201	-0.572554085082347	0.145603177100418	5.06496441608796e-06	0.000431474144165109
NSMCE1	47.0104495921784	-0.339704579739088	0.0837876504722061	5.10099727163823e-06	0.000431474144165109
GNAI2	63.1059293353037	0.567826278483966	0.145936715901655	5.5157184238866e-06	0.000461719009999539
SNHG7	67.7874638128434	-0.371028686769937	0.0919066086493291	5.78549685928229e-06	0.000480427659194802
JUN	443.420640943077	-0.803614368945621	0.211569164418593	6.34893337420395e-06	0.000523031177970135
RNPEP	12.3649142264569	-0.512379911547046	0.132812902452539	6.80890826797204e-06	0.000556507620642124
MYADM	31.3675817513421	-0.636767964970046	0.163626439899939	6.88422061786305e-06	0.000558267265729832
RPLP0	2319.64601226451	-0.135333861051997	0.0314170268222024	6.99211615329464e-06	0.000562621439311615
RABGAP1L	39.2839970268375	0.335120863949211	0.084472866707339	7.15237858367893e-06	0.000571089920758364
SUN2	136.610981916702	-0.344922004934005	0.0862927826372092	7.40822420612214e-06	0.000587002803507999
IL5RA	2.24531107957138	-1.52466222244596	0.395451050504387	8.05556389011041e-06	0.000633460251358682
CMTM7	49.1306840231355	-0.334839368196663	0.0850815212921015	8.22347911795184e-06	0.000637012785405523
TRIM24	6.24563242196903	0.79310282125193	0.208927373870674	8.17423574535437e-06	0.000637012785405523
ZFAS1	212.358146920955	0.296072295418104	0.0750794678150439	8.7059706119812e-06	0.000669392407054554
RSAD1	24.034163816553	-0.401644358217976	0.103892341826789	8.80556323953833e-06	0.000672071664900058
OR4D1	7.08243899328117	0.839647214909204	0.226591199223018	9.30605299647373e-06	0.000705086351119688
WAS	85.7394310862226	-0.42328694801389	0.109642649987677	9.66129271878043e-06	0.000726697234934354
CSF3R	1.79490928733032	2.01579199341396	0.551901708087027	1.03089015334486e-05	0.000769830200843137
FCN1	4.68441450184498	1.72668628070644	0.465337974558693	1.05659094703483e-05	0.000783386716444396
FCER1G	7.22787498604437	1.54753320430863	0.427735742723999	1.10820077451825e-05	0.000815824399964499
RAD23A	73.3549700256094	-0.238549643859539	0.0597451026150489	1.1437472466677e-05	0.000836063128197939
FAM120A	22.3427622527432	0.438574420887748	0.117552796716665	1.16943325874732e-05	0.000837152912123943
RCBTB2	24.7760189047661	0.5451366647593	0.148295274723046	1.15370375423393e-05	0.000837152912123943
SGSH	14.5128748666952	-0.488189334632259	0.129833970818409	1.16618115488072e-05	0.000837152912123943
