""	baseMean	log2FoldChange	lfcSE	pvalue	padj
CD52	98.13504827822	0.646440629891266	0.151772808205189	9.4627295982108e-07	0.00201874508349249
TNFAIP3	9.61587938317853	-1.40422631019961	0.341891170630918	1.79803614650857e-06	0.00201874508349249
RPS26	82.419148543824	1.03916066614431	0.25267336034729	1.48279762694879e-06	0.00201874508349249
MT-ATP8	56.175575619066	1.9789687242341	0.46152500799537	5.53566732301741e-07	0.00201874508349249
PCBP2	29.7204342572234	-0.585799606274204	0.152877691716266	6.78944533948379e-06	0.00609827980392434
JUNB	15.4133971880143	-1.15529419767134	0.333425848652534	2.30772036156076e-05	0.0172732869062823
ZFP36	8.41361291622937	-1.3060732218165	0.421152173639977	7.69193197436793e-05	0.0493492378526948
KANSL1-AS1	1.35857616590554	2.12566723011592	0.653224292784398	0.000100415045577563	0.0563704962111042
RPL37A	64.3452062228939	0.344404457378054	0.110775020129266	0.000124472368122196	0.0621117116929757
FLNA	16.5446191659187	0.60867021178792	0.211025262405412	0.000169876294543621	0.0753294236917599
SRGN	30.1741972299676	-0.402417390972329	0.137496971397763	0.000185986399364063	0.0753294236917599
RPS29	47.4272204148941	0.599947343032834	0.214912923695789	0.000201281025228483	0.0753294236917599
SMARCA2	2.88177479702796	-1.03423036544031	0.419065463771681	0.000489663849999945	0.169160026949981
TOMM7	21.1539071098531	0.385646272907878	0.157089691638818	0.000762522352674072	0.244606277561375
ERAP2	2.65259900368441	-0.120397163281152	0.281218089914634	0.000822946679230905	0.246390235761733
S100A11	11.3865120572249	0.615725689489209	0.277193959256416	0.000906167859067706	0.254349990942067
COTL1	44.5159846525321	-0.344876177804166	0.146447449159152	0.0010556820947706	0.278886369859691
RPL37	125.377613944074	0.22696347996919	0.0898352715829383	0.00128170390218879	0.302954327617361
UBC	35.9980018208714	-0.368377268555817	0.163235114041659	0.00124129555925303	0.302954327617361
S100A6	46.7862494555871	0.398596517223207	0.197714479591029	0.00183249979211607	0.306114325877079
DUSP2	17.2578356341069	-0.728256159402128	0.378800118365192	0.00166990055114576	0.306114325877079
ZNF639	1.19923010825786	-1.21338653122674	0.638485694667938	0.00190852841784863	0.306114325877079
CD99	28.4906550584095	-0.379279820544001	0.176765523365206	0.00154942020915671	0.306114325877079
MTRNR2L8	4.83957687518513	-0.0452620413945349	0.111613915133573	0.00138667936227751	0.306114325877079
NEAT1	12.8784551059126	0.730418170358587	0.386988957410536	0.001513147295545	0.306114325877079
IL32	114.957797043964	0.427436909561627	0.21397978675839	0.0016874054967186	0.306114325877079
RBM38	4.05565999810539	-0.801055054148073	0.434966147831561	0.00186938662909731	0.306114325877079
UBL5	16.8707030628578	0.361717384198826	0.170184168794437	0.00178354707872149	0.306114325877079
CD2	16.9942648577273	0.354845955169873	0.198555703875254	0.00327287518231552	0.315641598971904
RPS27	195.611926206547	0.321395602163598	0.178458235901386	0.00340200836808327	0.315641598971904
FCGR3A	1.56693335866058	0.0305203815314638	0.102663005898492	0.00252121609513876	0.315641598971904
SF3B6	6.91570975273811	0.491532250826516	0.307005840071435	0.00355601920946974	0.315641598971904
ZFP36L2	25.0454568052238	-0.467590921492666	0.246673874161295	0.00215693671551331	0.315641598971904
CD8B	14.9617466337287	-0.749118802064908	0.473706224644975	0.00293350604290344	0.315641598971904
MRPS22	1.18638449514352	0.0743574258515137	0.142076262721259	0.00340600848211523	0.315641598971904
TCF7	7.61326079305418	-0.0734585681760583	0.140588143628269	0.00284551998935165	0.315641598971904
UBE2D2	10.5011592399692	-0.374862260075189	0.222519772591959	0.00358444033568628	0.315641598971904
EEF1A1	356.921766336163	-0.190209372765386	0.0831613562802342	0.00329624843332932	0.315641598971904
GIMAP7	13.5024412290825	0.400404228954141	0.212239063136995	0.00248082630328381	0.315641598971904
SMS	3.30248547310021	-0.680560822507264	0.399054141207377	0.00243174302742008	0.315641598971904
RPS20	17.0028017780778	0.358421202376099	0.193558492543397	0.00293432564270808	0.315641598971904
MAF1	3.55259241877849	-0.661023993847253	0.441408359607621	0.00324026070589413	0.315641598971904
SF3B2	7.29983731166884	-0.439170037502955	0.274627210413479	0.00345604015998596	0.315641598971904
CD4	1.12339705188893	0.0448308757574179	0.110973394709827	0.0031740079529534	0.315641598971904
METTL9	3.3779157755344	-0.619740787875295	0.418539726579754	0.00333417218916073	0.315641598971904
RPL26	49.2785188336499	-0.406947135763333	0.208926304992692	0.00218598443042153	0.315641598971904
H3F3B	50.2812451257805	-0.265067746396892	0.125446111363643	0.0026637642766999	0.315641598971904
NDUFA11	3.14202199328116	-0.108527902574739	0.216401324818169	0.00270235342097342	0.315641598971904
RPL28	221.852626181753	0.157659038350267	0.0633823137148253	0.00288496377266806	0.315641598971904
MED15	3.67191456904203	-0.664630584349727	0.40395348608788	0.00266793924150531	0.315641598971904
DDT	4.6577828126711	-0.74520959941035	0.454836374910467	0.00260219059136333	0.315641598971904
ANXA2	12.7431432134209	0.489142474975592	0.329470831176395	0.00369970045214941	0.319526052511596
CHST12	3.33790980591702	-0.591527671823391	0.447046872292165	0.00409791741990772	0.347240511939727
GRK6	4.76209079789321	-0.563570369360951	0.444641315387435	0.00440003149052258	0.364412863781113
CNDP2	1.86276403819434	0.0706384085318187	0.136170933588734	0.00454400364545587	0.364412863781113
MT-CO3	309.120736919137	0.310535964833747	0.187533873719065	0.00451429522105432	0.364412863781113
NR4A2	1.60266186444891	-1.19769844309849	1.10569127992727	0.00489417761273721	0.373111478368183
PDCD1	1.02984828518463	-0.0520861863116396	0.116360084206017	0.00520044599858901	0.373111478368183
ATP6V0E2	2.20142595912015	-0.076953078985116	0.144420326444335	0.00517095690002778	0.373111478368183
SLC25A6	24.1066510468827	-0.268429841607153	0.153634515178654	0.00523402875466389	0.373111478368183
LCP1	23.3031235199367	0.294711577218884	0.176146444976501	0.00505359052632342	0.373111478368183
NFKBIA	6.16138160713685	-0.0772808541389205	0.144765447757824	0.00485314480333239	0.373111478368183
TSEN54	2.31147315042494	-0.0820755502318369	0.152144083454429	0.00512350711400588	0.373111478368183
SNRNP27	1.73157134232966	0.0779440395751754	0.146178161842586	0.00536076697487745	0.376175070065229
WAS	7.66210620722277	-0.487720632415723	0.429430680812288	0.0055024776280734	0.380178877348887
DAZAP1	3.4825375746862	-0.513037524431446	0.505888900786446	0.00569917891797831	0.387803220009706
VCPIP1	1.01571186524248	0.0498498952602983	0.114570702169372	0.00579524409448003	0.388454346691191
CD84	2.77892069698747	0.64407808254544	0.578362127245692	0.00593684270957738	0.392093538363412
SEPT6	18.702723630704	-0.363557630813726	0.275393985282644	0.00613567926576357	0.39789329511273
CD3G	14.9852809047391	0.308967958975937	0.206661175889372	0.00620185496724361	0.39789329511273
COPS9	6.56078088211188	-0.392115056300878	0.367420568886326	0.00649544588649151	0.409104957664893
ATP5ME	6.00757137763919	0.426929621179927	0.382070077674106	0.00655879691647123	0.409104957664893
ZNF831	1.42718902620436	0.0616889431134861	0.12532479613488	0.00667080169389016	0.410391375441927
ITM2B	22.7462894729534	-0.257007582466074	0.162886322557468	0.00711311090453679	0.420328698319404
LINC00649	1.57182724811955	0.0702441283481074	0.134947752143352	0.00699432265170781	0.420328698319404
MT-ND3	110.04396598024	0.313382576940458	0.251916530665978	0.00708416245161671	0.420328698319404
CCDC85B	5.74829547350594	-0.378181867080251	0.392558780999381	0.00728970055054729	0.423638255381397
BAZ2A	2.16764525330954	-0.0784549844686387	0.145598572529431	0.00735777865057871	0.423638255381397
FOXN2	1.58547360803358	0.0602216369870601	0.123622924651368	0.00820465111580712	0.431613576803326
GIMAP1	1.57513616886513	0.0637225493425724	0.127305902430918	0.00771858523344159	0.431613576803326
TXN	8.16244885325181	0.337559575350486	0.315515749610411	0.00815324528732068	0.431613576803326
CAT	2.68029010070279	0.0800717873124624	0.148114639970768	0.00778968232764827	0.431613576803326
SELENOH	8.05524709020284	-0.319891536096754	0.28917694018089	0.00814053993514433	0.431613576803326
IFNG-AS1	1.19180292216812	0.0398105745767888	0.107295245737801	0.00845735799570089	0.431613576803326
SLFN5	8.02762666318462	0.357205595955475	0.421445134750204	0.0084114268363977	0.431613576803326
MATK	3.12761180520902	-0.0538764849219828	0.11749999927306	0.00844345804410962	0.431613576803326
IER2	8.13606818640175	-0.122211846622935	0.24290439031256	0.00827217192861982	0.431613576803326
YBEY	1.07486549709413	-0.0532981922600362	0.117092900512948	0.00831483312015342	0.431613576803326
GOLGB1	2.89283263949596	0.0865274019854418	0.157487048752091	0.00879326590692941	0.432585369484259
MCUB	10.7696442367707	-0.338152029266266	0.369398280101449	0.00886169093577194	0.432585369484259
KANSL1	2.53233807580508	0.0918560420787402	0.167168144108879	0.00880779874002712	0.432585369484259
PITPNC1	3.91227208397739	-0.097274566117572	0.177361808397782	0.00869275156597766	0.432585369484259
CX3CR1	1.81839000759105	0.0507627727446217	0.114879022783925	0.00908239993315644	0.438233827357658
YBX3	1.36431739377684	-0.0452772099090866	0.110818193819582	0.0091725628527321	0.438233827357658
TRPC4AP	1.68890846695121	-0.0652567361236425	0.128349513131071	0.00932910367775535	0.441021101229466
ORMDL1	2.8644367049471	0.100663056861761	0.184439099182141	0.00951904958442245	0.445313038371263
S100A4	80.4464776348729	0.276907600351829	0.25243657418645	0.00963932928686417	0.446291008528938
RPS24	135.193753679195	0.149253149603599	0.0745228844265821	0.0100216658502953	0.454619205390669
KIAA1551	7.55759946286908	0.187127837377466	0.757386342964577	0.00995631264319848	0.454619205390669
NUDT2	1.15286897009728	-0.0512269325737309	0.115134991701946	0.0103506482156574	0.464847611365173
SYTL1	5.17599015311469	-0.266415539603952	0.551761153992288	0.0107745522768396	0.467806027715306
CAMLG	3.13700999477213	0.0960000029433951	0.173509752360147	0.0105294199910817	0.467806027715306
HLA-DPB1	15.2585800410765	-0.149203379287924	0.345178571722832	0.0108331834518797	0.467806027715306
RPL41	290.508858402245	0.135291511664068	0.0654577086443946	0.0107604250922675	0.467806027715306
SET	8.93502509190534	-0.271080778485356	0.443838664733219	0.0111277011694518	0.475947675733409
CCR5	1.54970157317989	0.0631576806401761	0.125973258568605	0.0115069093343838	0.478495646488128
NSMCE3	2.05367728574585	-0.0568724764121728	0.119867741628378	0.011440650588962	0.478495646488128
MT-CO1	469.091138765612	0.221160339849333	0.155687084780782	0.0113048547072225	0.478495646488128
SMDT1	6.79535770788594	-0.1889171921746	0.542683482877842	0.0117752941434509	0.485163724754475
RPL35A	94.307653026525	0.156171385865343	0.0836203153682793	0.0119458193942216	0.487715226358628
NT5C3A	2.51431619225333	-0.0837842074035435	0.15141276337506	0.0122019674884357	0.493685008924005
RETREG2	1.31723706445855	-0.0519673779107142	0.115555917946415	0.0128429273395576	0.509148484963373
TRGC2	1.7656903610075	0.0473708712602687	0.112061558503571	0.0129242768394176	0.509148484963373
CYB5B	1.69382484128342	0.066898925644793	0.129673416364256	0.012728183737846	0.509148484963373
ATL3	0.95418533444391	0.042693249214641	0.108907865007334	0.0134031579244555	0.510115103718048
MAP3K8	2.26160555598393	-0.053174874307107	0.116391105117115	0.0133810967337761	0.510115103718048
EVL	21.6154321703344	-0.238600564550152	0.214879127964847	0.0133213797421357	0.510115103718048
HMGN1	10.7853641556685	-0.241318858878354	0.240517998780892	0.0131226069007136	0.510115103718048
LINC01871	2.75531882189216	0.0482789058930694	0.112496815083001	0.0149487505678867	0.518614895649886
OLA1	3.51639866317841	-0.0988352209430625	0.174828869148134	0.0148640654139657	0.518614895649886
TMEM167A	3.12390356727082	0.0877113253095654	0.156677991434293	0.0142707706797181	0.518614895649886
MTCH1	2.49356556906196	-0.0681648365118863	0.130635763332967	0.0145259621408446	0.518614895649886
TSC22D4	5.48724628444965	-0.13184861065568	0.251578754077445	0.0148216057644814	0.518614895649886
PABPC1	36.6675562640125	-0.230010052739499	0.222700481418673	0.0148374630787744	0.518614895649886
RAD23B	3.0278524253411	-0.0709731579690341	0.13392085835422	0.0137971478857905	0.518614895649886
STRAP	4.49351002453265	-0.114546088817605	0.206246051092087	0.0151277112736885	0.518614895649886
MYL6	58.0307661052365	0.178228495059008	0.111405576869699	0.0143549018934532	0.518614895649886
SMARCC2	2.19104164306344	-0.0707925342835401	0.13360926785072	0.0147970042903294	0.518614895649886
DYRK2	0.996315844234331	0.0519642169211703	0.115470258007967	0.014996144178578	0.518614895649886
LIME1	7.46494429518324	-0.105209919169896	0.185863179382596	0.0150944255014489	0.518614895649886
GRAMD1A	1.96255375839174	-0.0657263158384332	0.12792683042225	0.0150193140245355	0.518614895649886
RPS6KA1	4.06566707526529	-0.0956049932401941	0.168283197959735	0.0154623780920561	0.522116842191156
PGM1	1.11745713702171	-0.0433488009299866	0.109212710551109	0.0153845418911797	0.522116842191156
PLA2G16	1.01190816826296	-0.0340628315052452	0.103883412977461	0.0156094450934278	0.523149387422271
FYB1	27.1932535416653	-0.196709715853545	0.145511913970766	0.015842808623318	0.523162158289126
LPIN2	2.0119202632465	0.0708947619797568	0.133572295560071	0.0158212482042852	0.523162158289126
NIPAL3	1.2571048649186	0.0497990948409148	0.113675439369819	0.0166142692894268	0.526930858582753
KHDC4	1.01961093237585	0.0396592744625282	0.106898298989847	0.0170212154748753	0.526930858582753
SRP9	8.71908420390624	-0.21358103086727	0.259585198275517	0.0172801368607428	0.526930858582753
RBMS1	3.29875831531678	-0.081050938819191	0.145727688192878	0.0162372350160856	0.526930858582753
NUP153	0.978365799241536	0.0354013630338815	0.104492329307892	0.0167547040263397	0.526930858582753
SEC61G	9.72476083854955	0.209035902149728	0.297846384337863	0.0169155633613506	0.526930858582753
METTL26	3.73596793954184	-0.109239992760912	0.192237927718321	0.0172395703701966	0.526930858582753
TOB1	1.27972709865417	0.0456956948489388	0.110741781792569	0.017120124286531	0.526930858582753
ATP5F1E	48.2329583307305	0.179493219448735	0.125231564094221	0.0173302276472227	0.526930858582753
GADD45B	2.61229104838398	-0.059972375989208	0.121757759414366	0.0173649002605761	0.526930858582753
SNRPD2	21.5768890577733	0.194378201793908	0.145985568568145	0.0168533576550867	0.526930858582753
CCT8	5.91009713228161	-0.174923077956743	0.333449893260443	0.0163767468578445	0.526930858582753
COX17	2.30610478280571	0.0694398074706984	0.131466461735909	0.0182435397888579	0.532024267478967
ARMC10	1.53582955677262	-0.0485472436951513	0.112589300668359	0.018044604385625	0.532024267478967
SIGIRR	6.4669073134266	-0.127160912569783	0.228492164568362	0.0177875045677949	0.532024267478967
VCL	1.14702385733915	0.0336508966993841	0.103589254962644	0.0179969915827079	0.532024267478967
DRG2	1.57021579174846	-0.0533591720856755	0.116214333544501	0.0181765504173108	0.532024267478967
GRAP2	2.85789011550285	0.0758751710750818	0.138912095505887	0.017897505667049	0.532024267478967
RPL27	40.6174373182882	0.179944132755144	0.131403972295587	0.0186792465197647	0.541216104001699
PIK3CD	2.17543258401549	-0.0621780148062773	0.123635987123631	0.0200558592953331	0.542983588228106
NRAS	1.36080660715804	0.0451943528574054	0.110227291326631	0.0202251233300074	0.542983588228106
GYPC	16.6678769514893	-0.177268031964625	0.282724921917084	0.0200580733687757	0.542983588228106
LYAR	12.9665749713279	-0.175570727467154	0.265022384271178	0.0210220041381241	0.542983588228106
RNF44	1.92615135207807	-0.0575901292187725	0.119502765988024	0.0210395157501311	0.542983588228106
HLA-DPA1	16.6667709323046	-0.102404150318633	0.176767503353712	0.0200181820013513	0.542983588228106
UPP1	1.62389777277353	0.0485786296365846	0.112491283329435	0.0197468274823881	0.542983588228106
ING3	1.21430185563847	0.0406756844769713	0.107390377915401	0.0211040461432727	0.542983588228106
ZYX	12.2506914833327	-0.125099556821907	0.220910266272172	0.019724153482268	0.542983588228106
GIMAP6	2.58369722023673	0.0728456185410024	0.134629729981678	0.0212381385956967	0.542983588228106
SASH3	7.24044920789533	-0.148026686659183	0.254832487162349	0.0205611399466583	0.542983588228106
SECISBP2	1.70876569256049	0.0559218604209511	0.118171379138231	0.0214001547798652	0.542983588228106
CRTAM	1.43091171765418	-0.0375122479219285	0.1055516959482	0.020264628370114	0.542983588228106
CCNT1	1.1334043402077	-0.0493754282168894	0.113089832131543	0.0193171044717617	0.542983588228106
SYNE2	10.8148831792006	0.108585434138468	0.187624117929627	0.0197254958186566	0.542983588228106
ITGAL	5.663835343357	0.124595380752779	0.213759614682902	0.0208428034176153	0.542983588228106
PECAM1	3.73432520465354	-0.0650112959072865	0.126442096375388	0.0198585291875694	0.542983588228106
EEF2	38.6990143185544	-0.198841568613138	0.176462999443963	0.0191513149045613	0.542983588228106
SSBP4	4.79445293594052	-0.10708512274342	0.184551003318301	0.0208976050513668	0.542983588228106
PSENEN	1.22448106448141	-0.0416928172214309	0.107939801127826	0.0207738414569013	0.542983588228106
IGLV2-14	1.3944994845518	0.0428438323734555	0.108597890496655	0.0213065703475283	0.542983588228106
MT-CO2	426.26216261007	0.185690091776034	0.165480585246008	0.0211347073170956	0.542983588228106
RPA3	3.13162493886634	0.0717316062265141	0.133363790260423	0.0216684180307807	0.546701490877732
H2AFY	5.36650661165235	-0.119828508614178	0.204636524755642	0.0221803611212674	0.556491630143083
DLST	1.27848622127244	0.0464222492722573	0.110928059068328	0.022497244848508	0.55984368039596
SKAP1	8.39976350597519	-0.159564574239499	0.250660002068141	0.0225632834895722	0.55984368039596
ZNF277	1.75680236559918	-0.0543551927333314	0.116630211530271	0.0229420674510036	0.562362110611145
VMP1	2.47868880781364	0.0613950558351338	0.122648313333144	0.0229168802940284	0.562362110611145
TMEM259	3.75958543557739	-0.0825752373946547	0.145695778627152	0.0230404427415833	0.562362110611145
ANKRD39	1.47318357043488	0.0545952491837049	0.116884242061736	0.0232675988510854	0.564836683460672
THEMIS2	0.981259826269617	-0.0368809404119657	0.105101319269745	0.0238267264950034	0.575300154242258
SF3A1	2.78663101859889	-0.071676242937721	0.132632265079735	0.024407300467259	0.586166772184279
ATIC	2.08161335691348	-0.0535841105511308	0.115879072595187	0.0247377246206068	0.587841766344242
RPN2	3.65196164635468	0.0756134328805666	0.137023613593649	0.0247388318501585	0.587841766344242
PRPF6	1.70065867846158	0.0482567281297208	0.112095120198645	0.0249781105087832	0.590403654183924
THRAP3	4.91288253123804	-0.0900927177207824	0.153878319154116	0.027056634745771	0.601690772715094
MITD1	2.71815179881716	0.0585801607691295	0.120028273560067	0.0268590591277902	0.601690772715094
MRPS25	1.15954671393329	-0.0380224229366696	0.105697900133723	0.0267358861986726	0.601690772715094
