""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS13	514.460077816034	-0.313188440192867	0.0320421515910395	2.74444446867971e-23	1.34395445631245e-19
TMSB4X	562.15225480913	0.490659926985459	0.0610391794294731	1.1635863526008e-16	2.84904118434306e-13
RPL23A	360.369500375206	0.318963090417066	0.0416652383446167	3.52458403942406e-15	5.75329601368655e-12
LTB	126.887502589292	0.661207860373018	0.0888115359296134	9.92032778369249e-15	1.21449612891855e-11
KLRG1	5.21139872358269	1.9911057255187	0.27699694269228	1.60206200825014e-14	1.56905953088019e-11
RPL5	317.025934969299	-0.293410505042682	0.042399880636048	1.12679122486143e-12	9.19649438024405e-10
MT-ND1	256.081613221406	0.629983595856179	0.0997447834126522	2.04963922194529e-11	1.4338690385523e-08
MT-ND3	576.505021434393	0.785528398590912	0.128900065144646	5.88058424405582e-11	3.59965263039267e-08
SARAF	99.7785511062583	-0.461906886160093	0.0747715621254293	7.90563373814347e-11	4.30154315729873e-08
IL32	132.783257911369	0.752744262927246	0.124740519458657	1.23379202815995e-10	6.04187956189927e-08
EEF1B2	203.490824326888	-0.300410590119186	0.0495891663548318	3.13718571132701e-10	1.39661803894258e-07
CFL1	85.8524527570726	0.319391108232275	0.053244737803982	3.64014316151156e-10	1.48548175516018e-07
CD52	150.702731311332	0.580418597907901	0.0989700373473882	3.98038459917194e-10	1.499380260165e-07
WAS	9.96268971256323	-0.856325263987345	0.147106777346993	4.73043624398611e-10	1.6508653183839e-07
RPL27	159.120663063665	0.317741470078462	0.0534670150214871	5.05676532075933e-10	1.6508653183839e-07
RPL27A	97.7171196257027	0.55686373559302	0.0961337597990947	5.84125920726072e-10	1.78779039612223e-07
MT-ND2	167.29724955927	0.675415056517905	0.118835878925727	7.82924102488106e-10	2.25528195875544e-07
ARHGAP15	24.2768578821708	0.693734551945809	0.124604503095461	1.43290906603149e-09	3.89830872019789e-07
LCP1	23.8240016750493	0.618566785410625	0.113025160633034	2.62687707205505e-09	6.77043001150188e-07
RPL10	1114.79578752126	-0.197356429919304	0.0344231357591132	3.80014179444623e-09	9.30464718370159e-07
LINC02446	32.9839054934668	-0.805545515254317	0.148664022770114	4.42013656415191e-09	1.03073375022152e-06
RPL32	874.715150333119	-0.157200264527253	0.0275164860923831	5.68803564430979e-09	1.26610502500841e-06
RPL35	192.922721813389	0.355919178532427	0.0659047051140937	9.14739126168848e-09	1.94759891341254e-06
RPL13A	228.476325839868	0.278711426527506	0.0517724854473092	1.61546491133352e-08	3.29622152950009e-06
EEF1D	130.47208218909	-0.309575321970265	0.0577705524165805	1.75193934602745e-08	3.43169879099856e-06
RPS27	1026.73243933807	0.44699268658353	0.0879020446041055	3.13364983810968e-08	5.90210894508581e-06
PCBP2	70.5540917663707	-0.388260162835632	0.0757160952491216	4.61689200235733e-08	8.37367412427549e-06
RPL19	655.876253725766	-0.168959619327941	0.031642981937807	4.92876460597409e-08	8.62005724123398e-06
RPS20	76.8524748836064	0.414219170611236	0.082473566903357	5.79964993540163e-08	9.79340887367647e-06
SNHG7	11.8123121471418	-0.661118237017696	0.134297309476895	6.84081020785287e-08	1.11664825292852e-05
MT-ATP8	141.629889409691	1.37708787366076	0.288664563053189	8.51361976185602e-08	1.34487728947771e-05
MT-CO3	716.55214587561	0.440256469335226	0.0899430955980179	9.88421145894072e-08	1.51259323482602e-05
PABPC1	130.712744660729	-0.380724749800258	0.0781232858308588	1.59995281537751e-07	2.37423301118294e-05
RPS5	292.254820604823	-0.246260691817279	0.0494948921360889	1.9695003934838e-07	2.7556124076829e-05
APOL6	3.81345479917431	1.07446471045271	0.232745797799755	1.93224143227528e-07	2.7556124076829e-05
EEF2	111.468801610457	-0.379952933180953	0.079409353476187	2.79964897268002e-07	3.80830028311502e-05
