""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	162.723238104777	1.21441725979566	0.165658383085694	9.08698258716233e-15	3.89649813337521e-11
MT-ATP8	83.6193730409902	1.98679790476298	0.343239307035422	2.98146574067383e-10	6.39226254800469e-07
RPL21	69.4538205090642	1.19061759651547	0.232112485010764	1.45874931486195e-08	2.08503902070935e-05
MT-ATP6	338.017305171692	0.713424583885309	0.155215496320515	2.95183029095611e-07	0.000316436207190495
MT-ND1	105.311025428787	0.636825701937168	0.141031312978744	4.42423007787703e-07	0.000379421971478734
FCER1G	7.97322525896995	2.74698537024169	0.643313545137608	7.22620463704466e-07	0.000474816489315835
MT-ND4L	216.256943062974	0.66318799406367	0.152004935858489	7.75120201774917e-07	0.000474816489315835
SYNE2	13.7864470779594	1.14637659008341	0.27610706556169	1.62022507055999e-06	0.000868440637820156
KLRF1	3.99471577766371	2.28322212218368	0.624765586141945	4.97732056687299e-06	0.00213427505907514
MT-CO3	445.803874060413	0.591173684424708	0.148287585510487	4.71368741971643e-06	0.00213427505907514
KANSL1-AS1	1.48930051085814	2.13389101345563	0.561878692439354	5.98087523221612e-06	0.00233145390870388
MT-CO2	705.597588284569	0.529464878094912	0.135629091192817	7.37156658837434e-06	0.00263410646091243
APOL6	2.78291287988101	1.17420856323082	0.310022895911051	8.4415456647407e-06	0.0027844113700314
PGAM1	21.2245701356032	-0.435940414134956	0.112432503956458	1.11298854465474e-05	0.00340892491391394
CELF2	9.93712844783592	0.66379650577196	0.179254764207212	1.42698759946845e-05	0.0040496730414998
SLFN5	5.45083985060514	1.08859079394883	0.297916832002856	1.51107203041037e-05	0.0040496730414998
MT-ND2	46.7137102910042	0.610537889780237	0.171766194849214	2.25046813366978e-05	0.00561115090925148
MT-CO1	605.359612123816	0.443725365476355	0.121264787932457	2.35542715407012e-05	0.00561115090925148
MRPL23	2.75780470067296	-1.27292758000978	0.382923562215807	2.63093749155565e-05	0.00593761050725822
CD300A	2.1493090002017	1.48695847056697	0.440651665642102	3.25590289186291e-05	0.00698065580015409
RPL37A	88.8047000721761	0.328463189847055	0.0894270020824466	3.49797341551134e-05	0.00714252857414887
XIST	5.35578832351085	1.03149034121361	0.312509021994513	3.81880633296537e-05	0.00744320070716159
NUCKS1	18.5449705411052	0.47958165072654	0.136890458481005	4.24701299973157e-05	0.00791790945341259
RHOG	10.1732899952945	-0.441368678559499	0.126049554712974	4.66422638707215e-05	0.00800008109910616
MT-CYB	276.6449745185	0.505385110168713	0.147520675389597	4.58098032483261e-05	0.00800008109910616
ACTB	873.290311625078	-0.325882471729376	0.0898043641575578	5.04494974440454e-05	0.00832028634769487
DDX17	8.90904329427896	0.629413670208991	0.189836454127714	5.72984091071959e-05	0.00909983623154281
CPSF2	1.74409788018914	1.12534726318467	0.346160623624582	6.78959882671385e-05	0.0103977856317675
RPL26	58.2239161176127	-0.5066284906608	0.155279324918605	7.62865653776363e-05	0.0112798893910105
LARP4	1.55116272181594	1.2309665348154	0.386001197991772	8.52112347857769e-05	0.0121795258253804
EDEM3	1.53823235101351	1.36477735625029	0.43014494852966	8.85387593376867e-05	0.0122469096787097
RPS7	132.733231259249	-0.237254999525195	0.0664277193169753	9.86045621200887e-05	0.0132130113240919
PARP14	2.9116279982395	1.02679107560528	0.336752136564006	0.000107986650599712	0.0140317199324716
FAM208A	2.79757642964066	0.983986989937361	0.325684638629933	0.00012079020856352	0.0152337768917757
ODC1	7.11581087294931	-0.529698362414338	0.169042403881195	0.000127736296334702	0.0156495211052343
PTPRC	44.7172871156592	0.54624692522997	0.179043153667791	0.000152195587905456	0.0168809698106206
LINC00861	6.23476017088219	0.728551101930771	0.245974334263654	0.000148962655781938	0.0168809698106206
ADAM10	3.2113633620552	0.92398089581943	0.317016258649145	0.000153534939975327	0.0168809698106206
IQGAP1	10.5299929352284	0.61687366214204	0.20824738280677	0.000146195825339503	0.0168809698106206
RPLP0	192.099312244663	-0.269642724410887	0.079995088561601	0.00017128505081393	0.0183617574472533
FCGR3A	6.14877930951434	1.54377153496385	0.566109851005448	0.000201920975471179	0.0199665453333594
ARL4C	10.4424704139083	0.664216193650296	0.231905197961253	0.000214193350124657	0.0199665453333594
