""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PPDPF	29.4700359694453	-0.685781143187025	0.116777278920615	2.37456524977297e-10	5.57547920646693e-07
IL32	109.53873285625	0.508834017890151	0.0983411900935588	1.20167854856544e-08	1.41077061601582e-05
MT-ND3	200.040690507347	0.750495490040223	0.150019435594828	2.73893729640447e-08	2.1436749239859e-05
GNLY	177.162195629633	-1.3795283973701	0.320061991371302	6.95298858776575e-07	0.0002720936200679
CD99	23.2624018654705	-0.446024721732651	0.0992474447240134	5.78642075958221e-07	0.0002720936200679
DDT	3.67282879626361	-0.99626260373948	0.226431495710002	6.65605256461911e-07	0.0002720936200679
SERPINB6	2.62673309315625	-0.913499419680735	0.212133001437237	1.01801262787322e-06	0.000341470521463761
DAZAP2	16.7866795986611	-0.43655998270072	0.108619852717451	5.00384443327564e-06	0.0014686283411664
RPS27	354.538526772101	0.333167674024645	0.0855747179180355	9.50325679473232e-06	0.0024792941060035
ANXA1	16.1022234662269	-0.633442124896037	0.171854520145946	1.12666502885954e-05	0.00264540948776219
PTPN6	5.92324895547858	0.813656921352256	0.221226279473417	1.55150247578301e-05	0.0028022521639527
RNF213	10.8294630996086	0.509958486437317	0.139889367446813	1.54590796402741e-05	0.0028022521639527
MT-ATP8	67.8833021979142	1.22194192416068	0.346526271446005	1.31513418358903e-05	0.0028022521639527
ODC1	2.80807815434805	-1.02359716225349	0.287049929220771	2.35108236065661e-05	0.0039431009877298
RPS24	138.825136101543	0.179750076947239	0.0461243130015957	2.75986402292962e-05	0.00432010715055917
C7orf50	2.48661817662082	-0.96700671638749	0.287863039760292	3.38246064982638e-05	0.00496376100362021
RBM38	4.2809091543458	-0.803940258118623	0.242859231181984	4.51724544533173e-05	0.00623911312096406
PHF1	2.96125569648474	-0.831638287833325	0.257506608636479	6.18551714491878e-05	0.00806866347570517
DENND2D	6.40774172642291	0.680103613313641	0.215056891973098	7.14043974429653e-05	0.00882408027347803
FTH1	53.9878647416794	-0.306655623721562	0.0929573934699752	8.4928207474585e-05	0.00997057155751628
CNBP	14.4177258728151	-0.344342286181447	0.107165448864606	0.000116229067895444	0.0108496330384358
CARD16	6.99217826124573	0.691164548608011	0.226222985117939	0.000113402959184868	0.0108496330384358
RPL21	88.5688750846323	0.911717300743503	0.307031164063583	0.00010610154707939	0.0108496330384358
PTGER2	4.92447058604665	-0.585700518816258	0.190065623113143	0.000117383543220496	0.0108496330384358
MATK	9.05921302195749	-0.656911930120468	0.222347163923975	0.000109074972593113	0.0108496330384358
KLF2	32.0842093034344	-0.440470705771414	0.142792429376491	0.000120140740630038	0.0108496330384358
PECAM1	2.256265721947	0.873651582307135	0.298791427345358	0.000139956070764582	0.0121709945983422
MT-ND1	102.14953548444	0.324866917691704	0.102265271218472	0.000145203119375706	0.0121763187247913
TRAF3IP3	11.5404823189985	0.406619298931218	0.135047341545771	0.000163532298809626	0.0126059862379588
ANXA2	6.55299341733711	0.570971481478071	0.19007382405292	0.000156395369934408	0.0126059862379588
SSBP4	6.15937575505583	-0.629865100675037	0.218199706192165	0.000166433378780546	0.0126059862379588
SNHG7	2.63836568479384	-0.835469355777802	0.282031614591428	0.000172927074641359	0.0126885241018097
ATM	8.10320972189467	0.583429570359737	0.19914800161763	0.000188878515069336	0.0134389925267515
HSPA8	26.2164746544275	0.347757346238547	0.118817414804553	0.000214529045920975	0.0148151235241897
ANP32A	4.68822348812603	0.519926272072418	0.184037565710607	0.000241829589630091	0.0162233107557558
COX7C	24.8021225993782	0.243704982348556	0.0794721781460431	0.00031608903570387	0.0206160293286857
BHLHE40	3.35676389373898	-0.703938248519095	0.257339140050616	0.000338803622665239	0.0215002947572427
CD27	2.58990163139223	1.21531731339305	0.558334430263738	0.00038039055933464	0.0235041324557299
CX3CR1	5.14143339431173	0.756986365867261	0.2974875452889	0.000466267533092266	0.0279963422760243
RPL35	72.0763821427112	0.222880261391037	0.0745492684828894	0.000483224151259276	0.0279963422760243
HMOX2	4.569407939834	0.459929070192954	0.176215985267017	0.000488862876199743	0.0279963422760243
SNRPN	2.85121683862127	-0.800631034426614	0.316847024271213	0.00055788974922147	0.0311886935993336
RPS29	82.3493367834623	0.525359211544114	0.217073623144167	0.000577779356451205	0.0315494402080797
RPL37A	85.0687696276554	0.211814180312911	0.0725019554438918	0.000664535907697171	0.0354620525289309
DYNLL1	6.40139559625705	0.555855958121545	0.239610656521057	0.000730988205748568	0.0373121805890791
PYCARD	4.00544371846675	0.600928547430633	0.248432332266817	0.000718651074946442	0.0373121805890791
WAS	6.64638143110152	-0.464486074265975	0.190730581143788	0.000783078301754133	0.0389354089128587
