""	baseMean	log2FoldChange	lfcSE	pvalue	padj
FTH1	1145.84218502336	-0.761003676901201	0.0824201423956662	2.10274647966522e-21	1.07849866942029e-17
RSRP1	23.8170525729144	1.09758552588089	0.147985162636013	6.88787138631636e-15	1.17759641134722e-11
IFI30	30.6579187262938	-1.49231918710439	0.199953476133954	4.65665978666932e-15	1.17759641134722e-11
MAFB	30.0060724712826	-1.06793446569675	0.14849409123424	3.98766964458284e-14	5.11318940176635e-11
TIMP1	75.7409263521331	-0.863698318157441	0.123682460880247	2.00251142034264e-13	1.90753616280308e-10
SRGN	178.940679731917	-0.772571681764365	0.110727706543439	2.23147143240758e-13	1.90753616280308e-10
MT-ND3	818.365707484332	0.977765718089662	0.142700661875833	3.45285647844758e-13	2.52995726827966e-10
ITM2B	120.611398177164	-0.398746494477039	0.0591941633871599	2.22213692849718e-12	1.42466753828275e-09
HLA-DRB1	410.901619444901	-0.616294989464994	0.0960781795146651	1.14363672715137e-11	5.86571277355936e-09
MT-CO2	1909.93085675535	0.6625197473337	0.103828060697552	1.09014687267902e-11	5.86571277355936e-09
MT-ATP8	184.433113787638	2.04320441547722	0.347215272513095	1.40837540537397e-10	6.56687041287553e-08
AC245014.3	18.1354124425676	2.20986101483248	0.379800057387459	1.82325880831185e-10	7.79291202319289e-08
MT-CO1	2074.78524673361	0.710537620552901	0.120390837604895	3.36154043716564e-10	1.32625699247866e-07
MT-ND4L	487.451340070027	0.892419034385251	0.154550825719615	4.30781579197184e-10	1.55326399998862e-07
MT-CYB	705.587895169781	0.773366438528063	0.134347394867136	4.54259309803652e-10	1.55326399998862e-07
MT-CO3	1177.78748602888	0.739257073356765	0.129223022312778	6.24569055565948e-10	2.00213417874859e-07
RPL27A	73.5011626911684	0.530293817372334	0.0951851828480964	2.06072636227869e-09	6.21733265419258e-07
CLIC1	78.3461102897846	-0.396607479123321	0.0709669986805893	3.1773003251742e-09	9.05354075989915e-07
RPL13A	132.734476074409	0.313803097321979	0.0592496572864188	2.13396616938294e-08	5.76058551724478e-06
LSP1	80.9735577402354	-0.580437889932196	0.113588168212036	2.7027081865811e-08	5.77591262040603e-06
WDR74	9.05799810073465	1.21063441618971	0.239858493334067	2.38484050359502e-08	5.77591262040603e-06
ATP6V0C	38.997083742843	-0.600677441871305	0.117553841928809	2.6047347535334e-08	5.77591262040603e-06
LILRA5	19.6397425675332	-0.667665939493498	0.130870288109692	2.6366077475224e-08	5.77591262040603e-06
MT-ATP6	867.409103680319	0.691484497417453	0.136281143800274	2.42957105643329e-08	5.77591262040603e-06
MARCO	7.73527227169437	1.06286444246677	0.216855940125917	4.66679076307327e-08	9.57438792952112e-06
