""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZFP36L2	67.7597703979738	-1.09092855198456	0.145685049276076	2.78309447173633e-15	4.82866890846253e-12
FTH1	62.3078100692836	-0.956455770275655	0.14705166225803	3.38241190828657e-12	2.9342423304386e-09
MT-ND3	195.847391574171	1.0144750923932	0.174025488119972	2.96266245149178e-10	1.71340645111275e-07
MT-ND2	55.8076285996219	0.661706558877227	0.128312751397515	1.75629532920579e-08	7.61793099043012e-06
JUNB	39.0136152570252	-0.96730415582441	0.198120278560464	5.97288647285413e-08	2.07259160608038e-05
ZFP36	24.0339864932507	-1.23206294646299	0.258291056554095	9.8353457987147e-08	2.84405416012833e-05
RPL27A	29.8194465378323	0.714875922051958	0.151479848079993	1.81308489286825e-07	4.49386041303773e-05
RPS18	175.440541300186	0.396869020079171	0.0858252761662056	4.43863442602784e-07	9.62628841144787e-05
PCBP2	22.7829830608958	-0.511110196617273	0.120933114162107	1.53407913347836e-06	0.000295736366287217
MT-ND1	93.8848944564413	0.58573525463162	0.146181755727381	4.12087532814154e-06	0.000714971869432557
MT-CO2	399.604860737647	0.458460111491353	0.115936672345106	6.33219905000655e-06	0.000998760486523761
GADD45B	4.45330837239857	-1.10268853048718	0.291806062610425	7.62047552558272e-06	0.00110179375307384
SARAF	22.0374379929692	-0.433853841731626	0.11221997585165	9.38835571464751e-06	0.00118395499805125
BTG1	45.2965971188105	-0.430053693462231	0.11190205753962	9.55352736179679e-06	0.00118395499805125
RPL21	61.5075035801891	1.21623442448197	0.330813125994675	1.16152220827476e-05	0.00124449769429307
ABHD17A	3.67051529955371	1.12346937194026	0.306229356149727	1.219392553486e-05	0.00124449769429307
MT-CO3	277.744683135138	0.566729586904242	0.151198582101321	1.20928103727427e-05	0.00124449769429307
MT-CYB	224.396787458376	0.489172929280928	0.131802222596737	1.57254978269373e-05	0.00151576326276312
MT-ATP6	246.088868015152	0.570434227751669	0.156611121085763	1.7765020551091e-05	0.0016222268766391
SRGN	24.7096155034601	-0.503799317482442	0.13665963646567	1.90866980554087e-05	0.00165577105630671
RPS27	280.860657622475	0.329979578738708	0.0896042138681189	3.14036722737176e-05	0.00259454149499524
DDIT4	10.8613228295234	-0.833658818744905	0.250893160074204	4.21300253896547e-05	0.0033225270023205
