""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL39	421.40860755691	0.485388763029528	0.0746556307040851	7.17085686253634e-12	1.1939476676123e-08
MT-ND3	360.080680307094	0.9144132267509	0.1489423396137	3.91826362707107e-11	3.26195446953667e-08
RPS20	47.970838914024	0.667107795427698	0.111707667427543	1.65666045252791e-10	9.19446551152991e-08
RPL23A	206.690707381212	0.393072197922909	0.0686139910484162	1.13959108905085e-09	4.74354790817418e-07
LAPTM5	55.8898984169028	-0.633621451693166	0.113014439972915	1.85317186137097e-09	6.17106229836534e-07
RPL37	296.056155647182	0.408500170672465	0.073065209583314	2.42802099968498e-09	6.73775827412583e-07
RPL37A	142.404411033391	0.45653486504797	0.0828606834933119	3.05705300017952e-09	7.27141892185558e-07
HLA-DPA1	122.261664842935	-0.545271224925675	0.104217067022127	1.19642466064235e-08	2.49005882496189e-06
HLA-DPB1	119.653322220817	-0.643601240940954	0.124311612748114	1.62042469995666e-08	2.93419231463542e-06
RPS6	243.755467362254	0.32912502982371	0.0622389960686937	1.7622776664477e-08	2.93419231463542e-06
RPL38	65.7025202410052	0.556587668651277	0.109634686668558	2.97985062942673e-08	4.51041027090501e-06
RPS27	542.025661005252	0.580436735187966	0.11589572795142	3.51150241288301e-08	4.87220959787517e-06
RPL35	107.675646309643	0.349096239395665	0.0686744064198383	5.15056654410897e-08	6.59668715072418e-06
RPS11	78.9155053086928	0.359391720653427	0.0742990789838467	1.44082522929937e-07	1.71355286198817e-05
RHOA	28.6763727667933	-0.468040860690924	0.0995738855114949	2.26530705478719e-07	2.51449083081378e-05
RPS18	362.520550171088	0.38887727234406	0.0826668773918962	2.6828603091576e-07	2.62762494985141e-05
RPL13A	144.189086840675	0.327289115077281	0.0688015309305847	2.54014735914699e-07	2.62762494985141e-05
RPL27	91.8954393949149	0.370281596885256	0.0791005547414942	3.39804204127627e-07	3.14318888818055e-05
RPL21	142.213863675824	1.21733338155783	0.293087793238611	1.11053924547821e-06	9.7318307564275e-05
HLA-DRB1	129.21366761306	-0.587439878261727	0.138465856838945	1.51740836842157e-06	0.000126324246671096
RPS23	373.000496075393	0.274965723263922	0.0618054995682786	1.62028973279103e-06	0.000128465828814146
CD74	1025.69025814617	-0.35229194088535	0.0814838189101818	1.89034435168174e-06	0.000143064697525005
RHOB	7.02347104252582	-1.72793741416471	0.413273199197295	1.97713250142089e-06	0.000143127200646339
LSP1	37.7072460499689	-0.432211444233476	0.103612435633063	2.55555099397041e-06	0.000177291350206697
RPLP2	242.925351774196	0.266803774554696	0.061944749300346	2.93496766374326e-06	0.000187950813851251
APRT	11.9524464461543	0.786266464187703	0.200305676179273	2.8597668856293e-06	0.000187950813851251
LTB	99.4822115458728	0.607520916827425	0.154210875940966	4.26240829354452e-06	0.000262848511435245
TAP1	5.09555972327374	-0.797217294970178	0.205255158184496	4.74453073209263e-06	0.000282130131033365
RPL23	33.8921901279109	0.420088498605409	0.104942226865562	5.37198365842916e-06	0.000308425958320157
RPL27A	62.3152969141628	0.454403645982183	0.114825209626525	5.82633731939693e-06	0.00032336172122653
SNHG8	9.53699349230781	0.729549602055807	0.191656766900989	8.80693947947394e-06	0.000473017878494326
RPS29	129.598973289714	0.740169932129049	0.199983873962583	9.24500727171437e-06	0.000481029284606388
KLF2	46.9941687092114	-0.710296932217492	0.18769380082191	9.55736630847034e-06	0.000482212572836458
RPL22	115.380918836831	0.254641867060032	0.0650228371802237	1.76007571933108e-05	0.000807156647947173
FCMR	21.1730157645817	-0.534711536901197	0.147412062846628	1.76573201891124e-05	0.000807156647947173
TSC22D3	52.4109155924308	-0.717450548894915	0.197459438351273	1.86249321497129e-05	0.000807156647947173
RPL17	19.7872575692219	0.563150488585941	0.15693312619398	1.89063719338977e-05	0.000807156647947173
ZFP36	20.8738737549723	-0.808536860409486	0.224150371176548	1.81959615300106e-05	0.000807156647947173
HNRNPUL1	6.23587037549666	-0.694347140423819	0.19472665357249	1.82451617547743e-05	0.000807156647947173
TPT1	256.431344431298	0.334998515375457	0.0935095519239749	4.02776679311853e-05	0.00167655792763559
MT-ND1	168.225896343601	0.454657847693247	0.133627077501022	4.47948525237412e-05	0.00181910803541534
LY6E	15.3232911601338	-0.548007146303852	0.163040805900928	5.08762016694188e-05	0.00197266219248514
RPS24	214.99343202138	0.222987287911098	0.0600311647191888	5.09456301963129e-05	0.00197266219248514
RPL32	394.967727921043	0.214921362080956	0.0597198056338172	8.69038379017372e-05	0.00321544200236428
BLOC1S1	3.74123625418325	-0.974035751138013	0.324642207115828	8.60268762444212e-05	0.00321544200236428
SH3BGRL3	66.766989835795	-0.326468785223183	0.0971692372984224	0.000100186888430171	0.00362632976600511
RPS21	194.812275127381	0.361107843840846	0.110746204209498	0.000111250429065031	0.00394110562538888
PPDPF	36.9092544172862	-0.344691383118558	0.103861098118199	0.000114757727176681	0.00398065866144111
MT-ATP8	98.7655617034551	1.02354419565252	0.359007033845419	0.00012140464096938	0.00412528014722484
AIM2	6.65622470003765	0.834184644723143	0.281159967619847	0.000126664147135398	0.00421791609960875
TRIR	19.6441782483353	-0.369396685074753	0.116302865310475	0.000135746964398032	0.0044317391318181
RPS19	282.532466783196	0.221279962892365	0.0642500370126717	0.000145912010688413	0.00467199034223477
MTDH	12.3128276016621	-0.45966313647246	0.151804908495163	0.000163324998431019	0.00513087023372919
CYB5R3	4.31929362791874	-0.718290225950843	0.25915526223881	0.000208733885875686	0.00643596148116698
MT-CYB	373.348656198712	0.357222713764142	0.118252806433678	0.000232074495199997	0.00702552790014536
RPS28	301.183248072273	0.248685564477182	0.076741997058085	0.000238474323757113	0.00709035266170703
PCBP1	29.3486466613027	-0.307405794128671	0.0999443841812786	0.0002763802526562	0.00807321264337847
RPL41	724.274733656288	0.175440425032596	0.0521784423000137	0.000285973499266514	0.00820941165997838
RPL34	346.455623393771	0.245912908417309	0.0772928488850337	0.000297048958709639	0.00838282230934829
CIB1	15.6071125377681	-0.586657433720187	0.218127367665051	0.000329875272539058	0.00900397260291035
