""	baseMean	log2FoldChange	lfcSE	pvalue	padj
IGKV4-1	530.061820450885	0.0266035401198624	0.126538025232976	3.32560864102175e-11	6.2521442451209e-08
RPL21	66.0184503684363	1.31762693919504	0.301468354970141	5.10972175724385e-07	0.000480313845180922
RPL37A	114.486738545655	0.41817325209954	0.0969270100784382	1.38360548495952e-06	0.000554844855670485
RPL9	82.1528597397029	0.420105442865283	0.0970380149438264	1.47565121188959e-06	0.000554844855670485
RPS18	222.265579557297	0.495163463234644	0.113588354588407	1.07093300123516e-06	0.000554844855670485
RPS23	177.497292570729	0.372531557759025	0.0901114193541739	3.78052274887563e-06	0.0011845637946477
RPS27	173.478655181333	0.635147572003336	0.162460275990614	4.82259173411533e-06	0.00129521035144812
SGK1	3.66174942386639	-2.16519601569679	0.58299651341665	1.05164537975207e-05	0.00217694190037808
LRP10	5.18010628476725	-0.993918665864432	0.269127050008041	1.11436204551869e-05	0.00217694190037808
RPL23A	111.634589585081	0.336599848212596	0.0867430815329595	1.15794781935004e-05	0.00217694190037808
P4HB	46.0939129017099	-0.701529166289503	0.196254429845123	1.82145025264837e-05	0.00311302406816267
RPL27A	39.0845797379318	0.535714271677469	0.149349574935573	2.20826609143375e-05	0.00345961687657955
JUND	3.76778106632961	-1.01311439068349	0.295478531116733	2.81427761470989e-05	0.00406987839665738
RPS24	178.433352408116	0.294202709203355	0.080606894550683	3.28279779516484e-05	0.00440832846779278
MTRNR2L8	7.41653844259054	-1.73952001640512	0.556271051749326	4.7049455579906e-05	0.00552831103063896
RPS25	102.508703582802	0.283799932111234	0.0787984916152455	4.53796922963652e-05	0.00552831103063896
RPS6	145.221033689869	0.361732898950172	0.105530787289614	6.11321643269366e-05	0.00676049817262592
CRIP1	17.8823726725315	-1.51470005856523	0.517691178221346	9.29228557481409e-05	0.0092878549516412
APRT	10.827807033306	0.589072000242303	0.18940174552946	9.38666191921185e-05	0.0092878549516412
IGLV3-1	54.5031215502869	0.00522460621840898	0.122122733051642	0.00010884495233956	0.0102314255199187
PPP2R1A	5.37478370665164	-0.699876937972359	0.235494475528948	0.000148139329013638	0.0132619970736018
RPL37	165.753775651178	0.346218207312116	0.111490140691707	0.000171576768722271	0.0140245358781683
NARF	5.48652465732939	-1.16094200573404	0.403111292510285	0.00016983730955204	0.0140245358781683
ADIPOR1	4.26565720700193	-0.722880238453875	0.25244952456691	0.000195107276768859	0.0152834033468939
UBE2A	4.0665388620177	-0.769630311666329	0.271446618147194	0.000225669385707596	0.0169703378052112
RPL13A	73.7432949198033	0.34283834168548	0.113176385000749	0.000250806845625152	0.0181352642221264
TOR3A	8.16536046072296	-0.83220277638497	0.309326704086504	0.000285047582102769	0.0198477575686372
RHOB	4.75570371564074	-1.35769358693352	0.503236249505236	0.000305426465379537	0.020507205532626
HSPA5	94.1618589965173	-0.665675625595076	0.255563908947706	0.000348724747617029	0.0226069836386212
RPL3	135.405481242645	0.249486020411354	0.0812059685690115	0.000386115032820402	0.0241965420567452
MT-ATP8	108.784772955288	0.984021987614501	0.39082850269726	0.000429477850637641	0.0260457535225408
LRPAP1	10.9233378904321	-0.650762033493774	0.261446972412728	0.000524451657178692	0.0308115348592482
TXN	28.0717344513234	-0.453323198401728	0.177318819035035	0.000561519279686318	0.0310880699554025
ZFP36	12.6801921863032	-0.712114392966976	0.297792874137645	0.000562231052384938	0.0310880699554025
PIM1	4.15704282563465	-0.89574460128742	0.374146554499404	0.000601439545363773	0.0323058955795398
IGHG3	41.3104934788036	-0.0350871789330616	0.128266221818962	0.000627912857352681	0.0327910047728622
VOPP1	15.3318772583222	-0.425071042856783	0.166051688457876	0.000699203765233457	0.0355271102334837
ITM2C	63.30494683912	-0.498476240530452	0.205029097999633	0.000791813357861828	0.0391739240205325
SRM	21.4528853018605	-0.516976015267919	0.222162461576422	0.000953998965575107	0.0403528451244466
PABPC4	8.47758871822841	0.569749858648807	0.252566091600153	0.000883741692452907	0.0403528451244466
RPS20	18.3490627908432	0.481445245025084	0.198824675436495	0.000847060541709032	0.0403528451244466
SLC7A5	3.77462664348419	-0.927431322921182	0.425639805653203	0.000960886358674123	0.0403528451244466
LIME1	11.1235394188897	-0.526037936776075	0.227618243561034	0.000943332873733672	0.0403528451244466
RPS19	212.849276149677	0.235601567106747	0.0831834307234644	0.000889164872677475	0.0403528451244466
RPS9	88.6272654555664	0.29642675832274	0.110952253598255	0.000965892569468137	0.0403528451244466
RPL24	79.6595209732156	0.239796607421771	0.0868330257042805	0.000989243099726596	0.0404299353801304
PRKCB	5.08527830741336	0.868321573876004	0.406785868384453	0.00102678668262527	0.0410714673050107
TXNDC5	46.9541036879643	-0.66698840090847	0.300326181164209	0.00106302755860831	0.041635246045492
NUDT4	3.71494294972126	-0.649310190332411	0.301139732263769	0.00119992564723165	0.0454237490992803
ZFAS1	7.94176413287321	0.58590367823544	0.27280005597292	0.0012080784334915	0.0454237490992803
SSR1	19.2615120084747	-0.465460115077274	0.212486869487408	0.0013073534436645	0.0472658552709472
RPS29	62.7979659381506	0.538223748354327	0.251899544967341	0.0012957931617133	0.0472658552709472
PIM2	26.8492191095	-0.61715601277829	0.300706470440289	0.00136531536384828	0.0484300544157504
GABARAP	16.8819746810931	-0.395739612561765	0.17611688364629	0.00160287377225016	0.0558037535524131
SLC52A2	4.22888109075048	-0.637984842092224	0.321451546159993	0.00172145844099797	0.0573889909591531
DCTN2	5.0331789447011	-0.523228518782096	0.249552666697573	0.00173998536418709	0.0573889909591531
CTSA	3.97906225780682	-0.679100874533295	0.34841067071847	0.0016825239601978	0.0573889909591531
TUFM	16.5890207397364	-0.349311737346308	0.155262016787839	0.00190110942776885	0.0603650535846349
IGLV6-57	283.838154115591	0.00111564097514525	0.121891365728658	0.00192654426333941	0.0603650535846349
DDT	7.90057135177703	-0.507739444348822	0.2527462412459	0.00186356518625561	0.0603650535846349
SLC38A2	4.96315063760082	-0.587825373788044	0.307486288154988	0.0019695695381756	0.0607014874060677
TUBA4A	6.68018642486183	-0.627056179154317	0.326442156620908	0.0020904235793773	0.0623808941147511
KRAS	4.23475941572178	-0.59399447709919	0.3073480126432	0.00208911179180693	0.0623808941147511
RPS11	49.7858592800411	0.26320524727252	0.109696604443202	0.00214545722368635	0.0630228059457865
CTSH	13.2754173949131	-0.530669971645394	0.281993752485537	0.00234015601859863	0.0676845125379297
LRRC59	11.3547486213959	-0.403550848467069	0.196630164316846	0.00241510333818173	0.0687938526633584
ARPC5L	7.67915125342241	-0.522796404140105	0.289836189454525	0.00245356165301174	0.0688462075770459
RPL35	96.6959008263327	0.20013444843248	0.0785014752823959	0.00250734615069731	0.0693207465192787
REX1BD	6.24374451585019	0.432238478528424	0.228141047873296	0.00293100750885639	0.0798593350239132
NDUFAF3	10.276853252821	-0.355363727771828	0.178738357166502	0.0031646847701011	0.0804000995647307
NEDD8	8.92573702916121	-0.382223103610566	0.193773532691503	0.00308063640516077	0.0804000995647307
RPL23	24.0529690321317	0.352844809465134	0.179608194496844	0.00315297642609931	0.0804000995647307
RPL27	60.9978820786358	0.220993986275593	0.0917486829737772	0.00300848661407603	0.0804000995647307
APOBEC3B	4.33541142492928	0.134363004246019	0.26443637647412	0.0031178936097688	0.0804000995647307
