""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-CO3	442.230563004146	0.625931007035486	0.0953886763614414	3.11539487049721e-12	4.59053434167764e-09
MT-ND3	266.899386560033	0.844549108837808	0.128569231747414	1.85538954419969e-12	4.59053434167764e-09
MT-CO1	725.939564974323	0.560773502271274	0.0863728360159551	5.73322984401523e-12	5.63194278343763e-09
MT-ND1	128.995955903964	0.607198391648722	0.0974685750831476	2.80906011794922e-11	2.06957504189908e-08
SARAF	62.6280851618712	-0.416216185641254	0.0677617539644074	7.16182880231426e-11	4.22118189608402e-08
RPL5	140.861598554242	-0.319970976823261	0.0540943582449167	4.02411218340857e-10	1.97650976741751e-07
RPS13	218.379193271688	-0.317111656061301	0.0547455530552836	8.07145251194038e-10	2.97332131908604e-07
MT-CYB	331.360940493719	0.578654737371058	0.101555313913922	7.27829394201407e-10	2.97332131908604e-07
MT-ATP8	90.0168521866661	1.69609081306738	0.310635563037309	2.21378535731271e-09	7.24891716444507e-07
ZFP36	17.8366494866418	-1.14677053603679	0.213186034382814	3.49684495831036e-09	1.03052020921406e-06
MT-ATP6	383.905399124822	0.544635566464417	0.105373150275296	1.61184948781226e-08	4.31829130962066e-06
IL32	237.076651952876	0.565647892106601	0.111398741000524	2.47470777010125e-08	5.90860362820362e-06
MT-CO2	679.988764045319	0.486446929317368	0.0958642663240852	2.60644204841015e-08	5.90860362820362e-06
JUNB	68.9134621687081	-0.851033182979127	0.171016584400976	2.86932105662667e-08	6.03992082419914e-06
RPL11	329.331409355686	-0.24732466990172	0.0474404556570891	3.31051784652912e-08	6.50406406248089e-06
H3F3B	85.7845340920366	-0.324902337085995	0.0672295537617442	1.53547277185784e-07	2.71654377276843e-05
MT-ND2	66.2730655172996	0.591311188498438	0.128913433552351	1.567059522805e-07	2.71654377276843e-05
RPS7	216.379854862552	-0.241791715993347	0.0494139703709622	1.85358375928428e-07	3.03472852145043e-05
FTH1	122.826534427104	-0.406652201824084	0.0867805990793976	2.37286170096077e-07	3.6804333856481e-05
RPL30	381.071551650053	-0.238009287644867	0.0497157982114698	3.19996324105076e-07	4.7151458356883e-05
RPS15A	380.953256763395	-0.266110718481208	0.056776285013793	3.82480714320972e-07	5.36747935763764e-05
RPS8	337.953070749315	-0.316079654844092	0.0683592627713672	4.1134051686354e-07	5.51009319634932e-05
RPL10	517.476609246945	-0.330026648967368	0.0726801364840786	5.97138502681719e-07	7.33236319751261e-05
DDIT4	8.93249412571945	-1.08488006576243	0.249901968334402	5.87251219916285e-07	7.33236319751261e-05
STAT1	11.6224453733903	0.827373287786236	0.18909548455272	6.77267707930917e-07	7.67656898181697e-05
MT-ND4L	259.002378985171	0.457793793907438	0.103252216285793	6.58863132949755e-07	7.67656898181697e-05
EEF1D	75.4557286006581	-0.32061631696249	0.0715910901262835	8.3880586587011e-07	9.15541069155264e-05
RPL18	216.956310719269	-0.234447143354394	0.0523169546714298	1.4292564142691e-06	0.000150429237601823
RPL14	189.646817247825	-0.192869422525263	0.0427400998614519	1.69703824798824e-06	0.00017245419713177
RPL37A	129.53852476272	0.31028238930589	0.0715494106227852	1.79352105607171e-06	0.000176183551741445
CCNI	36.5187768276467	-0.394333425935741	0.0938662340596363	2.31070680466421e-06	0.000219666224301466
