""	baseMean	log2FoldChange	lfcSE	pvalue	padj
FTH1	858.045224726628	-0.58507569439359	0.0705241531052362	7.88518023159576e-18	2.97902109149688e-14
RPL27A	121.800852918013	0.621524035002899	0.0927888984806113	1.73333698145643e-12	3.2742735579712e-09
HLA-DRB1	910.417520387783	-0.660302034424515	0.10322838813241	1.27401163664278e-11	1.60440532107881e-08
RPL13A	231.715463352817	0.37793269061508	0.060839086266469	6.79852578946864e-11	6.42120760815313e-08
SARAF	61.0726433682099	-0.482200894518572	0.0818127171431957	2.99807449029544e-10	1.8877875707227e-07
RPL21	239.974765336007	1.29987182312009	0.224657596371179	2.78632520216461e-10	1.8877875707227e-07
LSP1	169.671739281033	-0.404583318671793	0.0682823479375786	3.95599348601647e-10	2.13510619859575e-07
MT-ATP8	199.013808557965	1.87140076774333	0.330222637041907	5.65946064872643e-10	2.67268029136105e-07
RPL35	251.317516626724	0.295467513706321	0.050532151401237	8.21583917535484e-10	3.44882671161006e-07
MT-ND3	617.563546504326	0.805884813881465	0.1441088451544	1.07897000110408e-09	4.07634866417121e-07
LGALS1	222.498727922458	0.45327911583448	0.0836041305002127	4.48136413773152e-09	1.53914488294088e-06
CXCL16	7.68062558682765	-1.12710027333645	0.21215840062845	6.1914506661851e-09	1.94927505140394e-06
NBEAL1	5.13674057928511	-1.43906956752115	0.271001432883254	9.17253575148708e-09	2.4752742906513e-06
MT-CO3	1176.63194529465	0.591524875445628	0.112547055804062	8.78988770310966e-09	2.4752742906513e-06
MRPL33	21.8301745790728	0.668905680908069	0.128043461435246	1.39738334219483e-08	3.29957141675755e-06
RPL37A	325.750855694184	0.386393044053373	0.0732553135071469	1.38878046802703e-08	3.29957141675755e-06
TAGLN2	132.065253051609	-0.551066971474259	0.107126543547018	2.46050234142254e-08	5.46810461523198e-06
H3F3B	251.155008550014	-0.281314883281274	0.0540750789465358	2.8765824677837e-08	6.03762697960378e-06
CFP	70.6107593004119	-0.523400934181573	0.102895128834169	3.35171036983706e-08	6.66461146170758e-06
RPS20	68.2300647556505	0.490936590815482	0.0972257184877524	4.0615203958242e-08	7.67221202771192e-06
IFI30	23.5820150749097	-0.920682239801246	0.190596246883946	5.04247052292997e-08	9.07164458839497e-06
RPL27	191.140973488025	0.230100648350245	0.04458452767915	6.45338474975579e-08	1.07337452392483e-05
CYB5R3	13.5328255716164	-0.755722028280554	0.154024324837452	6.81868411175115e-08	1.07337452392483e-05
MT-CYB	783.792405765466	0.513646549137107	0.104970792110166	6.60590800746048e-08	1.07337452392483e-05
SYNGR2	54.5675026847682	-0.434288159105981	0.0882366588042668	7.37920046101029e-08	1.11514477366787e-05
MT-ND4L	626.209907818633	0.581590882862653	0.123850191308518	1.55682858625316e-07	2.26219169187095e-05
HLA-DPB1	676.105639254967	-0.487243182873657	0.102634686411428	1.74473191721441e-07	2.44133229008743e-05
RNASET2	50.9956480393579	-0.47187213524049	0.100600064771324	2.10044899379465e-07	2.79806391326118e-05
POU2F2	23.1923353939851	0.631380107889234	0.136789294333068	2.14779919228624e-07	2.79806391326118e-05
CST3	1121.21988206077	-0.408504849082329	0.0867611994344881	2.46524189876995e-07	3.10456129785096e-05
MT-CO2	1780.85861417838	0.448689322961905	0.0961970596815902	2.82400093325097e-07	3.44163726639424e-05
CRIP1	19.8003047223471	-0.714848613896378	0.157808647518149	3.2860430190489e-07	3.87958453936461e-05
RPS18	649.201820926393	0.293990513361199	0.0638956384537324	7.01253660557179e-07	8.0282919078334e-05
CD74	3695.11681546422	-0.297848431512265	0.0657953726741573	8.57954295811305e-07	9.14527604355852e-05
CDKN1A	14.5846256933851	-1.07951331080925	0.255074352428981	8.61829769381281e-07	9.14527604355852e-05
MT-ATP6	872.886477764281	0.497629768984576	0.113393680301269	8.71439750047927e-07	9.14527604355852e-05
CYBB	19.3350499788838	0.704496072139261	0.165993259034258	9.76260099563156e-07	9.96840717878272e-05
SNX3	67.9788815241142	-0.611704005488527	0.142986307478436	1.1844669156421e-06	0.000117760947560417
CD55	13.8435231053385	-0.704867367115619	0.168024419789861	1.3678451666768e-06	0.000129192975992624
VIM	601.642887889999	-0.373403967382845	0.0855986043877791	1.36691303856004e-06	0.000129192975992624
MT-ND1	377.950356908471	0.469765398031752	0.110678847064172	1.62703684696172e-06	0.000149925492873693
HLA-DPA1	796.0635328565	-0.433578340417342	0.102011744904622	1.91117362965348e-06	0.000171914618400734
RPL9	318.574957941372	0.202547853765436	0.0454246352748233	2.41346227412026e-06	0.000209512067783364
AL133415.1	8.54317758100688	-1.04425397791306	0.263100529174409	2.44005584501535e-06	0.000209512067783364
PABPC4	11.4888129084481	0.747168714677332	0.184351654970797	2.69961990471306e-06	0.000226648088889021
MTRNR2L8	12.9644479952794	-1.50519728112363	0.387540452812566	4.20675751745315e-06	0.000345502823933435
FPR1	10.6444609932247	-1.18957981760739	0.31811996674263	5.58437377662411e-06	0.000448888598469912
NME4	7.39135892208699	-0.853965561604197	0.223707355991625	6.0406227744462e-06	0.000465744343711382
ZFAS1	39.1337476267037	0.455627155063862	0.116782949804784	5.97919380782483e-06	0.000465744343711382
IGSF6	43.3288738295348	0.445282950988802	0.116960582139096	8.65648555398667e-06	0.000650779235551505
APRT	40.6598063132634	0.474360479585149	0.126894501650807	8.78500291506796e-06	0.000650779235551505
MARCKSL1	9.5814706437179	-0.873729721144848	0.234895837671456	9.54952845010129e-06	0.000693809970855436
HLA-DQB1	332.31537633605	-0.456226584323001	0.119980399464199	1.13248998998581e-05	0.000792323552253039
ANXA2	124.264624088162	0.345182468412863	0.0884237130525041	1.12789154808404e-05	0.000792323552253039
NET1	5.16080607030319	-1.46501900991685	0.3984624850071	1.281273285258e-05	0.000880118267582677
RPL31	159.65615216925	0.199547763162236	0.0490223834444822	1.34652450373908e-05	0.000898517822125641
HLA-DQA1	338.417201996972	-0.54404048860884	0.146822557025006	1.35562508896669e-05	0.000898517822125641
RPL38	126.386362576996	0.369692397306548	0.0974779688860102	1.42939702857377e-05	0.000931079650681329
S100A6	495.953751481213	0.271696206814431	0.0694580985894731	1.47238244330688e-05	0.000942823876409047
RNASE6	29.0474384915534	-0.499223479711675	0.133989106029843	1.58619655334329e-05	0.000994312170646257
MT-CO1	1975.34181396689	0.353547551861692	0.0935878224352217	1.60542727393917e-05	0.000994312170646257
PCBP2	142.204381689039	-0.304058238551609	0.0790770425228036	1.76394557673688e-05	0.00107486877240515
LST1	85.3724894305288	0.339161155131218	0.090029260998195	1.88242060157143e-05	0.00112885476710109
ATP6V0C	34.4610162547792	-0.491201240533815	0.134228651510599	2.04121312921998e-05	0.00120495362534267
RPS6	494.409880144026	0.217318743383591	0.055203124413113	2.16977566532538e-05	0.00126114037901527
RPL7	189.231291899947	0.187738779255688	0.0474887065365565	2.22405559638746e-05	0.00127310333987149
LGMN	4.2769058253606	-0.979014197160893	0.280545372378542	2.37975797495764e-05	0.00134189934767014
CAT	26.3419475248175	-0.37241620013086	0.101995282920675	2.46471165040324e-05	0.00135432677116926
ZFP36	119.836302007752	-0.585618788526876	0.165934975635346	2.47349251484062e-05	0.00135432677116926
MGST1	9.98265970195008	0.887356767887517	0.266706684528754	2.67376543004781e-05	0.0014430693992458
TOMM7	73.8719152806324	0.316717498463199	0.0859252184525407	2.82366640673486e-05	0.00150250868797807
SYNGR1	4.30067332018995	1.09379830185431	0.313528985756485	2.98417202727563e-05	0.00156586137764546
RPL22	301.16846437609	0.184771382075545	0.0478655395661417	3.44886377783641e-05	0.00178490511680356
CPNE3	15.9574356254548	-0.763418395452354	0.223334997266841	3.50763545152567e-05	0.00179079009944108
DUSP2	21.2521452016283	-1.35002831420432	0.408173865040055	3.62581204835558e-05	0.00180381736159706
LAT2	15.4136835143512	0.517935481490427	0.148410820079489	3.67638795243445e-05	0.00180381736159706
SRGN	179.997280704405	-0.358514785858176	0.101040764857682	3.67122761286117e-05	0.00180381736159706
ACTB	2238.19458409019	-0.229993871166309	0.0615133318803271	3.99328782291011e-05	0.00193418479422492
SPG21	19.8716751688039	-0.404697804324719	0.117854230231691	4.17794146821231e-05	0.00197902665199429
CCL5	7.24571276723054	-1.62624104495104	0.485439955597419	4.19063346107844e-05	0.00197902665199429
CARD16	46.0925789726869	0.4336370613928	0.12687948312002	4.31409896444067e-05	0.0020121809737848
RPS27	611.919775090119	0.331027430481617	0.0954299140999789	5.49278948420986e-05	0.00253070227699327
PCBP1	102.802864334293	-0.270739353955554	0.0757254291941264	5.8145312974504e-05	0.00264666255924911
MGAT1	17.7503420767879	-0.425232724170384	0.127361250253169	6.23357482242097e-05	0.00278503762499876
RPLP2	413.15246906463	0.151234293138195	0.0396990602346041	6.26596607000779e-05	0.00278503762499876
MT-ND2	176.394037314663	0.385424812958664	0.114576127559327	6.37640582479906e-05	0.00280116990768498
UCP2	54.363551850314	-0.366981316261787	0.109398764758479	7.56348396321993e-05	0.00324714118330056
RPS11	174.721912007041	0.216787753269419	0.0601803509288829	7.54265469991868e-05	0.00324714118330056
CAPG	51.7576923333527	0.376013788362907	0.112447826048815	7.65478605542722e-05	0.00324941367611281
DPYD	17.527704956786	0.590823988981536	0.191316873869319	8.45712710211786e-05	0.00351110177931882
ERAP2	5.79887647127649	-0.996524515944019	0.328602987129789	8.39248419815133e-05	0.00351110177931882
HSD17B11	11.0702387873986	0.812498154606898	0.272123678392025	8.75430831145393e-05	0.00355632008609386
PEBP1	26.5221813253081	-0.325703019691703	0.0971697982712023	8.70048881020517e-05	0.00355632008609386
VMP1	11.2933257197864	0.715121324486092	0.228350326570831	9.0824706999223e-05	0.00365038024513898
NKTR	13.1069490492594	0.609950554333079	0.195586355022086	9.49879427338517e-05	0.00377752050156307
RPS25	337.254577970839	0.162194933178828	0.0443604468008365	0.000104130775352417	0.00409797988834825
REPIN1	8.08411064088947	-0.658421158742492	0.209766264351888	0.000106472250570143	0.00414692951189692
RPL23A	304.056224612387	0.188290498399422	0.0525574530613921	0.000110608688612056	0.00426407781200356
HNRNPA1	135.214968442015	0.21406871528042	0.0615364768902259	0.000119877076316529	0.00448411479528561
UBL7	11.1756507655627	-0.486082125848545	0.158640090995688	0.000119759358226547	0.00448411479528561
SNRPD2	53.9172711052068	0.261557916249917	0.0768747520255917	0.000118401661482184	0.00448411479528561
GADD45B	24.5844189847334	-0.520890842700541	0.171772680880923	0.000127782667881574	0.00473296979663321
LILRA1	5.95230425348796	0.767788645176535	0.254304121533044	0.000130733645915671	0.00479525936183889
JPT1	12.4971819257359	-0.442449964844886	0.143856766528587	0.000135974660284043	0.00493954102454916
