""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	128.138261271304	1.29689476907482	0.206373947689467	9.65973375706325e-12	2.61778784816414e-09
MT-CO3	180.811085518277	1.04708275394005	0.199443747007275	5.63332458981984e-09	7.63315481920588e-07
MT-ATP8	41.7348221320965	2.04855181678439	0.434125396865417	7.21558360810378e-08	6.51807719265375e-06
RPL21	56.6433822766488	1.04971414194999	0.252320658523211	1.00329718628761e-06	5.5726419169622e-05
MT-CO2	338.513496823335	0.710649600024633	0.167008617258542	1.02816271530668e-06	5.5726419169622e-05
MT-ND1	86.5699790239315	0.744068643668572	0.180104656996843	1.50273489577761e-06	6.78735261259555e-05
MT-ND4L	118.610852535398	0.773625944084864	0.1942462920234	2.93482658107376e-06	0.00011361971478157
MT-ND2	55.7410088222639	0.663806115085006	0.172673663157334	5.57952621292368e-06	0.000185432021909203
MT-CO1	394.812252856652	0.737347025248095	0.193797974391474	6.15825903019494e-06	0.000185432021909203
PCBP2	26.2764775291398	-0.492134359162623	0.12744744126905	7.52897166837629e-06	0.000204035132212998
MT-ATP6	168.968963508332	0.712247428003697	0.19554462604347	1.1625906857228e-05	0.000286420068937163
MT-CYB	128.039724980859	0.693409681909122	0.198204409086451	1.91399754074943e-05	0.000432244444619247
RPS13	138.424902360002	-0.287121911312269	0.0804380774629775	5.30076087794212e-05	0.00110500476763255
IRF7	65.4828054846598	-0.427497566461172	0.137510370307015	0.000154101326859819	0.00268622452147111
RPS29	38.4593841916249	0.651603470596026	0.222631258777509	0.000148066777101156	0.00268622452147111
RPL38	21.4650134294287	0.487608590637773	0.160191930629522	0.000158596281710472	0.00268622452147111
CD74	585.280429515242	-0.246242125233098	0.0788239446221258	0.000347982774618135	0.00554725481891262
RPS27	169.690902307485	0.32564989210293	0.112461945325385	0.000402099251047899	0.00605382761299892
RPLP0	111.155050105415	-0.254868170804084	0.0890360255979473	0.000740955480683294	0.0100399467632586
MT-ND5	77.2028840357631	0.423939832976242	0.168520743166477	0.00071740387351172	0.0100399467632586
RPS3	106.869798902378	-0.214111624189747	0.0752931747864662	0.00109154914452438	0.0140861818174337
RPL5	67.4334705049727	-0.260145960818563	0.0971692413040132	0.0012308707367384	0.0151620895298231
RPL7A	100.210203367982	-0.209609251104903	0.0750909783791293	0.00132814367325917	0.0156489971936189
RPL11	138.982364332532	-0.19372221695895	0.0707086156426608	0.00178525522716347	0.0201585069400541
RPS7	102.633823227523	-0.192959491400159	0.0710052520120937	0.0018960056128401	0.0205527008431867
COMMD6	26.580031408741	-0.309618746594727	0.134878557638858	0.00227599732406176	0.023722895185413
TAGLN2	55.1687027333405	-0.279831700364923	0.118669766365494	0.00239090103258706	0.0239975622159664
TYROBP	39.7283771248258	-0.275801476282737	0.121783900694364	0.00304863187510951	0.029506401362667
RPL14	66.3443303736938	-0.209684239466667	0.0871074263705026	0.00376729385425937	0.0352047115346306
IRF8	51.4876909192056	0.270667502937377	0.128403364544519	0.00422965739830971	0.0371238413615171
ZFP36	25.8836953777088	-0.460932315832362	0.26945761870611	0.00424663867973074	0.0371238413615171
ERP29	23.0901940313052	-0.241246472003051	0.109996907037777	0.00452799124120433	0.0383464258239492
MT-ND4	66.6811630042074	0.369519485175271	0.221730725175371	0.00508120644425828	0.0417274832240604
RNASET2	20.7929058224339	-0.257964880666084	0.12728047018887	0.00565904744086012	0.0435147768010767
SLC25A5	14.6722463496373	-0.289236109576864	0.152182656704179	0.00578056075586259	0.0435147768010767
RPL19	139.748350419234	-0.177012637534126	0.0742163186831241	0.005654814857341	0.0435147768010767
RPS20	16.2659067070226	0.294708344741108	0.156713397012403	0.0062978450499528	0.0454554343649047
CD37	25.3752391417202	-0.237535088729604	0.114917436894292	0.00637382474489439	0.0454554343649047
RPL29	92.3909385469085	-0.186212187955585	0.082316293761077	0.00692029345545937	0.0468849881607372
COX7C	19.827873687965	0.272054144695544	0.141996689529345	0.00690173001021229	0.0468849881607372
RPL27A	23.5655297122344	0.263767229107825	0.140862039074949	0.00758595244938523	0.0500966983182065
EEF2	31.4251824528192	-0.243792153165636	0.123769808321968	0.00776406394599511	0.0500966983182065
RPL37A	67.5388606928454	0.219210979636274	0.107797207756815	0.00797051989995278	0.0502328114624931
MT-ND6	19.6646855574234	0.35689405015337	0.259030696507654	0.00863538717622051	0.0531861346535399
