Celltype	mutRvsNR_pre_up	mutRvsNR_pre_down	mutRvsNR_post_up	mutRvsNR_post_down
Activated-B-Cells	24	23	100	122
CD14-Monocytes	86	65	55	159
CD16-Monocytes	51	64	127	265
CD16-NK	332	151	267	264
CD4-Activated	45	118	189	369
CD4-Naive	31	82	181	342
CD56-NK	9	19	25	22
CD8-Activated	140	271	276	583
CD8-Exhausted	0	0	25	8
CD8-Naive	99	47	204	153
Cycling	2	2	12	7
GDT	385	63	26	42
Intermediate-Monocytes	21	16	46	72
MAIT	24	12	26	38
Memory-B-Cells	19	49	12	30
Naive-B-Cells	0	0	1	1
Plasma-Cells	3	21	89	121
Treg	15	16	112	191
cDC	36	38	42	55
pDC	7	17	4	3
