""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SMDT1	21.3761101478538	0.821429091226966	0.101146947492964	2.98356589972539e-17	2.11087287405571e-13
RHOB	9.4187203075675	1.54526451620155	0.238039891815654	5.47110486817227e-12	1.93540334711594e-08
RPL35	193.161965305634	-0.221391377890169	0.0342432498514969	1.80558784460947e-11	4.25817800020401e-08
RHOA	39.4062588472024	0.326550349386273	0.0542126792836742	1.12438704710497e-10	1.98875958956692e-07
C16orf74	8.49028240703667	0.70531258319579	0.121180639590881	2.27355518204103e-10	3.21708058258805e-07
IFI44L	2.18205353411541	-2.02793296680902	0.406587118569694	1.16940375386242e-08	1.37892192642943e-05
HLA-DQA1	94.9539777417654	-0.27377986577605	0.0534085103824613	2.90440389530938e-08	2.81320212239243e-05
RPL13A	247.733458492887	-0.20662944524133	0.039219311686892	3.18100593344727e-08	2.81320212239243e-05
IFITM1	17.8053002681749	-0.708662029580131	0.151061302927375	1.22291922319533e-07	9.61350389345218e-05
RPL27A	89.3906496249485	-0.319168681068173	0.0680549442754398	2.50843392062196e-07	0.000177471699884004
KLF6	39.3704908599083	0.64753429034565	0.144189100076165	4.25984037286376e-07	0.000273985187618283
MAP3K8	10.8610364046131	-0.612098568255663	0.138781263327484	5.94057371719411e-07	0.000350246325409569
RPS26	255.261784070294	1.03011563378377	0.23552802372597	6.46188686409464e-07	0.000351675765872843
TADA3	4.4078355998131	0.578206487460637	0.136772968385683	1.17074088052185e-06	0.000591642266406577
KANSL1-AS1	2.56168968872581	-1.11594533146746	0.269641328099484	1.29710359090593e-06	0.000611800527043966
FIBP	4.68926270245917	0.528678945389449	0.126377803596336	1.49491559093178e-06	0.000622148694461313
DDT	9.42844582651983	0.470166700213726	0.112170502826683	1.48110180158129e-06	0.000622148694461313
RPS18	556.87891055528	-0.195525496334415	0.0441487653149677	1.64793750803622e-06	0.000647730992742015
REL	25.629871355549	-0.368747305371018	0.0876298801645067	2.35694946697845e-06	0.000877653551519606
JCHAIN	16.7184372607785	0.611239645322395	0.151679978099193	3.81671534779061e-06	0.00135016305428093
RPS20	73.0133045622663	-0.247609341134373	0.0594238213172152	4.06774364748957e-06	0.00137044220504708
OSTF1	10.2251679989472	0.426823097185639	0.109340557738825	4.63880495532781e-06	0.00146234328310485
C17orf49	3.48861433514107	-0.724797579707382	0.185530782734138	4.753907492779e-06	0.00146234328310485
EMP3	23.913998786136	0.462010422150701	0.117781877623965	5.18395137506809e-06	0.00152818566577528
RFTN1	6.00896899668019	-0.566118643944057	0.1465152350935	5.48189180907416e-06	0.00155137538196799
TMEM14C	4.62108306636016	0.565379468403075	0.148391934599008	6.41114143321688e-06	0.00174457021692344
RRBP1	1.85297785931973	1.15783285361256	0.294479552441951	7.03063400679987e-06	0.00184228650363367
HNRNPD	9.49187902090216	-0.426701491855595	0.110347356136778	7.56307187287911e-06	0.0019110261964507
CEP68	1.5313995712756	-0.981286665371325	0.268153885717004	8.16619767631376e-06	0.00194629341479163
RPL38	120.927501471033	-0.248086034500322	0.0620884404157591	8.2528342676677e-06	0.00194629341479163
MT-ATP6	775.176073204443	-0.25791577728503	0.0668726141078812	9.97714728729794e-06	0.00227704248573009
MT-ND4L	598.302783562344	-0.210911640830229	0.0533477640248379	1.0942705206447e-05	0.0024193637292379
MT-ND3	674.342259980171	-0.289400078134065	0.07575066604389	1.1467129208931e-05	0.00245848300464203
SNX10	9.51892972451195	0.360314607798472	0.0964311156537086	1.23700161807507e-05	0.0025740548376121
FCRL5	8.8136158333449	-0.901618074129148	0.250505592920311	1.56642640937258e-05	0.00289668668113503
ZNF518B	1.88287959541781	-0.754046262896218	0.210229100998911	1.49797614718238e-05	0.00289668668113503
LYPLA1	7.10889329561454	0.423166295065752	0.116403690987279	1.65011394881706e-05	0.00289668668113503
PRDX5	10.6975580646845	0.317435236772256	0.0856070926272769	1.67864528518072e-05	0.00289668668113503
PACS1	7.3577094534717	-0.441584116379521	0.119620382288283	1.46628522113827e-05	0.00289668668113503
PRDX3	1.9158343749674	0.832176704190364	0.231784492673263	1.65929633873585e-05	0.00289668668113503
ZNF331	2.84926207833673	-0.938705314276324	0.264592010674565	1.62454319043246e-05	0.00289668668113503
TPT1	401.636531684572	-0.163650071916322	0.0412297423151297	1.76217020789814e-05	0.00296841767163794
SLC25A5	29.8103129829136	0.296263692087753	0.0802022810649919	1.87612507734504e-05	0.00308688021446887
C6orf48	9.28867552737877	-0.375912029412981	0.103590709688363	1.92645177444729e-05	0.00309764688732149
FCRLA	19.8263415154821	0.37209170649027	0.104074851367894	2.22331840342281e-05	0.00348437065618441
RPL31	104.479350909453	-0.172501934006106	0.0441187717957644	2.26545653971001e-05	0.00348437065618441
BCL2L11	2.09030100927991	-0.79144200172846	0.226416041509312	2.31963498891096e-05	0.00349179096735
EIF2AK2	4.74583389922393	-0.501949399653273	0.144657437973876	2.46163587490019e-05	0.00361309643416098
RPL13	820.143265634028	-0.128887855252906	0.0323516547530547	2.50235654097368e-05	0.00361309643416098
RPL21	233.672766581721	-0.588269534425758	0.17366808632186	2.94344826817043e-05	0.00413770764059546
MILR1	2.1614373044981	0.981603456237588	0.297087964672198	2.98265851124195e-05	0.00413770764059546
SLC38A11	2.50672991338365	-1.01885996822147	0.324800051980175	3.25785246167007e-05	0.00443255887813764
CCNI	60.1930040966755	0.193736047684093	0.0526556054193507	3.60346013561755e-05	0.00472120008509151
MT-ND2	166.427236019945	-0.228918363005863	0.0627526273741899	3.5405486621195e-05	0.00472120008509151
ZNF107	4.75198327073325	-0.472349113212531	0.140312330157604	3.91290063539636e-05	0.00503341309007804
ARPC3	74.3418422360696	0.140852550225264	0.0376383608780063	4.40184231432326e-05	0.0055612561381852
SMAP2	21.4635169187788	-0.380628657909209	0.110272412993829	4.48251514553027e-05	0.00556382362361871
SP140L	10.3128769858373	-0.322670135951042	0.093567437933144	4.69987546111893e-05	0.00573303773920972
PNN	21.9859230814168	-0.282659074533894	0.0813537434665913	4.84162054859773e-05	0.00580584159005575
IER5	4.0128436026729	-0.657601722688321	0.197357362725815	5.02265999790382e-05	0.00592255324752825
RPL37A	257.099949706586	-0.148685803397405	0.0393208257563296	5.19472155575819e-05	0.00602502541098183
NUCKS1	12.2949664676558	-0.302609037480685	0.0888643746763947	5.8897404778418e-05	0.00666144290770617
ERAP2	5.58542455576202	0.470445241858357	0.143942112724541	5.93174421463588e-05	0.00666144290770617
ITM2C	7.08428555750693	0.624439164663263	0.194446755921262	6.04583440723486e-05	0.00668348100487291
NDUFS3	4.19382829247112	0.444886813429944	0.137077994670676	6.27555786470704e-05	0.00683070336812343
MT-ND1	287.576243440669	-0.218999017149583	0.0629672046378692	6.58305048413985e-05	0.00705683063261961
ATP5MC3	14.9379794891177	0.298806420998211	0.0892200378065633	7.08389334129006e-05	0.00724844965380746
TMEM123	14.1831269706017	-0.349664197480735	0.10652825303672	7.15818371711687e-05	0.00724844965380746
WARS	2.25642004420213	0.886020468760139	0.293165682029828	6.9373695385719e-05	0.00724844965380746
COL9A3	1.18276178013527	1.15449154027189	0.338990092228066	7.17161096489784e-05	0.00724844965380746
UNC119	6.63906087567725	0.383885446840162	0.117923745206399	7.3936332864744e-05	0.00726527159747311
SIRT2	2.58390213692449	0.54908482645291	0.172895354643097	7.30339843052047e-05	0.00726527159747311
ABCB4	3.36579782704098	-0.50794361434266	0.159887800570519	7.77369862173397e-05	0.00753409832174901
HPS1	7.39932384063063	0.332467902889743	0.101604580313865	7.94156221732384e-05	0.00759277739021164
EIF3I	8.45937745561239	0.318327673677013	0.0980606886831234	8.68442072155082e-05	0.0081923035473296
TSTD1	19.6768293602341	-0.271103546684699	0.0812712024631379	9.07062852270368e-05	0.00844403905238534
USP8	6.83626178339608	-0.362060482172432	0.112384279238488	9.26123439621691e-05	0.00850951082509541
CHD6	2.50719335949579	-0.568893529159876	0.185728025725662	0.000109057122438067	0.0098920402724272
ZMYM2	5.351938864332	-0.390880120172547	0.124490469947131	0.000112961081646948	0.0101164512993944
SNX17	7.79533834931757	0.346697748406002	0.112043027400541	0.000116538292909323	0.0103063552791682
COA4	2.84108891721377	0.561089594438314	0.186228399646016	0.000118431685595834	0.0103444959949447
FAM76B	2.75853819693048	-0.563823414298578	0.186009759992765	0.000127383295472757	0.0109906928715824
RIOX2	1.56190890720326	0.712261646011172	0.236311326357478	0.000129509001470338	0.0110394721132848
PRR13	24.8915584018321	0.215220216339635	0.0656387554442749	0.000132440182988999	0.0111549320791329
