""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SMDT1	35.3704779730491	0.600595335414995	0.0910518861746495	2.38258920261244e-12	2.44953995920585e-08
LMNA	11.4893294801784	1.665255345674	0.274183783449344	1.28852866951412e-11	6.62368162563732e-08
LINC02432	5.08946854819228	-1.84372254016915	0.305486221444283	8.09935900161066e-11	2.77565032985197e-07
TAF10	19.0032745590535	-0.796259345398817	0.133363293483665	1.17967694611077e-10	3.0320646707412e-07
EFHD2	79.8078598409373	-0.384189173424402	0.0652053958513691	2.0992136164071e-10	4.31640303805628e-07
AL355075.4	2.97788734387071	-2.33920978792737	0.431053939871014	4.66623729225251e-10	7.03466816908451e-07
SIGLEC1	6.06633886891587	-2.10732099839607	0.374244478303968	4.78967777293956e-10	7.03466816908451e-07
GLMP	5.55054891806515	0.814963157403616	0.151244991897041	5.47182153506182e-09	6.25064413355229e-06
RPS26	420.690817803401	0.872790331056697	0.163624198105306	5.39211031349764e-09	6.25064413355229e-06
DNASE2	6.82247717471338	-0.780866248592503	0.152242810364824	1.44402444498745e-08	1.4846015318916e-05
MT-ATP6	1589.44592597448	-0.530678782018474	0.10665409423217	3.26323486093022e-08	3.04993796411124e-05
ID1	17.2445953748873	-1.24659732978644	0.27138855565578	8.37785602856402e-08	7.17772815247222e-05
MT-ND4L	765.157072159993	-0.470881314894821	0.0992167744163941	9.35628503294708e-08	7.39938203259453e-05
IFI6	33.6610935663565	-0.789030908274904	0.168976999296788	1.32608207828108e-07	9.73817846200552e-05
ID2	96.3604018573487	-0.785569714855704	0.175293379855996	2.37498722310889e-07	0.00015260777275489
ERAP2	9.71804778239868	0.73166753107998	0.162518821978592	2.36176947656901e-07	0.00015260777275489
IFI44L	9.15426751326833	-1.3423177245407	0.299215194468836	2.94301794426491e-07	0.000177983338146986
S100A10	518.883445818831	0.260773080956128	0.057536441300042	5.29034927630399e-07	0.000236478612650788
MARCO	8.86972071371412	-0.60908437417422	0.135339017635083	4.7134969336208e-07	0.000236478612650788
PLSCR1	28.0547600798092	-0.441062856935494	0.0989569812277279	4.53613783787454e-07	0.000236478612650788
AL391807.1	1.60188910501957	1.47228449206182	0.300309222531348	5.21646011449199e-07	0.000236478612650788
FTH1	1590.80927537431	0.280224040506927	0.0628861077353738	5.22375736746009e-07	0.000236478612650788
FAM20A	1.88248250675454	-2.20663584661221	0.49532663797898	4.31571567973353e-07	0.000236478612650788
RPS18	560.226880394645	-0.271137973281457	0.0620672063387048	8.89896702511477e-07	0.000367268825010261
FOLR3	12.1297534945368	1.27543274765257	0.292462356756491	8.93076609790538e-07	0.000367268825010261
MT-ND3	1497.90454146613	-0.380875896065018	0.0893070449213439	1.05087579284992e-06	0.000415540539472693
PHACTR1	10.2875405784846	-0.892430915407128	0.217586686756723	1.27279733367797e-06	0.000475773181811071
LINC00937	20.8839591935484	0.502839445103666	0.1210990824489	1.29763675761971e-06	0.000475773181811071
KANSL1-AS1	5.12237837759023	-1.17242042922816	0.285663995677181	1.34203115188416e-06	0.000475773181811071
SCLT1	13.0003323548347	-0.486669937298974	0.119496953066312	2.30139903331291e-06	0.000788689448716333
RETN	17.5979629163195	0.610455340122223	0.150256986610527	2.61582004650471e-06	0.000867524061229515
MYL6	292.268156043762	0.201641005253851	0.0478505725146721	2.78740174017931e-06	0.000895539915336985
S100A4	1168.72031580488	0.221004853540554	0.0527380181497606	3.03568205777615e-06	0.000917936683411663
PROK2	4.6932533730828	0.897660144508408	0.223233980266167	2.95034856210094e-06	0.000917936683411663
IFIT3	5.37939539864795	-1.09193285803982	0.284809512168558	3.96781685576268e-06	0.00116551785983132
S100A12	390.345095047762	0.427508765413331	0.10969657086914	6.21051429958106e-06	0.00177361937538869
IFI44	11.5211617039522	-0.732768326056503	0.195665411397673	7.6280528229757e-06	0.00203943465539169
MTRNR2L12	671.474399852421	-0.602291187574375	0.162227511449903	7.70078277153567e-06	0.00203943465539169
MT-CYB	1327.9217553483	-0.33637915397907	0.0882386250956561	7.73640225272599e-06	0.00203943465539169
CCL3	32.1112399041155	-0.986564107499642	0.270187669875922	8.0955383375168e-06	0.00208075574120026
DDT	30.6984589902412	0.380214385697629	0.101128109618447	8.83761021029379e-06	0.00219152137434865
FAM118A	6.26180814099745	-1.06128328872381	0.290746146863501	8.95281565243101e-06	0.00219152137434865
LILRA5	30.9115349789053	0.369162511265051	0.098866864805573	1.20790743624414e-05	0.00288802240744791
RPL27A	134.100519141075	-0.289816944743878	0.0783226984299753	1.33435315047029e-05	0.0031178374409057
LRRC37A2	1.35577540753599	-1.41024922106237	0.431100812905743	1.43116716853621e-05	0.00319865862167843
RPL38	234.484097100684	-0.345655908185485	0.0958702791153895	1.4154404788099e-05	0.00319865862167843
CHMP1B	27.8201076248109	-0.555256030125055	0.158766374973103	1.65930901009932e-05	0.00362965019847471
PNP	9.15300572019706	-0.61355391825528	0.177350371556065	1.92726446467576e-05	0.00404371550231255
ZNF83	3.40934012245899	-0.808974811445632	0.234780835533302	1.89613622294618e-05	0.00404371550231255
PLA2G7	4.7393031557143	-0.677593572792271	0.198116988648732	2.14684032503075e-05	0.00441433307632823
MAT2B	11.2046553891632	-0.389740714472722	0.11059366402107	2.38931478932873e-05	0.00454898987946087
NQO2	10.1049704620113	-0.491332689442501	0.141767733946425	2.35449615987024e-05	0.00454898987946087
C7orf50	9.57364594874201	-0.451716272923451	0.1293030514976	2.29961836117681e-05	0.00454898987946087
ZFAND5	54.168091310026	-0.371044861508955	0.105054630849154	2.32201801629013e-05	0.00454898987946087
EREG	12.5097345873198	-1.11397778491686	0.34046149722679	2.52957522799226e-05	0.00472846598527063
LSP1	144.775368820753	0.277269988633871	0.0779624736026216	2.67167885530368e-05	0.00486554167903387
CAVIN3	2.35718647331062	-1.09718628283828	0.342048171064552	2.69755739427031e-05	0.00486554167903387
MGAT4A	10.1307577480234	0.4552630393789	0.131778871090546	2.79346337054002e-05	0.00495165464008999
RPL37A	379.570173129052	-0.203672807874822	0.0562702297630076	2.91096872992054e-05	0.00507248635801917
S100A8	4645.40226766277	0.350026091803631	0.101827747328946	3.04256182772952e-05	0.00512796363129297
MSR1	1.01384369369743	-1.32890373946075	0.440032800613567	3.03635466803006e-05	0.00512796363129297
SAT1	444.734891940188	-0.324840743258498	0.0946993345416225	3.23696892912453e-05	0.00528242500957608
IFITM3	125.683820124233	-0.607652803903426	0.182716702633017	3.21009680648344e-05	0.00528242500957608
ARIH2OS	1.20043007619497	-1.16719601383	0.371292971167051	3.33125379110892e-05	0.00535134691037356
AC103591.3	24.9495916551061	-0.647457409083979	0.20177037651767	3.83033642949888e-05	0.0059666195199512
MT-ND5	587.205970968521	-0.30513313910083	0.0915631934539348	3.82334048623052e-05	0.0059666195199512
GSTK1	73.7785199496038	-0.196138397609497	0.0549086406199678	3.95558024237474e-05	0.00606974932415742
NUP214	47.1423304119246	0.2434969047737	0.0691892102305451	4.022662338392e-05	0.00608191051485415
PDPR	5.53497516840256	-0.571980878106985	0.174963528508596	4.10879929775494e-05	0.00612211095365485
CYTOR	11.9867068641948	-0.364623923757534	0.10797433673687	4.19200650194174e-05	0.00615685983520901
RPS29	218.093961741371	-0.346428614247186	0.104345610462201	4.33732230695124e-05	0.00617769536810531
GADD45B	34.7421662744343	-0.454007017344896	0.141006548432793	4.33008935488684e-05	0.00617769536810531
SYNGR1	6.18323988258972	-0.438950139556095	0.131121740664116	4.38645814484668e-05	0.00617769536810531
CTDSPL2	4.36476841890409	-0.561459675733945	0.171963449277077	4.72962863630871e-05	0.00657098810944458
MARC1	6.71020775092233	0.430855159066233	0.129479147536133	4.82358699218006e-05	0.00661217304888043
IRF2	13.6404658542105	-0.333476788657775	0.10049586498549	5.09636161089227e-05	0.00681625627576149
FAU	557.694548600133	0.15173225396752	0.041532862213235	5.10506500567683e-05	0.00681625627576149
TMEM14C	16.6624704828385	0.302351650214019	0.0899374223363317	5.19511477875473e-05	0.00684756090261248
LY6E	52.7626622240895	-0.526594851509176	0.164028927401423	5.48959109255535e-05	0.00689054668743364
RPL35	246.755554438411	-0.170663089844355	0.0472995345369604	5.363073146065e-05	0.00689054668743364
CDKN2D	32.9610084384613	0.31661733674348	0.0952843501119207	5.42233610509828e-05	0.00689054668743364
MT-ATP8	264.021356207685	-0.637868313283252	0.2049713737691	5.49581585808344e-05	0.00689054668743364
IFNGR1	33.1455047258245	-0.314698415334631	0.0942097603411882	5.58508534566088e-05	0.00691810390828186
FAM157C	4.29923793646461	-0.650704524890638	0.206521816373153	5.71764367226381e-05	0.00699798745173145
RGS1	6.89413409090159	-1.23912332071168	0.404918471604957	5.90238375225318e-05	0.00713910674787235
MT-ND1	1059.92320287839	-0.288641890010961	0.0876348382810535	6.09420474557844e-05	0.00728540918480139
RWDD1	26.0044074020627	0.217934230220396	0.0639342693027775	6.38011805411756e-05	0.00737011165330142
GK	11.7103642791122	-0.397821163159174	0.123042974549235	6.33753381809716e-05	0.00737011165330142
APOBEC3A	21.5978384436747	-0.640704249733533	0.203394019204012	6.36025518287049e-05	0.00737011165330142
CD55	32.5348292604497	-0.306055392448861	0.0938388488321925	6.70143132592399e-05	0.00763237090787833
S100P	1.53195136103151	1.30076842655928	0.34661323970988	6.75562447832825e-05	0.00763237090787833
MAP1LC3B	29.048594327115	0.231997503810212	0.069231292848818	6.86958644978545e-05	0.00767676285763524
LINC02256	9.47894928919089	-0.53333034785935	0.174327747044128	7.33796824708141e-05	0.00811200554282194
AC245014.3	74.8117953003997	-0.71631995036187	0.236343195989375	7.54043392061794e-05	0.00824714905722054
H3F3A	398.522519752423	0.128111226027547	0.0355429242781734	7.87581614367171e-05	0.00852329113400936
RPL39L	1.69795067261564	-1.46027799569376	0.542483455007331	8.23176813057457e-05	0.00881570918233721
CITED2	29.668228801793	-0.503365659524611	0.162731593603045	8.63013307603398e-05	0.00914705135615518
S100A6	1446.64305479792	0.160804445984256	0.0465764541734783	9.41969522911244e-05	0.0096843886650505
FCHO2	3.08208789957582	-0.627011303014014	0.208563671259051	9.38652210347268e-05	0.0096843886650505
EIF5A	30.5696944521105	-0.33611791023254	0.107990566252901	9.3625922394459e-05	0.0096843886650505
RECK	6.32779483067777	-0.970932251730917	0.337020765705644	9.63768070680829e-05	0.0098103955788808
F13A1	17.9125260865804	-0.537436760557973	0.177494485447445	9.91562910190914e-05	0.0099943708624243
