""	baseMean	log2FoldChange	lfcSE	pvalue	padj
KANSL1-AS1	32.0500459244502	-1.31139913437392	0.17749090684538	6.59075135429298e-15	5.33821099809773e-11
SMDT1	189.225619416184	0.812805858437504	0.110498978276497	9.39991371385407e-15	5.33821099809773e-11
MT-ND2	1145.51151000447	-0.453304970857458	0.062898299300104	2.90364570326505e-14	1.09932026325615e-10
HCST	333.628114613505	-0.259639652822992	0.0356523259853986	8.08884443998986e-14	2.29682737873512e-10
RNASET2	167.059872496615	0.363093527219231	0.0511297284214105	1.16176934286123e-13	2.63907523924356e-10
MT-ND1	1998.64548183042	-0.381671445309281	0.057205704063107	1.35324572064862e-12	2.56169414918784e-09
CITED4	27.898082163829	-0.535938233554887	0.0838448177959721	7.34312069240265e-12	1.19147378320442e-08
RPL39L	12.0453388200254	-2.13323777949064	0.340240053993226	1.17659388472027e-11	1.6704691678316e-08
UBALD2	56.5985669958899	-0.575700035742244	0.0915049730771036	1.3559992825567e-11	1.71127109458656e-08
SH3BP5	81.9591905596223	-0.238407288030124	0.0376413879669343	1.8833536055134e-11	2.13911302514212e-08
COL5A3	1.51062895967393	1.88041911911929	0.30615378411239	5.21827024455943e-11	5.38810122160964e-08
PIM1	199.962379977934	-0.479365665560408	0.0806041281856289	1.28760864497459e-10	1.21872158246845e-07
MAPKAPK3	34.2085353561936	-0.364940981848364	0.0611158751739912	1.48331627946574e-10	1.29596202324399e-07
MYOM2	7.51027260440722	-1.83633058722581	0.32022376500865	2.21638478478579e-10	1.79812131325693e-07
MT-ND3	4027.01377329856	-0.402742926332655	0.0688253121967033	2.58704579908867e-10	1.95891107906994e-07
AUP1	99.2840986426713	0.190754202786754	0.032901814771329	6.84455861837738e-10	4.83088977005924e-07
CRY1	19.909669379525	0.430924234416074	0.0757619529198049	7.23059747235491e-10	4.83088977005924e-07
PTGER2	118.867711959525	-0.443197536240571	0.0789000562086089	1.20028924224755e-09	7.57382511858205e-07
ERAP2	56.4411723554845	0.820174255931688	0.147776425108987	1.46464252610909e-09	8.75547884818266e-07
CDC34	7.11602199611744	-0.941627406767506	0.172052530690401	1.66122300010874e-09	9.43408541761755e-07
SAMD3	40.6910295927529	-0.503355248533435	0.0930662058828379	2.47426028137722e-09	1.33822134647059e-06
MT-ATP6	4952.12986492049	-0.322729250012873	0.0597194568360367	3.70356304799001e-09	1.91204859541229e-06
ADGRE2	1.70939775026541	-2.70791822314558	0.540527761148161	4.14704291002246e-09	2.04791797269718e-06
CBFB	36.7820453933679	-0.300636328639507	0.0555938925845134	4.47519784110967e-09	2.11788737830515e-06
SMAP2	92.5922595785312	-0.403476482158235	0.0778825288812971	6.72854337579725e-09	2.90334867475781e-06
AC018816.1	9.06482487589557	-0.798634795016408	0.151130490719091	6.48916330591406e-09	2.90334867475781e-06
HSPB1	124.502745942761	-0.203243674341174	0.0376950694759731	6.90177973397261e-09	2.90334867475781e-06
TAF10	53.329350196127	-0.722720513483054	0.139391530381138	7.51536911355893e-09	3.04855579970723e-06
CAMK2D	23.2075317909498	0.402818220588582	0.0770217481968488	9.29036866720499e-09	3.63862094214187e-06
PRKCB	52.2232943009871	-0.397563362571713	0.0769427977787212	1.01712156151437e-08	3.81092489763398e-06
DDT	87.4077464166841	0.31061093649308	0.0595832130548939	1.04013621963949e-08	3.81092489763398e-06
CDKN2A	7.04809688689202	-0.744476789244623	0.143461709615706	1.11078079919322e-08	3.94257759913643e-06
TMEM45B	4.41646283164908	-0.956060159296638	0.18632738811738	1.32399941776549e-08	4.55696526878195e-06
FAM118A	21.3424489575892	-1.15104969423466	0.229963689952691	1.94881826450369e-08	6.51019936712734e-06
TRBV28	43.2686654802251	-1.46030995169628	0.294583761818349	2.2946820718676e-08	7.4465711349349e-06
ITGB2-AS1	86.3709005099674	-0.314226815216269	0.063138336448963	3.72528481757987e-08	1.17532735994645e-05
ETFB	31.7597340799451	-0.337188080500146	0.0681126813592554	4.1645132017871e-08	1.27839299853778e-05
