""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND2	729.458005295062	-0.53303510505244	0.0546152033129321	2.77018244154572e-23	3.00952620449528e-19
MT-ND1	1232.13184248964	-0.408366613414672	0.050499307033789	3.58675374287246e-17	1.94832463312832e-13
SMDT1	115.101848363612	0.886399677430275	0.120081303087957	1.11588081026048e-14	4.04097637422329e-11
KANSL1-AS1	19.1524516229317	-1.20756934954398	0.165596911344478	1.95908717745459e-14	5.32088077396667e-11
GNAI2	39.531863247451	-0.553833485418024	0.0790160078169854	1.16718095567605e-13	2.53605078049292e-10
PTGER2	46.8752458280956	-0.785490119801825	0.113321319200224	1.81584922440604e-13	2.81819799627818e-10
MT-CYB	2945.21195901424	-0.311518282403509	0.044466245341862	1.79910289124169e-13	2.81819799627818e-10
LTB	853.145361009072	-0.371577118317019	0.0540555724167361	5.63476808303821e-13	7.65201505676589e-10
HCST	184.049151640818	-0.260685121797794	0.0406578422128579	6.24642616415391e-12	7.54013042748534e-09
MT-ND4L	2479.71769588222	-0.265359307988211	0.0415862445001566	1.32730973203223e-11	1.44198929287981e-08
CFL1	421.000606824726	-0.198591962954844	0.030840615273409	1.61872876027364e-11	1.59871538651025e-08
MT2A	63.9677499152296	-0.661365878013223	0.108086979097317	3.63434289811833e-11	3.14306949658929e-08
MT-ND3	2704.03648144214	-0.421235869929736	0.0683740419156616	3.76103676874639e-11	3.14306949658929e-08
MT-ATP6	3119.04089577674	-0.35810552651767	0.060222198550015	7.81871916785516e-11	6.0673260742556e-08
SH3BP5	39.534294300331	-0.335642016018239	0.0561542837086954	1.08740863535253e-10	7.38350463404369e-08
RNASET2	92.6019314848208	0.395326468473414	0.0654208218519452	1.04093248741013e-10	7.38350463404369e-08
ERAP2	38.6485414081566	0.835522628374757	0.140010290288424	1.41111580064761e-10	9.01786003425623e-08
AC018816.1	4.31095585306371	-1.0458151408884	0.18067623768548	3.60950592973693e-10	2.10435606727657e-07
RPL39L	5.82573042022899	-2.53373552199399	0.443218880039678	3.68029871854334e-10	2.10435606727657e-07
HNRNPD	37.3161087169234	-0.348077172346685	0.06018161416833	4.22556324074022e-10	2.29532595237009e-07
CARD16	41.7917712577961	-0.409314867366645	0.0728982603167623	9.68337293443092e-10	5.00953159807893e-07
CD81	17.2040365619259	-0.881833433909495	0.159015076684915	1.08543774246237e-09	5.36008892459598e-07
FAM153A	8.19874200664538	-0.902139749103965	0.164036672669817	1.37148092362412e-09	6.47816032793584e-07
TAF10	29.1982389250194	-0.843278436617019	0.155148839829632	1.93181012925215e-09	8.74466051841475e-07
LYZ	14.2235930880473	-1.46336781018946	0.270300666696313	2.03709638129768e-09	8.85240603456718e-07
CISH	43.4635754323526	-1.09255134616809	0.20534727248098	3.55766466653016e-09	1.43149884952532e-06
TMEM156	15.5537538676727	-0.980207235250213	0.185935764992837	3.54446181506764e-09	1.43149884952532e-06
ARL16	23.0888192057852	0.548387390485345	0.102926380899821	4.45977366796804e-09	1.7303921831716e-06
UBALD2	33.216156712732	-0.529248253477186	0.100235501053173	5.69602408220555e-09	2.13384846996831e-06
MAP3K2	15.1803593316485	-0.451335837119727	0.0862193666270002	7.99821090319968e-09	2.89641877507871e-06
RPL27A	497.855550315329	-0.329903398784531	0.0628230172628393	1.13801778328421e-08	3.98820167664507e-06
AUP1	59.5208786331667	0.207010530245483	0.0389585556239245	1.22557555449314e-08	4.1608290075042e-06
HDGFL3	4.13622915110153	-1.02829639666314	0.20455374673781	1.97256460073317e-08	6.49392176435308e-06
EIF3B	14.5425438866408	-0.55839527024112	0.111445539531943	2.15736443523162e-08	6.89341388951655e-06
MYOM2	2.99248938599623	-1.57393830766815	0.313904801899421	2.56267812919919e-08	7.95455291303429e-06
FAM153B	6.32102477201161	1.10674431734706	0.216451768829703	2.95334674814539e-08	8.91254418662541e-06
EPHB6	14.0905582374618	0.5622747895266	0.113308931636381	4.49109651933007e-08	1.31868304286492e-05
IFI44L	6.27632500073264	-1.08729918922207	0.221070278276758	4.79393716301505e-08	1.36837141944533e-05
AFAP1	3.99368725609107	-0.95456534093307	0.194143614103046	4.91223171560824e-08	1.36837141944533e-05
BCL2	83.165909279189	-0.296026149869015	0.0599984941182754	5.13790830061451e-08	1.3954558944469e-05
TRIM22	64.7468557144582	-0.2626103770928	0.0537121171295199	8.0059129006987e-08	2.12137165251685e-05
TRBV28	27.2255168021485	-1.4588637733625	0.310302668839441	8.34183510244774e-08	2.15775467983315e-05
