""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	97.7211632655073	1.25234548932847	0.17982429377205	1.77896594036815e-13	7.43607763073889e-11
GZMB	19.4528026428094	-1.00004048324302	0.179273639958176	1.30977633422463e-09	2.73743253852948e-07
MT-ND3	203.145583937349	-0.441348174739775	0.0863908694911039	1.61192922003585e-08	2.24595471324995e-06
MT-ND2	55.2333439861243	-0.440519876317226	0.0878775192195978	3.27399158918637e-08	3.42132121069976e-06
MT-ND1	104.8809583667	-0.373855011422658	0.0797197340123298	1.59481487566622e-07	1.33326523605696e-05
MT-ATP6	266.737358947894	-0.360605951525713	0.085627215693718	1.29387904866223e-06	9.01402403901356e-05
RPS7	127.966820009163	0.153386032820149	0.0370122748683752	5.70930427793965e-06	0.000298311148522347
RPL27A	33.1804922135143	-0.347010638668962	0.0893756355250809	5.55095425313307e-06	0.000298311148522347
HLA-C	139.793248933096	-0.31887213247373	0.0859368892202441	1.16181566972589e-05	0.000539598833272693
RPL37A	93.0086605102162	-0.190799479894274	0.0512371164536174	2.4421113309601e-05	0.000928002305764839
FAU	109.389194778886	0.140917206813225	0.0368519295828339	2.39721355169304e-05	0.000928002305764839
RPS8	169.794861947175	0.142549095789367	0.0403406302511345	6.37873516803163e-05	0.00195944757459798
RPL35	69.5446554382625	-0.19031248335945	0.0549526750789408	6.03082114920255e-05	0.00195944757459798
RPL28	208.238655861969	0.120029473341136	0.0328646354904531	6.56274307281619e-05	0.00195944757459798
RPL38	36.3960524667358	-0.267893348323776	0.085120724921072	0.000115380148239008	0.00321526013092702
RPS18	178.422307481571	-0.191638852728852	0.0594365650884579	0.000129987371033102	0.00339592006823978
RPL21	75.6973916621681	-0.540863231745711	0.186211794469622	0.000141826050162196	0.0034872522922234
RPS20	20.9232094812611	-0.281673426460771	0.0961516487921855	0.000223367548330189	0.00518709084455662
GZMK	30.8252955506808	0.32360726731712	0.12563511533493	0.00043607268416308	0.00959359905158775
RPL11	165.08031564326	0.105967756050779	0.0342195884001889	0.000578808340126637	0.0120970943086467
RPL10	313.141386814278	0.108893357992896	0.036100464834806	0.000737744243244583	0.0141195833822596
PABPC1	40.1624939465391	0.211439329703891	0.0829657639990704	0.000832989923959901	0.0141195833822596
RPL8	104.93841927799	0.144134188004866	0.0522448144564767	0.000945809413165713	0.0141195833822596
