""	baseMean	log2FoldChange	lfcSE	pvalue	padj
CCNI	17.5243084050316	0.387368850064357	0.110281121702931	3.4334136205072e-05	0.0163981326740391
ERAP2	2.67794374594512	0.850876833415202	0.265887390761159	5.031817049654e-05	0.0163981326740391
RPS18	109.476268688976	-0.322003642289258	0.0858455861784527	1.85994167840052e-05	0.0163981326740391
RPS26	75.0224517258683	0.588505860038041	0.168078628356773	2.56893852378324e-05	0.0163981326740391
TMED2	3.21813126965155	0.705603224774403	0.219744989864506	5.01137457323053e-05	0.0163981326740391
RPL21	37.3387216630915	-0.761964887039502	0.217608744585415	1.63641641389801e-05	0.0163981326740391
RPL17	7.93041773844302	-0.5861301472175	0.17374896237851	4.42493189248076e-05	0.0163981326740391
RPS9	48.5262490869017	-0.347520939594754	0.0997728974867685	4.69110453109169e-05	0.0163981326740391
PRMT2	5.19083246565543	0.588635766077427	0.178207782280082	4.30279080683922e-05	0.0163981326740391
EPB41	4.83464779200247	0.617356228893218	0.19455421854696	6.2544301833787e-05	0.0166765852071361
RPL37	112.718535963475	-0.21649525862953	0.0600502559594868	5.9520876689846e-05	0.0166765852071361
SCAF11	4.10995377015988	0.602689831808214	0.193264114640816	7.64741114844207e-05	0.0184006763184667
RPL23A	68.8391429790529	-0.277335833291165	0.0812124850508109	8.1557719788635e-05	0.0184006763184667
PIAS1	2.21103258289764	0.781379495416273	0.271391533716778	0.000127135231360435	0.0254381887306634
CARHSP1	4.3129229004411	0.650135382342285	0.220183227116952	0.000130096430603461	0.0254381887306634
PNRC1	14.3803531412082	0.369616739651448	0.120253161238596	0.000150637460392438	0.0276137294581887
H3F3A	38.2814446038118	0.245039345539478	0.0759776482509928	0.000194812911978569	0.030072961622797
TRMT112	6.63270335393248	0.461083481555373	0.158574347900064	0.000189850545002303	0.030072961622797
NIP7	1.48853989241	0.871835900429005	0.3182997221839	0.000194595038415452	0.030072961622797
RPL13A	50.8852430012045	-0.25857182587823	0.0813583916328589	0.000211420839659018	0.031004866135995
RNF10	3.45040254937008	0.613823308535317	0.223168817277461	0.000224267296629927	0.0313226657626465
PTDSS1	2.36484859436873	0.661173989793409	0.243335882033932	0.000236968674227057	0.0315922327958163
LRBA	2.96957889756587	0.687426040892843	0.261373539364419	0.000279127525950118	0.0341117097338207
PHF1	1.41463224416516	0.949627698731424	0.369339611512347	0.000278422650488443	0.0341117097338207
SMC5	1.62611835172358	0.805245423429768	0.311929006639708	0.000310268748610516	0.0364007295869857
CCT2	2.91491616042923	0.63215018599085	0.24569538296571	0.000370075878541692	0.0417474058370301
TCF7	6.82612809128505	0.827845834229906	0.315782819255294	0.000388007295165891	0.0419204411796048
CALCOCO2	3.20081582221607	0.596827133696544	0.23645479480955	0.00040019514252606	0.0419204411796048
MT-ATP6	187.350289177203	-0.317120055076903	0.113732700455711	0.000481995934385992	0.0487480715708315
VAMP2	2.95112943391266	0.569628847804617	0.232043322316919	0.000514309792283217	0.0497312196095015
GPATCH8	1.78153819312242	0.725550182312068	0.301915629295872	0.000525628301361932	0.0497312196095015
AFTPH	1.48003714097789	0.77674176925348	0.329451568621187	0.000545002668896668	0.0498214272357068
RAB27A	3.6866856261531	0.536379731476782	0.217857050991767	0.00056055475580577	0.0498214272357068
RSRP1	8.8410086452288	0.396323627821756	0.156611877315715	0.000677214635943394	0.0584197213888816
SHMT2	2.46325568724484	0.579591635481187	0.252961013366436	0.000759835920598301	0.0636742501461376
TMBIM6	10.8105798933213	0.348160084888699	0.137331667282616	0.000790845650757801	0.0644319526020175
CD44	11.9792943170606	0.320224804295949	0.125486284123967	0.00085018568560124	0.0673944490775253
UBE2J2	1.78193826324079	0.652095292608973	0.306248723994418	0.000967655580250094	0.0709533454218381
ODC1	3.32540249203147	0.510272439043756	0.22528406526208	0.000963574715436748	0.0709533454218381
HNRNPDL	12.089367588509	0.305360724951349	0.119391449299622	0.000936572156802199	0.0709533454218381
CSDE1	7.2669696176856	0.387493611078751	0.163359311587373	0.00100304484534286	0.0717544032046487
SARAF	23.4724383892775	0.256427975329143	0.097627848390839	0.00107131541938398	0.0730736773268186
MT-CO2	344.041278738738	-0.25837892333018	0.0990317580585845	0.001046817594536	0.0730736773268186
SH3BGRL	8.11821394692679	0.359134463300837	0.154045908190219	0.00124335759357945	0.0828810868629212
GDI2	6.06283419599131	0.392945676451023	0.175093210301461	0.00133399966476393	0.0850569786250568
PSME2	14.2964012188613	-0.355492023188765	0.148580344402124	0.00131894610953048	0.0850569786250568
RCSD1	7.97681820022893	0.426248838979573	0.195284100716606	0.0014901109616995	0.0889184315887387
MDM4	2.38389530828519	0.594873522608703	0.304203309717621	0.00148750698209992	0.0889184315887387
MYB	1.54976485178435	0.807071002971	0.432422443854021	0.00151582733700543	0.0889184315887387
PTPRCAP	6.22533647959514	-0.493952115524342	0.230784683046688	0.00144770041243366	0.0889184315887387
CREBBP	1.42419905292731	0.674773291078476	0.368686672957976	0.00163647869066375	0.0941135686218974
SHKBP1	3.90078756990614	0.446029741291439	0.216806223420129	0.00167975818952658	0.0947448224977202
RBBP4	5.10545053061255	0.390865359250518	0.186478808364099	0.00183759884535128	0.0999902235501337
R3HDM4	5.30191428210703	0.404105047405226	0.194031383099712	0.00184093831289029	0.0999902235501337
HLA-B	163.392653965835	0.253359546490472	0.103446450667986	0.00190568697264711	0.101228861958458
GNB2	8.34400090282572	0.318852258924931	0.143093196871878	0.00193277063405171	0.101228861958458
UHMK1	3.29412492265356	0.482681425518197	0.246602369755268	0.00202901654112392	0.104405359914324
RPL38	25.3268163752485	-0.246875226155785	0.101958504161861	0.00212078916680444	0.107246114245473
DBI	9.82325259278937	0.295469783598414	0.133685203159989	0.00229027512420911	0.112099703487422
PCBP2	25.8976826226728	0.233360556244143	0.0966845399992845	0.00229320907236459	0.112099703487422
SNX9	1.38992719311427	0.724474675236298	0.454603987495424	0.00238411061173901	0.114632728266074
LAMTOR5	4.88245584737937	0.387601142443177	0.202603423646057	0.00254601175776293	0.11784036928848
YPEL5	3.04772965400886	0.45881276681092	0.259713503389025	0.00257135480206707	0.11784036928848
MT-ND3	100.275982073726	-0.280414765435351	0.126495679478307	0.00250304898018119	0.11784036928848
TAGLN2	16.2835312119962	0.326646311944293	0.155560151999783	0.00264094257534648	0.119167454976788
CYB5R4	1.56190876507281	0.598219784696092	0.387834744083486	0.00272148273180679	0.12094104321802
NUCB2	8.39617955603801	0.516846133917873	0.287098668393373	0.00282543839806477	0.123612247869674
PACS1	3.1566519146579	0.458632676106138	0.27063445588061	0.00286588232360649	0.123612247869674
SUCLG1	2.88277688359181	0.454276284490643	0.254542000143228	0.00295022942801598	0.12419646259517
CD3E	41.7518261039398	0.196781722744932	0.0806604749608618	0.00297491339675583	0.12419646259517
TMEM160	3.07464957695271	0.441714814560964	0.257060533356191	0.00300646056742484	0.12419646259517
SPTBN1	4.27500360221616	0.487262370476036	0.279241874637189	0.00307686793719081	0.12533963416362
SNRK	2.03190220471277	0.525913152271177	0.34178075196725	0.00330927516611339	0.132960329619323
SF1	8.24938650831505	0.314683453588548	0.162799128676008	0.00357784203843865	0.141808252685683
DUSP23	1.36082855984152	-0.880449950815177	0.52998769350285	0.00367789356557915	0.141932921345361
MFF	2.95774409140455	0.424737155465456	0.260867915068859	0.00390887375929105	0.141932921345361
KMT2E	6.14850075320509	0.339191938621161	0.19144457353235	0.0040911074992872	0.141932921345361
LINC00861	6.98775299250284	0.359589298775227	0.211987574540885	0.00408465637555129	0.141932921345361
RGS10	11.4292731368147	0.277438567196216	0.136495983823013	0.00385272608477505	0.141932921345361
DAZAP2	13.6822612610368	0.233010460577124	0.108027914033514	0.00404376154967835	0.141932921345361
C12orf75	8.89248602710035	0.343350128067	0.188519855569559	0.00394389345152976	0.141932921345361
MYCBP2	4.04248368759978	0.38580676857054	0.227053840036209	0.00365685691687678	0.141932921345361
NDUFB10	7.10912657679276	0.307627680249497	0.16150064006577	0.00384488910693969	0.141932921345361
IL32	85.5987301490196	-0.265226497487243	0.132005153596665	0.0041132963908475	0.141932921345361
RPS19	109.991216694727	-0.197273286862339	0.0843916042165801	0.00392418445950925	0.141932921345361
H2AFZ	7.23027805901694	0.304028735580546	0.161701525782308	0.0042236806321853	0.142391440163212
HDAC7	1.95759141278706	0.501835970199952	0.3640410185378	0.00421307393175754	0.142391440163212
RPL27A	20.3536600900765	-0.256383444789513	0.122776524613359	0.00435050547675526	0.145000370037763
SMARCE1	3.29553574794896	0.393208067024005	0.250181588483428	0.00443948701772229	0.146303544078421
PDE4D	1.44335340335594	0.585819592732898	0.467698759454844	0.00461396201409326	0.150363895414839
RPS3A	90.0113638312317	-0.143169894540913	0.0575011873368291	0.00491300226316316	0.151978444250917
NDUFA4	11.7548401611815	0.250854031068207	0.125213940639144	0.00479923245561258	0.151978444250917
IGBP1	5.19503855140877	0.323309505165556	0.189077930619733	0.00486415140063898	0.151978444250917
RPS6	76.4448121123195	-0.191392139199616	0.0847360228026629	0.00486174094142239	0.151978444250917
MT-ND4	34.8453946515906	-0.264749078521944	0.134909820801745	0.00492258854546101	0.151978444250917
DPP7	5.29843914966441	0.318387203962151	0.185135617826733	0.00498081981651208	0.152174422102395
CEP78	2.49397484941089	0.476819351376852	0.394393280721549	0.00529377759418235	0.160068553440586
PTPN7	2.29568132626709	0.452903605628736	0.377547952105442	0.00611820847292644	0.169289674066917
BTN3A1	1.6079989424942	0.468205545007627	0.453218008914698	0.00566638931010058	0.169289674066917
TOX	1.93686849912555	0.556667578479043	0.588492505876541	0.00604007210459978	0.169289674066917
AHNAK	11.8352846237182	0.308418102272467	0.178384090294311	0.00602383148070204	0.169289674066917
ARHGAP9	6.01506741869373	0.307268252858771	0.187231601004386	0.006103344184491	0.169289674066917
CCR7	1.93458139047507	0.572732420540166	0.55892461967528	0.00581351479792124	0.169289674066917
ICAM2	2.36233388458481	0.434964137454383	0.345976864012407	0.00578697278392369	0.169289674066917
WBP2	2.26948030100432	0.404809430324605	0.339762373355514	0.00604526061446695	0.169289674066917
RELB	1.80167835909116	0.445062746451104	0.392496212741867	0.00602184306075139	0.169289674066917
GZMK	53.4603896527088	0.25295280074781	0.134464416343063	0.00639424692569379	0.171202106342901
TMEM245	1.34562873810826	0.202777866398999	0.868004843656267	0.00642080862520254	0.171202106342901
FDX1	2.21095463640163	0.402579348222634	0.358816716873378	0.00641473193174339	0.171202106342901
FMNL1	7.42077579441886	0.277225442464524	0.15934813087836	0.00629177114920081	0.171202106342901
ATP2B4	3.29097418990233	0.368000547396406	0.27526416830192	0.00651463856195419	0.172139053173078
MAP2K2	4.56970544966302	-0.390353089679988	0.260137749513506	0.00659227528921022	0.172635209136193
B2M	435.555062038921	0.140581617866538	0.0597090562631762	0.00696964989826739	0.179315641680862
TMEM204	1.75982837067326	0.423961914247767	0.694303492083772	0.00696209388085787	0.179315641680862
PTPRC	35.6050828102154	0.19494371032431	0.0951397789451596	0.0076905319947172	0.179608967101384
CCNL1	5.80201798229226	0.310050922722384	0.209765322409455	0.00743967535303585	0.179608967101384
PDCD6	4.6861966087998	0.306073233856964	0.20654580252992	0.00742512749273806	0.179608967101384
IL2RG	2.48564625132199	-0.471863704441523	0.371811694556082	0.00781069472658064	0.179608967101384
RPS20	13.8848272293838	-0.235434549239255	0.123706483040178	0.00756301436697361	0.179608967101384
C11orf58	6.49822810658951	0.274849696091323	0.167059484332884	0.00734083944134424	0.179608967101384
MALAT1	363.047737500828	0.268288991541561	0.149384268472422	0.00723692634344893	0.179608967101384
ATP5F1C	9.80639043872454	0.235741261748007	0.130470749884018	0.00783837292498366	0.179608967101384
RPS24	109.74712077411	-0.139247263699298	0.0600967596717239	0.00777501260055379	0.179608967101384
SBNO1	1.60616059810871	0.402682128899678	0.615166149219031	0.00735986015114952	0.179608967101384
GNPTG	1.63662667029915	0.390419697081153	0.504664697558421	0.00757738814386086	0.179608967101384
RPL13	143.235580776913	-0.128492982459917	0.0536338000481401	0.00737213359809021	0.179608967101384
MT-ND2	24.9978577192434	-0.264993222640831	0.153413311166618	0.00777835563685348	0.179608967101384
MT-ND4L	113.798469985766	-0.187172901365351	0.0888022356098269	0.00731789757814911	0.179608967101384
TIGIT	6.71596539715223	0.336314197259048	0.241905805444823	0.00794697720027514	0.180685923476023
PPP3R1	1.52016061335295	0.358235917279364	0.603417155025051	0.00826269968877109	0.180854464083325
