""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ERAP2	5.53697982088227	1.36404764060955	0.202578770198621	5.41620890277951e-13	3.19610487353019e-09
NBEAL1	2.33992953940219	0.972152155150968	0.21830672048809	3.684292968051e-07	0.000813580883633468
THOC3	5.9947120304302	0.696509350126132	0.156627151306016	5.5148678775358e-07	0.000813580883633468
RPL17	17.2261592396295	-0.512403990334698	0.114369340678384	4.23424731547612e-07	0.000813580883633468
RPS26	140.089073415542	0.446090892342878	0.10351850082629	8.98764308929989e-07	0.00106072163739917
PIAS1	4.21471006516201	0.800216881410793	0.206943560365614	3.2432421724945e-06	0.00318972867664834
FOXP1	5.48991445350014	0.814108278805744	0.226881796319779	1.14120247421987e-05	0.00962033685767351
S100A10	89.5542976911396	0.332106543123687	0.0940085749911947	2.19429792267372e-05	0.0143872800463307
ZFAS1	11.8876879847726	-0.476642769523269	0.135232593253714	2.01073915176658e-05	0.0143872800463307
RPL21	86.8287958333001	-0.620155888676922	0.185524928881211	2.51930094187276e-05	0.0148663948579912
S100A8	4.8779192517749	-0.0156067555395376	0.0623083453617583	2.98614509446621e-05	0.0160193110931319
IL6R	1.69763029307909	1.19938872345632	0.389956453891807	5.82496862194432e-05	0.0265682710133966
NME2	14.0419761492549	-0.540654758793273	0.169101711512695	5.85303377688792e-05	0.0265682710133966
CD28	4.45905006268919	0.68348549070289	0.226272367384949	8.98807475704131e-05	0.0378847351009291
ATXN7L1	1.59560787993612	0.832541503927167	0.292504296583256	0.000115887351424855	0.0444703339497414
IL32	155.803229582596	-0.400180200253729	0.135641399348247	0.000120577079002858	0.0444703339497414
PRF1	23.7077625658666	-0.627413222825134	0.225004022470408	0.000142591283851246	0.0467461758892333
CD79B	2.10386741920291	0.864728711139902	0.308262180250944	0.000140484648735097	0.0467461758892333
PPDPF	57.7945374120271	0.262727650737478	0.0888122100418243	0.000160396871337208	0.0498158914610981
DHRS4L2	3.22871198564118	0.616150823465804	0.231765343956059	0.000284114146823479	0.0838278790202674
EIF5A	25.2986672766507	-0.408392312437359	0.153427305484258	0.000327133254773504	0.0919244445913547
CBR1	2.7196871172489	0.573774361548743	0.230826798433269	0.000345220677693764	0.092597600866859
MAP3K5	1.93710000876544	0.719503377175512	0.301922572107911	0.000400867382895573	0.102848627237686
HIST1H1B	14.3378963630269	0.763475558293838	0.306467765167096	0.000443667494008839	0.104723275285846
SYPL1	2.70470928476653	0.579219378996899	0.242927062306128	0.000429605723685978	0.104723275285846
HAX1	6.87323982967137	0.378518939105178	0.155017189920714	0.000465193413169637	0.105581012735155
TRDC	7.00760348645408	-0.0247965727050013	0.0669195473749962	0.000520051426472362	0.113660128430126
TNFAIP8	7.5455123862519	0.390218108982314	0.171492704735185	0.000712530163086302	0.135633564270073
HIST1H3B	7.92611497081362	0.925385995265846	0.402801439875004	0.000708244679296408	0.135633564270073
RAB22A	2.71259030161414	0.555384000963594	0.252552921833127	0.000647489421081777	0.135633564270073
POU2F2	1.85880285568287	0.0463192134402541	0.0891423282769813	0.000703880201205437	0.135633564270073
UQCRHL	2.03038706726839	0.671651709321514	0.314052728614107	0.000745352604439056	0.13744767871234
PPP1R2	7.76187461706662	0.334975407771431	0.14942230661077	0.0008215355760945	0.146905498016171
FLOT2	4.9880869131893	0.422277269614944	0.196953926474701	0.000893062525908018	0.1549988813348
EFHD2	16.7726460891621	-0.476669052361935	0.234360480831124	0.000949389725315004	0.16006710768811
SELPLG	12.2551295244811	0.330003930254622	0.151915144759644	0.00101271087710133	0.166000191271527
RPS3A	191.873685366871	-0.128251351552993	0.0489952438461911	0.00109597003838782	0.170192610434908
SRSF2	26.0241802337433	0.250285861969073	0.111013566126799	0.00108582534324208	0.170192610434908
NUCKS1	25.3791769471751	-0.258041654149389	0.11651284217054	0.00119412300251755	0.180679995842463
RERE	1.3721419997408	0.0426373314343666	0.0836363245660042	0.00132946152867603	0.182445406528308
LPXN	6.28724396545802	-0.417871673211165	0.197203526471133	0.00131876887095043	0.182445406528308
COMT	5.00073193403412	0.373566715086961	0.19050034120488	0.0013251064992702	0.182445406528308
APOBEC3H	2.09893091272495	-0.0676331287719105	0.139975606895276	0.00127702023414593	0.182445406528308
LCP2	9.37670194652231	0.329113155073849	0.165301220430507	0.00139334423927471	0.184974194138761
RPP25L	1.36219945619544	-0.0484792701248376	0.0923776930048077	0.00144192728866006	0.184974194138761
SMDT1	9.9883830582905	0.273510518971263	0.133053474874907	0.00141572159515632	0.184974194138761
CTBS	1.82190031827786	0.0492837887946669	0.0932611331626537	0.00150812644589789	0.185405294942571
APOBEC3B	2.01657908388747	-0.0400179456235783	0.0804147262428035	0.00148078165475187	0.185405294942571
TAF1D	6.67763866399399	-0.389231618717043	0.196141107208239	0.00169682464661455	0.204346168156581
NRAS	2.44795370029588	0.463086789746313	0.283535059291644	0.00192732045936698	0.206783964194992
CCDC107	4.86265974398247	0.379150317742361	0.215616669794712	0.00188327700881547	0.206783964194992
EIF3A	16.0576086209029	0.245520965490943	0.12202271574796	0.00183557521263048	0.206783964194992
CD63	8.9369301658703	-0.463121991437966	0.268010051058501	0.00192718228830942	0.206783964194992
PRKCB	7.76175011218037	-0.402766282056739	0.210715519218695	0.0017588490347634	0.206783964194992
RAB5IF	12.3692529748727	0.252528495449086	0.128691224180567	0.00191819844229374	0.206783964194992
METTL14	1.30333550374194	0.0402245391796659	0.0804071915291448	0.00201215407301467	0.208310897979993
PLEC	3.7069985753922	0.556193859900319	0.336806899350467	0.00200153711116772	0.208310897979993
LAPTM5	24.4529585123147	0.225902516347816	0.114778384703632	0.002088061855722	0.212442293286475
TNFRSF1B	7.00344099007602	0.368132810291143	0.210879530480314	0.00217569632373148	0.213979733438991
FAM13B	2.61249819593361	0.510229060235107	0.327449664461811	0.00214898898719092	0.213979733438991
SVBP	3.36902685841989	0.3856808292209	0.244505777555223	0.00238511112247572	0.230730175962774
DBF4	6.08041870081868	0.357810698935002	0.221528932229019	0.00250265930696359	0.234415755085589
LRRC45	2.17758366013225	0.460688502765148	0.323066021378347	0.00249764714870503	0.234415755085589
ANKH	1.82630736571344	0.0404885412246795	0.0804396400015634	0.00279763562980552	0.239258664514237
EIF3B	3.94637220655425	-0.468667171897855	0.274780208351276	0.00278400957379215	0.239258664514237
ESYT2	2.5704203139423	0.473349595226289	0.338963688946355	0.0026215098428912	0.239258664514237
MALT1	3.70544166402356	0.383154142570703	0.257496326334184	0.00271478426675741	0.239258664514237
TOX2	1.65976708142928	0.675933896785371	0.415684970069556	0.00272200892974684	0.239258664514237
ZMYND8	1.46262017530179	0.0323749802614742	0.0723298616201998	0.00275795241209242	0.239258664514237
KLF3	9.56556694098568	0.339357796305886	0.215442311034885	0.00285483282333149	0.240662407006845
ATP6V1B2	2.24120059296674	0.455329714189826	0.336750478070276	0.00290259725601684	0.241242625461344
TSPO	16.3719957272572	0.238299050244528	0.135825478105934	0.00298591555595925	0.244720662440494
BIRC3	1.83109297146644	0.039193035789917	0.0790087302887992	0.00304042131095582	0.245774330903429
SCAMP3	3.58714129197775	0.353385186597732	0.252400715027136	0.00311789137212303	0.248630770093216
GNB5	1.48688153008056	0.0378275959735541	0.0774628412948061	0.0031918381581156	0.251133826280535
GGCT	6.39645271584226	-0.321233285731831	0.191976786227786	0.00338782464094472	0.259630561119672
IFNAR1	2.34333399327678	0.433077542110834	0.365782317824899	0.0033682044777489	0.259630561119672
ELOVL5	7.74945501355353	0.267633748420835	0.17280688974402	0.00343507013569305	0.259876267573393
ASF1A	3.32425845081122	0.378690460377881	0.312212055400539	0.00367071383198413	0.264629256994429
EZH2	8.77163575038652	0.278499856983281	0.186834282748487	0.00366742241560298	0.264629256994429
ATP6V0E2	3.51958434346889	0.344497690238977	0.270704058731069	0.00365624535202439	0.264629256994429
LARP4B	2.32221150880531	0.429150077858928	0.395304222157316	0.00374244124699508	0.264629256994429
PSMD3	5.74232892981023	0.286376683475252	0.200376511044476	0.00376696451237622	0.264629256994429
KLF2	39.8711854152707	0.233488241472777	0.14210438004662	0.00372578665121801	0.264629256994429
PBXIP1	4.64411243906723	0.38237707317765	0.356458211914517	0.00404083204239964	0.269175025035085
ZPR1	2.41162946062042	0.363596085494182	0.34370303105381	0.00405381940860235	0.269175025035085
GHITM	12.4025747817851	-0.228953020561118	0.13548198991496	0.00405974872532156	0.269175025035085
PDF	1.46915159287738	0.0412005236631482	0.0810953169573617	0.0040240015546107	0.269175025035085
IL17RA	1.99207182095582	0.0409952843947661	0.0808105742964833	0.00399660961825288	0.269175025035085
ETHE1	4.9345238075587	0.296287726255285	0.232191820818728	0.0041517189056487	0.272214369580367
OPTN	10.5558872411812	0.241535496244806	0.166183059142153	0.00429487294437707	0.278505991700759
STRADA	1.42332962507902	0.0354324309892057	0.0748716660419721	0.00442539114739714	0.280798206030006
CTSA	3.77259354688092	0.318063107193041	0.280980352978727	0.00440990994770656	0.280798206030006
FCER1G	9.21158649866715	-0.0218788483847351	0.064981619712283	0.00454024409322376	0.285021068022483
CTDSP1	8.3751533897278	0.24094612225265	0.170708417258508	0.00467165497901201	0.287160791991145
BTN3A1	1.75561916153728	0.0373944633680681	0.0768149578516158	0.0046498525745834	0.287160791991145
ETFB	5.0269546010322	-0.322776264259847	0.231085574344372	0.00479101315177249	0.29146153204752
BTF3L4	3.76778905088729	0.311151814662841	0.313166760742322	0.00491761944399831	0.294104747644346
FBXW2	2.72804569701979	0.31763158880703	0.609731267042728	0.00493414167374857	0.294104747644346
C1orf112	1.84578143253614	0.040687582106494	0.0803161520328771	0.0049899452472296	0.294456669039018
MRPS27	2.22873121515822	-0.0471218693752182	0.0887844492667329	0.00524043245227245	0.306176157434255
CEP250	1.3556692930002	0.0347400200082809	0.0741694919905158	0.00532212919339345	0.307900827158968
APPL1	4.17667889648702	0.28465941172694	0.458949207506752	0.00607098265300909	0.319942742992174
NIT2	2.95453404204797	0.0578954938248931	0.106179454685884	0.00605400816861483	0.319942742992174
TSSC4	3.00693170233135	0.0621808752286732	0.115555986833877	0.00571113775535346	0.319942742992174
MALAT1	472.272572342702	0.281053613807529	0.23525572029359	0.00607246012796535	0.319942742992174
DCUN1D5	3.58154294185475	-0.358574545157985	0.302514192849255	0.00604995716638662	0.319942742992174
SLC2A3	4.1858036982615	-0.042642833869971	0.0825513831306519	0.0057550966354646	0.319942742992174
KANSL1-AS1	1.84583845842679	-0.025575882744666	0.0670387181951931	0.00593129802858111	0.319942742992174
RAD23A	11.5805132616639	0.205474249162663	0.147016350140176	0.00578211468803482	0.319942742992174
DDA1	3.80927333825832	0.27793922430153	0.317980246932498	0.00561965715135362	0.319942742992174
MIF	52.6508379552804	-0.178504481197313	0.115992950324384	0.00603724801028725	0.319942742992174
SPCS1	16.622209485341	0.169808581958829	0.109063027197774	0.00630219664785306	0.329108516982132
MEAF6	7.26257337205731	0.220758738869305	0.234165469421975	0.00711480638467082	0.333808850534023
NDUFS5	23.0048590001088	-0.172675911845473	0.114913721809365	0.00704443725352569	0.333808850534023
FAM129A	5.64463274098378	0.2104537018343	0.601844705746586	0.0071364562347448	0.333808850534023
CRTAP	2.49608622361865	0.046159430033998	0.0867126379845493	0.00686867626095414	0.333808850534023
SNX2	3.83675781992603	0.0653569705664032	0.121743934877194	0.00718415929805472	0.333808850534023
EZR	16.8240655039949	0.195148379051119	0.144594548893033	0.00667099647179598	0.333808850534023
SEPT7	24.792117185691	-0.187145185246577	0.138558327526549	0.00718099843273619	0.333808850534023
B2M	770.800207556323	0.132666385226132	0.0739741022446396	0.00697007508461206	0.333808850534023
SMAD3	2.04012990744615	0.0387516632764258	0.0778661338269755	0.00688382668598817	0.333808850534023
SRSF1	8.37640479651584	0.222091441897859	0.210248396223987	0.00673126565664056	0.333808850534023
ARL16	2.51468513134509	0.0408951408002122	0.0801820230549946	0.00702045344454692	0.333808850534023
SIRT2	2.7080315638124	0.0483596272342227	0.0897066370009715	0.00715321489853029	0.333808850534023
SUN2	14.2412395521942	0.214852054173256	0.20760483516192	0.00683668687698261	0.333808850534023
SCAF4	3.74779677436398	0.0731977129798271	0.143736837868371	0.00713344183757784	0.333808850534023
CX3CR1	4.05684311350868	-0.0234229011125159	0.0656929725071193	0.0074792886650546	0.337650712971716
NDFIP1	6.96346603965707	0.216726572071232	0.257659599865212	0.00749392376286861	0.337650712971716
SCML4	1.85054216015547	-0.0370441176381636	0.076240394077409	0.00755293918187875	0.337650712971716
PHTF2	3.47230909130346	0.0481329987086506	0.0892235257540651	0.00741295862703394	0.337650712971716
NUTM2B-AS1	2.61835520386187	0.0504221301688062	0.0926208566085632	0.00753682659496751	0.337650712971716
MTX2	1.42577394481618	0.0321609925321916	0.0717396821410857	0.00821427083509139	0.364454227051687
OTUB1	12.1247212646008	-0.186221393038001	0.141165506587602	0.00842700136757043	0.371102500522635
NINJ1	1.95581606031007	0.0370515405609613	0.0761489347917937	0.00858144116395128	0.375104328210937
CD300A	2.3306855164464	-0.0246065826772808	0.0664185634377302	0.00868167335575256	0.376695253472764
AES	45.4048222410602	0.161984225455989	0.119597982575612	0.00881140230600245	0.376783224693626
PRDX2	18.9708596642688	0.168606845536759	0.12819191999395	0.00874833060534537	0.376783224693626
EFCAB14	3.32347758185132	0.0475892565768646	0.0879696365001968	0.00978672455070772	0.379943826142936
CYP20A1	1.85936133496593	0.0336538516806796	0.0727946562622593	0.00919112832974102	0.379943826142936
TMBIM1	3.03343766430036	0.0478935032234264	0.0885755171986182	0.00905439825864633	0.379943826142936
GYG1	4.97825211830859	-0.0836570254149246	0.18055107427308	0.00966070740901992	0.379943826142936
HAVCR2	1.23897776980991	-0.0222675448448606	0.0651617150364022	0.00947424042821127	0.379943826142936
HNRNPA1	86.6800216952073	-0.0997953977356748	0.0499371182060398	0.0091537038373135	0.379943826142936
ZFC3H1	3.16658725996477	0.0438242645037874	0.0828609793869932	0.00975817120854835	0.379943826142936
ATXN2	1.56212093653674	0.027467607079146	0.0681661618638652	0.00919000930675856	0.379943826142936
KTN1	11.2984929758898	0.1783850414586	0.188053345311927	0.00965227133278192	0.379943826142936
ABCD4	1.2468725649633	-0.0331001491929293	0.0726362514523919	0.009305669213504	0.379943826142936
GLRX5	7.82451157061035	0.179133484509069	0.204334804222608	0.00954017210819821	0.379943826142936
RPS17	6.67763053275995	-0.0930559950254958	0.230273584771214	0.0094731645376211	0.379943826142936
MT2A	59.8724276438523	-0.185942237978185	0.261238651690814	0.00951869058018498	0.379943826142936
C17orf49	5.7714007055508	-0.102077122481388	0.297842847414491	0.00958162655561506	0.379943826142936
RBM18	1.8216846206154	-0.0436491318876487	0.0834415775365429	0.00989892307730565	0.381787876334514
DUT	48.4983150431413	0.147819104482386	0.104718876724121	0.0101534130208711	0.389060326208833
RPL38	55.9006609444679	-0.131050347797591	0.082511314595738	0.0103108785888403	0.392545126146751
HINT1	56.2640043084785	0.109510555016082	0.0611108103894048	0.0107083424435679	0.402512364085353
RPS6KB2	4.38989315889364	0.0639707772128883	0.114938026866882	0.0107091071278428	0.402512364085353
POLR2I	6.50262469119456	0.160021144632952	0.275270771545354	0.0108608289597032	0.405631339817777
MRPL52	11.9193745527587	-0.166007286903525	0.138820491294167	0.0110055631921657	0.40845175092434
APOBEC3C	7.7037423431771	-0.187334998685673	0.241309924288991	0.0111514023119158	0.411277656516343
