""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ARL4C	14.4274871019246	-0.604933791175173	0.106341846675496	4.44425441945686e-10	9.41515298761935e-07
KIR3DL1	2.28498468623407	2.81359441855663	0.468614074666925	3.0193261562036e-10	9.41515298761935e-07
UCP2	15.6822860111041	-0.595234835225756	0.104060208010449	7.09138706690959e-10	1.00154023341653e-06
MT-ND3	193.143089465088	-0.455520286646307	0.0845356473526788	3.7845635631384e-09	4.00879895425435e-06
ALOX5AP	5.3662089181435	-0.862913833060923	0.182043368562917	8.05472555336049e-08	6.82557443391768e-05
SELPLG	6.97621036753516	-0.646010200320248	0.136613792950629	1.25645669130389e-07	8.87267833509096e-05
RPS26	118.670762456678	0.906827399823535	0.19536171630574	1.8450896176716e-07	0.000111680638715351
YPEL3	9.01388825885768	-0.663108855319877	0.144389554608822	2.864153016856e-07	0.000151692704155236
CEBPD	1.77137366636847	-1.14973865884264	0.270885667397017	6.48663286051382e-07	0.000305376260333301
MT-ATP6	290.141254725114	-0.309657350396188	0.0704929518831518	7.74249768554102e-07	0.000328049626936373
ERAP2	2.84136294386869	0.94113834980949	0.232087390858576	2.04812852289652e-06	0.000723160045959379
RPL12	122.621976360303	0.196385805618858	0.0453386455113161	2.04354078686044e-06	0.000723160045959379
TAF9	1.87295886636068	0.760467358275388	0.190284233985966	3.46019183457244e-06	0.00111112123925276
KANSL1-AS1	1.71962696835089	-1.22667301046656	0.313475967762411	3.67139422929871e-06	0.00111112123925276
VSIR	4.32336998769577	-0.601059710817223	0.15283775843569	4.94505864468822e-06	0.0013095133423465
UBE2S	1.3565932087247	-1.18657091940342	0.310981132465758	4.8911734986828e-06	0.0013095133423465
CD81	5.19073287231171	-0.770510251877804	0.201697777419792	6.12895757607569e-06	0.00152755254410781
PPA1	2.67039346722273	0.645566235483668	0.171194070624764	7.39000520614008e-06	0.00173952511435642
GPR174	3.6119624129678	0.591870779634042	0.16487429206994	1.69827821158894e-05	0.00378716041184335
RBM3	17.1503008888222	0.320523518905351	0.0883430331207377	1.79610147994128e-05	0.0038050409852556
KLRC3	4.22024007982366	0.821241153733435	0.235223357341949	2.00349404621118e-05	0.00404228774942703
FCER1G	2.19718590201632	-1.92601020506989	0.570953594751635	2.43447860468636e-05	0.00465599572932596
AES	25.5774893827567	-0.271586208372343	0.0759940507065979	2.52744634822981e-05	0.00465599572932596
RPL37A	94.0727835736153	-0.142905821682648	0.0375955415306437	3.26658009582525e-05	0.00553619994640462
SPON2	7.12042131822051	-0.73416977618951	0.220273312540355	3.24842393212697e-05	0.00553619994640462
PRDX1	4.87242656907002	0.472469159368746	0.14215207505582	3.79010252850412e-05	0.00617640938971999
BRD7	2.92639990892046	-0.666208737579962	0.199068027535458	4.36381912689712e-05	0.00684796357061596
RPS24	141.359215799435	-0.157421310808082	0.0434180868305276	5.31948779855964e-05	0.00804952492946328
RHOB	2.24801905279045	0.961933649792225	0.301608596683796	7.41927363187589e-05	0.010140471734922
OXNAD1	1.88290746133071	-0.780024612937543	0.255407662076292	7.09486702250539e-05	0.010140471734922
EPSTI1	1.43187012347705	-0.948272913926937	0.305042827978344	7.20136943973752e-05	0.010140471734922
CD247	16.3593626236421	-0.345594193752611	0.109328093097158	9.82434441811417e-05	0.0130080460311093
ARHGAP10	1.26767047408861	0.852766897571701	0.272643140009494	0.000133808296395879	0.0153228581575497
HIST1H4C	5.97680764772987	-0.498392544095692	0.167162533605173	0.000129477769967666	0.0153228581575497
P2RY8	5.28773396816596	-0.546536984676497	0.186856057737228	0.000121034332597554	0.0153228581575497
SIPA1	4.73389729819263	-0.450237284786501	0.149329427590195	0.000130333875370033	0.0153228581575497
DDIT4	8.74113171056553	-0.662160715991824	0.227928954163923	0.000129373213738725	0.0153228581575497
PARP9	1.34019304837529	-0.888367983701197	0.308728337022908	0.000193604287915193	0.021586878102544
VPS37B	2.70642583219057	-0.544397690940215	0.195467791969496	0.000223636732608598	0.0236887209015658
RPL23	19.0181572904741	-0.230026969116806	0.0747089311929043	0.000221397213699531	0.0236887209015658
RPLP0	85.3259002586734	0.17123942981137	0.0541978040770797	0.000233003920875313	0.0240789661646024
ITPRIP	1.71613150257934	-0.65607604172175	0.24114175864945	0.000257328615263279	0.0259595557826313
CTBP1	3.229829477832	-0.486389092826444	0.176281103383492	0.000299903825380645	0.02828119994387
RPS2	155.422083792449	0.124499375938426	0.0386095304265888	0.000294434392443708	0.02828119994387
MT-ND4L	211.576106552175	-0.187653156509462	0.0621965499335605	0.000300366768344147	0.02828119994387
SMDT1	6.50832657306627	0.398866765744072	0.147748784948709	0.000318595092603401	0.0293453784208828
BSG	7.51188335698803	-0.316744545981453	0.113436268952385	0.000344994292608552	0.0311008684634561
PLEKHM1	1.210958671342	-0.714188525730401	0.282593467380228	0.000399659438700004	0.0352782717035816
LAPTM5	20.1769281870173	-0.233986807207298	0.0857660181324432	0.000417573073811448	0.0359614207687603
ANKZF1	1.55250797579654	0.571302797869362	0.219638295408167	0.0004243736224777	0.0359614207687603
EIF3E	10.2989806797956	0.273903416467588	0.100755709040302	0.000433773154170003	0.0360371932199667
CASP1	4.15348381102374	-0.491242333836313	0.187958743462374	0.000452387841227678	0.0361654204392768
GMFB	1.35936398706539	0.63830115645446	0.245613903718575	0.000449018717077356	0.0361654204392768
TRAT1	1.6290671587916	0.650745470861143	0.254349105353745	0.000480874218226408	0.0377308159745424
NFKB1	2.10544136903825	0.476863298435496	0.195032698986909	0.000522510244372886	0.0389150851393547
CARD16	7.18894528872629	-0.388513405993921	0.154688231120311	0.000532705909389326	0.0389150851393547
