""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MYL6	145.803669286413	0.249300443987231	0.0399724704575387	4.7169232573288e-11	1.69573391100971e-07
LILRA5	15.674439353007	0.549810012077929	0.0946331653813766	2.97914337044084e-10	5.3550102083674e-07
FTH1	1105.70154379172	0.337642029830645	0.0606537181655732	1.97714066790524e-09	2.36927356703978e-06
S100A4	497.556437088001	0.289375575083698	0.0534265979929995	4.95392161088918e-09	4.45233704778665e-06
ERAP2	5.82545503123508	0.972658739611015	0.192706308947211	2.49671907652612e-08	1.79514101602228e-05
RPL38	107.018460575698	-0.444372129445187	0.0915917140398061	4.96521537879595e-08	2.97499154779524e-05
MT-ATP6	754.770406271251	-0.546367760160949	0.112792682152979	5.80496798042421e-08	2.98126569851786e-05
CD1D	8.9290698913289	-0.619565772678939	0.133573404525556	1.78567693439476e-07	8.02438572393646e-05
TAGAP	5.52487172399468	-0.940262257971445	0.209310223134437	3.39848298008703e-07	0.000123907511523524
RPS26	177.654077131345	0.713973500177159	0.15858578777165	3.44666235114115e-07	0.000123907511523524
EFHD2	37.7641285912579	-0.362239821323037	0.0807621562394853	4.38213607202523e-07	0.000140520772426405
MTRNR2L12	334.737854177236	-0.786106297032181	0.181288913539402	5.08141875255427e-07	0.000140520772426405
MT-ND4L	433.722404557506	-0.446639377432184	0.101682784504162	4.81882138477134e-07	0.000140520772426405
SBDS	5.53643900533626	0.606424135335098	0.143261729138725	9.17172597017283e-07	0.000235516820448367
IFI44L	5.03094223052733	-1.38015517677303	0.32411198322165	1.19657795398593e-06	0.000286779849638628
TAF10	10.8551523768229	-0.662435558888677	0.161753913887736	1.78063883350238e-06	0.000376552741555357
MT-ND3	680.784498426924	-0.410299822759599	0.0991091664511621	1.74864489431966e-06	0.000376552741555357
ACTB	1024.52322120764	0.185488703951913	0.0453293275631918	5.57995101876781e-06	0.00105578546907738
DDT	15.1876643521492	0.434439480213819	0.112570136725136	5.46559630513634e-06	0.00105578546907738
RPS18	262.648107671277	-0.244423537488654	0.061576319884326	6.35852280827325e-06	0.00114294447478712
LSP1	71.6862783430916	0.338314964731653	0.0886330156318109	8.51819314656157e-06	0.00145823354104233
LMNA	8.60032376747938	1.1096441771042	0.309315736435639	1.0857599973364e-05	0.00177423054110198
MT-CYB	614.056440870428	-0.343897030430262	0.0929805772296517	1.20793030908961e-05	0.00188804759181615
RPS25	180.728752097778	-0.178817337070791	0.0462298365074003	1.58024835782744e-05	0.00236708035266236
RPL37	354.715968887947	-0.224590191445754	0.0599650381981662	1.79050377660082e-05	0.00247967896202745
HSP90AA1	45.673018756035	0.273708510542004	0.0734328411950742	1.79337004207827e-05	0.00247967896202745
H2AFZ	25.473570634447	0.265681184737077	0.073147663671963	2.21218941661381e-05	0.0029256585307441
F13A1	4.69062357509603	-0.962143216254676	0.284487469682711	2.27867701977288e-05	0.0029256585307441
MARCO	7.09377899868962	-0.60043421952017	0.166481629505607	2.61559373823607e-05	0.00324243430653747
TNFAIP8L2	5.45038204402451	-0.670194643178	0.204108986027861	3.95987486899328e-05	0.00444867192313464
ID2	48.4148041461222	-0.530647740124546	0.16234475899734	3.85908932758112e-05	0.00444867192313464
ATP6V0C	40.4106917936946	0.317824661565513	0.0914104240964524	3.72046093892901e-05	0.00444867192313464
CYTOR	5.58743595012458	-0.574501093970301	0.173711365917875	4.92228891636762e-05	0.00524325398889744
UCP2	39.9767502335565	-0.321645498702616	0.0957441605035619	4.95884939144681e-05	0.00524325398889744
HES4	3.99561978895992	-1.10357690410032	0.355813286377341	5.28320737636826e-05	0.00527586958834552
RNF7	14.5027661796776	0.299789470305441	0.0891080914506083	5.20677255450075e-05	0.00527586958834552
SMDT1	16.2471273192216	0.363824870830734	0.119152602404976	0.000120947191682267	0.011593774570098
MT-ATP8	136.196086881309	-0.606856581583788	0.208377810883027	0.000122548938432191	0.011593774570098
PRDX1	20.0391875573313	0.267573714793515	0.0857928634787135	0.000139320107710855	0.0125213946805131
HADHA	14.130388066555	0.299148017739143	0.0977528540498812	0.00013611521550579	0.0125213946805131
FTL	1504.01778241176	0.211562629443561	0.0629017025781332	0.000144299072373773	0.0125820465721401
MT-ND1	451.521281104668	-0.313984142844114	0.10450981861638	0.000146994702650871	0.0125820465721401
RNASEH2B	5.09099488725	-0.515019416488947	0.173167809729531	0.000151979929886828	0.0127062290219336
RPL27A	64.8157894914531	-0.29392702511451	0.0990049305996187	0.000160847459627094	0.0131419685763501
AC020656.1	9.92490022587148	0.592757304337287	0.207693242226743	0.000178549991956277	0.014264160468507
RPL29	258.372695597503	-0.116312402654447	0.0343296984712121	0.000209561735828339	0.0160346785566825
SMIM25	21.7194545812799	0.288089041484783	0.0983546110636898	0.000209632793369702	0.0160346785566825
