""	baseMean	log2FoldChange	lfcSE	pvalue	padj
CD81	4.31254005282619	-0.883072023099881	0.196511251966029	2.88511740664204e-07	0.000142332517291273
TAF10	3.07657506696486	-1.106653175536	0.240286596356672	1.30189512221083e-07	0.000142332517291273
KLF6	16.4121131686697	0.644010175179238	0.142830191672602	2.48324950650166e-07	0.000142332517291273
MT-ND2	74.8834601658048	-0.401466894036179	0.0892653474021399	3.16470299702664e-07	0.000142332517291273
S100B	6.84011568208426	-0.0386284942097794	0.0871753000265399	6.83652089450334e-07	0.00024597802178423
HLA-DPB1	4.4768670779645	-0.751658946558992	0.185394084758516	1.67872898084878e-06	0.000436571933645331
CD7	21.4081982956763	-0.385312138627196	0.0923674955584391	1.69872347721919e-06	0.000436571933645331
EIF5A	11.0005307208491	-0.421426088288015	0.106957652235564	3.64094859809386e-06	0.000818758315996358
GNAI2	4.44486450182753	-0.599448590178158	0.157815557242548	6.52346338897078e-06	0.0011110684987053
ERAP2	3.02816490917213	0.705174268901792	0.183783520367644	6.79363729058269e-06	0.0011110684987053
RPL13	377.604276094857	-0.111525840346504	0.0260228326653752	5.61156755200227e-06	0.0011110684987053
DUSP1	71.0749772136642	0.710415810673889	0.189736089209247	8.42488232044333e-06	0.0012630302745398
YPEL3	8.61284962207599	-0.506861330283839	0.139910744836364	9.96833070928671e-06	0.00137946361123129
IFITM1	60.7258831961362	-0.242828973266296	0.0637368450371047	1.14005079298347e-05	0.00146496526898376
TGFB1	12.3646102234624	-0.48149306714347	0.136348197787575	1.79481964820999e-05	0.00215258703141984
SMAP2	4.14003368095331	-0.607631019596093	0.1765258190169	2.31881153447854e-05	0.00260721371907931
PPP1R15A	10.2666718469506	0.821656617018511	0.240700190979728	3.07264007002272e-05	0.00325157616821816
URI1	3.44186988530139	-0.525565734222278	0.158291291491743	3.60055790420928e-05	0.00359855759426249
RPS18	247.950830954611	-0.177459921462963	0.0510586946375712	5.43033122325471e-05	0.00488458293531762
RPS26	144.569778998505	0.726883685388285	0.226672028376722	5.39793825747442e-05	0.00488458293531762
MT-ND1	127.99882315479	-0.273006783542892	0.0848587201348705	7.57833702206027e-05	0.00649210871556497
MT-ND3	251.810895416394	-0.349856239906215	0.113037771214325	9.28762324089922e-05	0.00759474282289895
NFKBIZ	4.22796554150336	0.652964195936602	0.214586826066776	0.000118495031101041	0.00926837221525098
HLA-B	263.894353181216	0.24107711166036	0.0772093314445124	0.000130934119254214	0.00981460335576381
S100A4	124.114085128639	0.188964432903925	0.0593072277383238	0.000142837091601782	0.0102785571116642
FOS	52.4691091455198	0.821721781166838	0.289406888493772	0.000168346118080271	0.0116482564010157
CAMK4	5.59339168411301	0.372887801230371	0.128902486475456	0.000184468925552886	0.0122910961877645
EFHD2	7.15451773210019	-0.462026897362336	0.167619092876851	0.000197923091766316	0.0127165586459858
RPL13A	90.0590057628914	-0.14030502947176	0.0444932908904998	0.000256647055651091	0.0159209673488384
DNAJB1	13.4120061023489	0.421137084093841	0.153034385524663	0.000266056150011211	0.015954500462339
TAGLN2	16.9626065366152	0.289047252619796	0.10244831447997	0.000277669511641118	0.0161137887562055
RPL31	52.6724493729397	-0.132849750603802	0.0420525075067672	0.000301496310287003	0.0164361170365551
MAP2K2	3.46744186614398	-0.527195775927401	0.197306910563157	0.000295943584487119	0.0164361170365551
RNASET2	4.87521976289183	0.400260672802584	0.15325228051801	0.000363171844201901	0.0186670327919777
MT-ATP6	321.452877617924	-0.260925236930102	0.0956464047434173	0.000354323972827833	0.0186670327919777
S100A6	58.214441635709	0.169070897401322	0.0571348944019665	0.00037833323527951	0.01890615250744
S100A10	24.1936988325237	0.272067638776167	0.10362652172814	0.000425945033570439	0.0207101382538708
MYADM	2.77183341926167	0.657382785518846	0.262593184084596	0.000455961244155588	0.0210326738009206
SMDT1	8.63153196625383	0.2807741156245	0.10517075478359	0.000449658008158975	0.0210326738009206
BTG2	6.51023485112792	0.469945870890479	0.188188675851588	0.000519321265041087	0.0222442608525932
RPS3A	221.25284701043	-0.128912008761611	0.0429034749048215	0.000502657476488944	0.0222442608525932
NFKBIA	27.5021995752566	0.5978275222868	0.240650731296178	0.000507486346241436	0.0222442608525932
PHACTR2	4.19336264575109	-0.391801505324792	0.15862213659555	0.000566906815731684	0.0237177991046814
RHOH	4.30935974869982	0.42032365331	0.174447593164813	0.000643295822585916	0.0263020269280014
GBP5	11.0587780739337	0.349650614566144	0.144391381164981	0.000664355017398557	0.0265594372511112
TUBA1A	5.94971187746226	0.442401118145112	0.188219570891954	0.000709190925007041	0.0271454143422908
TMIGD2	2.94662315196899	0.455651599316448	0.189102857467605	0.000703734095459227	0.0271454143422908
ZBTB7A	2.8166002844431	-0.464128480017893	0.203028398245572	0.000757895720979686	0.0284053000425511
ARHGDIB	45.0731155390789	-0.126311988434644	0.0444327151777668	0.000938774138598316	0.034466421945681
ABHD17A	5.56833409852271	-0.371713365096793	0.170178255429848	0.00103826697200548	0.037356845652757
HLA-C	163.806097899248	-0.209737468240685	0.0854909659417046	0.00111264114299634	0.0384931041586617
SRRM2	8.80414785425736	-0.279832176176011	0.122538664452425	0.00111017883529474	0.0384931041586617
RPL37A	108.987033886438	-0.139053564988581	0.051981360072054	0.00123676938502372	0.04198015327656
EEF1A1	717.716149801157	0.084672998460139	0.028543281210098	0.00127976733785013	0.0426352118665256
MT-CYB	301.995594913706	-0.212494401185022	0.0903688741383218	0.00131240172073296	0.0429274671927016
RPL27A	43.7353855159039	-0.205301017179386	0.0869609737935671	0.00142314271520461	0.0457184597259482
TNFRSF1B	2.63787246372094	-0.424492324629332	0.221116383407182	0.00152191625253854	0.0459267981218176
CMPK1	6.0732757732607	0.260297758692448	0.119773521732292	0.00155727331041183	0.0459267981218176
TSC22D3	35.3419265754216	0.39416491452071	0.195045820020004	0.00145757374002139	0.0459267981218176
CYTH1	6.43329153911025	-0.261673582413516	0.121143233329897	0.00154039945414066	0.0459267981218176
MT-ND4	90.4201986896508	-0.219781401495878	0.0986017514763994	0.00151666933339946	0.0459267981218176
LDHA	9.37670847781189	-0.286913417583586	0.133404990662109	0.00160739036019604	0.046640246096656
TES	3.36968347328902	-0.345362444062558	0.178418138899392	0.0017196420667005	0.0488314628643296
SET	10.6751348702102	-0.252534128439462	0.119367603030429	0.00173719489900895	0.0488314628643296
CAPZA1	4.56660380813493	-0.286734249420957	0.143793678922055	0.00191059782604074	0.0505465513095189
TUBA4A	4.11546005063447	-0.533565529708611	0.283550688219605	0.00189789292225561	0.0505465513095189
DDIT4	15.1400785035537	-0.335778222878361	0.171207442713545	0.00185626451545054	0.0505465513095189
DAD1	7.66760419568056	0.23922607815437	0.112016500454328	0.00188835651378729	0.0505465513095189
S100A11	11.9017477610362	0.338481690782516	0.181900436633093	0.00198264260086722	0.0516923773762339
RPS9	98.8989594542528	-0.144804625637639	0.0595746561960931	0.00203989433211726	0.0524252843354137
RPL17	19.3006253391065	-0.216794510490395	0.102746452092638	0.00218800506440373	0.0554397339558071
IRF1	16.4717231095793	0.393352674356506	0.213047927072471	0.00224026165414209	0.0559754266083559
