""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SMDT1	11.7827205985868	0.837447083323057	0.108235075196649	4.37752376678325e-16	2.22991060679939e-12
RPL27A	57.3311971879581	-0.338503220424844	0.0664021379124299	2.12499807874409e-08	5.41237010656121e-05
RPS26	138.784690242986	1.08427268623781	0.221677123015759	5.15547421623616e-08	8.75399521916901e-05
RPL27	85.478823112896	-0.172902501830527	0.0385520171779081	1.00852052006935e-06	0.00128435088230832
KANSL1-AS1	1.56623320033442	-1.37317551273939	0.37602031832245	6.02830660800941e-06	0.00614163877223999
NAA60	1.10778176236963	-1.09648300894138	0.294055843025733	7.80996314461908e-06	0.0066306587097816
RPS20	44.549719689421	-0.240320694268047	0.0628171589919111	1.10822790211107e-05	0.008064732761934
RPS18	328.606937302592	-0.188022230874416	0.0489038696590594	1.29894386033195e-05	0.00827102503066369
METTL8	1.36787089115958	0.943961510194959	0.274128689722865	2.88501026737064e-05	0.014696242301986
ERAP2	3.11428325566288	0.693165805323617	0.205696353208723	2.7318918313261e-05	0.014696242301986
CMPK1	7.48604106151422	0.373128480283339	0.110086878662385	3.29982463164863e-05	0.0152811878851074
AVL9	1.30576477974955	-0.957624634326784	0.291612290721705	4.26667811830132e-05	0.0167188141035592
MT-ATP6	400.415459304491	-0.28948761306769	0.0850427070555195	3.99311286193742e-05	0.0167188141035592
TMEM14C	3.00292685829086	0.560684447425639	0.171998564882317	5.19387450079882e-05	0.0188982833621923
NBPF19	1.2681968171563	-1.0945607359755	0.365423935490333	5.71073879778424e-05	0.0193936689572753
EEF1A1	752.131421883917	0.149863078196462	0.0427558410876741	7.05113788994895e-05	0.022449060257125
RPS24	195.909004751684	-0.158521179207785	0.0460719050608507	7.82497711026652e-05	0.023447313764528
TNFRSF1B	3.57355836862624	-0.580859974416243	0.195265328175304	0.000107309249252377	0.0258819403519698
CYTOR	1.48953056239008	-0.894091741873271	0.30656010497092	0.00012194082615769	0.0258819403519698
RPL31	59.7449578733859	-0.155848087944604	0.0471645277066453	0.000116465960509733	0.0258819403519698
ZFC3H1	3.70321041791297	-0.498800703475657	0.165316774825895	0.000109465984376265	0.0258819403519698
RPL23	32.6792197088319	-0.213937235128419	0.0672202359317869	0.00012176332230247	0.0258819403519698
RPL13A	138.755343489352	-0.149899175159616	0.0440835715471086	9.92640121905678e-05	0.0258819403519698
MT-ND1	152.369360149368	-0.274889864775453	0.0880837434334435	0.000102690502899222	0.0258819403519698
TAF10	4.20606561962245	-0.683155811592549	0.242173782712642	0.000135655375640598	0.0265780185966618
RPS13	233.955399563985	0.13222313628812	0.0390287002937988	0.000131850209840719	0.0265780185966618
GYPC	7.96815967770553	-0.349124546767962	0.119906847797921	0.000169579592263728	0.03199401640709
RPS8	384.041533730748	0.116771528165001	0.0347842904286973	0.000188637992807103	0.0337720867480232
RPS11	74.0279320441738	-0.152056021880983	0.047208997042786	0.000192263548428086	0.0337720867480232
FRG1	3.588871418409	-0.462369668912678	0.166266012013514	0.000207913654931097	0.0344883578127906
RNGTT	2.26298790998265	-0.655467551616986	0.235446136100542	0.000209882036159503	0.0344883578127906
MTRNR2L12	191.370548219889	-0.498653294423628	0.185281865582054	0.000219581398583284	0.0349546138869765
C17orf49	1.90894367780906	-0.771246805839693	0.294831827798379	0.000258429706984502	0.0398921493145167
S100A4	37.7139824908522	0.477628551989935	0.175674873577183	0.000280590216430946	0.0419239140441398
FLNB	1.16562348943608	-0.848001305386576	0.333512864009321	0.000304512135774082	0.0419239140441398
PLEKHA2	3.67566680501421	-0.500091552685576	0.186153348278078	0.000297194610183328	0.0419239140441398
MX1	2.93274397093103	-0.708244502273768	0.263009722203943	0.000288191783189288	0.0419239140441398
IGSF8	1.18970061559603	0.792405063911128	0.289253089432854	0.000345888439479002	0.0440488927676508
MPDU1	1.07980500895033	-0.818417163970834	0.332991037702079	0.000331444560168353	0.0440488927676508
RPL28	347.838617231099	0.0984387725392213	0.0300286538601383	0.000337875956004737	0.0440488927676508
MVD	1.43054203857958	-0.728985196894597	0.294557512637003	0.000390308668449829	0.0484934721239861
PDE7A	3.39105782615245	-0.451104165424086	0.176669598421193	0.000403691096505233	0.0489619629904205
HNRNPD	4.90371865615547	-0.388767078168059	0.152702419287134	0.000426093953827057	0.0504772697859309
MT-CO2	701.940118916062	-0.229105069658386	0.0844288131562854	0.000437162365042849	0.0506114792620061
MT-ND3	320.334834264183	-0.271490079407589	0.103893990301774	0.000451637101271209	0.0511253198639009
ZNF83	1.43995688831513	-0.706907305558549	0.289263723331176	0.000465079173309356	0.0515024632356056
ARID4B	8.01959222804427	-0.297326979297949	0.115257375372819	0.000496684214342739	0.0538321146353598
EP300	2.42836971498644	-0.506971994645355	0.205574999687044	0.000512829183412963	0.0544239970897007
PBRM1	2.54678082236979	-0.488233720319234	0.201730039400342	0.000582830071793424	0.0582144389356019
ARHGEF7	1.38904103930904	-0.721886338307703	0.304911270040416	0.000569831809492089	0.0582144389356019
UBALD2	2.25291739616897	-0.662510781684455	0.288325440253939	0.000575595812861849	0.0582144389356019
RPL30	370.814296829568	0.130967873749369	0.0446151409842414	0.000610549146004931	0.0598103336490216
S100A11	7.59645586891964	0.476933284778359	0.202314968085443	0.000676866689064239	0.0638510910017265
SELENOM	2.13021243446685	0.553432810025	0.244334245232007	0.000669957978788002	0.0638510910017265
RHOB	8.02884731769892	0.777706177351259	0.354158259579133	0.00081495931184639	0.0728316269218511
REL	9.76807471383113	-0.263668510442052	0.109026653834107	0.000803645473026852	0.0728316269218511
PABPN1	4.06065807642204	-0.383762986193116	0.166894035051362	0.000811462286505082	0.0728316269218511
EEF1B2	91.3183506798026	0.154137542259003	0.0571852028347274	0.000920228042890188	0.0745343974348041
