""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	44.1315395720901	2.96811751418687	0.365806760222648	8.40503556977069e-17	2.58202692703356e-13
RGS2	1.28827864378457	-3.47071684475507	1.16492853022668	2.49019973665437e-05	0.0382494679550111
PTEN	1.36285455373809	-0.0144318985182453	0.055948351663995	0.000341376985805679	0.349570033465015
U2AF2	0.98975258756137	-0.0127336568712765	0.0552813044077888	0.0011255908487894	0.691563017496207
MT-ATP6	116.668512695727	-0.596610109440213	0.27663291351238	0.000982246388554756	0.691563017496207
CD83	2.88956688853587	-0.0189423112141587	0.0579509187795538	0.00175845918670744	0.865667520941513
RPL12	57.7122110635346	0.439984067489186	0.247632887961261	0.00197254968964538	0.865667520941513
NOC2L	0.828239452488963	9.74179757530505e-05	0.0530240776990067	0.973012983335821	0.999336306249414
ISG15	0.957012644607453	0.00236449231986335	0.0531012457975863	0.35339283976117	0.999336306249414
SDF4	0.98114455887988	0.00188216803466517	0.0530727699708666	0.497878905510479	0.999336306249414
INTS11	0.660671580413914	0.00171599925297904	0.0530728007756817	0.527002546496993	0.999336306249414
AURKAIP1	1.63212989008518	-0.00353240633784263	0.0531481774731505	0.317960811455323	0.999336306249414
CCNL2	0.932314161652263	-0.00527599222508993	0.0534108873605541	0.0696521738545078	0.999336306249414
MRPL20	1.2702419860108	0.000745805159759775	0.0530062050611972	0.825940785392415	0.999336306249414
SSU72	1.90558725537591	0.00470274921325466	0.0532351698006339	0.267787398263838	0.999336306249414
CDK11A	0.721455291478236	-0.00187480941418587	0.0530569936459384	0.538258713554714	0.999336306249414
NADK	1.03741166858859	0.00313333059019178	0.0531668016036365	0.232035490947118	0.999336306249414
GNB1	1.0404244627525	-0.00199652730067816	0.0530799792071672	0.45945441250357	0.999336306249414
FAAP20	1.33813566508006	0.00147502155325576	0.0530159026059489	0.661283572753514	0.999336306249414
RER1	0.97355944261019	0.00228286058794654	0.0530891761462909	0.4294122229501	0.999336306249414
TNFRSF14	2.59393665836166	0.00490186665799932	0.0532712623140817	0.231506974589398	0.999336306249414
RPL22	31.3527116864889	-0.0047390313350904	0.0519188858769674	0.692781965430356	0.999336306249414
VAMP3	0.80472074279363	-0.00337191035408265	0.0531768836330738	0.244568908274968	0.999336306249414
PARK7	2.9631130423996	0.00410692316700393	0.0531017385218091	0.403626248569981	0.999336306249414
RERE	0.966653598837025	-0.00065917277516451	0.0529908603241483	0.842488627817933	0.999336306249414
ENO1	3.4241850243672	0.00558437916512666	0.0533162252653618	0.240272281637665	0.999336306249414
PIK3CD	1.1772260124444	-0.00592791377279245	0.0534698931742235	0.0965921485259634	0.999336306249414
PGD	0.639396636162787	0.000243009467505407	0.053043207210589	0.96556414608897	0.999336306249414
SRM	1.24060858507539	0.00308494094979875	0.0531105772302005	0.382983111029299	0.999336306249414
