""	baseMean	log2FoldChange	lfcSE	pvalue	padj
TSPO	8.14399265622308	1.23465871496167	0.209540135111081	1.87901180997055e-10	6.15564268946354e-07
TIMM10	3.30284452583761	-1.23828224000127	0.229134246774076	4.36704400034867e-09	6.9421510403011e-06
ITGB1	14.3220700316575	1.65040429258939	0.316016370882106	6.35728117243691e-09	6.9421510403011e-06
RPL21	50.4667022896377	-0.944491681661219	0.194588331028221	4.9310858482788e-08	4.03855930974034e-05
ITGB7	14.0654419310924	0.629526138356939	0.129703353536341	7.79626619858101e-08	5.10811361331028e-05
ATP5IF1	10.8682158165326	-0.527550910861625	0.110726320965973	1.78891463471075e-07	8.37212049044632e-05
IGHA2	225.848588717587	-2.36135515903866	0.521609602247931	1.61398869313561e-07	8.37212049044632e-05
CITED2	7.22275861236282	1.23533889644243	0.275868925120291	3.03325803151948e-07	0.000110550045702948
SLC9A3R1	10.6254522957301	0.624633147529349	0.135704254709933	3.03708916766341e-07	0.000110550045702948
AQP3	23.6114823821102	0.946069589538297	0.212942443368913	5.21885451407168e-07	0.000170969673880988
RPL35	72.3165921756175	-0.339740692036792	0.0731126310963973	5.86512721704066e-07	0.000174674152391138
NDUFS6	9.14226792183984	-0.574158389526	0.130654784173309	9.51581439282696e-07	0.000259781732924176
MCUB	4.02389931804688	0.845519396393743	0.204428828927219	1.84507111978833e-06	0.000431746642030469
CD99	16.5417009233202	0.47286939443621	0.110173959269265	1.71680128908563e-06	0.000431746642030469
APOBEC3B	3.43312841834646	-1.54197771176339	0.388524483149972	2.09705549248921e-06	0.000457996919559644
BMP8B	2.86818010732066	1.04612044390105	0.26329443998155	3.71383742245376e-06	0.000760408212247407
CCDC32	6.7129863988828	0.68081847040346	0.173021119731368	4.21661130832208e-06	0.000812565802709595
ATP5MPL	13.4096452039643	-0.458430122691686	0.113111949586551	4.86884805846541e-06	0.000839491907343825
NSMCE3	1.60104469862064	1.02021601137048	0.261637006579745	4.85861509883817e-06	0.000839491907343825
JUN	14.9318389876872	1.52195632649126	0.396705422141928	5.63816158362046e-06	0.000923530867397031
PTPN6	7.23031506723964	0.834483776798526	0.218615917759679	6.15373105551639e-06	0.000928585447449964
GPRC5D	2.63587777606425	1.00513364300112	0.263311706683234	6.51937279955714e-06	0.000928585447449964
ICAM3	6.54740370807113	0.65162453374053	0.168600371765448	6.38259912257576e-06	0.000928585447449964
FCMR	2.75871544735069	1.01924458050769	0.272348109123134	7.47797758770848e-06	0.00102074394072221
UFM1	7.55858936953236	-0.563320523534053	0.146217792782625	8.98736172808256e-06	0.00117770388084794
JSRP1	2.2905463107642	1.44006917092028	0.402910605443869	1.05074291512287e-05	0.00132393607305481
GMNN	1.48501772646683	-1.64041621328427	0.441229287338929	1.27978879532573e-05	0.00153505835168653
RPS26	90.8468233036183	0.442430303234103	0.114439834994226	1.31201568520216e-05	0.00153505835168653
S100A4	20.1467663476364	1.21880460838375	0.332447324238107	1.42688488602491e-05	0.00155815829553921
RNASET2	4.78941657577009	1.08283322443771	0.313931681390623	1.41304344891214e-05	0.00155815829553921
PERP	3.21507449994683	1.08297500215009	0.30238400453649	1.6184340698055e-05	0.00171031935892994
S1PR4	4.74362621416754	0.779987842274821	0.221211365619292	2.08247031788796e-05	0.0021319289879378
