""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ERAP2	8.42118346750596	1.11176824668481	0.15532370913311	3.22547036927112e-14	1.17923196700552e-10
HLA-DPB1	26.6248009421751	-0.5685464271525	0.078732578333201	2.54183644444892e-14	1.17923196700552e-10
RPS7	350.540472394085	0.188363542602119	0.0279993376091716	2.18782072415282e-12	3.99933628375136e-09
IL32	363.626686568659	-0.44423406245536	0.0670138052258453	1.92799878373802e-12	3.99933628375136e-09
SMDT1	21.5543694836915	0.58006565919761	0.0884280841393725	2.81468480201298e-12	4.11619505446378e-09
CD74	162.46229898822	-0.457882613145724	0.0703453359568994	4.61123939615662e-12	5.6195637441162e-09
MT1E	5.89991689553181	-1.23251968658295	0.19291750850457	8.96119450005821e-12	9.36060774063224e-09
MT2A	37.6922247011654	-0.866059389919714	0.140725734683507	2.45760185581779e-11	2.24624809621746e-08
RPL30	621.756564214593	0.199657258329853	0.0310342540211054	3.18858440805855e-11	2.59054768796935e-08
RPS2	387.630575800409	0.21920111396472	0.0348266734717782	3.96185162252224e-11	2.89690590638826e-08
RPL10	836.580681809476	0.223549239520224	0.035451158654426	4.63441001715988e-11	3.08061873140664e-08
EEF1A1	1298.26700011086	0.24846612217083	0.0398729886321588	6.78524013849954e-11	4.13447299105905e-08
RPL5	223.460456490378	0.224229788077252	0.0363791968313124	1.03366553593551e-10	5.8139710759696e-08
RPS8	532.628678591396	0.180108226184467	0.0302146911256921	5.39555778421615e-10	2.81802275129918e-07
RPL32	583.57552500977	0.186854186724722	0.0310603547136453	6.30545189174714e-10	3.073697615497e-07
EFHD2	6.92005701900657	-0.806430717385965	0.144446170664374	8.50861432714019e-10	3.65970517412053e-07
RPS12	755.754911505167	0.210108644763806	0.0359554944196234	8.14251767423575e-10	3.65970517412053e-07
RPL11	524.865674823443	0.166465510752838	0.0283133881146416	9.18019300342023e-10	3.72919840227826e-07
RPS13	346.260644831488	0.197135906481343	0.0341193135259668	1.09084466120957e-09	4.19802955934966e-07
BTG2	11.4222267801034	0.655516584993676	0.118175817190353	1.58210225011293e-09	5.78416582641287e-07
RPL12	331.261717482842	0.199072046795238	0.0348914273080218	1.86111594707502e-09	6.48022847857739e-07
RPL35A	324.259850398058	0.177149652438411	0.031548562287696	4.08354127883942e-09	1.35722062867608e-06
SMAP2	17.0093296204459	-0.565536519028041	0.107513716109625	6.12309628930136e-09	1.94661217684224e-06
H3F3A	110.300684274378	-0.18599311440967	0.0343280828364812	1.03836837053119e-08	3.16356230221837e-06
RPL18	339.02018610078	0.149785536733762	0.0273258882710729	1.13787029489177e-08	3.32804303849944e-06
KANSL1-AS1	4.17070774266226	-1.28485292036923	0.24863077327864	1.22300379810011e-08	3.43946298911846e-06
CARD16	20.8897244945271	-0.457390371781973	0.0878541692696943	1.31049151726475e-08	3.54900517564438e-06
CFL1	162.73999785534	-0.203598768911086	0.0383844888156427	1.71404068046416e-08	4.47609480555499e-06
RPS26	306.92813124299	0.89504833495881	0.179110938676827	3.29092466750549e-08	8.29766936855177e-06
RPS3	471.818309869306	0.17174759694388	0.032837779238487	3.61905405243082e-08	8.82084107712471e-06
TPST2	7.05719942764784	-0.674190948800561	0.135584801759626	4.05912702291053e-08	9.57430219081349e-06
C17orf49	4.46804474599155	-0.860987428499984	0.175528195721837	4.96936839875768e-08	1.13550067911613e-05
TNFRSF18	5.04965538734982	-0.811983398363705	0.169761609277064	9.45071542147081e-08	2.03245974005278e-05
PFN1	350.268082769488	-0.187225894856711	0.0381052993870987	9.2778876934682e-08	2.03245974005278e-05
TAF10	8.93430689223231	-0.801706148057768	0.17448754618351	1.70376127687436e-07	3.55940070185866e-05
PTPRCAP	14.8906141946756	-0.66305951057147	0.144585554754799	1.7633309641271e-07	3.58152111380482e-05
EEF2	120.083547231448	0.223261037703152	0.0465612631846107	2.36782613586344e-07	4.67933640687391e-05
HCST	51.8264948789526	-0.287599869703211	0.0615928756685739	2.46428126125024e-07	4.74179594270047e-05
GNAI2	16.5990707733552	-0.421554614714517	0.0927838827175465	2.71693825580016e-07	5.09391090420789e-05
MGAT4A	13.0873785872446	0.486540421601505	0.107803902015083	3.69723268963455e-07	6.75854135665195e-05
YPEL3	24.0670654753325	-0.432237807582097	0.0970161707931889	4.29987094577349e-07	7.66845276963311e-05
TNFRSF4	13.6172350520676	-0.554800998362417	0.124836409110275	4.85159576574117e-07	8.44639719978557e-05
HLA-DRA	18.6225521847805	-0.612714510199674	0.140083251613925	6.29271145910686e-07	0.000107005363230208
PRF1	5.47437946785213	-0.772946634438328	0.177829802724579	6.7723318248565e-07	0.000112543841598524
RPL9	239.188386934302	0.16662293028176	0.036204310870514	9.20514518341465e-07	0.00014632178604593
APOBEC3H	1.56196107812109	-1.26664851631756	0.302360072787725	9.07518554864601e-07	0.00014632178604593
PHF1	9.18841944572833	0.43104208165841	0.100205468662541	1.03265216702015e-06	0.000160654311601092
SAMD3	9.41924372510145	-0.539325628527223	0.127195303330849	1.10089517834725e-06	0.000167703032168232
RPS27A	528.333751701433	0.140066170967319	0.0303582275722737	1.15290053473957e-06	0.000172040994081954
RNASET2	27.2276696425295	0.313627646546281	0.0726612336657245	1.39636648270968e-06	0.000204204634431464
SET	25.6155520942475	-0.366208966545918	0.0885680315156804	1.75843869555297e-06	0.000252111838076144
HLA-DPA1	26.9855920386031	-0.416130695287976	0.100287116738375	2.02358635600203e-06	0.000279178555378998
RPL3	265.09553836395	0.170489172829477	0.0384717451899692	1.99350067383607e-06	0.000279178555378998
RACK1	224.048920688229	0.140508368372031	0.0313633162797339	2.18239340708941e-06	0.000295512233196996
THOC3	10.014710893373	0.505801327834894	0.125624431744676	2.81172728372843e-06	0.000373806361793132
TGFB1	24.5063562269721	-0.455141137865028	0.11313802298389	2.96797929313991e-06	0.000387533296275697
RPS5	170.500614791367	0.220944443264187	0.052173708999758	3.09078211209327e-06	0.000396487698309227
CAMK4	15.7257559846497	0.353167890220634	0.0869698481964475	3.24982296558374e-06	0.000402757720751666
RPL41	1062.78784148517	0.121181891501577	0.0272255684518031	3.22209480475836e-06	0.000402757720751666
CD52	393.656206464641	-0.207110878960306	0.0492746718047375	3.58351694528001e-06	0.000436711265064791
RPL19	494.531871786913	0.143807349167142	0.0329495284239312	3.65308018622065e-06	0.000437890529863039
SUB1	57.7160743274195	-0.226798756516089	0.0549923497402226	4.29774361789336e-06	0.00049881113228629
CSGALNACT1	3.36334361592081	0.672758555057362	0.171125756226756	4.28438207327225e-06	0.00049881113228629
ID2	7.13632653146349	-0.718637562198372	0.186803614539597	4.79812430096152e-06	0.000548185701384853
MT1F	4.67478300549637	-0.597167606865635	0.154244507893037	5.74325379528486e-06	0.000646071873094199
NBEAL1	4.36054640194583	0.676391456081924	0.175128569866173	6.25600508485938e-06	0.000693089533037754
SH2D2A	6.50968089113773	-0.508531181770381	0.132176613686069	6.66447734938858e-06	0.00072732325938402
CXCR3	14.3957248328153	-0.615252394693003	0.163404243379134	7.02038433727317e-06	0.000754897798149139
PPP1R2	23.080520765434	0.284728468870217	0.0729340238981586	7.72398898465969e-06	0.000818518948635241
CTSZ	2.30620414089043	-0.874777604948775	0.237528547830929	8.48076558736405e-06	0.000885876542497227
SP140	7.62333276721369	-0.432228033323664	0.116076125867598	1.12542204500937e-05	0.00115902619621247
APOBEC3C	6.06472331016606	-0.538423652536968	0.146496749178298	1.17722963487504e-05	0.00119554209586199
RPL8	285.988671672645	0.17255007952277	0.0427567536954166	1.2107247314167e-05	0.0012127149638519
FAM118A	3.29659636291375	-1.02761462078202	0.283455511891608	1.22932200477561e-05	0.00121470304039449
MT-ATP6	614.499278310967	-0.272242242983668	0.0722895267082151	1.38000534996884e-05	0.00134541321586295
