""	baseMean	log2FoldChange	lfcSE	pvalue	padj
TMEM14C	24.4989244797641	0.416185086453717	0.0723459795592995	5.10449060719204e-10	5.47967066682065e-07
SMDT1	32.55666385168	0.506244510877751	0.0882490615499215	4.86084650140049e-10	5.47967066682065e-07
RPS26	263.153715460619	0.782904791727657	0.155407737795512	2.46848128618253e-08	1.34558351768635e-05
RILPL2	16.3468491966079	-0.51267335450863	0.101860194367716	2.50690920854467e-08	1.34558351768635e-05
S100A10	323.896107290859	0.283987208465228	0.0604791783734097	1.87303684929454e-07	8.04282023087075e-05
DDT	19.8272594717999	0.448278218791926	0.10213699294258	5.55940622105479e-07	0.000198934085943411
MARCKSL1	9.56832650180934	0.8721266285674	0.207153724395843	1.36098222620535e-06	0.000417432691380414
APRT	36.9497830888367	-0.313881355559132	0.0776050060144693	2.55028691860031e-06	0.000684433251779359
LY6E	33.5141817594169	-0.53626519340519	0.135769334775613	3.59879201010319e-06	0.00085851182729906
AC245014.3	9.11761221427942	-0.974408488556948	0.25758556702758	6.05109488702501e-06	0.00129917007224427
CTSB	28.9957576801305	-0.320967526085563	0.0855717114130068	9.13697063350491e-06	0.00159171467041501
IFITM3	68.7971439588659	-0.707409588766062	0.19399775138354	9.63776931317889e-06	0.00159171467041501
TAF10	14.8888523479546	-0.506704075335378	0.134872598200437	8.24675561811377e-06	0.00159171467041501
IFI6	13.3855984118798	-0.852618783395083	0.237960620711871	1.28801016431182e-05	0.00197525558769819
PLSCR1	18.4272054272504	-0.411239084621397	0.115095568667659	1.59954553988471e-05	0.00220225493117935
RPL12	422.311549070123	0.131962694166732	0.0337566706079655	1.6411774056297e-05	0.00220225493117935
RPL35	228.81541663843	-0.117907148791263	0.0303175863757231	2.14924340740825e-05	0.00271436799747383
HCST	33.6810114144482	-0.334881675356964	0.0962791697747413	2.66256256237864e-05	0.0031758454563483
LAT2	14.2636089818039	-0.35109895203532	0.101646827639649	2.90130818747124e-05	0.0032784782518425
GNAI2	37.8952877998995	-0.25794141754323	0.0756902448441291	4.35675964586021e-05	0.00427477524514324
RNASET2	47.3992168302231	0.238422253913205	0.0705216455564813	4.57940524631088e-05	0.00427477524514324
ATP5F1C	37.9346559531668	0.197909727052724	0.0572102266232357	4.40477073879807e-05	0.00427477524514324
CTSZ	58.1902138477462	-0.310463587619409	0.0921302463247229	4.14612726838749e-05	0.00427477524514324
SAT1	101.006443268065	-0.330522256102885	0.101410430994909	5.31705780765104e-05	0.00456628924521072
DNAJC15	21.1039191468064	0.269986521699504	0.0814572631394736	5.29223971778171e-05	0.00456628924521072
SH3BP5	8.00449153899904	-0.47363804416793	0.14792761530139	6.22683945899286e-05	0.00514193243017603
LMNA	16.2015008791142	0.658624154919915	0.209153574553594	7.48888360080343e-05	0.00559641173038969
RPL27A	114.560549630744	-0.205469534693976	0.0619650890601947	7.22285257166204e-05	0.00559641173038969
H3F3B	219.108636293201	0.135133862827909	0.0386944232299229	7.55919609600843e-05	0.00559641173038969
RPL17	41.1667805848169	-0.273526060652352	0.0863331838638006	8.16354953475456e-05	0.00584238028370601
CST3	997.712385293213	0.225192043303623	0.0680792376870566	8.60368299656789e-05	0.00595874432052622
SGK1	8.1919194365809	-0.737674910490646	0.250188759517413	9.94425647281665e-05	0.00636117833008992
IFITM1	22.3472903921794	-0.666520274101569	0.224174608933979	9.74402275791496e-05	0.00636117833008992
LGALS2	59.8659597221688	0.443018853855293	0.142997956623887	0.000100735940020055	0.00636117833008992
PTPRE	22.1788065940353	-0.285983756529766	0.0926162792588916	0.000117116591069066	0.00718426631500814
PTEN	10.417660648008	-0.350085334453905	0.11496389923277	0.000125533004312193	0.00748664889606327
DBI	52.194303895795	0.242589125174682	0.0808477494360094	0.000167540954550635	0.00972190349784363
ATP5MC3	61.0769431475106	0.147296011417239	0.0472228115201619	0.000231924359263163	0.0131037262983687
CSTB	67.5607625775252	0.146673730231379	0.0475372821659807	0.000261855472231965	0.0144154794585136
MYADM	26.9888650743481	-0.40917474590516	0.151990277039071	0.000280035900756882	0.0150309269731257
WASHC1	12.0964017820652	-0.348320198694332	0.130139490584879	0.000342506989379588	0.0179356708828774
DCXR	14.9718039826861	0.304452418324694	0.11257016236696	0.000352006138704798	0.0179942185666477
GTF3A	20.7353267715489	0.214289851137511	0.0779869114628896	0.0003899660493932	0.0194710955359814
C17orf49	8.22708382373719	-0.41303197855305	0.162521067924126	0.00039986832083815	0.0195117564736252
RPS18	581.792342594746	-0.121490383269111	0.0397049184583318	0.000428254695159673	0.0199883224023439
ACTB	2062.93627624454	0.116961849391492	0.0381530313280685	0.000427904599014964	0.0199883224023439
EPSTI1	9.40358895840992	-0.459212155188453	0.184544420028121	0.000474384767032185	0.0207857978534306
JPT1	11.2455019317926	0.282389960333315	0.110492412352095	0.000470281652745462	0.0207857978534306
MT-ATP6	757.826499189436	-0.232979251905972	0.0878873634708181	0.000466369562411321	0.0207857978534306
RPL21	210.300831842734	-0.426929024078874	0.174272562995835	0.000501504199049902	0.0215345903072028
FAM162A	12.2314954730041	0.271297200190155	0.107245899479919	0.000539002905014911	0.0226909654326866
SEMA4A	11.8713614849247	0.262170104450806	0.104565768918152	0.000594558220340473	0.0233218453740911
CYTOR	8.21839783076041	-0.357848039065173	0.145012241515261	0.000584763118214412	0.0233218453740911
CYBB	19.9739282352555	-0.314594728260438	0.129855389719796	0.000597438982568705	0.0233218453740911
LMO2	7.63936605462595	-0.388126002396242	0.156314550565677	0.000566814892291319	0.0233218453740911
TGFB1	25.29503757251	-0.293391133184272	0.118016446603761	0.000614698521857802	0.0235671022576554
MT-ND3	510.21697490436	-0.22535128601508	0.0884302556668887	0.000642405065596375	0.0241972574707968
RPS6KA3	9.27511096069457	0.297332109856739	0.123338995554321	0.000680777064886982	0.0252004889364198
KCNK6	11.8249626436491	0.286064768995562	0.119217693660628	0.000757354430780812	0.027559999370956
SUGT1	7.89683047200595	0.30112453682003	0.130632448965728	0.000849070734031898	0.0303825810994414
RPS9	315.672173667734	-0.125581418824097	0.0447651467920164	0.000880111861606791	0.030977051915898
STAT3	10.4194936792521	-0.32441829012883	0.142289757342119	0.000925533879684596	0.0320503425755295
PLP2	36.1618121651702	-0.175504130465388	0.0690266780472408	0.000962414749900923	0.0322860073130825
RGS10	37.9379147623102	0.178274438845002	0.0706383527791074	0.000954283555482176	0.0322860073130825
RNASEH2B	8.93352353686083	-0.30155078752695	0.133263694435247	0.00111192934970172	0.0367278817509167
CD55	12.5786199264353	-0.279189400319675	0.123256383780308	0.00117240370147196	0.0369445580677081
RAC1	78.7886740737104	0.154919976039365	0.0610554759114736	0.00116984583642098	0.0369445580677081
RPLP0	430.887591739269	0.10319143325678	0.0365391705795535	0.00115670154641796	0.0369445580677081
WARS	15.0649695949018	-0.37078822562815	0.178836299028718	0.00119023025672337	0.0369445580677081
LILRB3	8.5142608923642	-0.36773598361459	0.174819483310875	0.00120452681170916	0.0369445580677081
MGST1	9.51306434865598	-0.361269639328978	0.174650905926373	0.00124673428148522	0.0377005422866023
TAGLN2	122.147453278851	0.19898690180269	0.0844348327396619	0.00132759930205624	0.0385715570378153
NPM1	75.3001048639013	0.137664041588592	0.0535654555371832	0.00132943419692517	0.0385715570378153
POU2F2	20.2962490806957	-0.263537075964667	0.119567106536476	0.00130097719278688	0.0385715570378153
BLOC1S1	12.1518034655879	0.28501240176351	0.134761574668325	0.00135076387219641	0.0386678671147426
TMEM14B	15.073737751203	0.208266382485285	0.0928474612858351	0.00154059681243843	0.0428811293282529
HLA-DPA1	676.825510734974	0.164448934312696	0.0682210624455446	0.00153952457221534	0.0428811293282529
ASAP1	8.92832754803727	0.29444718715105	0.143473394133861	0.0015778338225114	0.0428811293282529
CARD16	41.8816247133335	-0.206409064549404	0.0927140735272996	0.00156367033837156	0.0428811293282529
ZEB2	27.8282065795899	-0.240638956760309	0.110964119296208	0.00163835721560571	0.043426579529697
OSBPL8	16.9809531416014	-0.228698147032407	0.104349348357794	0.00163547335078102	0.043426579529697
