""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS26	66.4440827975173	1.35691113187457	0.171889368613703	1.53990178722862e-16	2.35296993088533e-13
DBI	11.1226725752588	0.462216303010099	0.135868013179556	2.68251654736699e-05	0.0204944264218838
MX1	4.02524961448299	-0.0442952811664667	0.085450176308782	8.79968069861224e-05	0.0448197070249317
TMEM14C	4.973157018058	0.562822738872328	0.193858880755955	0.000121577502550119	0.0451732988264022
CD63	3.66564642715984	0.745313768646491	0.258377196484213	0.000166223010859495	0.0451732988264022
MT-ND1	77.6485933632196	-0.384710603104337	0.140955403192312	0.000177382063454459	0.0451732988264022
RPL13A	52.0204078501873	-0.212057792826445	0.0736623390773138	0.00022735505378338	0.049628360311572
MTRNR2L12	81.6218466844801	-0.663750388787286	0.275161468519773	0.000358431199235231	0.0608536524923814
EIF4A3	5.72827177016391	-0.545338569814873	0.208001116111915	0.000328253625275918	0.0608536524923814
TUBA1B	15.9707133822403	-0.480686504704617	0.191173325799662	0.000421945336838015	0.0644732474688487
OAS1	2.66914598399328	-0.0405778103521684	0.0781689345723277	0.000488108819603173	0.0678027523957861
NACA	77.5238970994177	0.18053783951931	0.0697241607010486	0.000621552694209041	0.0730563474424165
RRBP1	9.26880653637882	0.543382573667894	0.229824455665379	0.000610953918265231	0.0730563474424165
SP110	5.11406469711467	-0.566065057124421	0.252791618905699	0.000784408755656804	0.0856126127602569
MYD88	3.08550044789597	-0.64391075198784	0.285712538364406	0.000884529519146553	0.0901040736837288
IFI16	4.16044692710707	-0.0645590900699261	0.148298316350501	0.00111974302031632	0.0982591405835512
RPS20	17.7342275991177	-0.281360611597649	0.127038230346594	0.0010333817620268	0.0982591405835512
RPL21	57.8553454824853	-0.443937066244208	0.220403203721085	0.00115750296498948	0.0982591405835512
RPL35A	92.4079331392737	0.144427708252634	0.0605377084319831	0.00139003868211368	0.109140765749748
MT-ND2	48.9226959585266	-0.314613662992393	0.161239789708213	0.00142854405431608	0.109140765749748
ADAR	3.39845678660562	-0.047522570560661	0.0895078710466599	0.00185848532210171	0.129080253280519
CLIC3	17.7178928730376	0.40037398848779	0.214551088042051	0.00179139346429151	0.129080253280519
HSPA5	9.91697765711478	-0.390168298647817	0.228600772282365	0.00212414579196651	0.14111716391847
RPL27A	25.1336492017797	-0.223025039206949	0.118163602592289	0.00230133094382863	0.143521898851753
POLR2E	3.87125326171034	-0.060302550475724	0.125508901911959	0.00234819860686769	0.143521898851753
STAT1	3.14552146995995	-0.0309839736840604	0.0652675375060389	0.00261748547218729	0.153827607750084
LAP3	4.30527971099851	-0.478695096210003	0.300430177943338	0.00277885841628865	0.157262802225521
TAGLN2	52.3383084057004	0.190701932110091	0.111301058811759	0.00378732087456	0.170505055973792
ARL4C	8.99655220768935	0.349174515448435	0.246269731740599	0.00343558159771151	0.170505055973792
TRA2B	6.29450610446189	-0.309554565248276	0.219013189034915	0.00390157173504408	0.170505055973792
RPS3A	170.879255603331	-0.117796112885659	0.0570169967617746	0.00390554774809079	0.170505055973792
HLA-E	15.2714909705654	-0.26454596679713	0.168765931226167	0.00334865834568281	0.170505055973792
ZFAS1	7.08943282272718	-0.308419262178875	0.210889021581841	0.00358178771306369	0.170505055973792
MYDGF	7.2403340193587	-0.309300867947708	0.20094311753411	0.00339997438319892	0.170505055973792
FTL	71.4141631215875	-0.19390848357017	0.115551452567866	0.00375169010796028	0.170505055973792
