""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SMDT1	11.0791478519693	0.667437047250591	0.128415555592497	1.18110304181781e-08	1.6511820524613e-05
RPS3A	287.92461756836	-0.293727630526617	0.0603854954362898	8.28317734146907e-08	3.85996064112459e-05
EZR	13.3381309121782	0.63051771903269	0.128115511680277	5.67533410423036e-08	3.85996064112459e-05
RPS18	300.71729742975	-0.254848206669525	0.052788079712472	1.48801722509825e-07	5.20062020171839e-05
RPS6	209.479343053989	-0.256499078640889	0.0544018087445228	2.26850990814624e-07	6.34275370317688e-05
MT-ND3	369.762501926997	-0.508604888060893	0.122505475302549	1.35978957253441e-06	0.000316830970400519
RPL13	440.175583336931	-0.185302184432369	0.0432762484433342	2.93233316387472e-06	0.000585628823299551
B2M	335.15989678709	0.242969758297084	0.0604965241219844	6.29724475473238e-06	0.00110044352088948
TPT1	208.143264671633	-0.248937897215946	0.0633701354622089	8.66914483400252e-06	0.00134660716421506
HLA-DQB1	54.5388262422798	0.384375612278609	0.101565989104764	1.09999725141846e-05	0.001537796157483
RPL35	102.932980621159	-0.23957273209119	0.0636965624232437	1.75494134521809e-05	0.0022303709096499
RHOB	6.50547775582251	1.31451164579261	0.373199739283577	3.03957376688001e-05	0.00354110343841521
RPL27A	45.8398885634966	-0.338252304190264	0.101632039921009	5.37498894638818e-05	0.00540958259720625
KLF6	19.3053505437834	0.708727664220076	0.213291904267902	5.41732162810354e-05	0.00540958259720625
RPL23A	176.24772071893	-0.1658852260691	0.0458886615668193	6.16084193691481e-05	0.00562576353325703
EMP3	11.5205060066265	0.609091161960117	0.179712900651145	6.43864209814825e-05	0.00562576353325703
YPEL3	9.49254865540423	-0.571247797026634	0.182144895657097	6.94796896386836e-05	0.00571368271263998
RPS23	381.492398981937	-0.127916902176108	0.0353557253315262	8.13558732213154e-05	0.0063186394868555
TUBA1A	8.81818755321916	0.589440730819012	0.186554205588793	9.63817488560983e-05	0.00709166762635923
MYC	6.0369705323554	0.604065815742386	0.194422564428712	0.000113385981421765	0.00792568010138135
HLA-A	82.974052290308	0.361099280451201	0.120302924751962	0.000164153047396824	0.01092790286956
RPL13A	123.987337257001	-0.202757551488959	0.0638077856184189	0.000174220666971558	0.0110709314739199
RPS19	295.856382054771	-0.15746892694278	0.047395004010858	0.000201362945235703	0.0122393651060658
