""	baseMean	log2FoldChange	lfcSE	pvalue	padj
LMNA	18.751615523209	2.23568099697447	0.301472289379419	6.5088229586195e-15	5.63143362379759e-11
ERAP2	11.2347849647144	1.27431724879549	0.191511573486348	7.15808437796665e-13	3.09658730190837e-09
PDK4	11.5853448206114	2.07033814143579	0.338050835804199	7.54208331650219e-11	2.17513682847923e-07
GLMP	6.96178034186885	0.911841795743729	0.156908201486763	2.25495367457259e-10	4.87746479810051e-07
PRELID1	108.082255276567	-0.334806251442139	0.0619866564565586	4.19442910729688e-09	7.25804012726652e-06
SLC25A6	195.26489771861	-0.311966111830365	0.0622053749795999	3.67978191828387e-08	5.30624552616534e-05
ATP2B1	40.3403010811026	0.487042389139576	0.0985332247306051	4.69685260982792e-08	5.80530982574731e-05
APRT	59.5922547073709	-0.46490720680008	0.100611998449605	1.34143912312408e-07	0.000145076641165869
LINC00937	24.3865257045199	0.695143580853643	0.14968160726135	1.93971470586562e-07	0.000186471240390549
SLC25A28	7.93755784138288	0.634752653459868	0.141259362641178	2.61319741634822e-07	0.00020779452326912
MAFB	59.6963016480735	0.728347770949912	0.160174094305294	2.64186287096662e-07	0.00020779452326912
RPS18	737.192978491504	-0.317680970303057	0.071369282406795	5.40852237556758e-07	0.000372261835989763
RPL27	277.507463376047	-0.215197996191001	0.0471833995676787	5.59339328232422e-07	0.000372261835989763
ZFP36L1	103.894713879951	0.338150078787782	0.0765240298596233	6.6131306275827e-07	0.000408691472784611
CAPG	78.88576668464	-0.346012587663197	0.0806894110449075	1.0797120741449e-06	0.000526761689789514
RPL15	458.079486126424	-0.213590055806034	0.0482369654646536	1.03365963786836e-06	0.000526761689789514
PLIN2	15.9304057240589	0.839972129123022	0.199898252582149	1.09589810635821e-06	0.000526761689789514
CD93	38.7246302415637	0.417904488721823	0.0981756631107673	9.56612409388458e-07	0.000526761689789514
LILRA5	46.7169996998987	0.536646775712238	0.127541008724716	1.59327410492955e-06	0.000725526713465812
GPR162	5.7608106173057	0.754426938047305	0.181699547149298	1.81646985842313e-06	0.000748385581670331
DMXL2	61.0637913961397	0.29145402546335	0.0694410034714695	1.79017988983043e-06	0.000748385581670331
THEMIS2	56.9694916203265	0.352519843738275	0.0854552558213616	2.08813460105924e-06	0.000821206389471116
MARCO	12.2176854812838	-0.719180127268119	0.183858693734772	2.55186147427019e-06	0.000959943716321116
RPL4	251.502731346164	-0.220493492006133	0.0535394272548788	3.90481715069488e-06	0.00140768658282551
GNG2	21.6273050780682	0.417910050451544	0.106564474562782	4.24335836256696e-06	0.00145796140551876
ZFAS1	99.6007377293351	-0.277665239181165	0.0695637665560665	4.38129872208597e-06	0.00145796140551876
RPL37A	478.42598941095	-0.227642746587596	0.0568910089914303	5.54465634790988e-06	0.00177675432304134
LINC02432	6.68791409986967	-1.14526329760671	0.311296689036778	6.1009049314479e-06	0.00182017342989266
