""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SH3BGRL3	561.824704009001	0.317806187416372	0.0373910360454569	2.97148606437318e-18	3.03775020360871e-14
FCER1G	241.068042010322	-0.869676610888804	0.108756011171004	1.89167616880443e-17	9.66930273684383e-14
ZNF683	10.6584414798122	2.05241165300649	0.276201791039769	3.27401141362512e-14	1.11567395604965e-10
GSN	13.3249549122778	-1.53157751165537	0.221750503685704	2.2529985767723e-13	5.75810111258581e-10
ANXA5	10.0794919526416	1.08656855561694	0.169307294354872	1.1908139076941e-11	2.43473811567136e-08
TPT1	828.89923529532	-0.29469807566736	0.0463247119431496	2.68638040840547e-11	4.57714448585485e-08
ZEB2	71.4420745049303	0.41827303436342	0.0666946233181222	3.69462790408494e-11	4.84797440538365e-08
MT-ND3	1026.66976916369	-0.648395040243246	0.10693821020551	3.79377826891022e-11	4.84797440538365e-08
PLCB1	9.40359354433686	-1.43194864150454	0.238785797122255	5.13089043901168e-11	5.8281214397796e-08
TIGIT	19.1995743455236	0.798251394853819	0.132623496529726	1.36198962320053e-10	1.3923619917979e-07
SIGLEC7	13.6266732016037	-0.977355411295641	0.169200418300335	3.13295180227914e-10	2.91165147951815e-07
RPL37A	432.477686688722	-0.334872104375006	0.0573286432775457	4.39998287728539e-10	3.74841874620738e-07
ERAP2	12.9274294618146	1.34314357036872	0.238740541063055	1.51975034046359e-09	1.03576051537062e-06
ARID5B	14.1773230642053	0.730623367991398	0.130618038954685	1.50686103721128e-09	1.03576051537062e-06
PPDPF	140.819937654244	0.49854403740355	0.088030220676922	1.35351152333647e-09	1.03576051537062e-06
TRG-AS1	11.6316702297696	1.31782496647702	0.23437409123612	2.39893435785551e-09	1.5327691212723e-06
SH2D2A	49.7724594110659	0.639026318281925	0.11513727190077	2.74890002624908e-09	1.65199724786812e-06
SERPINB9	11.6535793205801	0.758012938916544	0.138922686726878	2.9087303591535e-09	1.65199724786812e-06
IL2RB	113.816393807348	-0.53757360246306	0.0988924164147792	3.10412023277736e-09	1.67018005998331e-06
LINC02446	4.7314689836381	2.66077597597013	0.47916163874414	4.00667104289748e-09	2.04800990357704e-06
AL357060.1	3.55935258162978	1.30750042285061	0.246270050160478	4.45991252191112e-09	2.07244025961352e-06
BNC2	4.81472728490576	-1.23377100666495	0.224979427410541	4.26724450993935e-09	2.07244025961352e-06
GZMH	208.480735355655	0.605183102216804	0.111081934810754	4.67668707219313e-09	2.07868573647958e-06
B2M	4274.21928157857	0.163080810496551	0.0290022683742226	6.43281009526747e-09	2.74010906682997e-06
KLRC3	27.0200415763433	1.28025000187266	0.240611518827743	9.53040578925457e-09	3.89717353534198e-06
TSPO	51.3340814467504	0.354530559161724	0.0667630351067442	1.29273833686319e-08	5.08294769913553e-06
TPST2	55.961337587757	-0.410895795945095	0.0803913944039411	2.37000808280605e-08	8.97355282612085e-06
RPS24	713.947822203791	-0.220195007204551	0.0424402110468967	3.31537904894377e-08	1.21046857204829e-05
TBKBP1	3.86770450197677	1.00749277475346	0.206198815705632	4.04090736501303e-08	1.42448951698373e-05
LITAF	159.21919239914	0.289859723053166	0.0564020294265662	4.29573306871043e-08	1.46384263871422e-05
CHST12	48.3241656148689	0.391825704787482	0.0778267364114842	4.70896819706246e-08	1.5043681837053e-05
MALAT1	5366.40701016058	0.312290724390568	0.0617401170348521	4.56492367240188e-08	1.5043681837053e-05
CST7	484.989727268249	0.325375089288046	0.063848432295483	5.34096046909637e-08	1.65456481441128e-05
RPL23A	560.500803833644	-0.243097340385432	0.0474806467527156	5.526946091181e-08	1.66182264382775e-05
SLC1A4	2.18415774378039	1.21056909676512	0.261017788687418	6.42378343954576e-08	1.87629537435646e-05
TNFRSF1B	25.3605543982631	0.597439588249222	0.121922934725195	7.3433569156843e-08	2.08530938191779e-05
RPTOR	4.64206076108006	0.875804971618999	0.185090007017223	9.6939080659563e-08	2.6784005988722e-05
CD7	289.456602252126	-0.317091097492003	0.0650145549404973	1.13311799679988e-07	3.04838560033821e-05
ISCU	31.5860511197926	0.343308864407596	0.0706038603827365	1.18487025480321e-07	3.10587913201365e-05
DOCK5	4.46382924098407	1.15021855595864	0.239960990342285	1.26304512310511e-07	3.22802757337587e-05
RPL27	265.831183679406	-0.218652667570124	0.0444724201583832	1.48490292864502e-07	3.69102426480775e-05
TMIGD2	17.8576420079485	-0.975805165176763	0.212128090209477	1.51641415555048e-07	3.69102426480775e-05
GK5	28.269955469063	0.410534787061926	0.0863129344266021	1.59195977659136e-07	3.74631755256713e-05
F2R	22.0389645051824	0.529371363207389	0.111913934323623	1.61823902407211e-07	3.74631755256713e-05
LAIR2	22.8308256429066	-1.96260313566801	0.498120173703795	1.6490686673728e-07	3.74631755256713e-05
POLR2L	73.8233976562141	-0.323084368177639	0.068261536754548	1.9626374112334e-07	4.36174831631283e-05
RNASET2	18.7992097427582	0.490139169797438	0.104450833134596	2.22158503603297e-07	4.83218379220532e-05
C7orf50	14.4018303422672	0.460740438110795	0.100172926158874	2.3331324228931e-07	4.87716118865195e-05
HEXDC	7.82804386561656	0.752075129835558	0.16126192447697	2.33767874639485e-07	4.87716118865195e-05
FGFBP2	322.591712623447	0.36379094965236	0.0767594519181685	2.49144302243475e-07	5.09400440367009e-05
ITGA6	6.12527627037286	-1.24834211803316	0.269560894300325	2.68546172698847e-07	5.38303435980454e-05
PDE3B	6.82460900327853	1.34785637026765	0.283970126648906	2.86858331438454e-07	5.63952446595253e-05
MT-ND2	282.397070308242	-0.531728910371404	0.118636206866069	3.09555779128267e-07	5.97092213212882e-05
GSAP	27.2328883103415	-0.53338538339941	0.118364167951908	4.29281035121634e-07	8.12692596675642e-05
HLA-DPB1	42.4333138604919	0.80057999934103	0.177585276853449	4.81382892761477e-07	8.78781662982247e-05
MT-ND1	470.975548405839	-0.376711409983329	0.0836862771530433	4.79473040452336e-07	8.78781662982247e-05
KIR3DL1	27.0910682730688	1.30517085666575	0.286462120396651	5.16638265782045e-07	9.2659526159471e-05
KIR2DL1	15.7428415169227	0.976730555826922	0.215935495245573	5.75077983920586e-07	0.00010136245223483
LGALS9B	7.56758953004819	-1.44978148470135	0.337313901101821	6.55406109180615e-07	0.000113562994138194
RPS27	1470.01899489305	-0.327998768222132	0.0738899802011731	7.56818879591042e-07	0.00012894932343432
CCL5	806.76974711812	0.396774315762306	0.090255865014429	9.48939652027718e-07	0.000159032951847203
DDAH2	9.83148256289354	-0.905881521675942	0.211170067276176	1.03906802513785e-06	0.000171328910015875
ODC1	11.6379146264764	0.567874306551919	0.13333073611159	1.12771414865416e-06	0.000182993995899864
MCOLN2	2.11836768339488	1.48672940671992	0.362905128036577	1.22997051746053e-06	0.000196468571874985
GPR25	3.39023334260937	1.40278534850407	0.331671894081357	1.51032522059817e-06	0.000237539303541155
NR3C1	30.5824200607571	0.321388375566393	0.0742582328438541	1.66945822951182e-06	0.000254398554492896
VPS26B	22.7841752694616	0.360693254607909	0.0842727928021811	1.69217467529267e-06	0.000254398554492896
RASA3	29.051760700222	0.332364078598586	0.0772239808352805	1.64974639139368e-06	0.000254398554492896
THRAP3	32.7102665035182	0.316766035080383	0.0738999946753644	1.76474084911109e-06	0.000261462981166126
SQSTM1	41.8574418887547	0.264091166663652	0.0605488183409405	1.7912086699403e-06	0.000261593231897138
GALM	3.09924808276443	0.861625083023444	0.21762593753032	1.85831170196115e-06	0.000267570711678152
MFSD10	24.315405089526	0.399821511940014	0.0946748946378084	1.92588136938552e-06	0.000273448406100391
RPL15	431.370919828099	-0.140743742512105	0.0310966889251189	2.02289620036335e-06	0.000283288600771432
SAMD3	51.4057238701534	-0.333570240233371	0.0783675416523731	2.05750330018833e-06	0.000284241300511153
TFDP2	33.7368105223929	0.292561998656119	0.0684931547626047	2.11779369281997e-06	0.000288669398955981
TRGV8	1.85822036274141	1.30765989461398	0.358478030882986	2.15806519390569e-06	0.000290288164174972
S100A10	106.644775585072	0.332194885362677	0.0780144603368416	2.40123857442109e-06	0.000318803401900088
FCGR3B	2.86215515731868	1.24154719440993	0.312153001088187	2.62097818332322e-06	0.000343516153437349
CD3G	13.4298530329978	1.15417646043766	0.28164082608208	2.72557709049059e-06	0.000348294682451066
OASL	4.28949700518059	1.02610124010658	0.246513247220683	2.70694005692961e-06	0.000348294682451066
MTMR14	10.1957742473618	0.485138227474111	0.119093447724141	3.03208825654417e-06	0.000378012661544525
SYAP1	17.4775394718886	0.474222794273885	0.116608066471119	3.00049055819591e-06	0.000378012661544525
MT-ATP6	1693.01527569375	-0.331360924776179	0.0800989607707852	3.27200852387491e-06	0.000403008953488834
EML4	15.782478908691	0.566195088889368	0.140473165188746	3.35881099094191e-06	0.000408775294766656
DAPK2	1.95086340564369	1.37199081359423	0.353213253675848	3.54253454929753e-06	0.000426062714087866
COLQ	5.98285666176814	-1.16753462999571	0.28969705918896	3.62008107043872e-06	0.000430326613756919
MGAM	1.98799196373464	-2.14927690266945	0.490184880598364	3.86126078487632e-06	0.000453720333376904
ETV7	0.939706672440209	1.81264554269465	0.568940456469911	3.98390097802646e-06	0.000462811587481414
HMGB2	29.7519400778238	0.384803972591279	0.0951931378994622	4.07109283376508e-06	0.000467626764489667
RHBDF2	10.2971199269042	0.496697418746403	0.125714270464632	4.40016115310192e-06	0.000499809416312899
TOMM7	142.448082205909	-0.229614833486755	0.0549942905848026	4.73669621165778e-06	0.000532123575514038
OXSR1	5.55780933558793	0.635039467190871	0.163693355238758	4.80484007830862e-06	0.000533911740440751
PTPRC	263.808531847017	0.179536702297672	0.0422365581275091	5.32290955596616e-06	0.000585119402049915
FHL3	14.9111131610513	-0.684078254586295	0.17485077670957	5.38924390928509e-06	0.000585332287543572
RPL35	318.794933094048	-0.196469486147199	0.0469997680243121	5.43935902539757e-06	0.000585332287543572
MTFP1	7.11487672944985	0.643101401069539	0.165982406326599	6.08018061814961e-06	0.000647475900618161
HDAC9	2.48286678959532	-1.94325012978592	0.453022631266685	6.32822938413745e-06	0.000666943185505538
NSD3	25.1825467564859	0.341340351804283	0.0861966667514042	6.9354438362455e-06	0.000723480023856508
RBPMS2	1.538105340728	1.53783835240228	0.430912562223963	7.03212874038826e-06	0.000726156081949386
TOLLIP-AS1	1.12307663129863	1.3407297839992	0.395652209057814	7.36699960004528e-06	0.000747381177896761
DDX24	33.3681833859663	0.268663505726225	0.0666332330025699	7.3838891683041e-06	0.000747381177896761
GUK1	90.5800531033946	0.185683053153888	0.0447893345166919	7.61644197729651e-06	0.000757592524292591
PERP	0.877751278096806	1.23234682139905	0.365968504053359	7.70709405521173e-06	0.000757592524292591
SCRN2	9.20327923846869	0.547880848528414	0.142959108576256	7.69079468571145e-06	0.000757592524292591
ITGAM	36.013802655901	-0.371261711372459	0.094545503873105	7.82718264319454e-06	0.000762069411060741
KAT6B	19.2319893748988	0.437198808428609	0.114415424148911	8.24590136443792e-06	0.00078783037054812
HNRNPA1	186.298655652554	-0.17738526094225	0.0427401813276425	8.23052211497501e-06	0.00078783037054812
HOXB4	5.60474496548921	0.674579161192423	0.179443897820432	8.4251329588839e-06	0.00079750124295065
LDB2	2.76160564137918	-1.57028402314083	0.379453748941222	9.63994757861435e-06	0.000887830487352923
CARMIL3	1.8933146632114	1.2418007913358	0.355030707088629	9.47934973299949e-06	0.000887830487352923
MT-CO3	1687.73988045949	-0.331247998167562	0.0859605240920469	9.63318308773179e-06	0.000887830487352923
ERICH1	14.8998487944079	0.408776785808782	0.107973659860872	9.76009913710935e-06	0.000890870477488115
CIITA	0.961950855451345	1.19865247465519	0.370233314443418	1.09863577252552e-05	0.000993925088719324
MYD88	12.9228061486506	0.420670819800978	0.112227565198095	1.1756844627857e-05	0.00105430019851388
HGS	10.4255918466051	0.445958474605391	0.119258331911928	1.22407738876534e-05	0.00108815157785636
RNF19A	17.8253401718262	0.455514299745507	0.122351984164637	1.29703532508411e-05	0.00114306828692542
HLA-DQA1	3.11409203312221	1.66328314826453	0.49474440222187	1.36165067444625e-05	0.00117967413939526
TP53I11	1.29445359721439	1.56697581357089	0.444541302180897	1.3564833857202e-05	0.00117967413939526
LCP1	152.949584655051	-0.265184231653314	0.068912900972977	1.46085565466349e-05	0.00125498549223738
SH3BGRL	52.601585052124	0.259023067290005	0.0673144230517285	1.52768389423466e-05	0.00130145937089674
XBP1	63.6693998873122	-0.308892200788644	0.0821715780993241	1.66932840402831e-05	0.00141037555986624
PRSS23	57.9731411828059	0.430013751544599	0.114980545205625	1.81634896538953e-05	0.00152201110435879
C1orf162	50.4788090529107	-0.490711510510565	0.137537642234366	1.87014582424606e-05	0.0015543496553876
SPSB3	45.1829887658595	0.267845290682841	0.0702318302006703	1.9155987667574e-05	0.001575151564836
GTF3C1	17.3728267669633	0.496600784983144	0.13582110560025	1.92598988168346e-05	0.001575151564836
CYBA	420.623584263013	0.167986401496486	0.041974121313982	1.94260221683865e-05	0.00157612876688425
SPON2	235.739530164958	-0.324918126124662	0.0878562314520175	1.99587157845495e-05	0.00160659804303504
