""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND2	962.890605015147	-0.672699960996903	0.0927111952608126	1.87132084552329e-14	1.60896166298093e-10
RPL23A	2546.45654833232	-0.283173826025753	0.0401804446390606	1.23612060577006e-13	5.31408248420547e-10
TOMM7	678.298012730928	-0.297300255824606	0.0437060921157939	5.20863654204618e-13	1.30609788432882e-09
RPS6	3492.04117053881	-0.312367818736293	0.0455489344333746	6.07628697059232e-13	1.30609788432882e-09
RPS18	4978.40812860654	-0.336776165099765	0.0500760735535355	8.80099895666238e-13	1.51341978058766e-09
RNASET2	130.714947498296	0.453822186801383	0.0688594873845969	3.11735077120329e-12	4.46716365513432e-09
RPL13	6577.30997795957	-0.218917549656936	0.0334774507057477	4.8553777454883e-12	5.96379112224406e-09
RPS23	4274.2574565214	-0.196439991667549	0.0310623193261694	2.15475716473606e-11	2.05851134471118e-08
MT-ND1	1664.27485280609	-0.599475927703901	0.0963479992565784	2.14410712470076e-11	2.05851134471118e-08
RPL37A	1726.23909171107	-0.385405183297138	0.0633148806400551	5.59070932782575e-11	4.80689188006458e-08
CFL1	687.133875179533	-0.178123672359253	0.0288534035399194	7.2290926246954e-11	5.65052167155737e-08
MT-ND3	3476.59535450253	-0.663190630133643	0.112614789117466	2.07940101345509e-10	1.48989082614057e-07
TPT1	5470.08302273117	-0.296433804969688	0.0514138235092197	4.98963809228781e-10	3.3000698705762e-07
RPL27	1161.69278040809	-0.251854345960789	0.0443401873211797	9.97618308859471e-10	6.12680158540981e-07
RPS3A	4317.95702776765	-0.268730488256439	0.0480850169003277	1.76397550246874e-09	1.01111075801508e-06
ERAP2	36.4525821627676	1.09716056900031	0.20482650211893	3.84841429412085e-09	1.94639212357948e-06
MT-CYB	3967.28987503691	-0.433388730415303	0.0815805775737012	3.84112328156203e-09	1.94639212357948e-06
RPL35	1409.09192070046	-0.263777133882518	0.0494953467753295	7.15383157085905e-09	3.417146880347e-06
RPL31	890.434247431472	-0.233039774920035	0.0446454543229963	1.29257504134279e-08	5.84924221340279e-06
RPL3	2847.51730502231	-0.213588609322845	0.0420107687063881	3.14550048336945e-08	1.35225065780053e-05
ZFAS1	212.358146920955	-0.347862186969224	0.0706446355081613	3.6724950551829e-08	1.50362440402203e-05
HSPB1	105.949731125391	-0.269098919779419	0.0540817015092341	4.06244611676418e-08	1.58767780508811e-05
PTGER2	100.27766572725	-0.382002494913747	0.0784128261988917	5.04176067233408e-08	1.88474166350993e-05
RPL27A	727.836643510073	-0.363256977236655	0.0737194323301587	5.4251679444135e-08	1.94356641608613e-05
RPL9	2469.13595279473	-0.206934219609234	0.0429710700636543	1.13168132464069e-07	3.89207841170425e-05
RPS27	7508.6681086493	-0.365692370089151	0.0786506149123605	1.5065372639079e-07	4.98200284426157e-05
SYTL1	96.7403252292844	0.282711367457795	0.0613128473532297	3.24569268271411e-07	0.000103357280318429
KANSL1-AS1	26.0921862466073	-1.34904315108769	0.303583777482671	3.80507817243439e-07	0.000112814007333072
RPL13A	1699.62753035636	-0.196221313431032	0.0427521384493916	3.7188275661979e-07	0.000112814007333072
NBPF10	5.16366583916082	0.871730786412658	0.194179248345901	4.1339643269385e-07	0.000118479417610058
RPL4	1224.63843630135	-0.213917064976664	0.0472163087624439	4.32141525131322e-07	0.000119856543002552
SMDT1	142.851634117417	0.638566422163048	0.146052986350958	6.25677389333384e-07	0.000168111693546514
RPLP2	3020.12387976462	-0.134819241603404	0.0294352116787791	7.43334553669885e-07	0.000193672439165263
RPS25	3246.90277223084	-0.176740397946247	0.0396714370671776	8.12295637960068e-07	0.000205415232211196
SLC40A1	58.0197538641483	-0.628301935945576	0.148396962038314	9.5962904228403e-07	0.000235739728730231
RPL38	1016.66813313907	-0.391476648894147	0.0922727673248039	1.12335382491312e-06	0.000268294338516751
RPS20	577.830433482176	-0.283989522888786	0.0676238720066697	1.55450485675075e-06	0.000361233317793053
BCL2	91.3748849085259	-0.331794395604453	0.0813306413665659	2.24642762458393e-06	0.000508283808320333
TRBV28	37.0975666113271	-0.0314824675091514	0.0725343479394863	2.40904021661625e-06	0.000531100712370936
RPL37	3916.79582682633	-0.249986058292274	0.0625538124510998	2.62660605272719e-06	0.00056458897103371
STAT4	47.3683442299154	-0.350076304973586	0.0876540113811827	3.10277566250547e-06	0.000650674759663952
RCBTB2	24.7760189047661	-0.54105444005527	0.139115588311533	3.63375198535475e-06	0.000743880942144766
LRRC14	11.7628871930204	0.481612093300212	0.123241132318117	4.67375539363786e-06	0.00091796801551101
MT-CO3	4513.52570906792	-0.352017449186923	0.0905974376911555	4.69767302657414e-06	0.00091796801551101
