""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL37A	64.3452062228939	-0.338451181809935	0.103433625062814	4.42826025824575e-05	0.123349189493435
RPS29	47.4272204148941	-0.62477922907619	0.193284837233349	4.01036274615107e-05	0.123349189493435
ANXA2	12.7431432134209	-0.772099697721469	0.254189154440534	8.20327468217453e-05	0.152334810847981
MT-ND3	110.04396598024	-0.536767364632535	0.192374631579016	0.000143134780589274	0.199350965665712
VEZT	0.930395227496128	0.0167703944974713	0.0497055883852799	0.000182704663115932	0.203569535643771
RPL37	125.377613944074	-0.234995536799578	0.0859131214688864	0.000284230355119509	0.226206758338684
ERAP2	2.65259900368441	1.16383153939209	0.427569244006298	0.000268321224644068	0.226206758338684
FLNA	16.5446191659187	-0.493679183257771	0.206422301239219	0.000532685190256017	0.329732132768474
HNRNPUL1	6.23863589464075	0.544469228261847	0.232342481888786	0.000532201771045343	0.329732132768474
SYTL1	5.17599015311469	0.573548401983638	0.264978150477214	0.000807008396992301	0.408713070876737
RUNX2	0.790039722109376	-2.37305977017045	1.3182643771383	0.000791950577036557	0.408713070876737
RPS27	195.611926206547	-0.337356728841845	0.166046637232298	0.00109076466078707	0.506387493770398
PHF12	1.36212181648065	0.0155821708299625	0.0489558850886846	0.00157953336887188	0.669443341577169
ARHGAP45	7.29402141662847	-0.0360893003282565	0.0687111436837229	0.00168309410907201	0.669443341577169
UBL5	16.8707030628578	-0.322025789566811	0.167770561167401	0.00180248611087014	0.669443341577169
SF3B6	6.91570975273811	-0.462565381492712	0.297082305850925	0.00302051409042631	0.792193631078268
LIMS1	4.80152297891097	-0.0193717563894061	0.0510931199032318	0.00277596173070647	0.792193631078268
ATP5ME	6.00757137763919	-0.0318339304040191	0.0624874258611269	0.00302443060722963	0.792193631078268
HLA-C	124.68065531131	-0.270064807574637	0.184727299168738	0.00303038766433463	0.792193631078268
COQ4	1.16531993192881	0.0143079976487983	0.048301668623591	0.00292822101451705	0.792193631078268
NUDT4	1.44615006019915	-1.38936351904347	0.767044398643071	0.00312838985527229	0.792193631078268
PPP2R1A	5.15802208165887	0.462272222609674	0.291184250053965	0.00237551429207447	0.792193631078268
LYAR	12.9665749713279	0.352886577513256	0.260489734394211	0.0033179441396638	0.803243133437443
PPP2R2B	1.19680218834554	0.0131259406285138	0.0477694369016684	0.00360457338645415	0.803243133437443
SMDT1	6.79535770788594	0.429684781734119	0.346970608496507	0.00350135809801998	0.803243133437443
PPA1	5.35786660279996	0.478675240803969	0.431409755412304	0.00412089369589905	0.850277732587171
SLC46A3	0.923347520677469	0.0115662982733624	0.0471634418879072	0.00408113028100679	0.850277732587171
RPS3	144.106844279287	0.125134208156092	0.0671080354292953	0.0043711311888227	0.869698994747545
TIPARP	0.785288630203952	-0.00844880821375631	0.0461526796195555	0.00495930960750977	0.890295259280194
LCP2	8.63374381093855	0.294410900822663	0.352767334270914	0.00511388409566796	0.890295259280194
TRAPPC2	1.0304196336195	0.0126060159985513	0.0475491191479109	0.00476264260170521	0.890295259280194
ITGAM	0.797388606987093	-0.00746235096087101	0.0459069100778592	0.00510000266274735	0.890295259280194
S100A6	46.7862494555871	-0.0408140399634637	0.0734865327413849	0.0111928184905181	0.892193698597615
C1orf35	1.02213988428244	-0.00795094037860883	0.0460235601217014	0.00637826071257307	0.892193698597615
MITD1	2.71815179881716	-0.0161752199367774	0.0490917377731059	0.00977998992511385	0.892193698597615
ARL4C	11.0426672033234	-0.0347371408598385	0.0655017316238555	0.00683144066769329	0.892193698597615
TRAT1	2.69376395927909	0.016629903859165	0.0493468176905608	0.00818640740085394	0.892193698597615
ZBTB38	3.63175541555174	0.0171725340691837	0.0495846063082167	0.0100574202573774	0.892193698597615
NUP153	0.978365799241536	-0.00965270841710393	0.046479047233293	0.00844700181174359	0.892193698597615
DEK	8.03353349621311	-0.0287669946041818	0.058286925257214	0.0109276934091095	0.892193698597615
HLA-DPA1	16.6667709323046	0.0237394192302702	0.0538812640216225	0.0109451676205726	0.892193698597615
HLA-DPB1	15.2585800410765	0.0245191017092587	0.0545764725968887	0.00891958160544808	0.892193698597615
PSMG3	0.792785498761822	-0.00831505874110191	0.0461000585339838	0.00898572976967661	0.892193698597615
ING3	1.21430185563847	-0.920074918832909	1.05045642532838	0.00850585880571835	0.892193698597615
ERICH1	2.13024205889564	0.0167786316099228	0.0494190755926726	0.00781587686185804	0.892193698597615
AC090152.1	1.13855236120496	0.011331197599504	0.0470190563721604	0.0108471887130042	0.892193698597615
C8orf59	8.48223282579707	-0.0282101431513173	0.0579366174074777	0.00794708646853717	0.892193698597615
