""	baseMean	log2FoldChange	lfcSE	pvalue	padj
CD3E	91.385491297593	0.244358259272392	0.0430962903839103	2.33155158258407e-09	1.14176080999142e-05
RPL23A	360.369500375206	-0.199854613049338	0.0372703523611553	2.02431510372701e-08	4.95653553147558e-05
RPS18	707.758947216918	-0.26383287008724	0.051177887177627	3.72367865742754e-08	5.02141135695321e-05
PTGER2	13.5755510746293	-0.753850031892734	0.155751141146253	4.10162250925318e-08	5.02141135695321e-05
SERPINB6	3.96360197281587	0.764179819886629	0.164485093673411	1.99344419306396e-07	0.00019505035659819
MT-ND2	167.29724955927	-0.512369790055987	0.11133866432817	2.38983487765804e-07	0.00019505035659819
LTB	126.887502589292	-0.376161826996114	0.0825914900939444	5.61850257534951e-07	0.000393054387306951
ERAP2	5.11029999698001	1.12579300280558	0.26356335722488	8.77377141114873e-07	0.000537064482504942
RPL13A	228.476325839868	-0.2114293552245	0.0463159685317604	1.0419476561581e-06	0.0005669352969118
RPS13	514.460077816034	0.128981587344571	0.027598156176423	1.2775430940961e-06	0.000568738957435328
TPT1	704.030381219507	-0.237244577061736	0.0526092845636232	1.21457641250906e-06	0.000568738957435328
LINC02446	32.9839054934668	0.554808584753576	0.131416784528019	1.59009407576903e-06	0.000648890890753411
RPL37A	245.708205912775	-0.311306468658824	0.0733272874834236	1.99376236560776e-06	0.000650896953625413
C12orf57	47.4047488276144	0.292866129767525	0.0679104870285969	1.96957480222229e-06	0.000650896953625413
SMDT1	19.310245702323	0.739198589237054	0.177609677016256	1.82726700607792e-06	0.000650896953625413
RPL41	1281.47426783589	-0.14805701235993	0.0327691819555904	2.15905367996381e-06	0.000660805366923923
RPL27	159.120663063665	-0.206807469647901	0.0471540751329165	2.43524658729019e-06	0.000686062929036749
MT-ND1	256.081613221406	-0.390743967733878	0.0938952042563341	2.52177511183612e-06	0.000686062929036749
PDK1	2.91799026147156	0.904939003949185	0.222364048638445	3.32760110901954e-06	0.000849040959113019
GIMAP7	29.6062932224395	0.483697411354443	0.118797045258469	3.67947717042448e-06	0.000849040959113019
OGT	11.89667343127	0.474147778023878	0.11862773850346	3.68640619140212e-06	0.000849040959113019
RPL35	192.922721813389	-0.250128697108993	0.0598588476334897	3.81435595272339e-06	0.000849040959113019
RPS6	518.914105323419	-0.189167208902408	0.0440656760673133	4.45053496896826e-06	0.00094757694534946
DYNLL2	1.92123376223447	-1.30327582744697	0.330050391698328	5.96945073791002e-06	0.00121801667764772
SNHG7	11.8123121471418	0.374717475925158	0.0960609418327202	7.1678155271611e-06	0.00138695482606579
MALAT1	1834.90967910871	0.312659139133425	0.0781479343227095	7.36386062440485e-06	0.00138695482606579
FCHSD1	2.13015919512429	0.830987424435997	0.229865075159818	1.00924277969063e-05	0.00181301959529758
IL32	132.783257911369	-0.448126126505391	0.118777860470446	1.0818648083038e-05	0.00181301959529758
PITPNA-AS1	3.23510325581673	0.592581754502551	0.160415101787153	1.08063242193596e-05	0.00181301959529758
LGALS1	10.6735469466614	-1.31337250156037	0.391280887907956	1.11069201263891e-05	0.00181301959529758
RPS17	8.16007264368841	-0.705252366126464	0.197042132843316	1.45480071240401e-05	0.00229811583504595
RGS10	22.2335112106446	0.39882892419204	0.107208983690537	1.74893820095086e-05	0.00251898540295776
DNAJA3	2.80023225528254	0.655497086929382	0.184731122841909	1.67532337199114e-05	0.00251898540295776
MT-ND3	576.505021434393	-0.448087388408925	0.12406596777223	1.73963937026845e-05	0.00251898540295776
GRAMD1A	6.05704958808586	0.513286959865857	0.14314115610643	2.41565555299174e-05	0.00337984721228587
MUC20-OT1	3.26387268940267	0.589229074631179	0.173349474440984	3.53062610417566e-05	0.00467283136004005
ARL16	3.89390816836792	0.756287169250897	0.221527860870726	3.50370712945725e-05	0.00467283136004005
TMEM106B	5.17025802984564	0.548156359495854	0.163000728880274	4.12178691752615e-05	0.0051737802417284
RPL27A	97.7171196257027	-0.313386748928333	0.089166950569564	4.33173350849223e-05	0.0051737802417284
HDDC3	2.28059723829922	0.813247910428123	0.251678716912205	4.26786081170251e-05	0.0051737802417284
CTC1	1.76259543765918	0.73434696540991	0.224183843552783	4.30566329747536e-05	0.0051737802417284
AC243960.1	12.5362576260125	0.401259100143126	0.119145636023382	5.35830148731714e-05	0.00624752437699811
PCSK1N	3.7228993785907	0.644786205739502	0.199664884469676	6.4605054902309e-05	0.00735746404317692
PRMT2	25.3814852576491	0.337076811424076	0.0984163221145456	6.83063305642981e-05	0.00760218410848563
ACAA1	4.30005748041317	0.448038242878774	0.141442756883208	8.39839280205428e-05	0.00875041054290634
N4BP2L2	19.5308779491657	0.336296899640902	0.102843913420956	8.28234079154574e-05	0.00875041054290634
MRPL46	1.692263644633	0.746596527872482	0.245791578355592	8.09277112484324e-05	0.00875041054290634
PLD3	3.76790835664076	0.551090249220092	0.175343874696002	8.74477743903403e-05	0.00892149481644784
MT-CYB	619.026210706663	-0.290023781465714	0.0871174108605143	9.06695157461265e-05	0.00906140037977105
TOMM7	79.6801276159652	-0.183301997813406	0.0518171808377658	9.41580680821281e-05	0.00922184118796363
RNF44	4.5247674333422	0.473238176723165	0.150805881511755	0.000102446129312854	0.00983683716166756
AKTIP	3.29261518217933	0.513682015229256	0.166638114956404	0.000105422892016748	0.00992799811934644
APBB1IP	11.8384186094476	0.384879004048713	0.121899615214749	0.000117646285943471	0.0108700728729279
CREBZF	4.81605347954156	0.508996412017772	0.170273605488874	0.000133608417433238	0.0121163040772327
FYB1	44.1593485733179	0.233049006765694	0.070030839834218	0.000147849768841166	0.0131640057820943
DENND2D	10.1717764065896	0.464337741272592	0.153904994677506	0.000162220682961353	0.0141856193653883
SYPL1	5.28403884509277	0.421777022604253	0.141067547635602	0.00016528658464914	0.0142001474566112
ZNF708	1.65214367758014	0.730434049519917	0.259431791137322	0.000168685710650787	0.0142423090527052
SETD5	4.15823067308784	0.544814132296418	0.190998557601153	0.000175341514148381	0.0145533456743156
RPL13	958.038516853312	-0.138024724089921	0.0389991352295723	0.000178386435308777	0.0145593062284513
LBH	12.3214070563648	0.383537399440685	0.125074642976052	0.000188799437704788	0.0151565712531204
ALKBH7	12.6950711669175	0.345019979414004	0.113094187465587	0.00019807429734656	0.0156446747436468
CD8B	78.3694574442589	0.216857259396213	0.0664919105845303	0.000209163007614971	0.0159561895136999
