""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ERAP2	3.32173984346518	1.25360971820215	0.265471015226595	1.4771172202216e-07	0.00100281488080844
RPL37A	88.8047000721761	-0.374133870393183	0.0860602248301435	5.5591555002147e-07	0.00188705533454788
MT-ND3	162.723238104777	-0.623760779313574	0.163008186887117	4.42773114918668e-06	0.0100199555906095
CDCA7	8.64367648828861	0.710184311595234	0.199154205127567	1.4384539220767e-05	0.0244141591924468
RPL38	38.0190586014303	-0.310054073491606	0.113183291160453	0.00021416072112252	0.290787427140158
FCER1G	7.97322525896995	-0.0131988236044673	0.053401364371956	0.000476791411766266	0.3569627865979
NUCKS1	18.5449705411052	-0.349879181134643	0.141196266106555	0.000513396593676931	0.3569627865979
IWS1	2.42555413924914	-0.810868072058569	0.307902762130916	0.000393341766452343	0.3569627865979
ANKH	1.40025677976867	0.0314576655885067	0.0661306969493387	0.000391275920280734	0.3569627865979
CPSF1	1.7992181732917	-0.037889569413993	0.074080099910965	0.000525795826480925	0.3569627865979
MRPL23	2.75780470067296	0.826638634237566	0.380877682606855	0.000625331456946062	0.364442121278496
PRMT2	6.09835288602445	0.426997655830288	0.185976688800579	0.000644175203320364	0.364442121278496
RMI2	2.70669268324943	0.642796860203613	0.302993442413935	0.000768157276466791	0.401155365379465
SRSF2	18.5623709741935	0.309604690525505	0.13873750489221	0.000874280967632446	0.423963820661191
ATP5IF1	17.4277970081377	-0.244787989659798	0.112070757048907	0.00119244653300268	0.470916754985609
COX8A	36.6570837329313	0.17767928697289	0.0775717460930429	0.00124856408745632	0.470916754985609
RPL27	57.3462600528879	-0.173103744922383	0.0737930651862433	0.00114548740004156	0.470916754985609
JOSD2	2.11190400551285	0.56686518183456	0.288525576694352	0.00121060225682695	0.470916754985609
WRNIP1	1.13561194794414	-1.01191172147662	0.490497596276156	0.00211892261959489	0.506677975034102
TMEM14C	2.73685288287693	0.568540520658579	0.369606884880241	0.00228116914474676	0.506677975034102
PSMB9	31.1974223429838	0.251477862160598	0.127223454232829	0.00181291284651348	0.506677975034102
ABRACL	15.7893082443683	0.259540127756076	0.133402550480476	0.00168792802472768	0.506677975034102
NDUFA1	19.007797671723	-0.248208753758871	0.120535161147949	0.00148767596154148	0.506677975034102
CCS	1.36373337694646	0.0279840077900564	0.0623814922608074	0.00219538142102052	0.506677975034102
TMEM123	6.08010576877427	0.413445584386416	0.248077771300396	0.00216041805481829	0.506677975034102
KLRF1	3.99471577766371	-0.0132631694338862	0.0533670223733385	0.00176688200640607	0.506677975034102
TFDP1	8.33307915717726	0.3248150238436	0.180624745840786	0.00204824556344035	0.506677975034102
ARL16	1.79975169757613	0.030365481623154	0.064603285085604	0.00192955608830349	0.506677975034102
RPL18	114.553171576822	0.130226548185396	0.0563356815545413	0.00189417050858392	0.506677975034102
MT-ND1	105.311025428787	-0.280632520462975	0.159012294314036	0.00231359805951645	0.506677975034102
MT-ATP8	83.6193730409902	-0.0256663264886793	0.0605513739005191	0.00157940956068387	0.506677975034102
SELL	13.9796991142811	-0.0380444437011486	0.0732270666362708	0.00328369205241624	0.513094038187035
TPRKB	4.2907636170893	-0.413301524459903	0.250178471799456	0.00281472588295454	0.513094038187035
BRK1	13.6377862275342	0.218294306802288	0.128816676826352	0.00319353826576307	0.513094038187035
COX17	7.57390822181465	-0.344063160111757	0.238966523920738	0.00354650227534227	0.513094038187035
NOP14	1.87543650602556	-0.0332395851621928	0.067437301417353	0.00330676351180266	0.513094038187035
HIGD2A	14.4853969965409	0.214793280010071	0.133727122622325	0.00355213135878489	0.513094038187035
HIST1H3B	2.53049995826805	0.843269231643659	0.494509696635712	0.00248469232833995	0.513094038187035
BCL7B	3.42771822385214	0.360448729579084	0.259491233222969	0.00313184199718994	0.513094038187035
DNAJA1	8.06276684733351	-0.347475711584114	0.218991632897947	0.00289758276711187	0.513094038187035
