""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SERPINB6	2.62673309315625	1.44870807078224	0.170362469610848	1.37780269909779e-18	4.80577581445308e-15
PSMB9	16.0119197921646	0.651441947257291	0.101513298770335	1.07003197457679e-11	1.86613576366191e-08
HCST	47.4545884053941	0.492934504672745	0.0768560403875545	1.67622408301249e-11	1.94888986718252e-08
RPS23	174.605504943333	-0.276313992832171	0.0452782004161066	3.26012209631238e-10	2.84282646798439e-07
WDR1	7.00672856513912	0.698928776451769	0.121254574387601	6.45482122751705e-10	3.75240274026325e-07
PPP1R18	9.06963800608346	0.698128118664072	0.121143402671566	6.12236387407152e-10	3.75240274026325e-07
PPDPF	29.4700359694453	0.580266056805224	0.103311965976164	1.56919995943756e-09	7.81909922645459e-07
RPL37A	85.0687696276554	-0.365867619762885	0.0648454133013667	3.50261046547716e-09	1.52713816294804e-06
RPS24	138.825136101543	-0.233081218207136	0.0410734728307396	5.88352901622323e-09	2.28019435650963e-06
LSP1	26.1268010209274	0.514073989390027	0.096817958374549	9.7452400123008e-09	3.35799900297058e-06
KIR3DL1	2.3101131713813	3.33523768770838	0.631133926101055	1.05900197914783e-08	3.35799900297058e-06
IFITM1	72.193340423855	0.51564987483307	0.0983172772667533	1.90600031191602e-08	4.87635888385846e-06
RARRES3	20.1875735954808	0.550424804381454	0.105825307215972	1.93215759103279e-08	4.87635888385846e-06
CORO1A	35.6780513332425	0.465718195694075	0.0890400130598505	1.95725413916337e-08	4.87635888385846e-06
GUK1	15.43814004312	0.426811035653277	0.0842614750143694	5.38619756245036e-08	1.25247047318846e-05
RPS8	164.855124430493	-0.231376441237021	0.0446768222500225	7.97681160542485e-08	1.73894492998262e-05
ERAP2	1.92372630900467	1.50559511946255	0.30593018806291	1.38535833488661e-07	2.83260228484417e-05
STOM	3.60895294277265	0.775120515696238	0.162441519090812	1.54298862993232e-07	2.83260228484417e-05
TMBIM6	11.5718259751439	0.465524927699061	0.0956319699380355	1.49435507663591e-07	2.83260228484417e-05
B2M	659.551706713725	0.241629660633778	0.0476347055765149	1.63143020665396e-07	2.8452142804045e-05
HCLS1	13.9609369897105	0.465811611904572	0.0973537879002901	1.85000623988609e-07	3.07277226891556e-05
ITGB7	5.19596463477395	0.765146724665378	0.163512710553389	2.25982002763649e-07	3.58284193472549e-05
BZW1	6.7929133964063	0.541500031004306	0.114558919613874	2.40085087633652e-07	3.64094254637469e-05
NCR1	2.12952861945288	1.30003447595766	0.278697897421266	2.54957785818698e-07	3.70538648723174e-05
ERN1	3.53990661818872	-1.06592555822982	0.250599921140399	4.38968133326597e-07	6.12448339617268e-05
TPM3	20.1137290821565	0.40695427570516	0.0868544493146278	4.86072127705172e-07	6.52084454398323e-05
IFITM2	44.4651629114288	0.559086774641409	0.123673010782786	7.77201266378404e-07	9.68170720402812e-05
POP4	2.17330224407987	1.02034099945294	0.231993667876723	7.579456748542e-07	9.68170720402812e-05
ARPC2	28.2589724397146	0.495615590671728	0.110184007064565	9.02251087077071e-07	0.000104901726390827
MT-ND3	200.040690507347	-0.599185410443366	0.136795781445783	8.82965514083581e-07	0.000104901726390827
RPS27	354.538526772101	-0.346834293806889	0.0763510551747369	9.98221813570875e-07	0.000112316054378555
HLA-DPB1	11.8906134563588	0.674347491177941	0.154167622909501	1.1171111834083e-06	0.000121765118991504
HLA-DQA1	1.47513038672194	1.86887887512203	0.408606943736446	1.37342546584356e-06	0.000145166909844313
CD160	2.78668384924973	1.31204404788537	0.298708510312471	1.76497621301199e-06	0.000154492696565335
TIGIT	5.30093734536732	1.38538308109306	0.332532347685911	1.55983973565838e-06	0.000154492696565335
RPL34	202.455003536477	-0.284760455748283	0.0642198972794216	1.771705235841e-06	0.000154492696565335
CEP78	3.46502290671527	1.04663750688183	0.247105720521067	1.76604739230878e-06	0.000154492696565335
GSTP1	12.6483808545053	0.484397221601415	0.111234428272176	1.72655729527431e-06	0.000154492696565335
PHF11	3.49491782788719	0.755189123202896	0.178741548716238	1.63777058108737e-06	0.000154492696565335
PSMB10	10.9879294712596	0.555697480478877	0.12973545410872	1.6461728627325e-06	0.000154492696565335
KIR3DL2	1.63919887505918	2.06924994525275	0.497121131843458	1.9042013873634e-06	0.00016199644973472
CFL1	60.3676976518987	0.311176420068344	0.0693331135965682	2.10886423477379e-06	0.000175136153592642
SRGN	34.5917121548248	0.389149332307704	0.0891033987352245	2.3634259206851e-06	0.000191712316543015
POMP	6.4877761103807	0.591447978386004	0.142728053723863	2.95118724595375e-06	0.000233948661679243
ACTB	266.988869388837	0.457425386428044	0.108322283224044	3.58068743900629e-06	0.000271509517114216
EID1	8.82570563773381	0.484327208013107	0.11711460113724	3.55510383601462e-06	0.000271509517114216
GPR174	2.64762144179372	1.00883214540688	0.251961549161375	4.2425175988217e-06	0.000308289612181044
RPS29	82.3493367834623	-0.722334394496376	0.183688168965772	4.18699449811545e-06	0.000308289612181044
SSU72	5.25957456922633	0.527222743386949	0.130091287400957	4.48392787622744e-06	0.000319182457801659
RPL23A	126.007985645605	-0.245291549165639	0.0566756553840468	5.21495575197358e-06	0.000363795313257677
PFN1	132.697171448994	0.390918575065802	0.0942519065795637	5.43881593138329e-06	0.000371972352326763
NDUFV2	3.6158957154711	0.606129893126081	0.152831647286265	5.85359242114463e-06	0.000392640968556779
HNRNPK	12.9133401332565	0.396079103833204	0.0955527505415102	6.10676803897989e-06	0.000401894470187959
HLA-DRB5	4.98856192712795	1.16690751559148	0.298256786692369	6.54868416789286e-06	0.000417634514512189
AOAH	7.36372626575049	0.797004283659351	0.204595527947271	6.58540662218187e-06	0.000417634514512189
TMSB4X	336.179201316815	0.265528204961752	0.0630959780106248	7.95009533561166e-06	0.000495177366618098
PECAM1	2.256265721947	1.20950264849644	0.309175307409272	8.39225258996773e-06	0.000513546965505394
PRKCH	8.36675317186607	0.688996514113119	0.177974810541312	8.7959963767118e-06	0.000528973023482255
USP28	2.17774264431485	0.837934814806276	0.220638631848002	9.34581995369696e-06	0.000552512203364322
PCBP1	21.6830050391742	0.377478547922225	0.0940169250048821	9.80377169018449e-06	0.000569925927589392
RPL36A	22.3366164667642	-0.574829122423306	0.149986875005737	1.03061938489108e-05	0.000584139631167281
CD27	2.58990163139223	-1.58816139113578	0.478130405450926	1.0383215920978e-05	0.000584139631167281
AMZ2	2.20357426290331	0.794455671141377	0.212828096462501	1.06820562147921e-05	0.000591412890114203
C7orf50	2.48661817662082	0.828593268308795	0.227684199915462	1.14890341454228e-05	0.000598213640833403
GZMH	37.0849589939944	0.678847971779041	0.176635790290721	1.11979545253769e-05	0.000598213640833403
LIMD2	22.143197425717	0.45186278191885	0.117485973702932	1.14909156926141e-05	0.000598213640833403
RAB37	2.8867700678969	0.746001203578066	0.200280044151004	1.12870017459392e-05	0.000598213640833403
CCL5	146.18418117291	0.445686698969615	0.113512315030483	1.17791927245193e-05	0.000604203297398871
HLA-A	158.649259464672	0.345045831941778	0.0856718140577124	1.22935263464752e-05	0.000621446665166745
HMGN2	12.4538552309521	0.444821924580877	0.114644622789855	1.33438708037973e-05	0.000628728369783303
FCRL6	6.01171754431282	0.850421872142111	0.229327127942102	1.32844781539025e-05	0.000628728369783303
SERPINB1	4.15056287798232	0.565222114704802	0.150182899226615	1.26522913748736e-05	0.000628728369783303
SERPINB9	1.93575687602312	0.962969866802257	0.257897064299231	1.35191019878864e-05	0.000628728369783303
RPL39	209.288846396662	-0.298310003291147	0.0737713135940177	1.32696488861438e-05	0.000628728369783303
YWHAB	18.6651714384779	0.418997315280899	0.105714585511811	1.29478262230836e-05	0.000628728369783303
RPS28	160.774297291195	-0.269055807254548	0.066062963378183	1.40135325851988e-05	0.000643147390225966
RPL41	410.817503004892	-0.202586115272855	0.0483699340198322	1.45438706607652e-05	0.00065881845278895
ODC1	2.80807815434805	0.869806111059336	0.237853587551278	1.5252907319503e-05	0.000673444819372488
RRP7A	1.87006128418099	0.842934447576561	0.22905859760136	1.52227324823527e-05	0.000673444819372488
XRN1	3.8522081486861	0.676871266060716	0.183537872145831	1.54635389274699e-05	0.000674210297237689
TIMP1	3.07240415050562	-1.03042949970954	0.304818720240629	1.6308210026532e-05	0.000702259710772145
HDDC2	2.52467822475461	0.926046352550065	0.256667606682253	1.94011365629032e-05	0.000825258101602515
LYN	1.88114885845712	0.963716288703125	0.270287921845333	2.0572634751742e-05	0.000864546385711759
YWHAZ	26.383051392911	0.353014806029022	0.0905235510645346	2.12876070908796e-05	0.00088394254205938
CD55	1.69055961349142	-1.42151871835012	0.464594574203353	2.30881358377521e-05	0.000940308946124969
