""	baseMean	log2FoldChange	lfcSE	pvalue	padj
LMNA	9.00133175153099	1.98056658166633	0.322194453632713	5.25944238116707e-11	1.02190965466076e-07
PDK4	8.69170110815319	1.70648183808719	0.317815361576234	3.8433883749974e-09	3.73385180630998e-06
LILRA5	19.6397425675332	0.608424889445827	0.119858038533241	2.05852273408032e-08	1.33323655743936e-05
KLF3	18.2562269492215	0.521955710592693	0.109840844148772	8.106697094623e-08	3.93782811371312e-05
TIMP1	75.7409263521331	0.518591966152631	0.115909116603939	4.23456892774316e-07	0.000164555348532099
MARCO	7.73527227169437	-0.87119296952115	0.210874624506176	2.01354915168396e-06	0.000652054333620323
FTH1	1145.84218502336	0.325291571600416	0.0790541521228119	2.36814246042178e-06	0.000657328685799932
RPS18	296.284582779853	-0.268993169804658	0.0667433117614924	3.40179865070003e-06	0.000826211847288771
THEMIS2	21.1121103898839	0.455828318296583	0.116875661323533	4.42301865156292e-06	0.000926237060438262
IFI30	30.6579187262938	0.72518958103341	0.188065795143803	5.02704330758201e-06	0.000926237060438262
DDT	16.2893867107986	0.544058732468199	0.14204313248454	5.24375072816309e-06	0.000926237060438262
ATP2B1	13.7423589691682	0.578435117349252	0.151741951400691	6.41737831981795e-06	0.00103908050628386
TPT1	490.173173721025	-0.272094523505711	0.0735523393715843	1.21521785788547e-05	0.00181628330605498
EZR	13.1904694627384	0.49332491225828	0.138221694930987	1.52331782445883e-05	0.00211414752351679
MT-ND3	818.365707484332	-0.485806791837067	0.141041832806343	2.02639399127924e-05	0.00262485568337037
MAFB	30.0060724712826	0.485845453788192	0.140600724215212	2.42710932052286e-05	0.00294742088110994
RPL37A	171.03396099544	-0.241507321208849	0.0688310233068998	2.86201751029441e-05	0.00327111766029532
AC245014.3	18.1354124425676	-0.049433965253739	0.0960783146242975	9.30670792045084e-05	0.0100460741607978
HLA-A	237.909174616338	0.328840597624715	0.105567488255959	9.92286899869549e-05	0.0101474391918239
EIF1	230.250940179336	-0.157790306126869	0.0487902367472117	0.000133656426855114	0.0129847218689743
MT-ATP8	184.433113787638	-0.0488942413432933	0.0948858967381813	0.000179179682312932	0.0165783867968584
APRT	25.8374052518724	-0.313371198590017	0.109418806101955	0.000204196973731155	0.0180343054527106
SLIRP	13.1883356463357	-0.416462832286307	0.150570005915549	0.000258094639702628	0.0218033863018351
ZFAS1	35.2846932182292	-0.312279405893892	0.114552255094098	0.000306123052252116	0.0247832121052443
RPL38	106.352836675672	-0.287089034490126	0.10563571152179	0.000330998165611368	0.0257251774313155
EFHD2	38.8430485770413	-0.254204104224839	0.100134117789237	0.000602141288059652	0.0410966784079493
RSRP1	23.8170525729144	-0.384081287322445	0.157588874634242	0.000583284700740732	0.0410966784079493
HNRNPDL	37.2548071345199	0.222678597384028	0.0870806095782427	0.000613383259820139	0.0410966784079493
HLA-DQB1	102.442168668177	0.437276879535863	0.179573047530796	0.000584617753370568	0.0410966784079493
SERF2	246.876866684959	0.128489112160963	0.0448977416724463	0.000708008529176945	0.0458553524063602
CMTM6	21.2663513694356	0.26170794433487	0.108347995856626	0.000739865749208979	0.0463728758294531
S100A11	248.273213071722	0.132701205837584	0.0485339697294358	0.000923852289878514	0.0485147297090258
SRGN	178.940679731917	0.269792923911698	0.111457714502047	0.000854148008772348	0.0485147297090258
RPL4	102.026187536629	-0.168811537028719	0.0653186513762339	0.000893686547158656	0.0485147297090258
EMP3	121.072716043853	0.218255797879955	0.0863294055953262	0.000821007580186195	0.0485147297090258
LAIR1	9.06001884529902	-0.49688385331138	0.223850904493531	0.000916976064267045	0.0485147297090258
BACH1	14.4122770609091	0.344902503447856	0.154068246591242	0.000869475275080772	0.0485147297090258
RPL37	368.395559220738	-0.163423535661639	0.0648110264643708	0.00107050520584582	0.0519997903739608
HLA-DRB1	410.901619444901	0.229240011601157	0.0963296093708525	0.00104637913408196	0.0519997903739608
CNOT1	8.37796091797132	0.356589383815947	0.168378236121937	0.00104859844709106	0.0519997903739608
H2AFY	30.6926628974485	-0.21477032442134	0.0901921043808848	0.00113259518840858	0.0536739622214114
PNPLA2	9.86347607724591	0.334818790035155	0.160629834662297	0.00121842184565723	0.0563665153836188
JUNB	175.712054982296	-0.250169686646428	0.116843316749638	0.00146989167780938	0.0664185937205492
SRM	7.24032897007945	-0.432499601965846	0.214697023922694	0.00160246581243586	0.0691909127458416
CCR1	7.25210302274219	0.443475460121235	0.233121177651542	0.00157331951131709	0.0691909127458416
SMDT1	17.2464849515461	0.297976236885143	0.154247066938937	0.00191301882001979	0.0808042514630099
HLA-DPB1	217.957708454784	0.20117946798522	0.0936331524536864	0.00206702076317216	0.0854515179328408
RPL13	479.025399450762	-0.126532309825068	0.0518183745883179	0.00211971302155072	0.0858042166848552
PFDN6	7.29784800926858	-0.408614773253649	0.226250999416864	0.00246576167131426	0.0920223942262731
LYN	29.1983969180664	0.224902144807323	0.113960841065459	0.00239598915389587	0.0920223942262731
GPR65	7.67935312879472	0.364599703772348	0.223814181045427	0.00251013221512737	0.0920223942262731
CRIP1	17.4203188511815	0.348007568874108	0.195068771798533	0.00242363824393611	0.0920223942262731
CTSZ	37.1130422210533	-0.234287968731685	0.119976147832951	0.00243844188726426	0.0920223942262731
RPL27A	73.5011626911684	-0.198064354386058	0.0993765669628484	0.00262789694105314	0.0945556251197453
RPS26	192.782157517074	0.447843114074625	0.267981010709724	0.00268781334596081	0.0949531151127611
PPDPF	49.7330549443469	0.16414600834413	0.0763440519117156	0.00279678896926017	0.0970385887012947
