""	baseMean	log2FoldChange	lfcSE	pvalue	padj
B2M	461.695298897169	0.198996512963553	0.0417303353883871	2.63414813276946e-07	0.000186497687800078
RPS27	280.860657622475	-0.311779513553273	0.0740162516863367	1.78081957591876e-06	0.000500507814451101
PTMA	72.2735607629786	0.307537680200815	0.0749048205692504	2.82772776526046e-06	0.000500507814451101
FTH1	62.3078100692836	0.487596646352881	0.119676574855946	2.58967374005666e-06	0.000500507814451101
MT-ND3	195.847391574171	-0.552216908893917	0.147253886196681	7.18594504645514e-06	0.00101752981857805
RPL37A	71.1476517782673	-0.322023960971192	0.0847763884113791	1.00733905570834e-05	0.00118866008573584
IL7R	49.8804883752024	0.464005462762714	0.125677258380332	1.32737723510876e-05	0.00134254726065286
EML4	6.77544848132197	0.607415113031595	0.17573926400143	2.1319406406619e-05	0.00175934600222804
RPS13	129.363824175688	0.182031465728245	0.0477128420496322	2.23645678249327e-05	0.00175934600222804
MT-ND1	93.8848944564413	-0.402451366087503	0.123901792584213	5.85302064179985e-05	0.00414393861439429
RPS18	175.440541300186	-0.234394645949738	0.0724835359118269	0.000108645272072887	0.00699280478432761
DBI	4.91118970088104	0.526112724027162	0.180940184383442	0.000145245711823468	0.00856949699758459
CST7	26.5666874193235	0.293905702403606	0.099772600499572	0.000205497658734181	0.0103923101702714
MT-ND2	55.8076285996219	-0.330374331845542	0.113912727061622	0.00019583110548267	0.0103923101702714
RPL12	114.20307429751	0.219920677963002	0.0716756630813726	0.000236661062817382	0.0104722520296692
ALOX5AP	9.00930051008431	0.429248291154637	0.153917615611468	0.000236519342856844	0.0104722520296692
GBP5	7.53540878259724	0.561809412587318	0.221540997816487	0.000362450640964101	0.0143124709899156
ERN1	6.50256772985696	0.475349840457654	0.183436968211178	0.00036387638109955	0.0143124709899156
RPL27A	29.8194465378323	-0.365223077763694	0.137956082276892	0.000407944468474622	0.0152012991410543
MYBL1	8.26613532944887	0.444501619045446	0.186495851046603	0.000724408126033909	0.0256440476616004
G3BP2	5.110314534258	0.444281999995857	0.201737447126395	0.000950610056723996	0.0296583368624086
SARAF	22.0374379929692	0.240638412941963	0.0952625380634245	0.000948865462498401	0.0296583368624086
PPDPF	21.1674197716724	0.291531330801953	0.121732888387841	0.000963477044965251	0.0296583368624086
ANXA6	5.26700575476635	-0.468403413344358	0.212861173404171	0.00126306341361713	0.0357699558736372
RPS6	124.558060066872	-0.176104301522536	0.0667302199032265	0.00126044975151664	0.0357699558736372
RPL37	141.934018231222	-0.153297170188612	0.061217758358177	0.00204108427855168	0.0456386361689639
SKP1	9.85611778829736	0.284002704167957	0.137462848570615	0.00219168591771861	0.0456386361689639
MALAT1	633.826049486344	0.271435326182172	0.126399817631832	0.00210818249820289	0.0456386361689639
BTG1	45.2965971188105	0.213174317431926	0.0937512370377388	0.00217095279139395	0.0456386361689639
TRAV1-2	8.08255035495037	0.612162669297952	0.317877680373423	0.00191356026572087	0.0456386361689639
FUS	7.12577810895293	0.342734496632668	0.177558307668343	0.00218039585481127	0.0456386361689639
FTL	59.6864011846599	0.178149685121349	0.0734716012558607	0.00210290855631971	0.0456386361689639
NOSIP	8.45668621019822	-0.405590680768034	0.201345667178595	0.00181546804432316	0.0456386361689639
RPL3	120.857274468158	-0.191552840177315	0.0802293658795796	0.00215671942712068	0.0456386361689639
FAM49B	4.27713689232185	0.435365041969248	0.244522943020105	0.00226408872482734	0.045799280490793
H2AFZ	4.77906908282106	0.385928415171676	0.213206201713006	0.00235006708559448	0.0462179860166915
RPL38	34.2749090568141	-0.249011006915451	0.123627688973265	0.00291646685391362	0.0558069873667795
MGAT4A	5.72156415603807	0.357996453248318	0.213690833492843	0.00318807846882021	0.0566609057324145
SLC4A10	5.72264069024106	0.434269170191058	0.27093048976552	0.00307986774153149	0.0566609057324145
MT-CYB	224.396787458376	-0.230184673547818	0.114280643543814	0.00320118111482568	0.0566609057324145
P2RY8	5.6510852247348	0.3468083584988	0.24010049927039	0.00407400734544927	0.0703511512336118
RPL15	80.8422571905797	-0.125259153955364	0.0503162954972024	0.00436434729544652	0.0718594857017706
RPS29	73.3381555515724	-0.354953035813019	0.261418723434967	0.004277047588189	0.0718594857017706
ISCU	4.56290196009487	0.325116676488931	0.219420136658174	0.00464554497975019	0.0747510419468894
S100A4	84.7456030186809	0.168384542687313	0.0799847124122319	0.00486918954048541	0.0749431781448624
SUB1	9.02767860930593	0.261772297482712	0.159414574098681	0.00486855591984292	0.0749431781448624
ARL6IP5	6.31359669813262	0.285646968544169	0.183495185289814	0.00500289250581441	0.075362721151417
RPS3A	160.0486020468	-0.145346029864114	0.0639610627622778	0.005222452749549	0.0770311780558478
PSMB9	10.0345587729717	0.248326652810684	0.150451590537087	0.00537703957115514	0.0773228578035983
RPL13	266.802134781022	-0.131509827833036	0.0575829148088454	0.00546065379968915	0.0773228578035983
SPOCK2	13.1282399585812	0.275843844444384	0.196657328729347	0.0066306515430842	0.0902788710096849
MT-ND4	82.0408196768817	-0.290667519834694	0.229560042121653	0.00657666809233575	0.0902788710096849
SP100	4.41615694034145	0.293718616021759	0.240664597386711	0.00691286341918838	0.0923454207695354
S100A11	8.16416723330155	0.288425427732469	0.244586684216207	0.00727470643556808	0.0953794843774481
TOMM7	24.363352879055	-0.168219151811417	0.0880095538240435	0.00765395245648176	0.097600024833986
RPL23A	105.505566515295	-0.124806586864142	0.05715120285943	0.00771977597556951	0.097600024833986
PBXIP1	5.3141910894305	0.283620773123861	0.268484556631379	0.00837612973406041	0.102246549167496
GAPDH	33.1758644709699	-0.162751691481265	0.0863509314851484	0.0082778180579512	0.102246549167496
DAD1	6.65934911833234	0.25407962900176	0.253159084098609	0.00932706000660888	0.111924720079307
CD52	54.3911733093782	-0.177526624377132	0.105453827614182	0.00973046400298087	0.112450355329511
SAT1	4.98505304571526	-0.27403368751852	0.41150361018741	0.00983409967904646	0.112450355329511
YPEL3	5.85775622115815	-0.275477896918934	0.268151683590991	0.00984734750060688	0.112450355329511
RPS23	173.943745218624	-0.0967869645277417	0.0432869672369642	0.0105631709216002	0.118709920833221
SERF2	34.2426768611123	0.1495909066173	0.0821081992499881	0.0107494250054145	0.118915514122398
C12orf75	4.84755165489928	0.223851681829288	0.336029698007027	0.0115851841666834	0.122422543134505
TPT1	194.073435148723	-0.142751785156858	0.0767012689891769	0.0113151127310194	0.122422543134505
ITM2B	21.663267760761	0.164924833796261	0.0993366705983815	0.0115532552353667	0.122422543134505
EFHD2	5.5705287874098	-0.105038039976662	0.193092891680153	0.0126077177571782	0.128429239715149
SH2D2A	6.0514464850137	0.169958387580116	0.383715333151438	0.0123669188726429	0.128429239715149
IFITM2	20.1872587256235	-0.179285811982547	0.119951460578506	0.0128792034177621	0.128429239715149
KLRD1	6.41741977320889	-0.0649747553228666	0.121277357688487	0.0128541936585435	0.128429239715149
KMT2E	7.75746429608588	0.198671572663581	0.169983548732196	0.0135943025702848	0.131846112599474
AHNAK	11.2125865635752	-0.207589810960095	0.195633963784226	0.0135425604117886	0.131846112599474
FMNL1	5.15720197026366	0.20312848488139	0.277626458652037	0.0138910817490294	0.132903863220444
HNRNPK	9.37987430049573	0.184665106310046	0.141561763378041	0.0146165240803181	0.137979987318203
GPR65	7.06543239154774	0.191580453594828	0.237185216129778	0.0151455935175749	0.141093160663724
HP1BP3	5.32159288629674	0.186718960344342	0.26534576690595	0.0154127923773126	0.141717623417368
CCL4	6.76132388871009	-0.0510324633212895	0.106050094907571	0.016383869413291	0.148715122366796
ATP5MG	19.8056802332201	0.149848380560086	0.0969848431255434	0.0169942691444606	0.150746926805279
CD7	17.4299871475448	-0.17678345053016	0.139623226197525	0.0170335510514439	0.150746926805279
RPL4	42.4826427670077	-0.137897351326656	0.0817475891837044	0.0173593670722593	0.15173372700197
TNFAIP8	4.69134346957009	0.163537980779962	0.245788407434026	0.0187959457616201	0.1609166393386
PAXX	10.89921361191	0.164412837972774	0.133138806376559	0.0188645212783952	0.1609166393386
RPL9	87.6184558508049	-0.108285015483563	0.056735726034799	0.0193017535360821	0.162564586917331
SLC9A3R1	5.80832573670891	-0.153873470526674	0.273033162618998	0.0195169348700185	0.162564586917331
SCAND1	4.74890279608261	0.156558140626921	0.235857827465032	0.0199903108870256	0.164571396604815
IL32	76.7990575850646	-0.156637220587866	0.125425621313303	0.0211029251672889	0.171734149637247
S100A6	40.9962087719162	0.145179286545788	0.101785308841305	0.0214601114602794	0.172656351294066
YWHAB	13.4408251932297	0.161542761166075	0.149334579952463	0.0217884406483345	0.173328269427201
SLC2A3	5.50541407819685	0.0972557637086843	0.164923982951225	0.0222665762938991	0.175163733512006
SRSF2	6.0646921611337	0.141262236112453	0.210969942988693	0.0228524054529895	0.177026128284858
MT-ATP8	46.4448373626795	-0.0573154183958773	0.111196196112877	0.0230033952008573	0.177026128284858
SNHG8	7.60413395872689	-0.119028165823724	0.194157174994696	0.0237591727436145	0.17895206704765
RPL27	45.4053867867314	-0.123662388613901	0.0758629406045174	0.0236948400541889	0.17895206704765
SMDT1	5.05004203441703	0.106693640898896	0.180713483199493	0.0246363942931705	0.183605970100682
HNRNPDL	13.8501356409008	0.144020211339646	0.116369702505172	0.0258057495829753	0.188653997088324
RPS14	185.647246129192	-0.0939010205907758	0.0507059796921977	0.0261131238907567	0.188653997088324
NPM1	21.223318027279	0.136746887362895	0.0954290502063369	0.0259836960672791	0.188653997088324
GZMM	10.9116335953087	0.149558381436278	0.145206364717478	0.0267684445700095	0.191434936924916
MT-CO3	277.744683135138	-0.144690906619645	0.12836115067213	0.0276483338675264	0.195750203782087
MT-ATP6	246.088868015152	-0.142958457933635	0.132584556802376	0.0286454885535748	0.200802038573574
ARF6	6.52197027139905	-0.14361425563242	0.176823960633029	0.0295625693341252	0.205199010672163
HNRNPA1	29.9672011455152	-0.118308240658302	0.0775830826998821	0.0303090126269511	0.207178033586759
RORA	7.91890111165236	0.120670627665765	0.173173748337849	0.0304329314873206	0.207178033586759
PTP4A2	9.11545551502075	-0.127734065352947	0.168836937474936	0.0324240840975078	0.216568410764486
RPS26	88.7075429073674	0.0576695084641427	0.110740912664005	0.0322513096524549	0.216568410764486
SYTL1	4.64136485840155	0.114641043440001	0.164835474977039	0.0347852100688309	0.227728083296363
TBCA	6.32265674641893	0.121652036494164	0.160756039220881	0.0350598320329147	0.227728083296363
RPS19	179.768001382626	-0.0976672159008981	0.0596692717866854	0.0345777780499158	0.227728083296363
RPS8	173.490699075338	0.0857640168046907	0.0508686841836149	0.0368897005795817	0.229104456231086
CD27	4.44423041184452	-0.0789984819269622	0.132222701680086	0.0359201909087068	0.229104456231086
KLRB1	59.8397713811246	0.123208577505646	0.16846869070255	0.0359152325321943	0.229104456231086
PCBP2	22.7829830608958	0.123513193104599	0.0945032455769316	0.0367807233360079	0.229104456231086
HMGB1	18.9684708048071	0.123608605017876	0.0994253055453877	0.0368067602622037	0.229104456231086
CSDE1	6.69732507799422	0.121476663403435	0.14967247912917	0.0385350872024842	0.235196911546197
ABRACL	5.39671826437128	0.102176232272857	0.150780236544004	0.0383629652911492	0.235196911546197
TMED10	5.05831463137593	0.11073967198277	0.155021221709956	0.0396594674842609	0.238305579357621
