""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL37	296.056155647182	-0.356704377573141	0.0694395883816751	2.10462618388911e-08	3.59891077445038e-06
RPL39	421.40860755691	-0.371893534331233	0.071166035138105	1.20202086984021e-08	3.59891077445038e-06
RPL37A	142.404411033391	-0.384522017542448	0.0788653159555168	7.29226358416333e-08	8.3131804859462e-06
HLA-A	143.672709053032	0.413282178602761	0.08779167248552	1.75737365214409e-07	1.50255447258319e-05
RPS28	301.183248072273	-0.324237168335781	0.0733729880496237	7.34971951952097e-07	5.02720815135235e-05
RPS29	129.598973289714	-0.768354446828716	0.188153948910605	1.57178894933822e-06	8.95919701122786e-05
B2M	564.153650264509	0.217050733203535	0.0545034295735409	9.23582891221951e-06	0.000451236212568439
RPS6	243.755467362254	-0.22831774806658	0.0595703982175541	1.31748977931164e-05	0.000501632609089097
RPS21	194.812275127381	-0.38727493174772	0.105596746442307	1.32008581339236e-05	0.000501632609089097
RPS23	373.000496075393	-0.224606909193943	0.0591381006331121	1.72908121887411e-05	0.000537587069868131
MT-ND3	360.080680307094	-0.51949169397765	0.147497680341279	1.57489114319144e-05	0.000537587069868131
RPS27	542.025661005252	-0.385519315262161	0.113294223616016	3.52494327193931e-05	0.0010046088325027
RPS18	362.520550171088	-0.274124518634631	0.0798570621355971	4.70181265330876e-05	0.00123693840571661
RPL6	170.196618620177	-0.176163890676973	0.0494530098398039	6.5913663231981e-05	0.00150283152168917
EMP3	29.6631352468567	0.455023952194564	0.138862160414492	6.28614910564376e-05	0.00150283152168917
RPL35	107.675646309643	-0.224093102297965	0.0660378560093831	8.60797727094081e-05	0.0018399551416636
RPL41	724.274733656288	-0.170099645158689	0.0501413817335735	0.000125234148204827	0.00251941639329711
RPL38	65.7025202410052	-0.326706077748367	0.108147093933448	0.000165702109363019	0.00298263796853435
PPDPF	36.9092544172862	0.305748879140565	0.0988500125301838	0.000162250840018534	0.00298263796853435
RPL36A	35.3971769933595	-0.532158561718797	0.189019859720869	0.000184070179484084	0.00314760006917784
HLA-DQB1	53.741113861981	0.386974515803957	0.136702295939459	0.000258111854876464	0.00420353592227384
RPLP1	620.291056871336	-0.172053281654074	0.0557845035089488	0.000338921981069967	0.00526869625117858
SLC25A6	40.9795161258399	-0.28631213807707	0.103737682562966	0.00037491003344146	0.00557474919291215
RPS15	248.353252129593	-0.152996365969967	0.0498323486794049	0.000442350331463901	0.00630349222336059
RPL23A	206.690707381212	-0.191221126894298	0.0659797888793763	0.00052197839502793	0.00714066444398208
RPL22	115.380918836831	-0.179070591672818	0.0623632412812731	0.000635433905741618	0.00835839983706283
RPL17	19.7872575692219	-0.380189589778612	0.15904651035699	0.000727525525298832	0.00921532332045187
RPS20	47.970838914024	-0.286181348441035	0.113270207142074	0.000796967983617988	0.00973439465704828
RHOA	28.6763727667933	0.244906725726414	0.0952962813891185	0.000893811088780028	0.010540806633199
RPL29	227.72445106466	-0.14305066826077	0.0499009915474091	0.000977166387449112	0.0111396968169199
RPLP0	163.096090411755	-0.200786153402573	0.0778484651443215	0.00120526374570595	0.0132967806784333
RPL23	33.8921901279109	-0.247799197876916	0.104161663904773	0.00138983386982648	0.0148538494837705
HLA-B	249.630862165541	0.256398174764566	0.109859185418796	0.00157857098080546	0.0163597356192566
RPS3A	297.856011341199	-0.210324595607678	0.0913125711151769	0.00204128972577798	0.0197411280748581
RPS24	214.99343202138	-0.147631466867562	0.0569010025659026	0.00203069338295324	0.0197411280748581
RPL4	87.6465151868677	-0.164493000870294	0.0652784489233281	0.00207801348156401	0.0197411280748581
RPL32	394.967727921043	-0.146343979148597	0.0567749800105675	0.00218577667803537	0.0202036655104891
RPL34	346.455623393771	-0.179772480140128	0.0747401944424958	0.00227302513817837	0.0204572262436053
ZFAS1	20.5167340780414	-0.311479851489616	0.164919212414665	0.00251334120515328	0.021898844882113
KLF2	46.9941687092114	0.371819267917062	0.193199676982963	0.00256126840726468	0.021898844882113
RPL36	176.9833764542	-0.151947728635536	0.0611060398967037	0.00263045995620701	0.0219418854883609
SH3BGRL3	66.766989835795	0.206033323805833	0.0929748627361228	0.00304586042555813	0.0236746423986564
TPT1	256.431344431298	-0.201036078826488	0.0914364207220441	0.00294377928688098	0.0236746423986564
RPL13	443.461251136183	-0.150471568873878	0.0620383188431288	0.00301163500911433	0.0236746423986564
HLA-DRB5	51.4831090370344	0.459889704796834	0.271761748399141	0.00320290173318103	0.0243420531721758
RPS8	423.227897685576	-0.154529405652405	0.0657596781174957	0.00345126866133537	0.0256594322212325
HLA-DPA1	122.261664842935	0.211434918672698	0.101812416239566	0.00369624702075158	0.0268960953424902
RPLP2	242.925351774196	-0.138129202765952	0.058362930059064	0.00416603128028112	0.029682972872003
RPS2	267.180380985982	-0.14958261223393	0.0655480207503969	0.00439469691317036	0.030673190700087
RPS5	149.086932692667	-0.174842070170934	0.082502483751354	0.00460436877520576	0.0314938824224074
HLA-E	62.0582886130946	0.164066272030424	0.0754780954923413	0.0047792722474552	0.0320492374241113
RNASET2	17.0821864834033	0.241179249400438	0.139575021162685	0.00505758075282663	0.0332633195666675
RPL15	158.456540918346	-0.121751569404458	0.0509929463072185	0.00521528597854179	0.03365335480493
RPS7	226.991276735089	-0.113358538849207	0.047262395043162	0.00563991127067518	0.0342079672170229
PCBP1	29.3486466613027	0.189603947903	0.0958544867103298	0.00550691005921798	0.0342079672170229
RPS4X	305.536478601079	-0.114368318236288	0.0481063831317283	0.00576011488124078	0.0342079672170229
RPL7A	218.97677707083	-0.112990507097126	0.0473200328020432	0.00580135116546003	0.0342079672170229
LSP1	37.7072460499689	0.1925837992853	0.0990298397500825	0.00577690151389173	0.0342079672170229
RPL8	212.574419445396	-0.180146093916408	0.0925198746714476	0.00611416093921752	0.0354414074781761
RPS14	319.437763228606	-0.149380346475021	0.0724106640250493	0.00718405283288573	0.0409491011474486
RPL31	66.5014072593194	-0.158192927873614	0.0788252006223582	0.00735436773296385	0.0412326846667809
IGKC	39.4096013284501	-0.0782731946973956	0.142603163179491	0.00763367743221549	0.0414399632034555
HLA-DPB1	119.653322220817	0.213778211299005	0.124831782282558	0.00756836571976012	0.0414399632034555
RPS11	78.9155053086928	-0.145093151062673	0.0707158423852716	0.0079401839647231	0.0424303580614891
SET	15.3542348997283	-0.25114435663807	0.185479340015622	0.00810648709385358	0.0426525936322757
LY6E	15.3232911601338	0.242624131772015	0.169998264412095	0.00843147548775393	0.0436903729819977
ARPC3	47.6320356542383	0.158997804448758	0.083526520309958	0.0090396376108561	0.0461426278046685
ZFP36L1	14.4805500008312	0.269752951624775	0.222290169595297	0.00921663482674428	0.0463542516286256
RPL27	91.8954393949149	-0.145226160827485	0.0752247275988997	0.0103172585629	0.0511377163552433
TRIR	19.6441782483353	0.18006885895446	0.112136572193294	0.0110351014173611	0.0539143526391072
GPSM3	22.5748972115468	0.173572582826381	0.107129435878919	0.0120474729745766	0.0580314895395097
DAZAP2	21.4493903844806	0.165587911094912	0.0999647316954935	0.0123027805263353	0.0584382075000927
RPS12	482.349166436382	-0.127401440818084	0.0672608012272407	0.0138413036857468	0.0648455597332249
LAPTM5	55.8898984169028	0.17028006334426	0.10936745954303	0.0147690992658034	0.0682571884987129
EEF1B2	100.342361676908	-0.161602833574491	0.103747761228847	0.0150585574167816	0.068667021820524
MT-ND2	95.9538788666494	-0.185072341943969	0.156182131856431	0.015659394530223	0.0704672753860036
EVL	15.1180401533831	0.19248893337499	0.182591045558833	0.0169210640615241	0.0751558949226133
CIB1	15.6071125377681	0.187481923634931	0.257338752232841	0.0172444671546136	0.0756103559856135
COX7C	42.8295855333725	-0.146168837662831	0.0917005629279586	0.0180611130396876	0.0781886159439639
RPL18A	327.883258987164	-0.109008056372559	0.057250935010563	0.0187665653517891	0.0802270668788983
SSR4	15.484887922111	0.164670043432162	0.125652715102668	0.0196320091623193	0.0818798430916243
CYBA	64.9553615776735	0.125630047359727	0.071464942106877	0.019518510673369	0.0818798430916243
SARAF	22.3900667004718	0.160090153828252	0.170592345212087	0.025081464360261	0.103347720616979
RPS19	282.532466783196	-0.103644173004701	0.0587055118483799	0.0271125223883341	0.11038669829536
TAGLN2	54.4310206862185	0.150166413411631	0.179372584034395	0.0302474203816768	0.121701385535688
CCNI	32.9935070534367	0.138780565907536	0.110589007449955	0.0316466137463651	0.125850487223917
YWHAB	21.9734907527311	0.126976504869852	0.0927661088860152	0.0332456203918072	0.129204570159069
MT-ND1	168.225896343601	-0.137551130231679	0.127088449666151	0.0329336574814585	0.129204570159069
ITM2B	15.6998469623346	0.132872674151353	0.171854013037755	0.0341476951628794	0.131219233097806
RPL9	173.072233422244	-0.117304834321846	0.0814926405189344	0.0363706024351432	0.138208289253544
RPS15A	345.400592969538	-0.0957099221775298	0.0576176491731472	0.0380366583337279	0.14295095769379
RPL5	142.653091799394	-0.10485093957128	0.0677868558819614	0.0389720147886439	0.14487422888822
PSMB9	19.8878649383829	0.129348837149676	0.125207813079804	0.0406496344076705	0.149485752337885
HLA-DQA1	56.7572372832695	-0.123875257920826	0.11566157411015	0.0419278326206603	0.152545944215594
FXYD5	34.8737365225514	0.126800269654027	0.122582250277871	0.0442177312488006	0.159183832495682
RPL35A	204.701009169021	-0.104883473673853	0.0733417904339836	0.0464806268344562	0.162234428371668
HNRNPDL	27.8408288430396	0.114623587047736	0.0900541965100255	0.0463754159422763	0.162234428371668
SNX2	16.1422161222732	0.121030895423367	0.122749438883017	0.0473776934470241	0.162234428371668
RPS3	274.183635975692	-0.105110261444813	0.0749267520096318	0.0474369673601367	0.162234428371668
RPL21	142.213863675824	-0.0587755728627713	0.111856557660197	0.0473583663348096	0.162234428371668
RPS27A	333.427185269535	-0.0929004866226099	0.0605060110973601	0.0494968261455695	0.167603114275097
KLF6	28.79877572873	0.0970099210294353	0.142235102416527	0.0543145409068433	0.182113460687651
S100A10	32.7144749506772	0.0757008860595681	0.124428699195827	0.0604864413272761	0.200838475086684
TOMM7	46.4185403939768	-0.10508747955239	0.0897415106065628	0.0615202979304938	0.201343526422423
RBM3	18.245327516239	-0.109805426810739	0.115128842398364	0.0626819868608749	0.201343526422423
SUMO2	22.7011528050372	0.104474359828856	0.0889866074497871	0.0629934424771909	0.201343526422423
MT-CYB	373.348656198712	-0.106271160584585	0.100908522332202	0.0622980774434258	0.201343526422423
AHNAK	18.1155489273385	0.0949320602155742	0.127181601969101	0.0644807468075029	0.204189031557093
CD99	15.3947220714858	0.10273909364811	0.125157876469317	0.0665776165205838	0.207903652261841
RPL3	187.538886725616	-0.0895472566386146	0.0649258966950074	0.0668695957567324	0.207903652261841
ARL6IP5	15.5313741098773	0.10314864504369	0.113588266406757	0.0682303486880937	0.210223236498451
NEAT1	16.1689210480438	0.0786785940008772	0.12226178643232	0.068886662785968	0.210350345292867
MYL12B	19.4777698774923	0.103169320993295	0.0996976066767803	0.0697335433771112	0.211051963141345
CD74	1025.69025814617	0.090139538987948	0.0697075207602137	0.0761830620309115	0.224608682884239
RPL27A	62.3152969141628	-0.101233584763986	0.097015371592242	0.0749800569798693	0.224608682884239
RPS13	256.04458208373	-0.0806105139881973	0.0572449011448129	0.0759583603164278	0.224608682884239
HSP90AA1	22.5660424744	-0.0973557084014109	0.100997776788988	0.0814611199121835	0.238117119743306
UCP2	31.8209622674966	0.0908638632685577	0.1148381524945	0.0830788079413838	0.240787731491129
CD48	19.0683994610847	0.0939693409221891	0.0988182700514556	0.0866440673857783	0.249010681058287
RPL30	394.619350946428	-0.0848995433428391	0.069822110687646	0.0896830974845683	0.25559682783102
COX7A2	14.7689665287956	-0.0924142200543942	0.106692163553213	0.0913734677488477	0.258262198100049
RPL18	235.075501806457	-0.0681777328558691	0.0486224217364438	0.0938379631055867	0.263053962148448
RPL24	105.495961461203	-0.0731879178698824	0.0555066459813797	0.0990757338506769	0.273257265942996
PRKCB	15.9206303549109	-0.0738195371459683	0.110748971118977	0.0986557227898023	0.273257265942996
PTPRC	37.0979617639499	0.0882373716665858	0.0935646681583968	0.101370991744181	0.276376784675368
RPL13A	144.189086840675	-0.0745709018998336	0.0589433730872537	0.10182302593303	0.276376784675368
ATP6V1G1	21.0182204064686	-0.0874740670710417	0.0883740109342518	0.102864860975532	0.277006161052219
SYNGR2	22.4582472853539	0.0861469478684781	0.0932248971430751	0.104018058529849	0.277923250134442
RPS25	218.740457891442	-0.0767339654248416	0.0629236282552972	0.106314294395943	0.278417061497994
