""	baseMean	log2FoldChange	lfcSE	pvalue	padj
IGKV4-1	530.061820450885	-0.00839707125032565	0.0746199551180377	6.65480688903736e-11	3.07452078273526e-08
RPL37A	114.486738545655	-0.508584702169892	0.0884190775986359	5.11749694101114e-10	1.18214179337357e-07
RPS29	62.7979659381506	-1.04776226102326	0.208781372181518	1.64906359768788e-08	2.53955794043933e-06
RPS26	109.437899406963	0.628826203267681	0.129641618250698	6.57655078254601e-08	7.59591615384064e-06
RPL37	165.753775651178	-0.431040460186668	0.102417550618886	1.13813284702067e-06	0.00010516347506471
RPS27	173.478655181333	-0.612978922433085	0.149894842145231	1.7152062987464e-06	0.000132070885003473
IGLV6-57	283.838154115591	-0.00316797925559399	0.0739653161633469	5.15842797649927e-05	0.00340456246448952
RPS18	222.265579557297	-0.339996539608794	0.10841551836523	0.000102946191681249	0.00594514256959215
RPL27A	39.0845797379318	-0.415222161271385	0.143955193188415	0.000169866656825018	0.00871982171701761
RPS23	177.497292570729	-0.249122927637868	0.0862456543640617	0.000282528813969551	0.0125063789271616
RPL41	436.959315874589	-0.233289779151174	0.0811073753410504	0.000297770926837181	0.0125063789271616
RPL36A	27.3391551236366	-0.585809213703682	0.251190840808597	0.000453272981778711	0.0174510097984804
RPS28	185.032884423583	-0.217078188505845	0.0796768682585423	0.00050102392989508	0.0178056196624251
RPL38	36.3699450655753	-0.380682080421327	0.161541425646225	0.000600491993143084	0.0198162357737218
RPS19	212.849276149677	-0.210999047635175	0.0798336967920232	0.00074006652768757	0.0227940490527772
HIST1H4C	50.1440471512843	-0.0333312689270847	0.0851442844501471	0.000976362919307472	0.0265340981600031
RPS6	145.221033689869	-0.253614701377967	0.102054690044385	0.000962946635663277	0.0265340981600031
RPL9	82.1528597397029	-0.22600480869165	0.0947735470350569	0.00127274577117349	0.0326671414601196
RPL35	96.6959008263327	-0.185467437635511	0.075561948021621	0.00138597976120597	0.0337011920882716
ITGB1	14.8476703475369	0.8861396906241	0.475189490463796	0.00172029702521908	0.0385365481399198
RPL36	117.46625295644	-0.208156867361639	0.0927927835291354	0.00175166127908727	0.0385365481399198
RPS15	178.831222291045	-0.137412867454824	0.0547529932310203	0.00207472037602475	0.0416748179879754
IGLV3-1	54.5031215502869	0.00569761820860496	0.0741834649749072	0.00201962970276967	0.0416748179879754
MT-ATP8	108.784772955288	-0.0620391163090984	0.116896541692254	0.00243523122133295	0.0468782010106593
HLA-A	163.947998044399	0.291044087377965	0.155933330177137	0.00272807812589985	0.0504148837666292
RPL22	74.364525830807	-0.183361979235461	0.0975826913748249	0.00485298688447991	0.0862338438703737
RPLP2	141.444008183665	-0.133954961271786	0.0645782668138688	0.00622586816564627	0.0935854156934728
ARPC3	30.4785099653559	0.190126090385124	0.10946489776115	0.00625059356067634	0.0935854156934728
B2M	642.888180765907	0.213199614776638	0.12611421971005	0.00603102998741764	0.0935854156934728
RPL13	215.021715179868	-0.145816193146933	0.0736691239850801	0.00668467254953377	0.0935854156934728
ROMO1	15.4284899459766	-0.2404359548947	0.180931274151183	0.00668177506280992	0.0935854156934728
RPS21	121.919931400211	-0.209240612815705	0.145222349056168	0.00645831136593235	0.0935854156934728
PPDPF	16.0453471515487	0.298443800221998	0.224758706955416	0.00572452642711211	0.0935854156934728
IGKV3D-11	249.095911039868	-0.00688628426375758	0.0744442735474443	0.00726617046225352	0.0978108308671381
ITM2C	63.30494683912	0.264096572861687	0.233468484885889	0.00803038973041335	0.0978108308671381
MTRNR2L12	233.420419688369	0.0594272150613165	0.110576476818384	0.00837787969328323	0.0978108308671381
RPL24	79.6595209732156	-0.152751280525555	0.083123917737574	0.00764690479865836	0.0978108308671381
EEF1A1	403.567550902361	-0.21290363829371	0.152938266824782	0.00797269975425443	0.0978108308671381
UQCRB	25.0484555677278	-0.19780177547982	0.138350019797473	0.00845528084894249	0.0978108308671381
PRDX5	18.4075191747308	0.195785255109429	0.133276092177689	0.00846847020494702	0.0978108308671381
IGHV6-1	48.9799891919713	0.000394340051695168	0.073735434712509	0.00903860105616458	0.0994246116178104
H3F3B	53.8618681044602	0.156102914291479	0.0911813665338375	0.00895823986685484	0.0994246116178104
RPL31	41.9606747505007	-0.173866253932355	0.111779442333444	0.00969012591270085	0.104112515620181
RPS20	18.3490627908432	-0.222379344008751	0.259186672745235	0.0102894305451571	0.10803902072415
GNAS	17.7879281161209	-0.214213771798953	0.267735317531249	0.0107453195573265	0.110318614121886
HLA-DRB1	17.7638980740102	0.0947593377491487	0.184723776824884	0.011314875658326	0.113640707698839
H2AFV	19.2980833765314	-0.188984473693929	0.275602375661902	0.0123619856653829	0.121515688880998
POLR2L	18.2720635567547	-0.161382762397671	0.1296239597338	0.0156553910963217	0.150683139302097
RPL23A	111.634589585081	-0.130227160026148	0.0817483584157054	0.0166200426637356	0.156703259400936
RPL3	135.405481242645	-0.126114821437429	0.0758054809876915	0.017098201526879	0.157987382108362
RPS24	178.433352408116	-0.121563138656525	0.0748915706753611	0.0177011344891213	0.160351453607334
MEF2C	15.5910765175246	-0.128302385083663	0.229865522097684	0.0183983187607269	0.160377797499166
NDUFA3	13.2619250479555	-0.15001382016067	0.199070061732699	0.0183486864315322	0.160377797499166
CCNI	18.8204196746818	0.151537582567421	0.143192873405142	0.0190609920181377	0.163077376155178
CALM2	17.3555632307653	-0.0674608714436882	0.118695107074746	0.0195191359511738	0.16396074198986
RPL32	183.588421454199	-0.123102912438767	0.0803626454961792	0.0200959919381633	0.165791933489847
RPS3A	153.284032262407	-0.126933857630995	0.0919011435845579	0.0225511942116226	0.179631926306373
RPL23	24.0529690321317	-0.12784603623691	0.181573076199855	0.0222838455816508	0.179631926306373
HMGB2	20.1290175110446	-0.030826483976447	0.0825876120607372	0.0235979997450879	0.18478433698696
VOPP1	15.3318772583222	0.136421578432491	0.161089826519233	0.0250077747915957	0.189403146782249
IGHG3	41.3104934788036	0.00945387317113051	0.0743647743446861	0.0250002474066462	0.189403146782249
PFDN5	24.7152326075746	-0.131054490428449	0.132271360068344	0.0258993631284328	0.19299202847316
SRM	21.4528853018605	0.0940192973860337	0.153034767935896	0.0267752875065731	0.196352108381536
PCBP1	26.7908523329028	0.131199233294789	0.128476432640409	0.0273308915237934	0.197294873187383
MT-ND3	244.506780818604	-0.077887299071057	0.128046990959476	0.0279781188547641	0.198859860167708
ATP5ME	15.7250123028115	-0.0703913472971343	0.118128883494873	0.0285535503333818	0.199615953798385
RPS9	88.6272654555664	-0.125618210150301	0.104559059359272	0.0289486339924065	0.199615953798385
COX7C	37.9243486958742	-0.11890684442387	0.0964233581311551	0.0298838759034536	0.200936131738392
CD99	22.9081651351338	0.101534351385112	0.157295831976153	0.0300099417531365	0.200936131738392
IGHG2	129.447840316824	0.0140890626443879	0.0757643341805366	0.030781835948287	0.203160117258694
ZNF706	18.0702305234178	0.120755052789365	0.122734777138535	0.0332848007095081	0.216585604616799
RPL34	163.206483758939	-0.111591322170789	0.117005007000464	0.0369537759214826	0.233871842133219
RPL39	207.505616457309	-0.0917825742717442	0.133384356682033	0.0369382440414137	0.233871842133219
RAC2	31.8926559021289	0.106525698299765	0.136576729403144	0.0383382372349784	0.239354940575135
RPS3	177.178469770486	-0.0964148874718847	0.0701499770513047	0.0419946640785104	0.258687130723624
SPCS1	53.3873969972578	0.104866336288348	0.107437738788784	0.044376569792531	0.262845836463453
RPS14	163.282426752918	-0.100511779871071	0.0799886410112553	0.044304976605645	0.262845836463453
VIM	118.241120416579	-0.0625019599965508	0.106935636539705	0.0436108276220089	0.262845836463453
TOMM7	17.1307113776198	-0.0978697399590613	0.120385084470248	0.0478243881222524	0.26438433173422
NDUFB2	14.7793044406438	-0.0893883196754711	0.121485517959142	0.0480698784971308	0.26438433173422
NDUFA1	24.9726531294064	-0.101523509372539	0.112789406983045	0.0452963177380806	0.26438433173422
SRSF9	17.1607229085907	0.0960309647366647	0.119209118679239	0.0472434838006954	0.26438433173422
LSM7	15.7787216739347	-0.0942557312370434	0.12396321868434	0.0478784117977678	0.26438433173422
RPS11	49.7858592800411	-0.102605191937538	0.0958679556720147	0.0463407230769779	0.26438433173422
OSTC	33.5060416370202	0.0990390853051678	0.107007744738906	0.0509130688909247	0.273509742181479
PFN1	75.234986663004	-0.084839751344904	0.119791366709365	0.050870146005447	0.273509742181479
RPS25	102.508703582802	-0.0921769061292458	0.0687993104292798	0.0528136443191828	0.27727163267571
NME2	15.3004262802411	-0.0548277486686713	0.0981049176126228	0.0526872982288525	0.27727163267571
UBL5	20.0825764920264	-0.096713106335325	0.0978683162351953	0.0563211135365566	0.292363533189766
STMN1	14.3168570183025	-0.0257839793166306	0.0794809051897532	0.0590802222849477	0.293495297802644
IGHA1	812.201199294157	-0.029931712763983	0.0814410604359278	0.0586132277773862	0.293495297802644
RPL27	60.9978820786358	-0.0916135164377375	0.0787726043407048	0.0579453562944418	0.293495297802644
MT-ND2	63.756949993245	-0.0643561835235216	0.1036195778615	0.0590314534639239	0.293495297802644
FXYD5	23.4024731823841	0.076432054971583	0.11180116774705	0.0598180147660213	0.293999178956403
ATP5MF	22.0423952672395	-0.0889837596287911	0.099921588195532	0.0642338265172722	0.312379240536629
HMGN2	30.4324116744668	-0.0431080361902701	0.0888562535713492	0.066097907546739	0.317808759548795
PSAP	15.9843154555585	0.0569726076948144	0.0984375764871254	0.0667260815502881	0.317808759548795
TXN	28.0717344513234	0.0737421156610583	0.106144598086019	0.0679964324414087	0.318395765897985
LSP1	41.3417202693504	0.0844606094570318	0.105509600855504	0.0690738284493564	0.318395765897985
HSP90AA1	29.9091128009793	-0.052255266291536	0.0948471904274807	0.0696060007699058	0.318395765897985
COX4I1	43.9705153808076	0.0855003185264275	0.0743428146628234	0.0684557273735227	0.318395765897985
SEC62	14.9305892072565	-0.0549354332773428	0.0959025860261024	0.0723538281087813	0.327720280257421
S100A4	32.1532975922923	0.0245702724458366	0.0787726377428356	0.074726913799612	0.334093789851457
AHNAK	18.1464016839979	0.0428275593202685	0.0881305405534447	0.0766254719126435	0.334093789851457
ATP5F1C	15.6437059112472	0.0827023495277255	0.0957456867876565	0.0756997557337023	0.334093789851457
IGLC3	111.135824856146	-0.0111321813115433	0.0750048823904983	0.0766535535157022	0.334093789851457
ATP5IF1	13.348311915079	-0.0726605616717142	0.102693327180694	0.079059641655953	0.340315338606951
MZB1	192.7081139385	0.0700562510061827	0.111615230290976	0.0795542349990275	0.340315338606951
TMA7	34.0451025716527	-0.0708902278866101	0.0975120388612612	0.0828987116751612	0.348174589035677
TXNDC5	46.9541036879643	0.0440894724205614	0.0887109008300697	0.0827131935568232	0.348174589035677
UBE2D3	13.7875177601517	0.0718359888880863	0.0989979968971872	0.0883747666352381	0.355036019004174
RPS12	230.548508757224	-0.0791668993656893	0.0781176842197092	0.0862088560817185	0.355036019004174
HNRNPA2B1	36.5658492439101	-0.0676959629261652	0.0983268635267453	0.0876939906414322	0.355036019004174
HSPA5	94.1618589965173	0.0472219341505267	0.0897765316263994	0.0878629998947856	0.355036019004174
HM13	33.4298126030898	0.0583802906683908	0.0960640435178283	0.0861492435483634	0.355036019004174
SSR1	19.2615120084747	0.057515398114783	0.0948280333147678	0.0893855985915027	0.356001263355813
RPLP1	507.658766047533	-0.0767426281897078	0.0784543931464083	0.0940544332290456	0.368247018235755
UQCR10	17.746387374605	-0.072415020187156	0.0946010123521025	0.0937567690435317	0.368247018235755
PSMB8	14.9235101010021	0.0727039608105314	0.0891804902399088	0.0991107144160284	0.384782773615169
TMBIM6	45.6632033882227	0.0694849537085455	0.0914718732815501	0.100255840763039	0.385832911601097
PSME1	32.570425373953	0.0727455381858295	0.084740207544824	0.101051476847906	0.385832911601097
