""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL37A	129.53852476272	-0.320385230288206	0.0676647642020554	1.1860620947456e-07	0.00019664909530882
SMDT1	12.8505228660111	0.587309774259123	0.133125871053664	4.82312667306523e-07	0.000399837201197108
MT-ND3	266.899386560033	-0.481679585838808	0.125459367078183	3.97769943752612e-06	0.00219834188913944
MT-ND2	66.2730655172996	-0.432542004708218	0.125488078870613	1.53311449777702e-05	0.00635475959328575
ITGA4	21.5533024071825	0.571879421711096	0.179490175210133	5.88872043057274e-05	0.013862320115622
TMA7	50.2537954767443	-0.237010336165773	0.074991592212819	8.96096637575749e-05	0.013862320115622
RNASET2	17.3332187421267	0.379029730654713	0.11862867605753	5.86394570088576e-05	0.013862320115622
TOMM7	44.3456232306503	-0.238016330060391	0.0719551907016115	5.67440177496318e-05	0.013862320115622
SRSF2	12.6112728617247	0.416795164626551	0.133279768776479	7.78400248414447e-05	0.013862320115622
HMGN1	19.469517702204	-0.32208019656163	0.10582205659837	8.86581517605428e-05	0.013862320115622
MT-CO3	442.230563004146	-0.292694609798534	0.0948530437247537	9.19695544462255e-05	0.013862320115622
KLF3	8.91987640991233	0.548952496946091	0.183057529239079	0.000104847235108379	0.0142018876410517
IL7R	32.6887344888357	0.438769881054497	0.145331952441766	0.00011135376316868	0.0142018876410517
GOLGA7	8.59993701075795	0.410307223187683	0.140746844244743	0.000140909430576246	0.0155751890596943
MT-CYB	331.360940493719	-0.298985674802338	0.101233849467704	0.000135983103561047	0.0155751890596943
IL32	237.076651952876	-0.307731755484532	0.111820623135839	0.000252159678428746	0.0261300466771788
CARD16	13.0474502520058	-0.390085640473067	0.151885645354648	0.000364964170373405	0.034476264032542
AC119396.1	5.33331022415753	0.494272583575786	0.192810957400249	0.000374289959340021	0.034476264032542
PRMT2	11.0295748929327	0.358889001092058	0.142396537493386	0.000449106713271511	0.0391904700317981
FGD3	6.18249323164879	0.4043946168243	0.164296163180554	0.000481335905709893	0.0399027465833501
SYTL1	13.6477211365859	0.304976656104165	0.125333956007454	0.000618146563132796	0.0465857728033716
RPL35	99.7885383864648	-0.172258763530285	0.0647028165396446	0.00060391364542317	0.0465857728033716
SARAF	62.6280851618712	0.169392796877115	0.0642322951326703	0.000678807333037524	0.0468942732573423
ADGRE5	6.32873530376799	0.436747085870371	0.190654085842568	0.000667685591167183	0.0468942732573423
SMAP2	8.09073155246184	-0.391883801573353	0.170463102499653	0.000735169198401968	0.0478373553978251
RPS27	497.263215675602	-0.19876736270138	0.0815564185716418	0.00078269603483926	0.0478373553978251
TMEM14C	4.72768310219516	0.408025478941301	0.18374701496153	0.000894425824687924	0.0478373553978251
NSMCE1	4.94143074031106	0.422874693273029	0.1942165683249	0.000877396491091023	0.0478373553978251
RPL38	66.4674223746994	-0.313568832050475	0.14068424004453	0.000805511292346754	0.0478373553978251
MT-ATP6	383.905399124822	-0.244844673715312	0.109385793516546	0.0008770283622101	0.0478373553978251
MT-ND4	95.9739431837736	-0.392152762141762	0.178366180620819	0.000846505677301675	0.0478373553978251
BIN1	12.6932996395207	0.263147030690894	0.118913288166978	0.00105879771650319	0.0548589566863216
LGALS3	9.07598174028054	-0.483250460350915	0.252709046652061	0.00149543069676359	0.0751340634919405
MT-ND1	128.995955903964	-0.215842290381963	0.102596044319206	0.00166462276407066	0.0811748394949752
CLEC2D	11.896665720378	0.286439719515576	0.148041059422789	0.00183437162371063	0.0868968043460634
NDUFA1	19.9149215435327	-0.227159571955544	0.111488222376031	0.00191434095970258	0.0881660364218575
ARID4B	11.933929813711	0.265261768240917	0.140517834548066	0.00209726462906108	0.0911845885840111
HSP90AA1	31.9990447215014	-0.187308380700894	0.0883222422615699	0.00212951169610421	0.0911845885840111
ZFAS1	16.0442805402206	-0.262400696937224	0.143298880488742	0.00214487271096287	0.0911845885840111
GZMM	6.32909068874196	0.420521257984151	0.240838109031719	0.00224614351392946	0.093102648652376
TNFAIP8	10.9529736866283	0.251710243887608	0.137110075508055	0.00246454057139473	0.0996636162773771
RPS6	214.732845010978	-0.123056671755039	0.0534536387402873	0.00276678780290729	0.106682190167914
YPEL3	14.3631448942115	-0.305195018809277	0.184023059821135	0.0027147402508733	0.106682190167914
DENND2D	6.02427938487172	0.373164254726002	0.238159537696096	0.00306938749500088	0.108214519051238
FYB1	52.3437099330152	0.165311660149628	0.0821664024933421	0.00313286906782838	0.108214519051238
RPL37	289.242708480685	-0.145281439344206	0.0678067576676475	0.00291759181090049	0.108214519051238
GIMAP7	23.5525904083845	0.275746180143785	0.155607513435607	0.00296987320077414	0.108214519051238
APRT	18.6075483575226	-0.242776367783278	0.147324799064369	0.00302678593194093	0.108214519051238
RPS26	185.824887041554	0.473372316852662	0.31710935996911	0.0034069635407953	0.115280521441604
BIRC6	5.75037270666779	0.343836377966077	0.243809646334136	0.00350207235199737	0.116128719192233
ITGB7	11.3677892457424	0.254566588217728	0.156118055049615	0.00383303470788945	0.124611206778053
UBL3	4.82228930599463	-0.333951688102637	0.259411271261636	0.0046503133666716	0.14827345311426
TRA2B	9.21134528892556	-0.278269737500176	0.250212797809163	0.00488263962327447	0.152743707460171
SIRPG	5.41436569784732	0.266395881535339	0.232305419494809	0.00541345235340681	0.16621303707312
TTC39C	11.7817294979462	-0.217303290288655	0.15730886132682	0.00555008690949141	0.167309892653396
CFL1	100.123104416848	-0.134947058198933	0.0748860216997079	0.0064807394084662	0.190134247689071
KLRB1	23.6391122960969	0.359969043098665	0.4730453197973	0.00653658149473888	0.190134247689071
OST4	30.3231832034297	-0.15494110526618	0.0998733233808961	0.00735249015138592	0.203207080941778
CD3E	76.6260769093267	0.109057107402984	0.0555323896099527	0.00747625569206784	0.203207080941778
CD7	15.877926944114	0.217461082251453	0.185381659584258	0.00728183545610841	0.203207080941778
CYBC1	6.31547248096091	0.222720516935605	0.246259059311667	0.0073879751841835	0.203207080941778
MIR4435-2HG	8.27153026623278	0.0671780212113209	0.127627254769057	0.00780468266432449	0.20539942630873
TGFB1	14.1928827795159	-0.199956905869569	1.11601733683875	0.00780139564304234	0.20539942630873
HNRNPUL1	8.73248043809345	0.214605080101705	0.201781301044831	0.0079720524067859	0.206525982663297
CKLF	6.52847294995502	-0.211634407726233	0.232142800910582	0.0083934631753411	0.214097876072547
C8orf59	9.92615569027915	-0.175938328452047	0.167259686273142	0.00955638088346796	0.228971641621816
LDHB	56.2322055726669	0.133062885823823	0.0841249340431333	0.00969277496519799	0.228971641621816
TPT1	371.653970374092	-0.103876879586486	0.0540473603781403	0.00951326640372578	0.228971641621816
MT2A	19.3698824514144	-0.0532509291973754	0.0954506369089667	0.00973608118359171	0.228971641621816
TMEM256	5.46872993459784	-0.106067306688141	0.367206279687249	0.0098051788631779	0.228971641621816
ARHGAP45	11.2199003193195	0.179005285957871	0.166627770727131	0.00927404248414632	0.228971641621816
TMSB10	566.328029702363	-0.112327968003729	0.0645480827234606	0.0101271021724865	0.229493164562486
PASK	5.59054390181614	0.0335412486827237	0.0711184189857524	0.0111833183444933	0.229493164562486
GNAI2	10.320869784318	-0.0768182024020142	0.152562477448354	0.0106290713584708	0.229493164562486
SF3B5	9.11892089624996	-0.167385728002081	0.188284637218085	0.0111737851227805	0.229493164562486
SAT1	20.6692954697879	-0.128116947173823	0.356252607680744	0.0110388842404254	0.229493164562486
RPL27A	49.1018471741138	-0.151604768949415	0.124871595768463	0.00996931030913106	0.229493164562486
POLR1D	11.5928839345069	0.163272288903821	0.169986778523705	0.0112984066869991	0.229493164562486
HERPUD1	6.96503565406899	-0.0589400461036382	0.106208367310104	0.0113291859800821	0.229493164562486
TSPO	18.1151634397202	0.151726940544793	0.118462462065056	0.0105870048147852	0.229493164562486
MT-CO1	725.939564974323	-0.134102018860912	0.0915909082981787	0.0106734969763816	0.229493164562486
MT-ND4L	259.002378985171	-0.140975401475428	0.115623892196448	0.0113500841339709	0.229493164562486
NDUFB1	8.09153937320856	-0.0842025187531053	0.176883851636475	0.0117515471546782	0.231953156934005
TRADD	8.67339651548806	0.15838974115477	0.200640213120301	0.011670965972569	0.231953156934005
TNFRSF14	11.6151047899099	0.148128718418308	0.165373912417644	0.0129360461624672	0.235006023757625
PTP4A2	17.0053938765466	-0.13627580997853	0.186179188133885	0.0133011043070238	0.235006023757625
SF3B6	9.56313963260869	-0.130504267032068	0.250202413386825	0.0138905852401974	0.235006023757625
MGAT4A	8.73385069158676	0.0689722568151357	0.121229270365658	0.0133493242055613	0.235006023757625
TCF7	12.8102667367365	0.0664498806394015	0.119565590620706	0.0137846533912337	0.235006023757625
TMEM14B	7.95996205964995	0.14570171216295	0.197682085099102	0.0129496948208529	0.235006023757625
RPS18	314.390053499936	-0.112072820847935	0.0717204071639006	0.0130150448205018	0.235006023757625
ITM2A	19.3365201290353	0.161774567642165	0.182199369105615	0.0123825875824966	0.235006023757625
PCED1B	5.24289678231295	-0.061594178481934	0.108637312323879	0.0132787430610606	0.235006023757625
PCBP2	51.4885031478388	0.110487650114086	0.0669406939197654	0.0127492427049458	0.235006023757625
ISG20	22.4226445416804	-0.141310432468986	0.131520461333559	0.0138556483527248	0.235006023757625
RPL23A	168.644419630143	-0.090409720605923	0.0491721635575967	0.0138515588800587	0.235006023757625
LGALS1	36.5255998720701	-0.0428197946675797	0.0804672717517774	0.0135242154105885	0.235006023757625
MT-ATP8	90.0168521866661	-0.0291997756064859	0.0676114738492046	0.0127272317335128	0.235006023757625
CCT4	8.05188525136624	-0.137262750606143	0.199479068193697	0.0145676484550661	0.241531611384996
SELENOK	6.59352078634893	-0.0719020606703515	0.131789065990668	0.0145001559527318	0.241531611384996
CALCOCO2	5.3170207349256	-0.0627520356585505	0.107977179232271	0.0147279554063229	0.241771782808746
SUB1	37.3392727738684	-0.126979055798919	0.113520520813172	0.0151889595828054	0.246895048904816
ATP5MC3	17.5262166916245	0.126542361391614	0.107446612600697	0.0158217594546838	0.249833115960626
TMEM258	16.5012227995585	-0.12936235600662	0.120602239610019	0.0157684630829325	0.249833115960626
GSTP1	7.56022135631088	0.0852386709826459	0.166347435839344	0.0157600461801581	0.249833115960626
BATF	4.92523463889679	-0.0557654278798145	0.0981084610135835	0.0163722608702806	0.256086872857786
KLHDC2	4.82745381442792	0.0639663759252525	0.11138953083076	0.0169876586082013	0.26322932684484
SDF4	6.64798774362349	-0.0782542431818088	0.143703190293196	0.0175349638781018	0.266566096766284
COX7C	53.3988741909759	-0.102268755336839	0.0657049011513725	0.0176853260822022	0.266566096766284
KDELR1	5.23489594181939	0.0690221520613337	0.122360555103876	0.0174207441282402	0.266566096766284
TPR	16.2668303597014	0.0815694538840252	0.147813361765668	0.0178596894806663	0.266769055485989
DDT	7.45711633502318	0.0631204369651651	0.108485543346066	0.0182447775053323	0.27008786699858
TECR	11.5662570366533	0.124168626241716	0.150411821783873	0.018627633027635	0.2733151819453
ANXA1	28.6957125164189	0.0943154051692202	0.178463800904122	0.0191145371655834	0.277999145794186
LTB	113.141575554541	-0.104323434778483	0.16394355586538	0.01978611473213	0.278011679880268
ATP5MD	17.0945925200636	-0.11456521571477	0.145177042920293	0.0197493553243353	0.278011679880268
MAP2K2	5.87448821061323	-0.0464997331350016	0.0841387958761329	0.0195149667071693	0.278011679880268
LSM4	5.79712687706524	0.0641854197797867	0.108221900835634	0.0194193779026847	0.278011679880268
EPB41	11.3617816116263	0.100074672067892	0.154581719733175	0.0203482029784178	0.281759731093676
EVL	46.1693154385566	0.0978533483682105	0.0638088300472371	0.0203927429018342	0.281759731093676
PPIB	29.5994222843789	0.104171591584881	0.0776357097936899	0.0208896214115367	0.286239605787834
CD74	91.8831767779614	-0.102063520566257	0.158082188630839	0.0211380873214115	0.287270071958198
RPS8	337.953070749315	0.0954422699416677	0.0646104316785594	0.0214019590937074	0.288491448596478
S1PR4	12.7956280306662	0.0774782859157931	0.137306997702407	0.0218416871825031	0.292044494746695
GABARAPL2	9.57758049366743	-0.0851910338586975	0.146617340481728	0.0224576750376236	0.297878601699039
