""	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DQB1	332.31537633605	0.53248383447384	0.111290526516562	1.02172300416836e-07	0.000103551626472463
RNASET2	50.9956480393579	0.469946532091819	0.0961109324814214	5.55286816061088e-08	0.000103551626472463
RPL37A	325.750855694184	-0.309526414432553	0.0702647896764373	7.36725206421201e-07	0.000373335498353944
FTH1	858.045224726628	0.298647307564234	0.0671630887909946	6.66309610132393e-07	0.000373335498353944
B2M	1047.16207721915	0.197802261402636	0.0450106792560088	1.36891332256967e-06	0.000554957460969744
CFP	70.6107593004119	0.410906805318218	0.0985202064288362	2.14531924516791e-06	0.000621223158565052
RPL13A	231.715463352817	-0.250287266842815	0.0590883708809577	2.11039301412906e-06	0.000621223158565052
HLA-DRB5	381.327389767248	0.678911317071799	0.167417965220991	2.74870277637029e-06	0.000696452565962822
CST3	1121.21988206077	0.330610186029275	0.0821798729198705	4.14905743582662e-06	0.000934459935824507
MT-ND3	617.563546504326	-0.529053827679677	0.1395956965782	5.26278331600728e-06	0.00106676617815468
MT-ND1	377.950356908471	-0.389590638145072	0.106101368604439	1.20122457843731e-05	0.00221352929135675
HLA-DPB1	676.105639254967	0.352525856041024	0.0979335251744475	2.10135115129406e-05	0.00354953231972755
SYNGR2	54.5675026847682	0.303189494268575	0.0863696471085921	2.89368609660182e-05	0.00451192439831684
CAPG	51.7576923333527	-0.371707774587762	0.109969927882232	3.94990543063497e-05	0.00509261933469715
CD74	3695.11681546422	0.223106262160007	0.0625053149433473	3.58732577062316e-05	0.00509261933469715
CAT	26.3419475248175	0.341319778891746	0.101021885001389	4.01982779255819e-05	0.00509261933469715
HLA-DPA1	796.0635328565	0.328279834737123	0.0975665270901249	4.98203454574818e-05	0.00561032445790642
MT-CO3	1176.63194529465	-0.36051962668756	0.109700585936499	4.89828202585559e-05	0.00561032445790642
RPS18	649.201820926393	-0.212978006057615	0.0614063370308018	5.39363680496884e-05	0.00575415884403781
HLA-DRA	1303.93824369836	0.276604927445034	0.0841458135807907	7.52984111584291e-05	0.00763149397090679
CYBB	19.3350499788838	-0.510569859058858	0.168190806176771	9.15666176476382e-05	0.00843661518053466
CYB5R3	13.5328255716164	0.477291566610355	0.152459759486756	8.79204728102925e-05	0.00843661518053466
DEGS1	11.3121794936793	0.467190318554158	0.157069907369789	0.000113437719411053	0.008843779124854
MRPL33	21.8301745790728	-0.411487326108745	0.131976391159861	0.000104127744336024	0.008843779124854
F13A1	9.80455394642266	-0.099287077155922	0.265937102674835	0.00011035162887103	0.008843779124854
LAT2	15.4136835143512	-0.460496878866715	0.149436071046602	0.000110317737677193	0.008843779124854
MARCKSL1	9.5814706437179	0.677096433029747	0.228141769367293	0.000122295979654713	0.00918125743555937
DSE	10.0053552830374	0.584029670376977	0.209456233587088	0.000139844895585127	0.00932990550114496
RPL27A	121.800852918013	-0.286520496973636	0.0930265523915433	0.000142687257294274	0.00932990550114496
IGSF6	43.3288738295348	-0.346087440798023	0.117325579238338	0.000137274927560064	0.00932990550114496
ZFAS1	39.1337476267037	-0.347595105999072	0.117336639905938	0.000139280895495652	0.00932990550114496
MT-ATP8	199.013808557965	-0.941477946822277	0.340692541804614	0.000147360115134661	0.00933434229306119
PTEN	11.1338433638136	-0.573370657518963	0.198489081767375	0.000174379011408912	0.0103960663566431
APRT	40.6598063132634	-0.360491315175414	0.127789548463785	0.000171164080266389	0.0103960663566431
SARAF	61.0726433682099	0.244657643939632	0.080481109577802	0.000187185979093905	0.0108407422749527
TMEM14B	17.3406227297456	0.346382710399843	0.121048934409378	0.000199712562349495	0.0110252745480598
MGST1	9.98265970195008	-0.719709201285717	0.26969130294429	0.000201250694759849	0.0110252745480598
HLA-DRB1	910.417520387783	0.297502249506075	0.101033031916829	0.000219495536969315	0.0117083540378106
MT-ATP6	872.886477764281	-0.317410536100618	0.1114191910372	0.000228321673343161	0.0118668726119638
TMEM59	23.4462438911703	0.316080578741945	0.111382736677444	0.000241077851848548	0.0122166201424252
RNASE6	29.0474384915534	0.372756837846256	0.132069967452395	0.000274040569355191	0.0135482983922676
TOMM7	73.8719152806324	-0.244221841544009	0.0858306527130948	0.000299561565948871	0.0140938260477413
SLC25A6	160.744497336568	-0.223496247016994	0.0770398272439726	0.000293315371911214	0.0140938260477413
MT-ND2	176.394037314663	-0.309119246207019	0.112532042798072	0.000305934063197147	0.0140938260477413
NAA38	24.8768470213184	-0.334305086034635	0.123054959147789	0.000345807012790139	0.0152380611940351
UBB	40.0422924222518	0.272983877477192	0.0990196900853007	0.000340922509796157	0.0152380611940351
RPL35	251.317516626724	-0.149463708079615	0.0490324348644378	0.000407917434626678	0.0175925242550697
BST2	33.2397289785946	0.310483802696595	0.116592038000677	0.000428438809253744	0.0180926138824446
ALOX5AP	10.7231855813923	-0.551052586891832	0.225354810746449	0.000452500749293387	0.0187187554860754
LGALS1	222.498727922458	-0.221039632207025	0.0828208358049761	0.000607952640393965	0.0246464000415713
RAB7A	34.8895582474592	0.233975889326098	0.0898386196855217	0.000654575735211649	0.0255158656783464
BRI3	27.3943262018132	-0.536251082298654	0.236068971404203	0.00064666094386117	0.0255158656783464
UBL7	11.1756507655627	0.379576464714633	0.162341027821667	0.000723571944203646	0.0271607468685331
MT-CO1	1975.34181396689	-0.232455663748191	0.0916814740043853	0.000716077170763327	0.0271607468685331
MT-CYB	783.792405765466	-0.254968262048856	0.105076743322197	0.000825617040489341	0.0304277407467617
HPS1	14.1506529957806	0.331537783987892	0.142454688030811	0.000860414055348487	0.0305975314068664
MT-CO2	1780.85861417838	-0.243509620654603	0.0946163205963689	0.000854317467239131	0.0305975314068664
RPL38	126.386362576996	-0.239949875093734	0.0974302677437866	0.000935569490617287	0.0326965406462283
LSP1	169.671739281033	0.176183413828854	0.0660827626314728	0.00101343194450607	0.0348173991782002
SOD1	14.9357116831564	0.337748890001404	0.152027369017403	0.00107171886645605	0.0356126908574821
MT-ND4L	626.209907818633	-0.288847397281052	0.126097600869891	0.001059863657801	0.0356126908574821
S100A6	495.953751481213	-0.171806295315753	0.0673048463925583	0.00111206915319763	0.0357803837068508
WDFY2	9.81582322538249	-0.454001373813466	0.204230111365788	0.00110949178867958	0.0357803837068508
SKP1	34.1412732654299	0.21851328883388	0.0906634610134776	0.00113067382338717	0.0358105600000904
TAGLN2	132.065253051609	0.250681518403378	0.106913144419809	0.00139373293929129	0.0428044949688401
SNX3	67.9788815241142	0.320315842953622	0.145558397464829	0.0013786886806942	0.0428044949688401
CSF3R	22.9796564459035	-0.339788632215114	0.165210778117066	0.0014625588707572	0.0435971592797773
RPS6	494.409880144026	-0.140167310956274	0.0529039501929057	0.00145098307754463	0.0435971592797773
RPLP2	413.15246906463	-0.106505576056124	0.0380531279985567	0.00161445805884705	0.0474276302214925
GSTP1	179.599670684229	0.130225503991014	0.0486020095099074	0.00163869284398111	0.0474518627821387
RPL37	590.170590369841	-0.158027025454215	0.0627778412948771	0.00167151860367371	0.0475344227376965
SPG21	19.8716751688039	0.259740855224809	0.122183539832673	0.00168844520824576	0.0475344227376965
MGAT1	17.7503420767879	0.277544007790623	0.132575474623445	0.0017693280614934	0.0484652429817179
SMDT1	34.1144181915278	0.285622673271325	0.133817406152337	0.00175924904525978	0.0484652429817179
CYTOR	8.38043272314652	-0.45506450788644	0.231520556577521	0.00187394452470155	0.0506464740209339
