""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	128.138261271304	-1.05327749197758	0.198498587820365	2.85380828357839e-09	1.37268178440121e-06
MT-ND1	86.5699790239315	-0.71430849780399	0.172383958565111	1.10233246590766e-06	0.000265110958050793
RPS29	38.4593841916249	-0.806042791013961	0.206800512074819	3.27964403577196e-06	0.000394377195301578
MT-ND2	55.7410088222639	-0.655979697519356	0.165794964447756	2.48087732042002e-06	0.000394377195301578
MT-CO3	180.811085518277	-0.69041724459936	0.197785333873189	1.4791199999629e-05	0.00142291343996431
RPL38	21.4650134294287	-0.506893906570604	0.156154344069714	5.48146234730311e-05	0.00439430564842133
HLA-DRB5	27.508187760883	0.733065889273278	0.232255752043732	8.0755286237539e-05	0.00554904181146518
MS4A6A	12.991867858474	0.755899619359996	0.267180557207266	0.000190364814508427	0.0101739417531726
MT-CO2	338.513496823335	-0.471370498689501	0.168524046037696	0.000169262168066976	0.0101739417531726
MT-ATP6	168.968963508332	-0.502072126313656	0.19930321667973	0.00031405148248843	0.0137326148251759
MT-ND5	77.2028840357631	-0.430955613581722	0.165344208033084	0.000306154614511837	0.0137326148251759
MT-ATP8	41.7348221320965	-0.0434704977685516	0.0926892319041818	0.000442883967574252	0.0177522657002679
HLA-A	47.1336774494591	0.407788380578604	0.158788627953528	0.000492767598870528	0.0182324011582095
RPL37A	67.5388606928454	-0.281206692086524	0.110626015580842	0.000589194988425177	0.0202430563880364
B2M	301.060978017052	0.21404836903683	0.0809850910553438	0.000686291193768614	0.0220070709468469
RPS27	169.690902307485	-0.260023365144114	0.114394603402035	0.00119489169186788	0.0345528196781012
IL3RA	16.3586004783001	0.420758822255523	0.197844098920338	0.00122120152708466	0.0345528196781012
TAGLN2	55.1687027333405	0.265511045492021	0.121069845660457	0.00152276503758117	0.0399479025011576
MT-ND4L	118.610852535398	-0.406105073397615	0.214373213449955	0.0015779836746819	0.0399479025011576
RPL39	147.151316206782	-0.233656300701598	0.109225998603323	0.00184112061243442	0.0442789507290478
SELPLG	9.83427972711078	0.400077933617315	0.22043582051732	0.00214082342477153	0.0447711333615264
CTSZ	12.501393045161	-0.408938143044356	0.218991252655438	0.00205496313325066	0.0447711333615264
MT-ND4	66.6811630042074	-0.390872439713301	0.227364221676768	0.00206238068185267	0.0447711333615264
MT-CO1	394.812252856652	-0.36933252322545	0.220623721337319	0.00236559410747165	0.0474104485705777
RPL37	129.717374902108	-0.226131869876857	0.116397662977885	0.00288555150907763	0.0555180110346535
RPL36A	16.6757085087345	-0.426614560832968	0.316460581457159	0.00355605374315932	0.0657869942484474
MT-CYB	128.039724980859	-0.32647779443758	0.242204250236509	0.00419254509075717	0.0746894143946
RPS13	138.424902360002	0.159996902533667	0.0797963855911158	0.00517851469726672	0.0889594846209033
HNRNPA3	9.81490727162888	-0.311612965061279	0.241609723416697	0.00608077323116165	0.10085696290306
CLIC1	14.6321564036893	0.244611363690476	0.18213721734081	0.00651493143563982	0.101086516791702
CD37	25.3752391417202	0.19906410198598	0.124016020560593	0.00645302966510996	0.101086516791702
TMA7	23.5683014915716	-0.221916296589804	0.154774437880041	0.00698041340008111	0.104924338919969
RBM39	11.8729118062778	-0.298507863269492	0.280920537786703	0.00724637967697995	0.105621473473556
TMSB10	121.522286722169	-0.159443855734071	0.103808760448324	0.0105509208892231	0.126874823692908
RHOA	23.4883467089507	0.186137892658479	0.134407013380978	0.00926493373756901	0.126874823692908
RPS3	106.869798902378	0.135209470422377	0.0744642247619442	0.0102528426361629	0.126874823692908
LYZ	11.0306314451429	-0.0122306541594913	0.0737463122444001	0.0104542420974909	0.126874823692908
RPS21	75.7184000701601	-0.183481022030606	0.135057454757752	0.00987347395962983	0.126874823692908
TYROBP	39.7283771248258	0.180727065931268	0.130736768471432	0.0103542865818513	0.126874823692908
MT-ND6	19.6646855574234	-0.115430092778716	0.275578996616369	0.00956438675333305	0.126874823692908
ERP29	23.0901940313052	0.16589166850163	0.117711635349173	0.0112760762190953	0.132287625887435
RSRP1	9.84769272201313	-0.0816800335172835	0.146567101386861	0.0142146605051706	0.162791707213977
RBM3	13.2592458030584	-0.165650179859548	0.270721786365487	0.0157809476980869	0.176360738859361
RRBP1	9.34898904208053	0.0797083744469289	0.140229670471418	0.0161327910806899	0.176360738859361
RPL22	55.7417783026435	-0.134771748976756	0.0945630806891261	0.0168565544269873	0.180177837319576
HIGD2A	9.64725161397253	0.143694812700628	0.217845921751294	0.0174403906663599	0.18236582414172
BST2	10.0876706125466	0.116851245118778	0.217731366985769	0.0184885684571684	0.189212796338255
SFPQ	8.58441454843776	-0.0847491125818027	0.146089113531509	0.0213060922516598	0.210539857945438
