""	baseMean	log2FoldChange	lfcSE	pvalue	padj
NEIL1	2.39708091133271	1.32683012890394	0.285422211213973	2.01194257745413e-07	0.000613843680381255
XRN1	3.09350781376135	0.789955850800816	0.183580703485172	1.03892457881784e-06	0.00158487944498661
SMAP2	14.3088450562795	0.419626908625738	0.100547129759409	2.63262130776839e-06	0.00267737587000045
SF3B1	11.1337686594378	0.418519621219878	0.10365145630069	4.30070979663172e-06	0.00280761125185184
ANKRD49	3.68881955497412	0.656084465186878	0.164804011600927	4.60113282833798e-06	0.00280761125185184
SRSF11	11.8953198995506	0.410315787805753	0.102626998170603	5.53684102127518e-06	0.00281548365931843
POLR2B	3.09499331998728	0.694501434122746	0.180448055825454	7.64999239936219e-06	0.00291750096212472
OGT	4.85764276895924	0.601218288447399	0.156668501956645	6.9802871212622e-06	0.00291750096212472
NDUFS3	2.73769348237819	-0.615463561165624	0.164620140282526	8.60619752839151e-06	0.00291750096212472
WDR74	3.36309933295041	0.613091006722208	0.161173643076017	9.72100456755564e-06	0.00296587849356123
PUM2	3.99403524102431	0.569641407837099	0.152894378145762	1.33668854473731e-05	0.00340259145077637
KPNA4	2.44586606889654	0.736664424238031	0.198558996377495	1.33828572301922e-05	0.00340259145077637
PARP14	7.5053975940142	0.43372358252093	0.118518419589034	2.01160817188728e-05	0.00472108964032929
PCSK7	3.32827529038397	0.62137451017266	0.174443342363923	2.32542855968815e-05	0.00481391345307785
HMGB1	37.1548256754895	0.235336044729746	0.0614177415074899	2.36672244497436e-05	0.00481391345307785
UVRAG	7.6059692622841	0.445544646167338	0.127483403311312	3.22849034627195e-05	0.00615632752904733
TNRC6B	7.407679218846	0.432072203239057	0.123869499989867	3.71144987253896e-05	0.00666096091830375
SREK1	4.09379760215413	0.549445491442071	0.162096098829412	4.68065306853724e-05	0.00793370695117062
BIRC6	4.57439701622605	0.477833478035136	0.142549229033021	5.57521721257431e-05	0.0081265998021154
TTN	5.09876894998574	0.759431983946659	0.240680893148034	5.5935298539634e-05	0.0081265998021154
FIBP	2.94974804825525	-0.548871954071399	0.168920829220799	5.27330047767197e-05	0.0081265998021154
EZR	17.3867648496722	0.392705697227468	0.116752038540335	6.40928679916747e-05	0.00819070417347793
