""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PSMA6	16.329047859902	0.350502665599413	0.095924226528393	1.01926119034001e-05	0.0165475595521995
HSP90AA1	74.9222976953863	-0.230443063323689	0.0628347889385637	1.11393871101982e-05	0.0165475595521995
STAT1	18.2375866911176	0.538493194603215	0.157743567688743	2.06404606613264e-05	0.0175090561929049
FKBP5	6.41895615801054	0.937867916019926	0.279821784706062	2.35732833293907e-05	0.0175090561929049
VAMP5	48.0497696749174	0.274721709842912	0.0828945453739014	3.31895673763834e-05	0.019721240935047
RPS10	9.88823467049293	-0.690412961738076	0.21608695024326	4.87957013511342e-05	0.0241620047857033
MYL6	296.959838321197	-0.0974357232493028	0.0295752388050825	7.32404200232802e-05	0.0273466104261081
EPSTI1	11.3603395197561	0.575706944322839	0.187943031764828	7.363611020157e-05	0.0273466104261081
APOL6	10.3202782920829	0.365457676057409	0.124266629968155	0.000106092843027857	0.0350224262928625
SYTL1	24.0358268867361	-0.19010084556035	0.0655089975687167	0.000150114810759642	0.0405446457060814
VCL	10.3877057876099	-0.272674105785272	0.0949624796204189	0.000148361780975958	0.0405446457060814
SP110	26.4112052913776	0.182797357930612	0.0660798004961582	0.000235886538777343	0.047477682837598
PFDN1	10.6385499599109	0.256112252114362	0.0916171101390755	0.000193068330820485	0.047477682837598
HLA-DPB1	174.798931006095	0.188595657533943	0.0694968319050082	0.000275102497926295	0.047477682837598
PARP12	8.1397512238734	0.316031150726945	0.120649574779745	0.000287646681614529	0.047477682837598
MPP1	11.7331150461396	0.242295945206888	0.0903816080374238	0.000269491984611424	0.047477682837598
TRIM22	20.2531334968037	0.231139399991842	0.0861951623581652	0.000272694340683407	0.047477682837598
OGFR	17.9842690312533	0.246009658716982	0.093150946550662	0.000266671067851402	0.047477682837598
DYNLT1	17.7951676793114	0.22373921983277	0.086019628296199	0.000316866405850216	0.0495478995674207
CEBPB	118.950698925036	0.18870278078629	0.0732019550317778	0.000356351024964264	0.0529359447584414
HSPD1	12.1782548765589	-0.223254186138673	0.0895945467598459	0.00043170467774182	0.0610759332176641
NR4A1	30.7175786063201	-0.405213767018574	0.177021643679566	0.000511262370394859	0.0690436592019603
NDUFA11	6.92464371092779	-0.415325440903309	0.171768400709029	0.000550371993633471	0.0710937040471758
ASCL2	6.4337121992822	0.314239818425039	0.1367483614575	0.000646125102851277	0.079984903357131
ATP6AP2	25.0491691390768	-0.155533321778738	0.0656075199699308	0.000705994330883905	0.0839003662822432
SLC31A2	22.4461328656191	0.311068722647998	0.149408055726439	0.000979000211920967	0.111869601139123
GBP4	13.0820021479348	0.324523284740808	0.161820450546713	0.00111979106545881	0.123218490943634
GBP5	11.4398068436598	0.495785996377786	0.264734333243634	0.00133050525500082	0.129073992071009
PARP9	8.60516630290987	0.295560607138084	0.153751852039587	0.0013902281205898	0.129073992071009
CAST	38.140426077304	0.140529800800321	0.0665203177493229	0.00127237837310828	0.129073992071009
TGFBI	13.6153630780783	-0.209077132013071	0.101515905417671	0.00126375368631172	0.129073992071009
PKN1	23.8920195451947	0.16167920080798	0.0779085180548313	0.00136065899183899	0.129073992071009
HLA-A	313.295327230264	0.201655559110952	0.103999912917166	0.00150787219662179	0.129317412761069
CDKN1A	21.3166425408973	0.353907591531574	0.190028283477553	0.00147100661032219	0.129317412761069
WARS	85.6577330959254	0.262051627871201	0.140917209724278	0.00156695619636435	0.129317412761069
MT-ND4	422.548215211491	-0.183605193322746	0.0936697828939151	0.00155287145900678	0.129317412761069
GCC2	8.57974548700022	0.287329030351688	0.16146519031265	0.00174833095082493	0.13669187512897
LSP1	128.843891840569	-0.176636877518296	0.091154956712216	0.00173061688910992	0.13669187512897
HLA-DPA1	314.623886220822	0.154705476355148	0.0819372214551342	0.00199607786698167	0.15068490813996
B2M	1724.66692456821	0.0854692107795584	0.0388014345522301	0.00202874329370528	0.15068490813996
NDUFB11	26.5994452906621	-0.12402543218192	0.0637290657628742	0.00214995978264457	0.150815242187848
RPL6	292.097742732507	-0.0900026157183169	0.0420841764196199	0.00210012616350325	0.150815242187848
BRD7	8.49124528308689	0.232503102098186	0.134412110055669	0.00218278539686216	0.150815242187848
RPL26	204.758206223505	-0.157512381952813	0.0911911043566115	0.00249466179101008	0.168446367752067
COX6C	65.9399834646499	-0.08124226894822	0.0390095415264731	0.00268584909822916	0.171214321432549
PDIA3	30.9919381720713	0.157608258814396	0.0929990118390344	0.0026915577301396	0.171214321432549
GABARAP	158.360603231914	0.109864827698066	0.0582306538593901	0.00270854025827324	0.171214321432549
CIR1	10.6544737653571	0.187957887173984	0.118858949466419	0.00280278144256538	0.173480493038786
HACD4	17.007672154511	-0.177151542474335	0.108997009298141	0.00287947445965191	0.174590175910731
TESC	22.5672616991954	-0.166078555399229	0.100297078470377	0.0029669774792117	0.176297801814759
ETNK1	7.6793454635095	-0.180050854947086	0.120754187260805	0.00325013278923566	0.189336166996454
IFIT3	8.40462438236962	0.348591727085973	0.262941789582604	0.00332414918284651	0.189923985043019
ADAR	20.3644424856238	0.166755458964099	0.118808297880456	0.00362322898799356	0.197845535029148
ZNF385A	21.4962321664025	0.142886705734597	0.0912281798048314	0.00357312242992963	0.197845535029148
ALDOA	112.40496548885	0.154582735583314	0.102715910401245	0.00366257301467626	0.197845535029148
EFHD2	56.983819706224	0.13111260708195	0.0866541105187598	0.00403277707993435	0.201506876555136
H3F3A	301.668249623114	-0.0545146903127049	0.0243448702531925	0.0039386454934136	0.201506876555136
HLA-DQA1	41.181922494927	0.291411813300008	0.294875193048152	0.0039906521074039	0.201506876555136
SOD2	29.5035820146922	0.209248631791595	0.163070213021515	0.00383464726429967	0.201506876555136
IRF7	26.4226938934741	0.22572357572846	0.217517679544096	0.00406947579714177	0.201506876555136
IER5	28.7705995354145	0.158362836530662	0.126417196390024	0.00439806967762768	0.21075266148761
BACH1	19.3606055612058	0.151901252298593	0.112576540389308	0.00434319611839466	0.21075266148761
CTBP1	8.85232157052078	0.172377729393248	0.154872633668471	0.00488438919574837	0.223713457045272
UBLCP1	6.99043607984438	-0.161634845231872	0.146989421016976	0.00504503588759111	0.223713457045272
C18orf32	9.28208610691353	0.145055941005516	0.125939028563233	0.00502360982864619	0.223713457045272
RPL18A	422.876857423194	-0.0851942977062875	0.0498014922364357	0.00499557687769211	0.223713457045272
SOD1	38.3100438681151	-0.134762797987132	0.0986127056938761	0.0048622045177504	0.223713457045272
RPS14	464.284334913879	-0.0786209684248316	0.0474765671791183	0.00514444324937271	0.224766777851269
RPL22L1	22.1282114228157	-0.10012903977302	0.0673943693690021	0.00558271326616089	0.233609029771324
EVI2B	25.7812818471769	-0.136748594077868	0.121541776966964	0.00558214545928989	0.233609029771324
PPP2R1A	15.1027337809131	-0.126412201716193	0.0995178907754357	0.00545708383818703	0.233609029771324
MX1	8.79190351525762	0.0124968895800517	0.0330978254948089	0.00586848323271351	0.242156440060998
LAP3	16.2156018331588	0.0147885461891202	0.0346064920324146	0.00608080262927686	0.247480337144953
SQSTM1	24.5659625411627	0.118329313359816	0.118765892921551	0.00677116745262115	0.24772185063117
HLA-E	206.175898417149	0.103454988834895	0.0830635513185627	0.00700391634231514	0.24772185063117
PIM1	7.76438136204698	0.013673513059484	0.0337930631338775	0.00646615912134921	0.24772185063117
RPL10	867.865533144631	-0.087361981864301	0.0550764323467817	0.00648804916785053	0.24772185063117
EIF4G2	37.3318037141206	-0.0879352308563858	0.058553445144081	0.00690546062049982	0.24772185063117
CTSC	71.6341167439408	0.124642369072307	0.143502989328477	0.00699251790957009	0.24772185063117
RGS10	25.3031590150739	0.103311241588291	0.0781769870050638	0.00646051611524389	0.24772185063117
CTSH	20.3063940640017	0.119181251243424	0.104051787760614	0.00636978640867433	0.24772185063117
MAP2K3	18.4155510534477	-0.108211573246745	0.0933212440947688	0.00694286523711525	0.24772185063117
PSTPIP2	10.9219387134047	0.0276747424527062	0.0506428995120272	0.00666813536440255	0.24772185063117
TYMP	126.954509728281	0.117164786425198	0.124890778243884	0.00687119663218566	0.24772185063117
IFITM1	87.3709165341336	0.0261227541129786	0.0485296462314102	0.00717778721031113	0.250884774139228
RPL15	253.192998081147	-0.0789151133788638	0.050874991995963	0.00755454473083194	0.258265074216827
RNF213	41.4603960510252	0.0287899645303275	0.0521347568009052	0.00764972283106051	0.258265074216827
ODF3B	16.6228140368493	0.118309941423365	0.228480275903608	0.00756996803330836	0.258265074216827
RPS8	507.033419207007	-0.0845043514455089	0.0639945228439231	0.00863913853951189	0.261906944907039
UQCRQ	34.320622178054	-0.0778600363848534	0.0531686755847504	0.00842522820810087	0.261906944907039
CD74	1021.82459305734	0.0925338992325849	0.0783238898622103	0.00827974520118933	0.261906944907039
HLA-DRB1	289.897755265066	0.100419768559364	0.116288511932378	0.00857035401426289	0.261906944907039
MSL3	7.50129502135396	0.0286509344386732	0.051970031045617	0.0080142312738909	0.261906944907039
TRIM44	11.4114205871874	0.108453441737823	0.15204138881124	0.00856701682561485	0.261906944907039
IFIT2	6.80331905719078	0.0162805548392009	0.0357780423322471	0.00795817135807532	0.261906944907039
CD300E	29.0642943145158	0.106793940684696	0.171756791089754	0.00825126076665297	0.261906944907039
RAB8A	20.6484379976903	0.105584046541177	0.129347102497293	0.00848942453454592	0.261906944907039
MRPL40	6.40341238571349	-0.0314709297945703	0.058150048491926	0.00816300962823183	0.261906944907039
RPS27A	401.402268026103	-0.077267600272682	0.0537690908821706	0.00895211515074149	0.26596734112853
UBE2D1	13.5228106743596	0.103449049454008	0.220109663334192	0.00892543652132977	0.26596734112853
NMI	12.1085462345353	0.0400621545606899	0.0826364748960808	0.00956283464307635	0.270582683091237
RPL24	175.874848135736	-0.072609826530106	0.0478267199781381	0.009402362405314	0.270582683091237
HLA-F	33.205334688891	0.0414602504763566	0.084394325875883	0.00954278580648415	0.270582683091237
RTF1	9.14656063313808	0.0302440179614026	0.0544485474053379	0.00928363527798068	0.270582683091237
RPL38	125.091855712247	0.0919592515073245	0.106800873779473	0.0093742091595127	0.270582683091237
CCT6A	18.2184093838403	-0.0914850891475039	0.10101329725155	0.00986034196134755	0.276368641199656
NUTF2	11.46122024278	-0.0862421017945995	0.170052415726185	0.010174171407426	0.282499656555727
LEPROTL1	14.6931053882803	0.0886769282259061	0.124059444106757	0.0104894054779664	0.28765913863849
SECTM1	20.6830984771016	0.035399283332995	0.0666394990106343	0.0105536338308971	0.28765913863849
UBE2L6	27.7393139486708	0.0338477805703206	0.0624696970845157	0.0109335360688714	0.295304869641973
IFI16	17.0396507041823	0.0428680952000437	0.0903037398072009	0.0114300444030589	0.297843336433729
PSMB9	70.639608147439	0.086025312583721	0.108794995308767	0.0112290549945072	0.297843336433729
EIF3E	37.9979795400474	-0.0782082116665348	0.16886464587514	0.0118295232915449	0.297843336433729
SPI1	204.907257383833	0.0663647704154733	0.0450184297706518	0.0111824462790687	0.297843336433729
NME2	27.8747739952258	0.0311189511236292	0.0556448055220119	0.011679521159967	0.297843336433729
WBP2	14.3413338730429	0.0796641526909259	0.149471942600306	0.0115713699897802	0.297843336433729
HMOX1	76.6104685919926	0.0265666999351412	0.047648777958087	0.0117729274380436	0.297843336433729
EIF3L	36.5318643634976	-0.0847578765479194	0.097923478185828	0.0115802097837426	0.297843336433729
GBP2	25.0193133296979	0.0167668642629219	0.0359404506757157	0.0121332216553588	0.298167560496967
FEZ2	6.5857673220925	0.025360177482455	0.0457836256567936	0.0121434785661841	0.298167560496967
EGR1	10.9149488197064	-0.0054390928668259	0.0299550330873943	0.0120012561763728	0.298167560496967
ZBTB7A	28.2078492299535	0.0316404818419999	0.0565951750041207	0.0124449674240122	0.303065559153608
RPL7	115.614211700335	-0.0696544401172618	0.0569180089794363	0.0128004667333678	0.309188509470208
FAM49A	20.8135619475857	0.0255402766066077	0.0452518221074969	0.0129839212846095	0.31109056561754
SCP2	16.2205711718694	-0.0594512522092126	0.113478442329148	0.013530878821828	0.3146996116445
C4orf48	30.5948654662423	-0.0730264811890516	0.0714963442829632	0.0134759690568388	0.3146996116445
RPS23	503.466675850287	-0.0661133096664253	0.0514593420331901	0.0137700940807085	0.3146996116445
STRAP	11.3100445884886	-0.044344318193616	0.0950627067701109	0.0137089910771357	0.3146996116445
EVL	39.06032293043	0.0735640411919942	0.0982217226271998	0.0136924593255862	0.3146996116445
SMARCB1	6.77761388375065	0.0283389808887968	0.0503414832984635	0.013524623565166	0.3146996116445
SP100	17.4337513658501	0.056396283625961	0.121778856441533	0.014631651084413	0.329322995240841
HSPB1	18.5451762155245	-0.0259798425548487	0.0464800349164834	0.0145532053442945	0.329322995240841
RPS7	285.796024368846	-0.0595297661293305	0.0435336156891981	0.0157528735268778	0.334298480345386
PPP1CB	15.314353382637	-0.0309300194259299	0.0543379338988152	0.0156314478562291	0.334298480345386
AAK1	7.18712743292995	0.0176351944030099	0.036669455661877	0.0151248686862557	0.334298480345386
TNFSF10	39.7352420388256	0.0141853368512733	0.0340054652401218	0.0156567640038339	0.334298480345386
ATP5ME	30.7829738343312	0.0524260478556259	0.109025009961534	0.0151719879079331	0.334298480345386
RNF144B	23.8949181122893	0.0199004977973037	0.0388409217725976	0.0153618787907103	0.334298480345386
RPS24	501.034466457298	-0.0690950977012383	0.0674856194003431	0.0153859868787695	0.334298480345386
CTDNEP1	7.6299908106531	-0.0222786287813062	0.0414161083428108	0.0154554665554403	0.334298480345386
RHOB	51.7851972642212	0.0228094813488794	0.0420911855297741	0.0159907721473511	0.334567493308311
ACSL4	7.53798481248798	0.0245781576627965	0.0444244988560232	0.0159247875309339	0.334567493308311
CAT	18.399775963576	-0.0362618754613157	0.0658355130056907	0.0163317264048068	0.339311602438328
TNFRSF14	28.1428286646372	0.0660933546110527	0.0766895723391775	0.0165738252296783	0.340238420206843
CREG1	7.02213070534926	0.0286753660722315	0.0504560903833444	0.0167198954393131	0.340238420206843
BCAP29	7.34747218687853	0.0229809127810326	0.0417278131619549	0.0166200556051484	0.340238420206843
PLEKHO1	16.6429923438345	0.0313651103117399	0.0543914539624864	0.0179201000011546	0.34648226035228
EEF1B2	100.438618825409	-0.0641312721230931	0.0757179278412127	0.0178604126667586	0.34648226035228
CCM2	12.8945151127812	0.0364148461876444	0.0646845458749167	0.0179924910549261	0.34648226035228
NCF1	17.0450222034166	0.0128197049747994	0.0330568337667011	0.0179982325625758	0.34648226035228
FGL2	67.968520888214	0.0445913028859394	0.0815852760910139	0.0179330295416272	0.34648226035228
GRINA	42.8935340918304	0.0344681918923381	0.0607267761002536	0.0180763212233603	0.34648226035228
IDI1	8.53665061202431	-0.0224331348291875	0.0414932177743445	0.0179704192488582	0.34648226035228
ARHGDIB	198.451395231311	-0.0494350147004425	0.0306361700813477	0.0176580957676269	0.34648226035228
CSNK1D	10.0735769268388	0.024612862276048	0.0442152612153681	0.0172810067193664	0.34648226035228
ITPK1	12.9231428854392	0.0323286429901602	0.0558892337309388	0.0182128717776338	0.346861808021475
SULT1A1	9.06539214342715	0.00981134807648511	0.0314532281028943	0.0186990780625586	0.349402269961394
DNASE2	9.94895764752821	0.0153339255218507	0.0347329646816339	0.0185556573968819	0.349402269961394
MFNG	8.81957252637045	-0.0298753895347026	0.0519426553603264	0.0186796455554583	0.349402269961394
SERPINB1	27.7062096608597	0.0600725653847337	0.09202465915028	0.0192404315224828	0.357270762833102
MPLKIP	6.53722562052865	-0.0246392997237106	0.0440890229211745	0.0198468885961128	0.366214604778823
