""	baseMean	log2FoldChange	lfcSE	pvalue	padj
IER2	139.37988150829	-0.377300327662148	0.0727618489365511	1.30003250312981e-08	5.4289357330701e-05
DDX24	113.505741415946	0.189318520300151	0.0391945281725002	1.00871725965457e-07	0.000210620163815874
PDE3B	62.3431980094328	0.282492303315775	0.0659727427506779	8.9408238679381e-07	0.000933422011812738
ZNF431	21.4259561079245	0.361478155256531	0.0838130255063587	6.76059384505828e-07	0.000933422011812738
CASP8	58.9615531515402	0.23075886172904	0.0560615396302407	2.33701707896893e-06	0.00162656388696237
PTGES3	161.202614030606	-0.149275252693502	0.03517147735341	2.2045700601819e-06	0.00162656388696237
TUT4	55.3431498142899	0.230592564095031	0.0598046500206473	6.11349039624144e-06	0.00364713369924347
BCAP31	90.4957066816782	-0.144967643803661	0.0364525677657411	7.01172830396405e-06	0.00366012217466923
GINM1	16.5010139504537	0.267769783562625	0.0719819672328747	1.06891003912107e-05	0.00414303471270872
HAPLN3	21.0037244526423	0.276645316681466	0.0740508651437848	9.94233247919787e-06	0.00414303471270872
GADD45B	61.1179581227286	-0.292874253314038	0.0788092162307752	1.09131661493764e-05	0.00414303471270872
STAT1	86.1758202136963	0.415793216566843	0.11763938525466	1.60973156367619e-05	0.00560186584159314
RNPC3	31.8714033755236	0.229558526376777	0.0659943787502087	2.67323604413278e-05	0.00644763635314223
RASA2	39.3247562056127	0.228945861512261	0.066440056555594	2.93007109995462e-05	0.00644763635314223
PPP2R2D	23.2869552182612	0.355225602487012	0.105041059374784	2.93355102274192e-05	0.00644763635314223
PPIB	258.379312171647	-0.117196848221717	0.0316831512815386	2.91778746640987e-05	0.00644763635314223
SNRPA1	47.1946497380172	0.203569790747871	0.0568071298880834	2.10679697108605e-05	0.00644763635314223
RNF167	68.2078911095198	-0.154705701433846	0.0425446778716029	2.4846138264152e-05	0.00644763635314223
SMCHD1	152.102791752993	0.250413620433989	0.0723360972831718	2.66514783439327e-05	0.00644763635314223
MT-ND4	1269.09046071877	-0.278893120739056	0.0817466810113218	3.22630708749166e-05	0.00673652919868259
RTN3	26.0716875929314	-0.207288542037093	0.0602809817698358	3.65700665149105e-05	0.00727221894125078
ANXA1	323.689373159791	-0.251494580400565	0.075948895138934	4.87627419212328e-05	0.0088536178375247
EDF1	242.013584890634	-0.0914670036868856	0.024818674363681	4.74695543919063e-05	0.0088536178375247
RBM5	20.1706541748701	0.253780689850219	0.0786025439773596	6.02142184923546e-05	0.00894257774080812
SSNA1	56.67506908428	-0.141872693114779	0.0413134569122976	5.83191685445288e-05	0.00894257774080812
TDG	20.2016481178484	0.25491211533156	0.0780033035736232	5.69681299262354e-05	0.00894257774080812
SYNE2	128.028746004335	0.151726826388961	0.0450150628184741	6.19379026895986e-05	0.00894257774080812
SIN3A	22.4182569590709	0.216562732574905	0.0662061866447818	6.21012343111675e-05	0.00894257774080812
FAM32A	31.0149346250917	0.21438715647557	0.0650247042378974	5.87849077374566e-05	0.00894257774080812
ARID5A	34.2375970486466	0.360647181203008	0.114455353897448	6.83047259219678e-05	0.00950801784833792
TXK	33.2811578671301	0.262092355920098	0.0830830440854075	7.18474260614596e-05	0.00954460390642172
SCAF11	78.670170399079	0.125944040618286	0.0369252903438125	7.31387272522737e-05	0.00954460390642172
ANXA6	128.839538156898	-0.176070887451813	0.0541152586777978	8.41955738459306e-05	0.0106545671630487
ANKRD49	31.7351815108387	0.22996653665024	0.0731422144153378	8.70268880054119e-05	0.0106889495385471
SYF2	80.8924995250954	0.141038336697296	0.0433626658949266	0.000105384743552911	0.0112065204263758
PMVK	21.262699124791	-0.223950568077676	0.0718324822604139	0.000103103179907213	0.0112065204263758
TAGLN2	340.137356836416	-0.161564453878427	0.0506589215014957	0.000110025703419878	0.0112065204263758
IL6ST	54.5885494294384	0.247357076327209	0.0802032206340685	9.44172689693605e-05	0.0112065204263758
LCMT1	24.3275033249938	-0.188462816044585	0.0599130501302235	0.000107270778607404	0.0112065204263758
STX16	31.8575843909423	0.257995841332216	0.085058812509921	0.000108159855301902	0.0112065204263758
SON	210.134926287231	0.123831389670923	0.0371221923378496	9.73882106999805e-05	0.0112065204263758
CRYBG1	45.9310742378534	0.354952994353774	0.11973587859519	0.000116232405821938	0.0115568220645813
UNC45A	17.4276008940586	-0.234308729392937	0.0768465225564345	0.000120490712572621	0.0117016096675178
MIER1	41.2005093067361	0.171046643730503	0.0547962625186332	0.00012874547856592	0.0118731119034794
PELI1	35.9997851492979	0.471198420748207	0.163267353544928	0.000130786194339093	0.0118731119034794
RNF145	34.0704228265911	0.282950077042341	0.0953340179783508	0.000127315707415021	0.0118731119034794
TAF11	21.0264306693649	0.264896185177942	0.0891990705291241	0.000136750436858518	0.011897288006691
STN1	31.0240478002553	-0.185328779041365	0.0600713526033146	0.000134584171176261	0.011897288006691
MATR3.1	30.1348287836772	0.303873478899164	0.104108417677084	0.000142519715058219	0.0121461700016964
SRSF10	75.2994945714917	0.172018556455205	0.0565375001050516	0.000155300695220586	0.0129707140648233
PRPF4B	60.5625537058243	0.174967367596014	0.0581293974035775	0.000166705239267286	0.0136502172388272
CD63	34.2048520353666	-0.221623470038644	0.074838141500851	0.000171687276136311	0.0137878089451006
SRI	64.9358161983502	-0.165152228747177	0.0547213667787716	0.000189757361239196	0.014407758918816
COPS5	36.6166571958625	-0.154950987088498	0.0508682707438004	0.000188313759535761	0.014407758918816
PSMD13	39.9605746310962	-0.171996911308869	0.0570344947554863	0.000186145916268965	0.014407758918816
SP3	27.4003875294323	0.192122493873796	0.0654078147126014	0.000203852021917949	0.0146773455780923
C5orf24	20.6482581472171	0.237988266948781	0.0831903007312558	0.000201963793399792	0.0146773455780923
PRDX2	120.029044932053	-0.108892793752613	0.0339401325428793	0.000199251847851159	0.0146773455780923
SKP1	225.38770153594	-0.0936363958386414	0.0288137003433664	0.000227918398550912	0.0156030693827641
CD74	344.936924723486	0.14362530023894	0.0474181246000025	0.000223569859049184	0.0156030693827641
WDR74	31.6488148851929	0.176231136259349	0.0598812965112195	0.000226445136007952	0.0156030693827641
PNRC1	529.472584389555	0.124860951187627	0.0405372949220051	0.000236956937070003	0.0159601962774893
FNBP4	74.7535367620906	0.1443954344098	0.0484395108867261	0.000252586479274059	0.0164812677726324
RNMT	53.6359036421213	0.235105539718121	0.0846956824278578	0.000252194651933671	0.0164812677726324
M6PR	84.5001968026625	-0.138912713458673	0.0466089075236979	0.000283005418612213	0.0181820096634554
USP33	26.2731294812071	0.181950067137938	0.0642402002522765	0.000293308124743351	0.0185584049837611
ATP5PB	101.949951504775	-0.12015769968171	0.0396247071171081	0.000311268869487237	0.019400877596697
APOL6	29.9821121337039	0.186229008899453	0.0670955927348102	0.00032754807999004	0.0201153056182119
EPSTI1	17.2415904931756	0.408784894413088	0.159328050649916	0.000345322835153426	0.0206009737085815
SEC11A	68.695073443201	-0.119136525837353	0.039879757780622	0.000343890944604965	0.0206009737085815
SSR1	51.271676632857	-0.13903968932259	0.048072994798842	0.000358551450104863	0.0206082026678535
STK38	55.6513068716804	0.136537269801235	0.0472381264080849	0.000360248753532881	0.0206082026678535
RPS3	4931.66596140255	-0.0851863344341715	0.0263129052181415	0.000350552132459825	0.0206082026678535
ARID4B	100.32952581921	0.102335528324884	0.0336355547915085	0.000375099284686084	0.0206107185901195
PPP1CA	130.414735716096	-0.127437650286824	0.0433965850409452	0.000374351133868018	0.0206107185901195
DDX21	77.4511178316191	0.266253586606263	0.102189136887403	0.000373565412386104	0.0206107185901195
CD55	75.0655471693893	0.289585748240575	0.112061675821689	0.000386688473875623	0.0209715722974624
YTHDC1	49.554877906868	0.127420132143246	0.0442391185717936	0.000421125428019698	0.0214342256712017
TCAF2	17.5066027760348	0.336769246082133	0.132543916121391	0.000419261322797496	0.0214342256712017
ZMYM2	34.9899479759386	0.161485480553794	0.0587028360009662	0.000408335779082285	0.0214342256712017
GMFB	16.3803324394787	0.260115918241657	0.101505178849751	0.000424100056972638	0.0214342256712017
OAZ1	339.967764907208	-0.0988562266240924	0.0328030961050773	0.000426015500648885	0.0214342256712017
