""	baseMean	log2FoldChange	lfcSE	pvalue	padj
NDUFB11	91.2442322570995	-0.149177299065586	0.0342586634783608	1.31112644667909e-06	0.00262342209881694
TALDO1	28.8789911959886	-0.273776877196533	0.0666564014598862	2.0156912015497e-06	0.00262342209881694
CD55	48.1673482598689	0.3521516575204	0.0906239881976066	4.68401310031517e-06	0.00280252628162488
CASP8	32.4375168281887	0.261672426933093	0.0687924036133412	7.6762098996439e-06	0.00280252628162488
HSPB1	65.4300956095689	-0.181586145071578	0.0446151132562272	3.42017894157401e-06	0.00280252628162488
BAZ2A	23.2515766333943	0.290274798735327	0.0763944781753416	8.10159193523242e-06	0.00280252628162488
JUNB	321.03292374828	-0.37124076673612	0.0951680799356656	5.75881185549244e-06	0.00280252628162488
KDELR1	27.9803228608897	-0.237020440013141	0.062472904936144	8.61321945946947e-06	0.00280252628162488
STAT1	42.5025472173432	0.409788029127015	0.115936559518119	1.7972300260251e-05	0.00467818975774332
CUTA	86.7551692108596	-0.126416060530175	0.0331579352079385	1.64685889177861e-05	0.00467818975774332
GBP5	26.6650571034351	0.303498066397786	0.0893386680429539	2.94571902921311e-05	0.0069706423936743
BUB3	39.7008862871109	-0.181995258366138	0.0520797830323235	3.36036364926647e-05	0.00728918881586719
TAF7	35.3585872483809	-0.179798928674696	0.0531622379014185	4.9291918577177e-05	0.00978749997075473
LCP1	82.6282552447854	-0.138541391853883	0.0401907528913481	5.2641183092803e-05	0.00978749997075473
CRYBG1	23.1490335429822	0.424585727787004	0.135923590236444	6.08113248864702e-05	0.0105527919119655
DHX36	23.7756217993413	0.212921580411893	0.0651601159787995	6.63461115768648e-05	0.0106905395470341
TNRC6B	43.167773879121	0.194644867727008	0.0596422782732152	6.98191211293042e-05	0.0106905395470341
SSR2	130.795611953761	-0.122978559101984	0.0363550129242924	8.79010116805264e-05	0.0123868836340082
EML4	52.844475701583	0.190194541646862	0.0599059489363082	9.04152090073588e-05	0.0123868836340082
PRRC2C	94.5168055383823	0.167933298439669	0.0528468183443976	0.000106445221004766	0.0125944050125185
RPS4X	2627.26960578836	-0.125519071863277	0.0379490830725766	0.000102461630359612	0.0125944050125185
PNN	62.8942662917773	0.1852165974766	0.058179167951006	9.72200258799078e-05	0.0125944050125185
ARHGDIB	368.869490947831	-0.0938726288968765	0.0273853751171411	0.000118012872162436	0.0127994794266175
SOD1	108.909678190416	-0.119014687202549	0.035858837956435	0.000116179645861155	0.0127994794266175
RPL10	4718.72838575382	-0.121587218981849	0.0375222445060717	0.000125839081968357	0.0131023652145454
MT-ND4	782.617891706173	-0.24674813159362	0.0817680776978279	0.000135137232717034	0.0135293160293246
USP15	59.1803999257714	0.172779359128716	0.0572352748698826	0.000174883090931313	0.016257881631936
IER2	48.5392125405391	-0.252481352635764	0.0867850129354759	0.000171316035877423	0.016257881631936
RPS3A	2855.57935241432	-0.132276830511843	0.0431460519663399	0.000221009959077593	0.0191762974492991
SON	122.896592263532	0.161546495884128	0.0543763391878163	0.000217619646995394	0.0191762974492991
PPCS	25.1814289550182	-0.203149418408073	0.0712382185550496	0.000248264520043753	0.01920384604064
RPS3	2668.25972022773	-0.124233389780722	0.0409201444589785	0.000264077347464514	0.01920384604064
DAD1	67.9072425186266	-0.158620976863999	0.0532021629599587	0.000231458347626717	0.01920384604064
RNF213	58.7462058779542	0.192978000737374	0.0679152376307129	0.000262900180677889	0.01920384604064
SMCHD1	86.4973479427022	0.227786552702439	0.0811492891817304	0.000240710076582396	0.01920384604064
RNMT	31.5616837018662	0.271109053200915	0.0994097176212588	0.00026559295330889	0.01920384604064
ERP29	105.751104919449	-0.131739155314299	0.0438818557321833	0.000282291847918224	0.0196095385585248
RPL6	1428.76213080753	-0.107856945570158	0.0348702175821437	0.000286270635890873	0.0196095385585248
RPS7	1574.19599112766	-0.111697768793855	0.0367223398613795	0.00032534178049012	0.019655438926226
PPM1B	18.712129894627	0.231935672872924	0.0843583383329891	0.00029806527269598	0.019655438926226
RACK1	964.844591020819	-0.0904537568772828	0.0272543565507225	0.000339761393360673	0.019655438926226
NACA	967.869555079055	-0.105198778902902	0.0341369558279531	0.000321357779804024	0.019655438926226
RPL19	2711.14266967196	-0.120488399232171	0.0407368555949846	0.000339798214245168	0.019655438926226
OAZ1	160.849575333475	-0.126423299552186	0.0422244951601888	0.000306215273069062	0.019655438926226
LENG8	50.3905596957121	0.179026573174262	0.063637690422211	0.000317955648810316	0.019655438926226
TMBIM1	14.5674389572366	-0.229687329493901	0.0857026455734565	0.000381165394584019	0.0213910483669654
DUT	52.550454712818	-0.131510596711753	0.0455838453700533	0.000386238675853774	0.0213910483669654
MARCKSL1	21.4412298924445	-0.209020709207504	0.0788304118278076	0.000411711653370852	0.0223267798692569
ADAR	35.9301069478909	0.155526785949437	0.0563948227343719	0.000455691935688281	0.0224644489385518
SNHG8	115.67848063554	0.180219766357652	0.066885494844786	0.000433409244613944	0.0224644489385518
EEF1A1	6951.24832310534	-0.131350903979658	0.0473640946401052	0.00045863347901747	0.0224644489385518
DDX21	40.4173600905325	0.308333666479101	0.123972350171191	0.000438886737741457	0.0224644489385518
COMMD6	240.165690645134	-0.113759268593893	0.0391245768605047	0.000457268675848221	0.0224644489385518
NGDN	21.9891860027186	0.190439699147669	0.0714795603815519	0.000466031595344524	0.0224644489385518
NLRC5	18.9871658433235	0.248986915369022	0.0977962010384215	0.000488118469373351	0.0231013159232515
RPL5	1342.1209641158	-0.1159477352191	0.0405009252784448	0.00052898020059221	0.0243898795697905
WDR83OS	47.3538391112787	-0.129275856204849	0.0465643626920247	0.000534084954083003	0.0243898795697905
