""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT2A	8.23831921237318	0.576140845585298	0.174841428931202	3.5541620914283e-05	0.0386246135231556
RPL38	45.5880078886656	0.257583265745732	0.0729720111793576	1.83622870932334e-05	0.0386246135231556
APOBEC3G	6.78153204923238	-0.430102034523798	0.129809948913196	3.6080909409767e-05	0.0386246135231556
SON	16.4432486816679	0.297647820006435	0.0814059345732378	1.17570754127284e-05	0.0386246135231556
MT-ND4	91.9031527655386	-0.322521021825304	0.100526786826997	5.81982969073958e-05	0.0498410214714938
CD74	74.7440969285131	0.301355534967714	0.101158126165891	0.000120431795144802	0.0644611183512554
HLA-DQB1	1.86740400704084	1.00445004250361	0.347273428338922	0.000112195444620882	0.0644611183512554
GZMB	24.2336665396593	0.503815598022749	0.165221154358392	9.26994752419066e-05	0.0644611183512554
GNLY	660.598987697137	0.138384090934014	0.0530027854899116	0.000631127152484826	0.18623739343369
STK25	1.78229407012573	-0.528666525602248	0.226916324537703	0.000624136657623027	0.18623739343369
HOPX	32.1043741878357	-0.232761609271896	0.097354887460524	0.000654919592963327	0.18623739343369
PIK3R1	13.4770535341864	0.367444046185963	0.150344989614358	0.000476418268444205	0.18623739343369
HLA-DRB1	8.10545996629805	0.375080165232145	0.168303395381902	0.000695889372942326	0.18623739343369
RPS10	4.95805016945905	-0.710138676707531	0.295718442501061	0.000468893894879565	0.18623739343369
OSTF1	8.74294850060404	-0.254631780924787	0.104996652651533	0.00058363191217256	0.18623739343369
AKNA	7.4612690545675	0.29393217297876	0.121825615031973	0.000583357847880216	0.18623739343369
HLA-DRB5	2.1210244651404	0.680940238181992	0.304710580366345	0.000772152381922385	0.192015251689616
RRBP1	2.96276394834369	0.433384883504547	0.192458508030274	0.000807163598882084	0.192015251689616
ATP5IF1	10.1295473359307	0.230567040062908	0.103092075272118	0.00101258721200164	0.197086292808683
EML4	5.06184690399281	0.408832291020773	0.19237409235066	0.000945720831641808	0.197086292808683
DDX24	6.31982633580087	0.321621435720398	0.14435160065073	0.000897839177320842	0.197086292808683
ISG20	10.0609439016858	0.278924879402753	0.125890885184556	0.000990946702321184	0.197086292808683
RNF115	3.00192797657206	0.412267222259305	0.205014117408788	0.00131391333167645	0.215247228058704
XCL2	28.6448453821987	-0.281838452161712	0.14144752507772	0.00137442920739225	0.215247228058704
CEBPD	5.62316803112376	0.392273750256755	0.19686772315512	0.00134457019571221	0.215247228058704
IDI1	3.08528308401288	0.47388169865244	0.232891723690123	0.00119846565786846	0.215247228058704
EDRF1	1.44601394092243	0.564567630184102	0.276200065130525	0.00126189792499808	0.215247228058704
LENG8	5.96232157299781	0.289529513092658	0.144815142641303	0.00140750172481171	0.215247228058704
RPS27	395.374585953194	0.111544589300925	0.0468871650774088	0.00155842165725439	0.223302959343508
TNFAIP3	19.2215921798312	0.390202609302805	0.205899415406443	0.00156447659512032	0.223302959343508
FAM177A1	4.14732366780637	0.493946346843049	0.262886658226188	0.00164475867723378	0.227188924384357
TKT	3.15201472654875	-0.335160489459795	0.190260975704702	0.00198541069835067	0.265672769073049
SFPQ	9.11760535939895	0.258441171457464	0.141129257468626	0.00208949748465059	0.271128128159813
AAK1	5.26421753190953	0.281118404439517	0.157953145150909	0.00216813255541823	0.273057164773554
DNMT3A	1.47786210044789	0.524306899283917	0.33729098187048	0.0026893697242803	0.32055729355727
HSH2D	11.2711350180161	0.257021382666819	0.15601431276492	0.00269501694723533	0.32055729355727
SRSF10	5.74421014221762	0.240664350372997	0.167165522822032	0.00376366408615856	0.324600544947269
ANKRD36C	1.47863260085936	0.486246636851118	0.336674172362818	0.00307484380491253	0.324600544947269
CASP8	4.47440561684692	0.291259348588529	0.196552622979422	0.0033774588001346	0.324600544947269
BRK1	8.16872333177515	-0.217607522294752	0.1378530335986	0.00320017855873698	0.324600544947269
SMARCC1	3.61740587201825	0.305907955003961	0.223357230743649	0.00357944977637974	0.324600544947269
TWF2	3.72741749970097	-0.291984893488621	0.198482570034382	0.00318023881452932	0.324600544947269
NFKBIZ	3.88899535922399	0.437872009485151	0.379990506936377	0.00391730019801634	0.324600544947269
TBL1XR1	2.0839463732775	0.407968420165431	0.323143832690265	0.00368946856215304	0.324600544947269
WDR41	1.27905218353556	-0.0240841417433676	0.0526074520367863	0.00370425260640368	0.324600544947269
SYAP1	2.82131963681771	0.395894050795184	0.310000567502828	0.00362491471807875	0.324600544947269
PGK1	9.83762192538903	0.221601926960066	0.134287283078492	0.00308510177014116	0.324600544947269
SLC38A1	7.96787389533627	0.220507114052646	0.15081946202562	0.00388432724144187	0.324600544947269
USP15	7.2176320973575	0.223903969063749	0.135044034055376	0.00293828477155151	0.324600544947269
ACTR6	1.52416870613882	-0.0263027398076879	0.0546667317263154	0.0040177087534342	0.324600544947269
NLRC3	3.17503200575398	0.301571282454062	0.232469669538521	0.00396571822944648	0.324600544947269
BCL3	3.12877388073468	0.399101560854724	0.302784367818055	0.00377430408553138	0.324600544947269
FLT3LG	3.09418662992186	0.30913324604416	0.214835399053518	0.00357049231997596	0.324600544947269
CSNK1D	3.77444430923443	0.298139906814328	0.232455254010592	0.00417835343523378	0.331327952030946
SRSF4	4.01101315787349	0.271580621721652	0.212918132230703	0.00429960810548099	0.331330330050919
TAPBP	11.3926799210396	0.171081668005407	0.118654641125358	0.00481835575331164	0.331330330050919
IFNGR1	2.35645224864183	0.439138137819872	0.437670046399084	0.00450914983379457	0.331330330050919
EIF2S3	6.9510371175205	-0.190892849977194	0.141483792594406	0.00467593723940903	0.331330330050919
SUGT1	2.58678127637248	-0.287131850684252	0.279812284152651	0.00472613242848273	0.331330330050919
PPP2R5C	3.3879129784384	0.322346293957158	0.269184670223979	0.00449222334958777	0.331330330050919
SIVA1	3.62980977231322	0.250525015086802	0.200700596790457	0.00470593355938918	0.331330330050919
FUS	11.8787589287236	0.1602768978613	0.107063551508223	0.0049135162251752	0.331330330050919
C18orf32	1.81701032400675	0.383786052834054	0.344283918065426	0.00452762734078671	0.331330330050919
DDX27	2.3024246252583	0.312323233451304	0.294370645055952	0.00495215813247521	0.331330330050919
CUEDC2	2.38370407035931	-0.266921996067772	0.269315532527191	0.00517855141547235	0.341147033246963
PTPRE	2.57516948422445	0.283460905247205	0.325379873760151	0.0054722377445031	0.355032151847913
CUL3	2.23435712137631	0.311079801889799	0.515384468409725	0.00559718599277398	0.357718663000868
FCER1G	43.4087732372683	-0.115630161798675	0.0702701219898225	0.00624055444974896	0.391533753443019
NEAT1	16.3724357433718	0.200544613688141	0.250247457574111	0.00630916137028685	0.391533753443019
STAT1	4.80185658138339	0.0307570839033906	0.0592726358205446	0.00647712851441681	0.396215204267611
TNFRSF1B	1.63406620089675	0.0217737991006649	0.0504668971723683	0.00720338038316204	0.400129482435763
WDTC1	1.6510960274696	0.0243180769773259	0.052484325940043	0.00853244376256254	0.400129482435763
COPA	2.79691719074236	0.0331902953489646	0.0622936666436939	0.00738398854227954	0.400129482435763
INPP5D	5.08329932740745	0.181534473411142	0.253256994053798	0.00751063963726482	0.400129482435763
MTRNR2L12	131.978052535504	0.163146353960751	0.215162270709761	0.00795682691276779	0.400129482435763
CTBP1	3.46652066065606	0.0423886959751674	0.0776692148767094	0.00727573139584376	0.400129482435763
RPS3A	208.315191050366	-0.0746626884367607	0.0372529816233886	0.0079417333759539	0.400129482435763
NNT	1.43728193955706	0.0215501041981063	0.0502299605026084	0.00857673879485386	0.400129482435763
HIST1H1D	2.94589645741899	0.0246425309919879	0.0528659183468297	0.00676813954109225	0.400129482435763
SYTL3	6.82635199846539	0.176704213526205	0.288225610477491	0.00791352613780657	0.400129482435763
SSBP1	6.20259072466869	-0.16227584278802	0.18449309575573	0.00752608830866337	0.400129482435763
RPLP2	147.61457078629	0.067470944070561	0.0331575326849988	0.00906411952271579	0.400129482435763
PACS1	2.50379531989245	0.028345099804472	0.0563138966329249	0.00841572874496834	0.400129482435763
CREM	2.97153298962211	0.0203412519324215	0.0493553017299147	0.00904484917883317	0.400129482435763
TMBIM4	1.28785031550904	-0.0213911420640838	0.0501989924613317	0.00741905244517808	0.400129482435763
XPO4	1.45498793811397	0.022109847447753	0.050649100421961	0.00906202800648927	0.400129482435763
FNDC3A	1.5146801899119	0.0222944305149341	0.0507890862772047	0.00887768115122657	0.400129482435763
APBA2	1.58295730578454	0.0215562917544619	0.050308359531093	0.00676408339090563	0.400129482435763
SUMO2	18.8478185392009	-0.112228341549318	0.0765456062562644	0.00856137844336197	0.400129482435763
PTPRA	4.00957643917596	-0.0451222410816911	0.0818250154051126	0.00860975127216744	0.400129482435763
RPS21	132.673941292714	0.113510188498068	0.0705556721290297	0.00687149365624307	0.400129482435763
DDA1	2.48513678361173	0.0332047445790834	0.0621874951593215	0.00784987934124829	0.400129482435763
JAK3	2.43745186662761	0.0342317219001328	0.0638968404378122	0.00700732851440546	0.400129482435763
ECH1	2.05013009768487	-0.029023326385178	0.0570819285178548	0.00884684635166292	0.400129482435763
COMT	2.42002728840716	-0.0337858157994446	0.0628933017912301	0.00857479673876191	0.400129482435763
TYMP	1.57908798755336	0.0214716966355602	0.0501579790582412	0.00899500622697503	0.400129482435763
TMEM50B	2.29253681813019	-0.0291498997159696	0.0572303384315855	0.00833492848146087	0.400129482435763
PSMB4	3.44965190375695	-0.0482442434788778	0.0909767603723489	0.00978428506137328	0.400347195942076
RPL37	221.054902380365	0.080384888760099	0.0441059068697974	0.00945456480980693	0.400347195942076
RNF145	2.5080542205555	0.0335566454625567	0.0624605226893876	0.00958807706087782	0.400347195942076
SEC63	2.51897178184405	0.0300796673870139	0.0581404847669256	0.00968402090250455	0.400347195942076
FLNA	11.8474169410107	0.134422008537425	0.146339460274213	0.00981701437970994	0.400347195942076
TACC1	3.41048770691401	0.0375807707906358	0.068208820973461	0.00980552966784172	0.400347195942076
VPS36	3.33815438955118	-0.0364553316891362	0.0665006783712035	0.00978273200626639	0.400347195942076
STX8	2.87894129329504	0.0333018371770463	0.0619152420812662	0.00939531429488841	0.400347195942076
PLCG2	4.2254743215184	-0.0461538687159675	0.0830005885417004	0.0103009313655583	0.416118755729439
GOLGA4	3.72973096803576	0.0393035155085216	0.0708350134913249	0.0104858733375067	0.419630931132746
AREG	21.4920571501899	0.0226792833723865	0.0510397024857388	0.0108000529955322	0.428202101174712
JKAMP	1.4683684672861	-0.0224393971014771	0.0508747094545785	0.0109088220504245	0.428546568990071
EIF3L	11.9762168858613	-0.118790521284074	0.11330559128644	0.0111062693755144	0.432336776963204
ANXA1	16.2728957344996	-0.112226280710924	0.230471463447535	0.0112341431422529	0.433374783199343
ORAI2	2.7991568171273	-0.0322099931514008	0.0604661068177037	0.0113455551232814	0.433764884266883
COPB1	2.14803693878266	0.025263452857061	0.0531298442813643	0.0118509187911304	0.449076409412569
CXCR4	10.9549791761289	0.0246396566527309	0.0526177637812656	0.0122715313340643	0.449117069850114
ITK	2.26741505959834	0.0271025860902288	0.0547944062742635	0.0121858860305032	0.449117069850114
PRKAR1A	5.61087073462028	-0.0682114540840053	0.148334881467672	0.0121603939425886	0.449117069850114
MAPRE2	5.13052636654836	0.0420045158508023	0.0750481907631382	0.0122672081455608	0.449117069850114
RPL5	94.6920705511651	-0.0783943708506253	0.0452653210570612	0.0124085317406839	0.450282482318717
NDUFS6	4.74266333227945	-0.0479021153233389	0.0848375439455277	0.0126752339185285	0.452294596992824
RBM39	20.5022419105062	0.111584258144544	0.144564938604798	0.0126492005726316	0.452294596992824
PYROXD2	3.0655939281329	-0.0252366716116756	0.0530660555506666	0.0127966099668809	0.452851932877555
S100A8	2.14669972664221	-0.0124386328619654	0.0449839234061492	0.0129710480750086	0.455262523419566
ATP5PB	8.47405366839899	-0.0962287901305067	0.181529205117767	0.013319808566616	0.456443794996734
FDPS	2.85388912884885	-0.0315312005715083	0.0593422969129584	0.0148957550348963	0.456443794996734
EIF4A2	13.274642836864	-0.10356158462476	0.108154752182685	0.0141409492221626	0.456443794996734
ELL2	1.44706426386241	0.014324146071195	0.0457925220650285	0.0140249505769497	0.456443794996734
AC116366.3	3.51455771165046	0.0362049028227897	0.0652616096051327	0.0152612165519218	0.456443794996734
HLA-A	168.862535930467	0.0891399978370071	0.0658652361617213	0.0153398662850494	0.456443794996734
HLA-DPB1	7.16584594783798	0.0399241754133084	0.0713540131978894	0.0131845252300368	0.456443794996734
LIMK1	1.34235242322021	0.0217763797867173	0.0501982330302646	0.0157276585402546	0.456443794996734
STYXL1	1.5071204689498	-0.0214534752051944	0.0499980604139965	0.0149938389571169	0.456443794996734
KAT6A	2.2248922680692	0.0255706665102952	0.0532851802545768	0.014523614549836	0.456443794996734
DMAC1	2.2767000958406	-0.0280435348823309	0.0555812723815636	0.0154460357129123	0.456443794996734
