""	baseMean	log2FoldChange	lfcSE	pvalue	padj
AQP3	3.36127164904665	1.05588213601459	0.317619081987932	3.42403132401649e-05	0.0903944269540353
EPSTI1	3.20978167670964	1.03063025258504	0.292584912302325	2.56820067727203e-05	0.0903944269540353
RNF213	11.5779670738162	0.452842370237199	0.147116397957282	8.39102253853228e-05	0.147681996678168
CFLAR	4.85718394012003	0.505411697268314	0.178088178886521	0.000184066448632068	0.180497767398642
SYTL2	1.25255433922193	0.015834287260131	0.0439476954138669	0.000205111099316638	0.180497767398642
HNRNPC	12.5556490775834	-0.305989327194487	0.108088194742084	0.000177955228248646	0.180497767398642
AL662899.2	0.684219944045218	1.47436764569614	0.506728709917351	0.000254605802155085	0.192045519339836
ETFA	3.11328198475881	-0.498511837561326	0.205873915974908	0.000446328791286797	0.241226129529211
UBALD2	2.3953211655826	0.623013067811794	0.247851321935313	0.0004568676695629	0.241226129529211
GZMM	7.83929637851449	-0.437845864392407	0.176298649447772	0.000399880152488931	0.241226129529211
KLRG1	4.09644375395963	-0.667145192672034	0.291213865045725	0.000599203766690817	0.287617808011592
ABHD18	0.92050019802782	-0.0181926583567892	0.0454627998789768	0.000806899505866386	0.35503578258121
SRSF7	7.70127002536577	-0.36985375993498	0.173942099107473	0.000905982538700555	0.367968292641456
CD52	94.4782307394155	0.224954307880549	0.10452066923157	0.00107540296046013	0.39711951227394
RNF149	4.17532558408052	0.389989291170053	0.198582729128947	0.00150424057679523	0.39711951227394
RPL37	126.138188106289	0.135539247437508	0.0589175600729625	0.00131921810453479	0.39711951227394
MRPS30	1.42904374660722	-0.0206148382133768	0.0472712817713858	0.00144597970370767	0.39711951227394
GSTK1	17.7081398566022	0.259742277201746	0.132764462548584	0.00149569938483698	0.39711951227394
AKAP13	5.85043941255988	0.338456534657147	0.165972292589253	0.0013030715180201	0.39711951227394
PHF12	1.33771364454236	0.750153874406581	0.36247236288897	0.00134465734799054	0.39711951227394
RNF145	1.42375405672048	0.674585320867757	0.359293155603953	0.00186071032422863	0.427154370083789
ESD	1.98284486318467	-0.0263306337780655	0.0529029681289881	0.0017518538381414	0.427154370083789
MT-ND4	44.343083115747	-0.337000015238352	0.189581109711303	0.00180684055126293	0.427154370083789
ANKLE2	1.19156054445341	0.0178711870293086	0.045149198491091	0.00194495146633815	0.427889322594393
CASP8	4.70217748171136	0.406146890865083	0.253198969389735	0.00225286620044349	0.428118204794744
ARPC1B	6.98257642308036	0.337281529642178	0.187522790444777	0.00213296632749476	0.428118204794744
CD3D	31.416150493984	0.181687344382303	0.0996605638124402	0.0023514068066378	0.428118204794744
FXYD5	16.4034887831985	0.241002035288134	0.13809753734479	0.00232411807939589	0.428118204794744
TMEM238	0.677883178102064	1.05608768748225	0.515258511813229	0.00224059373684581	0.428118204794744
ENO1	10.599885531217	-0.222263772385382	0.134202516051031	0.00275138249717104	0.463961006136508
IBTK	2.17365680966273	0.470600739302801	0.291616564401896	0.00272969025174308	0.463961006136508
BANF1	3.95719144683676	-0.333879973654209	0.2259352380259	0.0028118848856758	0.463961006136508
ANKRD49	1.17157455954628	0.0156960284645695	0.0436923949531225	0.00299515115706429	0.479224185130286
TNFRSF14	6.90684718134884	0.250430471452182	0.182185392102968	0.00401701051915451	0.493873871675607
RUNX3	2.58728550172892	-0.0244882149470281	0.0505796516758747	0.00389949908014657	0.493873871675607
BZW2	1.72448601200411	-0.0228248518899228	0.0490590052695678	0.00377626195282203	0.493873871675607
AVL9	0.836181906913178	0.798294088873187	0.494004144499436	0.00387565128602045	0.493873871675607
SND1	1.74701437287598	-0.0203013227940987	0.0468532737512077	0.00372529083505537	0.493873871675607
ANKRD13D	1.29532830612407	0.015697412873346	0.0436789237602099	0.0036175590658265	0.493873871675607
STT3A	0.952652427190367	-0.0152484785487796	0.0434113048796208	0.00402207887917634	0.493873871675607
ZFAND6	2.37249486820357	-0.0248492575340839	0.051009518485916	0.00369531393427572	0.493873871675607
SNX29	0.821097074246076	0.98051865558837	0.540394662422833	0.003403542622233	0.493873871675607
YWHAH	3.43192378812912	0.379122447274646	0.291562979455362	0.0036724020375663	0.493873871675607
DRG1	1.35462368511994	-0.0188012424938591	0.0456961671282509	0.00415865134428965	0.499038161314758
RFX5	1.05157943052701	-0.0169210634252951	0.044416628081612	0.00428235955048339	0.502463520590051
NIFK	1.61138999443128	-0.0199500839420338	0.0465176672792	0.00501152195134403	0.524041049675736
CDCA7	1.58644847650088	-0.016180183665412	0.0439306891007807	0.00504741791440164	0.524041049675736
TMEM173	2.69785046510091	0.349404905967347	0.353996561485993	0.00509473471994681	0.524041049675736
GHITM	5.97124367276428	-0.227003138781829	0.200442643463362	0.00464841458654787	0.524041049675736
CD4	1.38520074430434	0.0100219453093557	0.0409566480143054	0.00467268582159082	0.524041049675736
ANP32A	4.73012420571262	-0.236122120214355	0.233214378639147	0.00516101033771558	0.524041049675736
ATF4	2.93234486288307	-0.269711842829768	0.322539829058685	0.00496112496029312	0.524041049675736
PPIA	58.310898928057	-0.120711438207663	0.0734418484777357	0.00547486353456477	0.545420367217019
ATP5ME	6.77398638105391	0.220789385478943	0.210260012502033	0.00580800259272951	0.562544889176003
SRSF3	9.1019539477449	-0.19473805276894	0.19005270081113	0.00589458435358335	0.562544889176003
RNGTT	0.693586525678832	0.750679205211173	0.582702157261298	0.0062364618288043	0.562544889176003
GIMAP7	12.1122956997549	0.20319541349203	0.395839864732447	0.00598886144205874	0.562544889176003
PTPRCAP	8.02388995638212	0.281407451242587	0.535112693768035	0.00626826091808037	0.562544889176003
RPS29	52.8972567646014	0.175011939478306	0.17533538395559	0.00649909815146518	0.562544889176003
ZBP1	2.38042212721531	0.0184710027184315	0.0453719065995566	0.00632145362062349	0.562544889176003
SAMSN1	1.00693384984228	0.0128382566092719	0.042123316785021	0.00648071275744842	0.562544889176003
C1orf123	1.50460339339431	-0.0176214886523623	0.0447525036038621	0.00816422147210051	0.621385409060945
PSMA5	6.77581542850828	-0.0529708954627571	0.108635210252102	0.00894418391830148	0.621385409060945
NR4A2	1.24017787632133	-0.0117930130559167	0.0416254610047545	0.00889446761678474	0.621385409060945
GOLGB1	2.77431117482257	0.0224999827919915	0.0484909986345166	0.00767293664779548	0.621385409060945
HDAC2	2.17430740249872	-0.0211787038990929	0.0473706332793218	0.00745956835380227	0.621385409060945
NBDY	2.18112595286767	0.0205346705222461	0.0468516512451385	0.00808271434739245	0.621385409060945
PRDX5	4.50761556552805	-0.0342778207999829	0.0625833803880135	0.00866211849074047	0.621385409060945
RAB27A	3.66901978708362	-0.0298995942386111	0.0563203007459116	0.00875867270474402	0.621385409060945
ZNF267	1.19757729620158	0.0150495841612341	0.0432046344130143	0.00873304728466476	0.621385409060945
CALCOCO2	3.53165675169076	-0.0225206448464536	0.0484546799542405	0.00789109320484347	0.621385409060945
RTF2	3.43454311604738	-0.031412352080297	0.0589576270772543	0.00775955477812272	0.621385409060945
IER2	7.35016924395716	-0.0315361928875997	0.0584089539254961	0.00868834349519998	0.621385409060945
UBA2	2.75181682907741	-0.0216709166982961	0.0477407464211493	0.00838764608782529	0.621385409060945
RPS16	63.2164938556192	-0.0998147765150639	0.0659957102349261	0.00848928876426828	0.621385409060945
DBP	0.834824780241091	0.753675972543766	0.732228562169801	0.00805410498156492	0.621385409060945
PSMB2	4.76623167362514	-0.0377294889484932	0.0684069445635852	0.0109274967156947	0.623215552321933
ACBD6	1.08962141090119	-0.0140893100795935	0.0426532628610188	0.0120477742746569	0.623215552321933
MZT2A	5.99112665841822	0.0347900446599794	0.0626683015403546	0.0119214291575231	0.623215552321933
PASK	2.12902988358588	-0.00995802712850989	0.0408832814821352	0.0121179946826227	0.623215552321933
ARL8B	1.47113970653224	0.0167426524842902	0.0441446826014493	0.0112143985120473	0.623215552321933
