""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SRSF3	25.0870538538734	-0.22912989972698	0.0644779369433301	1.62571658220156e-05	0.116515107446386
RNF220	3.32763407312701	0.521698258309448	0.166632582152645	6.51975034653501e-05	0.178695157722305
ANKLE2	2.5118306623503	0.618270385269258	0.199429500331237	7.47991451328193e-05	0.178695157722305
HIST1H3B	4.18207746954563	0.936880110238645	0.315932479153546	0.000111003225745509	0.198890029729515
ODR4	0.738193346067062	-0.87739387034612	0.32906770435895	0.000254511293792996	0.304013740435734
MOB4	2.09441650480485	0.57646507979065	0.213041912147076	0.000254411969680098	0.304013740435734
CASP8	4.75348004634443	0.426992995718322	0.162501886736993	0.000303515082311113	0.310756084989107
IWS1	2.54606844539636	-0.443599341674001	0.187421755226101	0.000549890319754067	0.492632990209675
RFTN1	1.92076248088703	0.52137800561033	0.254221755269866	0.00119469407877148	0.545551053423639
CCDC69	4.40402728479439	0.353065943503405	0.179497459400591	0.00119169695893536	0.545551053423639
DLD	3.19654396354957	-0.357209499444591	0.167971178029919	0.000969738809143787	0.545551053423639
PDSS1	0.862346333903665	-0.0135458578900451	0.0355390061084911	0.00120719089788303	0.545551053423639
VPS29	10.0000117064321	-0.2415603780847	0.120788076061574	0.00124355293938751	0.545551053423639
C17orf49	5.47675832806464	0.346638297783808	0.179629469850535	0.00129403765985794	0.545551053423639
FTL	63.3459821732789	-0.253884561687752	0.120559589573986	0.00113448453322052	0.545551053423639
NDUFA3	10.9197860157603	0.218667377951844	0.105622225373692	0.00123841602915242	0.545551053423639
TRAPPC10	1.49353424623715	0.61035382795237	0.269304795958385	0.000794328164819694	0.545551053423639
HIST1H4F	1.66201689619194	-0.00270312892968952	0.0312855649543695	0.00146656336192668	0.583936645273806
RPL3	119.177438437951	-0.11942065128036	0.0557219442749606	0.00157509064266771	0.594140770315761
SEC22B	2.09576961141159	-0.0204049860629014	0.0414639994109562	0.00209041051972525	0.65938231720992
EEF1A1	445.434393007327	-0.133790342373222	0.0672305781362064	0.00199657288770666	0.65938231720992
PSMA2	1.00088440853418	0.0118492773989492	0.03447856365754	0.00211605878273031	0.65938231720992
TMEM120A	1.18270604741117	0.0138899812765012	0.0357490634301069	0.00189829603637831	0.65938231720992
LST1	1.62083840269511	-0.00802808181175524	0.0326806581760286	0.00274768478406099	0.715551390010853
CUX1	1.29415473708644	-0.0103349588330797	0.0336510993629393	0.00250269771822089	0.715551390010853
FAM107B	11.1826699634695	0.208414001398474	0.135570587181569	0.00273776215398188	0.715551390010853
PHKB	1.46021665841847	-0.0150514926720041	0.0365210792761044	0.00268916743775179	0.715551390010853
HNRNPL	10.8628769069016	0.213532333992072	0.13615781919468	0.00279551261619979	0.715551390010853
RPS6	160.942614723905	-0.114497201587575	0.060861739172666	0.00289654652370798	0.715846515014313
ZMPSTE24	1.51139632443011	-0.0137948103964816	0.0355114024876378	0.00762217293533802	0.743571106092778
RNPC3	1.94365483331417	0.014993279907077	0.036344420420632	0.00637722660026962	0.743571106092778
PRMT6	0.714664013977528	-0.0086671149731646	0.0328876686019727	0.00710799409314954	0.743571106092778
KCNA3	1.17271388314609	0.011166693503905	0.0340328191361131	0.00637497678378746	0.743571106092778
CAPZA1	10.7675417911287	-0.172211699898552	0.135639555438976	0.0046575783792479	0.743571106092778
HIST2H2AC	2.57853409654928	0.515213648239417	0.376154914020822	0.00319220211684149	0.743571106092778
AAK1	6.26605283697348	0.0222292765656638	0.043047587533646	0.00711273212706533	0.743571106092778
MIR4435-2HG	8.44341907981017	0.0315455661262631	0.0581455166694991	0.00766048994415536	0.743571106092778
SPATS2L	1.84613404848812	0.0107778756248856	0.0338231022196868	0.00662523110193315	0.743571106092778
AGFG1	1.19647237828874	-0.0122656587184235	0.0346445131266249	0.00418213860537664	0.743571106092778
ABHD14B	3.93432282459643	-0.214671023553392	0.286986023322434	0.00502549026210135	0.743571106092778
GTPBP8	1.55209838056757	-0.0146002595320232	0.0361312155924061	0.00487163021038558	0.743571106092778
ATP5ME	14.3879308819563	0.185974629345441	0.144307660822047	0.00432635642982038	0.743571106092778
ZCCHC9	1.5996429345389	-0.0138349989671702	0.035584897484425	0.00564715837619364	0.743571106092778
XRCC4	1.08215595852146	-0.0111579904146874	0.0340191316712423	0.00606425172725213	0.743571106092778
GNPDA1	0.794654259231815	-0.00845421751689387	0.0328020924178999	0.00758818546674029	0.743571106092778
HIST1H1D	14.2876941718971	0.0108401054683891	0.0338669645950432	0.00537473741857268	0.743571106092778
AIF1	2.12973347367877	-0.00907206999880551	0.0330687021225088	0.00613923039608461	0.743571106092778
RPL10A	87.4131404164698	-0.103992805020816	0.0578861547470001	0.0035961845670755	0.743571106092778
DYNLT1	3.2431222141749	0.307044242781143	0.325034552606183	0.00511219300170662	0.743571106092778
NUDT1	11.5069223303785	0.150385257900991	0.120152381842314	0.00508301655983441	0.743571106092778
NDUFA4	28.6613575084059	-0.0907511463858497	0.0692312813638801	0.00767744688863759	0.743571106092778
SEC61G	17.1817585285716	-0.13875327355959	0.0948586503069291	0.00427299659250846	0.743571106092778
DUSP4	1.85915671363935	0.568696182683082	0.657595487297245	0.00499841823219277	0.743571106092778
EIF3E	13.932161102881	-0.137079654011919	0.116346490207448	0.00567838583313334	0.743571106092778
TSPAN32	1.73949646984602	0.00807308655731589	0.0326510072641386	0.00728368815111915	0.743571106092778
COX8A	44.61729349958	0.0957336093121889	0.058539237651477	0.00531929981377743	0.743571106092778
TAF1D	5.5664635256886	0.248507579989937	0.192830985863295	0.00408613092032624	0.743571106092778
CCAR1	5.72247341703168	-0.167715058111315	0.206162488169728	0.00610566490434223	0.743571106092778
COMTD1	3.44371202401597	0.0218587491311356	0.0426666541479231	0.00669215821788172	0.743571106092778
KLRG1	3.5204411084451	-0.0115115344768753	0.0341900443046968	0.00668904587755586	0.743571106092778
