""	baseMean	log2FoldChange	lfcSE	pvalue	padj
IFITM1	74.5431837761749	0.379229363670487	0.0706538987560144	5.99213273788903e-09	1.5549584454822e-05
C18orf32	2.07175862711284	0.850216287149176	0.168245894237799	2.02234035867052e-08	2.62398661537501e-05
RPS3A	170.719217853754	-0.16302652244812	0.0309371841635598	4.69678183590362e-08	4.06271628805663e-05
RPL18A	151.527915957844	-0.13563046260414	0.0266988365737681	1.52751852004167e-07	9.9097763987703e-05
RPS15	143.400327761239	-0.102876048598631	0.020970896877693	5.09774422475533e-07	0.000264572925264801
STAT1	4.3174535279117	0.985214959353434	0.233043174609979	7.7001702004752e-07	0.000318258178591809
PTPRA	4.03177927850813	0.558807316750803	0.129666494908151	9.28028078099154e-07	0.000318258178591809
RPL18	113.985299231336	-0.123164350120839	0.0259657872390233	9.81142747103842e-07	0.000318258178591809
RPLP0	82.8202013600023	-0.195095427378733	0.0455056001546373	3.62820214734086e-06	0.000941518457234953
AES	23.1721207485325	0.283497764095484	0.0679699325346814	3.52144433325064e-06	0.000941518457234953
RPS14	210.487190066603	-0.165906678689606	0.0382997694509767	4.38734363437792e-06	0.00103501424829188
HLA-DPB1	12.2570181583049	0.478480635046496	0.121546641527229	6.48149510264879e-06	0.00129380613779797
PTPN6	6.02419610264344	0.500870387634961	0.128565112545006	5.98675031040544e-06	0.00129380613779797
SRGN	35.3897578006015	0.282819597408673	0.0709488694171911	7.36189445231564e-06	0.00136457972169708
ADGRG1	6.14397099448501	0.593595043364075	0.153038769463669	8.24391376283073e-06	0.00142619708096972
RPS12	312.665543150471	-0.14162593411418	0.0337444296835175	1.01263607010617e-05	0.0014598836677364
PTPRE	1.96852856584663	0.688871040241672	0.183001796856197	9.62376139683639e-06	0.0014598836677364
RPL13	247.270872029178	-0.128010967963678	0.0302609458588881	9.53809983707444e-06	0.0014598836677364
CEP78	3.23131954269806	0.790713070410206	0.217187185682917	1.23650011394379e-05	0.00152796085508768
ATP5F1C	5.13446127666916	0.385144782293054	0.101911452487414	1.21758886029517e-05	0.00152796085508768
PSME2	12.60830961921	0.38170615715528	0.101436359842937	1.16606913429096e-05	0.00152796085508768
ZEB2	8.11605000872619	0.469409657040708	0.127349561169042	1.4373101994893e-05	0.00162166085551075
HNRNPD	3.84756340031545	0.498273287217374	0.137535052683955	1.41349280998529e-05	0.00162166085551075
GBP5	5.98170643915112	0.471316226769468	0.130528499351203	1.81875568673715e-05	0.00173197898869361
CD160	2.60569658641826	0.925773842346574	0.257112792602733	1.86880199165399e-05	0.00173197898869361
MSN	11.5181322830817	0.295936835469925	0.0787640289487694	1.86177710032275e-05	0.00173197898869361
RPL30	238.960822677222	-0.11972989785729	0.0290300786649939	1.73842773053658e-05	0.00173197898869361
RNF213	11.3658119203213	0.413639655030943	0.113239762838335	1.71557926566488e-05	0.00173197898869361
RPS3	216.439590838475	-0.145396853138783	0.0359602855717344	2.03279739914571e-05	0.00181900318992522
TAP1	5.29465559139659	0.503515745758407	0.140974849698642	2.15822059464545e-05	0.00186686081436831
SH3GLB1	3.27977372105633	0.518546904310947	0.147028568588052	2.23057463275344e-05	0.00186720682967586
AAK1	5.18908053098681	0.401141319414772	0.110695619156283	2.3537342535139e-05	0.00190873137120893
SERPINB9	1.95404219102979	0.696342773975475	0.201590635265817	2.73721768282591e-05	0.00208914114321566
NDUFA3	7.84532365896697	0.431316413540639	0.125276944265959	2.7004003847315e-05	0.00208914114321566
XAF1	2.48998500144638	0.673522619030064	0.197325693332413	3.20874896047485e-05	0.00237905815783778
LYN	1.8594727471966	0.714820301353334	0.213403237771607	3.57554121629923e-05	0.0025773692934157
SYNE1	8.08027582163727	0.372134017878305	0.105618202133917	3.71373796745375e-05	0.00260463514203851
LAG3	4.23520502364569	0.513395921150765	0.150299889222902	3.85403871008237e-05	0.00263190275070098
ITGB7	5.67224158012697	0.477568446261111	0.143276306912116	5.06948881818239e-05	0.0033731598674829
