""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL21	47.8909790176679	1.83297980482774	0.21567986703264	7.08453753748287e-19	4.81748552548836e-16
CD74	46.0002187709819	-2.39336778302353	0.425035634856201	1.40915191775644e-09	4.79111652037191e-07
MT-ATP8	28.7035408875065	2.11775285309331	0.421497964294391	1.42899207666601e-08	3.23904870710963e-06
TXNIP	33.5671450937716	3.70759737253069	0.872146435331175	3.79375765977391e-07	6.44938802161564e-05
HSD17B11	2.55251186182839	3.99247155079493	1.06247270525187	1.06319996656076e-05	0.00144595195452263
HLA-DRA	10.5152578493604	-2.10771660854812	0.625654324243648	4.48777556147314e-05	0.00436313251921158
RPL36A	10.6252814607833	-1.21776862777345	0.360962112835632	4.49145994624721e-05	0.00436313251921158
HLA-DRB1	5.03816154594469	-1.92464927153994	0.609999325483875	7.14126763778259e-05	0.00514884027657408
HLA-DPB1	5.42541087489956	-1.7520762088594	0.538936523049552	6.79293914918815e-05	0.00514884027657408
IFITM1	21.4354275317439	3.15896944565887	1.14551995211018	7.57182393613836e-05	0.00514884027657408
ZFP36L2	21.297827497798	1.08268163136606	0.382937100639895	0.000152722758821978	0.00865428966657877
HLA-DPA1	6.39765427691112	-2.00060739558611	0.659318156123591	0.000144956929810485	0.00865428966657877
MT-ND1	45.8700927553003	0.618234191848931	0.211549662389282	0.000192263980828912	0.0100568851510508
GSTP1	5.94931532146971	-1.51163556864381	0.541790847688366	0.000255711709887155	0.0124202830516618
TPT1	104.612574191305	0.565321937639188	0.208062598375846	0.000370911636721897	0.0165938823900614
MT-ATP6	109.204950509338	0.62620897409674	0.23695493145813	0.000390444291530858	0.0165938823900614
MT-CO3	108.031705774199	0.537320999489861	0.201663870171305	0.000471175388373903	0.0188470155349561
CD52	13.915929256852	2.00762123674913	1.00408482308064	0.000632455361265418	0.0238927580922491
CD7	12.0792633943598	0.0230057883852017	0.159285367125365	0.000894761018368791	0.0320230259205673
HIST1H4C	4.3730459421438	-1.09172474690221	0.521468363052691	0.00146870191601829	0.0499358651446218
RPL26	31.3386879639979	-0.558533735360132	0.248954475402451	0.00158331158502907	0.0512691370390364
BTG1	8.64845040575193	1.30454281951258	1.06876574385409	0.00247234646798449	0.0764179817377026
C12orf75	2.30167811505814	0.0808488637900184	0.187827143021512	0.00287727023305468	0.0850671199337906
CORO1A	5.42713010396424	-0.133780349425917	0.250283161967989	0.00314398185973069	0.0890794860257028
FOS	23.3348430001334	-0.243595192751766	0.886318028318282	0.00355135306145132	0.0965968032714759
MT-ND4L	82.8820581788664	0.409409605741367	0.21208103088345	0.00386901491688907	0.101189620903253
RPL30	111.036318720622	0.344518491013383	0.166109603546999	0.00411203245032836	0.103562298749011
ENO1	3.34997316376548	-0.891398601146703	0.608823266302501	0.00491123353134053	0.119272814332556
RPL13	137.183631816771	0.303724954956029	0.159185758939424	0.00755063040878575	0.160450896186697
KLF2	7.38992938571375	0.027461230267692	0.160222591364733	0.00692289410480598	0.160450896186697
ZFP36	4.01578475339452	-0.133062470014657	0.245514367051272	0.00715931252096937	0.160450896186697
MT-CO2	183.689402938781	0.389030685473664	0.247054149568035	0.00752788550382307	0.160450896186697
B2M	105.630247448878	0.106839113586249	0.21091001479401	0.00823467448912757	0.169684201594144
OTUD5	2.27138660128734	0.0450156403988096	0.165828793852704	0.008664443446521	0.171774107800815
AES	4.4789642479571	0.0884084412780779	0.192624839960081	0.00884131437210078	0.171774107800815
RPS27A	114.403134714622	0.320060664194379	0.196990679914504	0.01052559919493	0.184021019701502
IFITM3	6.05242602869843	0.0838269730174964	0.188704877778477	0.0103108836961251	0.184021019701502
MALAT1	204.628121763289	0.255830644051531	0.584818893565765	0.0105541467181744	0.184021019701502
LGALS1	6.56896316467898	-0.0897862788328457	0.194138839681924	0.00997310413840923	0.184021019701502
FCER1G	4.52862840929987	0.0572274243754709	0.171242038842324	0.0124646103386919	0.2067301226905
MT-ND2	24.0766343807361	0.366068747891789	0.636000279314199	0.0121754334486911	0.2067301226905
H2AFV	3.6737673419971	-0.225427536237054	0.470041488722506	0.0128327535162538	0.207768390263156
MT-CYB	93.5631081943359	0.352240041547828	0.300885355841965	0.0137652705077541	0.217683347564483
PIM1	2.89841884799607	0.0446175570451395	0.165486689731653	0.0149603620346511	0.231205595080972
RPL10	165.282488463376	0.25145770284918	0.145549423904613	0.0156504591956893	0.236495827845971
RPS21	53.192036604148	-0.316701227558832	0.225579913292151	0.0167951268458404	0.248275788155902
PRDX6	2.90844505309863	-0.183914574825151	0.32894722268728	0.0171937593987379	0.248760774279612
UBE2D3	4.47577540525931	0.143473603954073	0.251403066181387	0.0198064459771219	0.264085946361625
RPS26	23.4054146207598	0.101862824366247	0.203020872625248	0.0194132338583949	0.264085946361625
ERP29	3.58801944293008	-0.218991902434304	0.403780830369351	0.0190100704545927	0.264085946361625
MYADM	2.67979425622065	-0.0961322213650841	0.197957249424137	0.0194414419950404	0.264085946361625
DDOST	2.28565108466324	-0.12965989611479	0.233190836093335	0.0216922162452594	0.279723359037246
MFF	2.27656409147884	0.0761743304436027	0.18182320756731	0.0218019676896677	0.279723359037246
H3F3B	30.9592271282524	0.290442034756045	0.317796137469435	0.0228206126277388	0.287370677534488
ACTG1	32.3217173461701	-0.302421379966889	0.307056086569714	0.0239592115514878	0.296222979182031
RPS27	124.898452273176	0.277571722974657	0.296830688889959	0.0246317320274877	0.296654117143228
ANXA7	2.68043236744812	0.0819059251144001	0.185467885533957	0.0248665951134765	0.296654117143228
ARMH1	3.1496956124391	-0.132376876795207	0.234567270071081	0.0271741734620772	0.31319386363072
KRT10	3.16577601982624	0.102171790666184	0.20148950758645	0.0268475666214074	0.31319386363072
ITM2C	2.43931004721343	-0.0938279145889447	0.193920974036196	0.0308453875542184	0.349581058947809
CCND2	2.88780889138171	0.0810614888886771	0.184088038466434	0.0336524212463004	0.375141745040726
S100A10	8.83674572838267	0.0482655735224516	0.166468248486276	0.03614681411803	0.38634880923829
STK17B	2.42417591999694	0.043547626188536	0.16457564150908	0.0369304008830719	0.38634880923829
VSIR	2.18737013070753	0.0410160801921508	0.163747641079326	0.0359835204522679	0.38634880923829
ATP5F1B	4.57111444376621	-0.139574384643302	0.237256581340592	0.036405056562038	0.38634880923829
SELL	9.43848540928952	0.0640413162910673	0.173508191061636	0.0397125478605275	0.39502636995035
ARHGAP15	3.81662089609141	0.0630505771774625	0.172886916380249	0.0419692972813436	0.39502636995035
COX7C	10.6889463488608	-0.216507969121351	0.277795802376481	0.0435690849209945	0.39502636995035
CCND3	3.18675647659834	0.0697911932567806	0.17649373440041	0.0413488720884395	0.39502636995035
TOMM7	9.70317959170428	0.180139657623662	0.26737028708461	0.0425525309299402	0.39502636995035
MDH2	2.66739817846078	-0.0940327178161033	0.192446974189631	0.0417854745497227	0.39502636995035
FNBP4	2.49166613602853	0.0935040957921541	0.19265679721747	0.0393558761621702	0.39502636995035
CTSW	4.75142441002058	0.0699665409511719	0.176436145082716	0.0433096164045948	0.39502636995035
CALM1	6.58386657714095	0.0590675637582812	0.171037117829379	0.0405779100370269	0.39502636995035
MYL12A	9.84902986382898	0.0796784680921051	0.182669447001761	0.0395374438245828	0.39502636995035
SRP14	8.96108219555237	-0.178757247206934	0.265361393781072	0.0455479289722701	0.402241450664203
EMP3	9.04306255760886	0.0735644441919311	0.178584238568784	0.0451345649894023	0.402241450664203
PNRC1	9.59142208732489	0.140277737144933	0.229871575526663	0.047691514673987	0.415772179209118
ATP5MC3	5.51468012014885	-0.158144020669496	0.247213252035612	0.0513159443219741	0.430800520233857
AIF1	3.53613418188856	-0.120805508631296	0.21372806434744	0.0512660330542236	0.430800520233857
CYBA	7.70420798291988	-0.112152140986107	0.205439149224551	0.0506552238705728	0.430800520233857
SEM1	2.3346728903103	-0.0922988379182201	0.190304843986535	0.0521708599123222	0.432636399272915
H2AFY	7.21889073473675	-0.135000596404508	0.226157768441965	0.0529910552835653	0.434143585455716
JAK1	3.1875817382151	0.0721759596184919	0.176990311333353	0.054603042339153	0.434640818863961
GAPDH	34.1275090717185	-0.124967509462944	0.216834891444114	0.0539177345204309	0.434640818863961
BIN2	2.79417531203382	0.0466555247078932	0.165278463463609	0.055608457707595	0.434640818863961
MT-ND4	32.952379056082	0.171747727325658	0.242094175837183	0.0553424771980549	0.434640818863961
HSP90AB1	14.9825083775339	-0.135581872392452	0.225057305412576	0.0567508044595645	0.438229551392919
SPINT2	2.87724910768297	-0.107540483567546	0.201385679108726	0.0573565148146615	0.438229551392919
SF1	3.3291913804483	-0.115314863148668	0.206844139065558	0.0581595632249044	0.439427811032611
IMPDH2	3.95926344982503	-0.0802401573933636	0.181842762533986	0.0624538715363645	0.465972169130346
GLIPR1	2.20290986396945	0.057481402449172	0.169460026415108	0.0630432934705762	0.465972169130346
UQCRH	8.31021704643401	-0.153543000253403	0.232166252188608	0.0647907513291504	0.47373882692282
ARPC3	8.45332609064832	-0.153667709975328	0.227043577754545	0.067375317749253	0.482265432310443
MIF	11.4000226681983	-0.105860290819069	0.198565608093625	0.0666872955959437	0.482265432310443
SEPT6	5.05556250001555	-0.109331467076775	0.199166110555215	0.0692120449361348	0.490251984964288
RPL23A	51.5227999147768	0.17819144862666	0.155290169574686	0.0703005471262874	0.49282857779253
TIMP1	4.17567681478536	0.0559077333103092	0.168469702136978	0.0727567241076808	0.4997431554871
SRSF2	4.06160516471434	0.0760085881715033	0.178342841579866	0.0725280537112174	0.4997431554871
CCT2	2.41410750727154	-0.0878978834604772	0.185264539934362	0.0742783709136739	0.505092922212983
PRSS57	5.40167855939136	-0.0831494668544683	0.182526352875961	0.0756034315764434	0.509013202692886
GDI2	3.04963084093177	-0.0967607604666052	0.190617592242198	0.0770901202353763	0.513934134902509
HCST	4.57534939401368	0.0487228673065214	0.165591301280481	0.0785458878904481	0.518555376364124
RAC1	3.09997420324298	-0.0866414764260413	0.183425141646885	0.0808944340268749	0.528925145560336
MBNL1	3.16621498129875	-0.0886775881495473	0.184237484442538	0.0837466022250396	0.538958341446197
IFITM2	14.9752074493886	0.0392495174490391	0.162596792507875	0.0840140944019072	0.538958341446197
SPINK2	2.94965600570347	-0.0813959695344402	0.180332228981924	0.0858963070528942	0.545883072859515
HLA-E	7.62598173150596	0.0564927704552219	0.168340500872819	0.0869525345755469	0.546405142757495
ATP5F1E	11.7395337212405	-0.151831756540904	0.207758739088582	0.0875855302361279	0.546405142757495
PAXX	2.3214914966138	0.0421527703167299	0.163169161862196	0.0938413891143197	0.556518384606876
RHOG	2.86119299961262	0.0784843049714834	0.17811521778242	0.0938304352599043	0.556518384606876
EVL	2.53505793579135	0.0450107445013051	0.16399336546663	0.0941170797496923	0.556518384606876
HSP90AA1	9.28470177115929	-0.13581425173623	0.206778750458826	0.0916022478506454	0.556518384606876
GABARAP	6.51619358605165	-0.105791894833579	0.193307494700179	0.091139052134524	0.556518384606876
MT-ND3	82.1542772459165	0.155823436977719	0.193116979412615	0.092818351508123	0.556518384606876
TRAF3IP3	2.89503248425397	0.0467517069871	0.164581930803062	0.0985714480352829	0.558571538866603
TMA7	8.97944890241465	-0.130175717883674	0.201913934112255	0.0962640208840611	0.558571538866603
HNRNPK	4.03376756467869	-0.0936217047882596	0.1858649367383	0.0980835964063273	0.558571538866603
NAA38	2.34638580722998	0.0606774000726413	0.169832747204455	0.0969667218598534	0.558571538866603
FOSB	2.29735871941018	-0.0660472371761398	0.172072632579671	0.0960363664907366	0.558571538866603
SRSF11	2.59319829798908	-0.0775970912247563	0.177118195378498	0.100683518242693	0.565824730620091
HCLS1	2.22699879414336	-0.0732160033587109	0.174625154597718	0.108690596103018	0.588931331659435
HNRNPDL	8.43767484451526	0.0833943368322266	0.178863456851748	0.109357105383353	0.588931331659435
NDUFB11	3.8723541394994	-0.09702822554138	0.186486516086763	0.107772795985361	0.588931331659435
TSC22D3	15.6284635145815	0.037006272148116	0.161670706710772	0.109991586942277	0.588931331659435
SAP18	3.32969579643405	-0.0790013321235389	0.177538550650361	0.107472211788544	0.588931331659435
EBPL	2.92753999439949	-0.0677172497234212	0.172714991642524	0.106356864766975	0.588931331659435
GPSM3	2.89385416921654	-0.0792939699766815	0.176990170914311	0.113767255079627	0.590235227855071
EEF1A1	298.042769157837	0.141486596066056	0.127788076223591	0.113769204840436	0.590235227855071
RAP1B	5.27750433927293	0.0771545010618204	0.175733748491438	0.114575073642455	0.590235227855071
ITM2B	8.90770488761842	0.0640514925075322	0.170344369080296	0.11301396752807	0.590235227855071
RPS2	98.9643623198089	-0.131840075838693	0.199337318747081	0.112564955227416	0.590235227855071
AUP1	2.52913175248432	0.0618179732925193	0.169404360609404	0.119219285189221	0.591745357143578
LAMTOR4	2.22568552368539	-0.0715010200326217	0.173312281383835	0.118061246943478	0.591745357143578
BEX4	2.27658858100068	0.0662684209174214	0.171251059686347	0.118636282998163	0.591745357143578
SELENOH	4.98599511918062	-0.103278750896148	0.186915413478644	0.117911477953049	0.591745357143578
LCP1	5.13969656511975	0.0551015965374919	0.166864152346599	0.116746984794006	0.591745357143578
LRRFIP1	3.41494404624215	0.0672428974165386	0.171415950152723	0.121083787979449	0.5966447523625
PPP1CA	2.64033998769229	-0.0585724652866503	0.167942029844234	0.125372132889782	0.609113536726609
SEC11A	4.5515064090707	0.0700376598715016	0.172121902149211	0.126301483350664	0.609113536726609
MT-ND5	33.8660942271025	0.119000550425449	0.187251394029612	0.125974667660128	0.609113536726609
USP15	2.63158944551423	0.0484661539192268	0.164313405126565	0.131635846578391	0.621613719953511
COTL1	2.63124905069428	-0.0570293116395608	0.167280221200395	0.131624160087274	0.621613719953511
RPL38	17.4039456404069	-0.0991133721022913	0.18376756281233	0.131259487807326	0.621613719953511
EDF1	6.39922601736715	0.0884438474103409	0.178401740109811	0.133476396985916	0.62167089007139
FTH1	37.5544361163703	-0.121192816806692	0.186328089229383	0.133330827787988	0.62167089007139
S100A6	12.7060727783182	0.0652461054312365	0.169928875966421	0.13821968510965	0.635063418071365
NAP1L1	5.4579324161736	-0.0935889332329735	0.180340985619202	0.138094269305671	0.635063418071365
BST2	3.06250778802729	-0.0696918283503779	0.171161608829688	0.141020773224264	0.643584736862411
ACTB	65.8938210318332	-0.084563573434959	0.176660888197037	0.143375063307458	0.645662536748817
