""	baseMean	log2FoldChange	lfcSE	pvalue	padj
HSP90AA1	51.9459339469445	-0.364450674467151	0.0630891266192715	4.90495011376777e-10	1.54653077087098e-06
TNFAIP2	36.2524678985628	0.462966137509605	0.089123517050288	7.43982844159973e-09	1.1728889538182e-05
MYL6	153.179085576474	-0.173797847615331	0.039221901078013	9.77519820476848e-07	0.00102737333132117
H3F3A	196.467468376071	-0.117268548870143	0.0282894310529872	6.37717270494518e-06	0.00483881359236407
WARS	31.3692755804242	0.512891956034632	0.140092971350586	9.20801825378509e-06	0.00483881359236407
ODF3B	19.3798295251326	0.352048056053298	0.0945035057970967	8.93739464327726e-06	0.00483881359236407
TAP1	8.27576270231423	0.524979754776295	0.143884424083777	1.17984196130612e-05	0.00531434529142602
ACTG1	154.906285007104	-0.196069428364419	0.0524956729375545	1.52257896068144e-05	0.00533410162558731
PSTPIP2	7.73305797035272	0.504541165804333	0.143504018027969	1.51104983011933e-05	0.00533410162558731
WSB1	21.2132998995602	0.282715151363068	0.0810259630011565	2.57958052976141e-05	0.00813341741033774
RNF144B	5.99814308506734	0.605603789215362	0.183981109715949	3.63501957573227e-05	0.00818658337305989
MS4A6A	68.1844365435035	-0.246609815668805	0.0712153867881215	3.53075647166596e-05	0.00818658337305989
WDR74	10.1461714798651	0.594085000672859	0.178611303576925	3.4881906204904e-05	0.00818658337305989
EPSTI1	8.87856305936333	0.648063683054314	0.191648673562999	2.93784978914174e-05	0.00818658337305989
SKP1	22.0797399028331	-0.289005195439445	0.0853122829370873	4.42451253329523e-05	0.00930032534498658
GBP5	5.25926212716357	0.921001118253188	0.290262270719146	5.41535482812926e-05	0.0101321801354897
HSP90AB1	37.3991108504373	-0.231627792638285	0.0693392657382616	5.46295789100301e-05	0.0101321801354897
AKIRIN2	11.8198331429518	0.352366675102943	0.111222466077469	7.2717425437561e-05	0.0120921424262216
CFL1	182.206695918405	-0.127531349553882	0.0367198707679279	7.28673346331146e-05	0.0120921424262216
BEST1	6.0235710894587	0.480733038733985	0.159668686432728	9.40298589473421e-05	0.0148238072630485
USP15	26.299755369975	0.302130960877046	0.100361052856846	0.000102347930416337	0.0153668106953672
SLC31A2	8.07951156291276	0.399371120177287	0.134763867166566	0.000144352124650403	0.0192367831778897
SRGN	166.44939268399	-0.243633116639771	0.0804567945532603	0.000146426513247495	0.0192367831778897
SELENOO	4.44007441430168	0.459647559346281	0.159052712703572	0.000135183369856615	0.0192367831778897
JUN	81.9999708162931	0.695659429566295	0.250053311438213	0.000170645504323845	0.0212340587811304
ACTB	1116.57715626831	-0.138271978353659	0.0431755381928635	0.0001750984866189	0.0212340587811304
RPL38	126.381107042833	0.290634242482521	0.103379278563541	0.000197742747267586	0.0230919585975814
JAK2	9.89498634671867	0.317565339484627	0.115333104738396	0.000231976078431936	0.0261221634034248
GSAP	6.1723563614102	0.343133517703312	0.124671499149916	0.000246170439498528	0.0267646688185814
TRIM22	14.1157950202338	0.303024566093398	0.111044266065597	0.000271246369220129	0.0285079934050356
PPP1CA	27.2264458753567	-0.184831396919213	0.0634680871646689	0.000294564860033945	0.0299600968931299
DTX3L	4.90859036001364	0.354156895115489	0.132119311239075	0.000317462775101901	0.0301646669604773
DAD1	15.9194128792514	-0.198980331223026	0.0706382442796187	0.000325277093769815	0.0301646669604773
AP2S1	38.7609406013257	-0.159779691985627	0.0541608214917451	0.000319997844950501	0.0301646669604773
FGD3	6.09713060906977	0.37099186461454	0.140456237202321	0.000335520384399403	0.0302255934860376
EFHD2	44.5184720623175	0.178463165031376	0.0630476012979977	0.000361629814766334	0.0308167244853581
RPL37	406.39024190462	0.163050551220303	0.0568604880455128	0.000359558215643061	0.0308167244853581
HSD17B10	7.30627794011217	-0.275864195993047	0.106012976736719	0.000430818916419112	0.0357466327228805
PARP14	13.7258575933318	0.365281864494135	0.148391477194263	0.000451211811120456	0.0357629986771881
LILRA5	16.3335792906389	-0.23509651634776	0.0885132080011134	0.000453701220135593	0.0357629986771881
RBM47	9.31186520031318	0.311971203280935	0.12469800868408	0.000502938854600977	0.0386772245989483
RC3H1	8.39403116568515	0.335770496515598	0.140090341052855	0.000562183739679052	0.0421528193757459
SP100	12.7080772385288	0.235965792204247	0.0938976891539457	0.000584901340521627	0.0421528193757459
NDUFA3	28.2612673510959	0.21910802312337	0.0862887024760132	0.000588241056940317	0.0421528193757459
RNF213	34.4705837262969	0.280768191124621	0.11695572596918	0.000609911345200994	0.0427344549204163
HLA-F	23.8159900091337	0.239285435179477	0.0971201720791967	0.000629886321132464	0.0431745993593622
UPF2	6.57637870897746	0.386868289681007	0.16712291707894	0.000645365238896537	0.0432943957072507
TAGAP	6.63548172462359	0.38284439415433	0.160203908996911	0.000678442464695642	0.044565189399695
TLE4	10.321840516755	0.289755125974475	0.124275295564952	0.000718573456689789	0.0462380022233246
STAT1	19.645319871257	0.400918483176611	0.179828812090533	0.000745698323972972	0.0470237363097356
MT2A	93.6732368118162	0.416331120521792	0.186678642660759	0.00076768118001534	0.0474607600115366
APOL6	10.3871620350481	0.330717122647681	0.147317298988924	0.000799213494254852	0.0484600028343375
SP110	14.2882044225365	0.232122453680679	0.0961200667063648	0.000840565951527787	0.0490797119475391
ANKRD13A	6.45094749639354	0.273048324687395	0.116051321570951	0.000839536929070824	0.0490797119475391
