""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS10	3.92544090668077	-1.14954447244869	0.338552397631451	2.037175723423e-05	0.0968307992484898
NDUFA11	1.54655153511787	-0.936141115113848	0.270949587341626	3.63615468450957e-05	0.0968307992484898
AAK1	4.64392319704407	0.509643741445996	0.173161444248106	0.000120269273384555	0.118846450695422
CCDC12	2.631711304303	0.556845388025681	0.199465634058676	0.000209999979896719	0.118846450695422
CCR6	2.69710614878068	1.04530582498462	0.329127208151157	9.36596703694835e-05	0.118846450695422
AUTS2	1.62452680722542	0.806507689129388	0.284270081502576	0.000223143917941085	0.118846450695422
SLA	1.77937848596684	0.76804721500863	0.259301125374142	0.000135847794684068	0.118846450695422
PSMA6	2.29279970474267	0.61485904216931	0.199443176019796	9.45579858477962e-05	0.118846450695422
TM2D3	1.29981339241427	0.827917349512459	0.290536246896128	0.00021935749099203	0.118846450695422
RPL26	67.295820685336	-0.277472234444384	0.0971682682745048	0.000199475693879469	0.118846450695422
ZNF331	2.5326141382001	1.22854035923424	0.437496630884713	0.000252826563780578	0.122414025335942
PDLIM2	2.40555204393542	-0.531971820651002	0.206593668001759	0.000330105128352076	0.137096388347446
IFITM1	47.0976316456758	0.20357314455959	0.0746432416229737	0.000360612260654183	0.137096388347446
NUP58	1.24875635187471	0.89857168910004	0.338783925840632	0.000437596432952793	0.137096388347446
SLC7A5	2.12031732770685	0.889990960184294	0.355942658430335	0.000397832362405696	0.137096388347446
ADGRE5	4.56378117335726	0.413873041065607	0.162676734892858	0.0004149546581926	0.137096388347446
TPM4	2.72492095855703	0.597403752611722	0.230206348406937	0.0003671698337541	0.137096388347446
BOLA2B	0.769554942428258	1.22120528889468	0.416273591741154	0.000573006477152067	0.169546249850661
ZNF721	1.24898404958957	0.744069223901503	0.300112207171892	0.000613437635821014	0.170726573978812
FAM120A	1.58083840726737	0.755381629197326	0.324477509354036	0.000658359804926524	0.170726573978812
MT-ND4	81.5416419602894	-0.346536717832822	0.14608654131195	0.000673161482079432	0.170726573978812
RPL37	173.153341699556	0.129279698534097	0.0480469771064938	0.000755855692770534	0.175044631130031
ITGB2	12.3184030482943	-0.227965949780193	0.0954161589893255	0.000755919360869456	0.175044631130031
HOPX	8.7658274556549	-0.363611055435937	0.171434943513022	0.00091464540754492	0.184934007879999
SYTL3	3.26132023207105	0.504580213574421	0.233076364092391	0.000900727453811149	0.184934007879999
ERN1	7.29935421620201	0.334890536259439	0.147580149314918	0.000872076291163117	0.184934007879999
C18orf32	2.01915510647463	0.541246078741877	0.247719775493556	0.000937517501456998	0.184934007879999
TRAC	6.99763487668143	-0.441484160696471	0.215326764328502	0.00097941648730679	0.186299007549856
COPS5	1.74794555874565	-0.523175376169402	0.249319324424759	0.00105312515848563	0.193411882554981
SPOCK2	15.0653579256445	0.30118982323439	0.139855759441475	0.00128970276172537	0.22896523029831
CAP1	6.99547546638205	-0.2566112028539	0.126368345234159	0.00151362417428336	0.260050398459134
SMYD2	1.3347740718303	-0.0355467960506297	0.0705926096415441	0.00183972366889362	0.306199008141481
SMAP2	3.42858915322964	0.366505845962575	0.201013489031896	0.0020470162254544	0.31202528832709
HIST1H1C	1.65116860445476	0.540198999525474	0.299549754959793	0.00207282881632943	0.31202528832709
DOK2	2.98183851276954	-0.407764141608326	0.234894586207795	0.00196913861990364	0.31202528832709
BLOC1S1	1.05122966821011	-0.0357664903526532	0.0708577945708386	0.0021992273305097	0.31202528832709
PSMA3-AS1	1.75412563562941	0.485513232214172	0.274435869672654	0.00218417981755866	0.31202528832709
RNF213	8.57342189190799	0.238518228546502	0.12725726115444	0.00222624126106448	0.31202528832709
MAPRE1	1.69914680351859	0.463372313190792	0.261857764966813	0.00229629009464342	0.313590796001817
FUBP1	1.99881640036908	0.462885712139952	0.274880990761058	0.00242736412860756	0.323164842501924
HSPD1	3.4546334059338	-0.335141404204004	0.213618612768463	0.00266790532391365	0.323164842501924
STT3B	3.46575564467805	0.367550943789176	0.228238891024936	0.00266978089937752	0.323164842501924
SNX9	1.17232856066929	0.663065051548715	0.377409931776647	0.00262506782816752	0.323164842501924
CEMIP2	2.18997143930369	0.446740806741691	0.281330900613363	0.00266347502011308	0.323164842501924
IFI44	0.904414857055941	0.801103557918597	0.401172049417757	0.00299650698142785	0.354653248512994
EIF4A2	11.0461284104612	-0.18796547806332	0.104905064494731	0.0031252136592872	0.361845390203557
MECP2	1.85667530504705	0.440429766172997	0.292426284137799	0.00333241224726808	0.362212808754077
HSPA8	22.3585101915849	-0.200898771025655	0.113444225553177	0.00333167408116955	0.362212808754077
XPO6	0.84820224856548	0.821405324659913	0.409325274931576	0.00322380534029122	0.362212808754077
AGTRAP	1.56642052981196	-0.411471919968618	0.290078062961471	0.00354230918388882	0.369928210066507
TAPBPL	1.20329429896624	-0.0366070200177961	0.071562248760949	0.00348962027766843	0.369928210066507
CDKAL1	0.618097771432599	-0.680137870248139	0.552533990156753	0.0038579081790004	0.380504054839928
