""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL38	60.5773071586019	0.369458163281966	0.0727432075403234	2.68902527716359e-08	6.13097763193298e-05
TUT4	4.57498654073362	0.681989285876803	0.155915079811846	5.89706740217663e-07	0.000672265683848135
REL	8.383190908197	0.4333837464988	0.1087660342125	4.03425632263977e-06	0.00187372396220625
ETS1	7.76337697973434	0.510166676570569	0.128988363742911	4.10904377676809e-06	0.00187372396220625
WHAMM	2.26452024229901	0.888154252462696	0.226404992276579	3.96316684746381e-06	0.00187372396220625
RPL13A	115.820597203517	0.171336174093525	0.0415896049094638	8.1919376631615e-06	0.00311293631200137
YBX3	3.2556879597395	0.953871884859108	0.280230652934445	2.80808908951251e-05	0.00914634732012646
ASH1L	3.55488916198841	0.511152135363137	0.159373881295008	6.93362683867979e-05	0.0159167223137834
LEPROTL1	2.91468274179898	0.890618448384831	0.281798553227936	6.98101855867692e-05	0.0159167223137834
SMCHD1	12.531029761806	0.381858299093432	0.115869511129571	5.87659528740816e-05	0.0159167223137834
FOXP1	9.72424885039526	0.472841728173364	0.151776768925228	8.30064806934181e-05	0.0162319660276021
TMEM243	5.94363886347446	0.415148983552135	0.131272861445732	8.54314001452744e-05	0.0162319660276021
TNFAIP3	3.44956923651006	1.02647118008557	0.347114595617069	0.000104609685905184	0.0174686645527338
CD82	8.97317439079179	-0.388450014289261	0.12671890208981	0.000114925424689038	0.0174686645527338
UPF2	3.46390585358411	0.519119837449429	0.170909273835184	0.000110646982909671	0.0174686645527338
FYB1	4.01258485897483	0.927525179901144	0.316453025576891	0.000132084711166249	0.0188220713411904
DGKD	2.86450024130158	0.588850248322052	0.199484001548875	0.000141675600004726	0.0190011981182809
CCND3	6.25980343820439	0.441167522835081	0.150031820538663	0.000160314463250884	0.0203064986784452
PRR13	14.3210509108719	-0.248883435346501	0.0805884170977825	0.00019334560325217	0.0220413987707474
BTG1	50.0675471532464	0.332810693119983	0.11279384113509	0.000192925052202082	0.0220413987707474
BACH2	2.54750302621131	0.693869266155121	0.259617957397764	0.000274420019508251	0.0297941735466101
PRRC2C	10.2837475981815	0.290521431926994	0.100902501081808	0.000315462977201035	0.0326934358190164
TGFBR2	3.65721123992988	0.455421316581834	0.17046893353787	0.000364721461903866	0.0346485388808673
EIF1B	5.97602065826295	0.370745846293317	0.135785343495667	0.000360933692045369	0.0346485388808673
