""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS10	4.12779894294029	0.853716491459355	0.272963554949084	4.81407844474132e-05	0.301072465934122
GPRC5D	2.93195436563983	-1.74893597473748e-05	0.00144271864029872	0.000160688351401444	0.502472474832316
CD48	11.7397709034438	-0.381262757656099	0.155859880994744	0.00044475593614744	0.565345187106281
MTRNR2L12	222.22936667932	0.748529698907886	0.290663206602035	0.000285918367974513	0.565345187106281
SEC24A	3.64225981354395	0.542833700325357	0.226336906541632	0.000542384253699663	0.565345187106281
IGHV6-1	42.7581430344745	-3.55441803216423e-06	0.00144269527787154	0.0005294239854826	0.565345187106281
CLTA	5.29005112793381	-0.410939109098134	0.184618238815361	0.000686343959376273	0.613199303134173
ATL3	1.04428747525125	-1.18651551744807e-05	0.00144270256995173	0.00107080028362731	0.837098121725653
IGHA1	1334.00029297686	0.756996137901018	0.411982773178922	0.00127223977973525	0.884065286940474
MTHFD2L	1.36096369192886	-1.2042779354167e-05	0.00144269870632113	0.00272580181684183	0.947064697918265
WDR5	1.46645147799868	-1.21437638153645e-05	0.0014426990887667	0.00242476703878614	0.947064697918265
SWAP70	1.28611009557526	9.68242319156875e-06	0.0014426966194813	0.00260671300933817	0.947064697918265
SNX19	0.834709117889804	0.730773048964986	0.458373182526102	0.00230857993412895	0.947064697918265
VIM	103.658878901136	-0.360555630704296	0.235631163250864	0.00243978648469826	0.947064697918265
ACTR10	1.61631224517178	-1.19011519087098e-05	0.00144269448277913	0.00269461344654067	0.947064697918265
FAM30A	7.88125143702103	0.860471744754833	0.722958116176372	0.00255269803291168	0.947064697918265
NPIPB12	2.94153609907825	-9.82775631756906e-06	0.00144269646583341	0.00261313195346328	0.947064697918265
EP300	2.1630533057801	0.581590120606692	0.408835462574307	0.00260832119898945	0.947064697918265
NOC2L	2.78724067686612	-2.91008174545065e-06	0.0014426615549855	0.620956938078581	0.999765143024666
ISG15	5.13990968324996	9.85082723257499e-06	0.00144269822143499	0.0251763137289377	0.999765143024666
SDF4	10.9830040991291	1.28750537517002e-07	0.0014426370537014	0.986914555373236	0.999765143024666
B3GALT6	0.798835282363585	-1.64901677923486e-06	0.00144268663667306	0.653506782669413	0.999765143024666
UBE2J2	2.86799175684548	-3.41661310184942e-06	0.00144265608509442	0.521842080026476	0.999765143024666
ACAP3	0.863795941365678	1.98350051272882e-07	0.00144268217195421	0.860571847527058	0.999765143024666
PUSL1	0.839994625247486	-1.17548430656103e-06	0.00144268467740015	0.77101988339962	0.999765143024666
INTS11	2.56911561166772	-1.07427713352921e-05	0.00144267950979847	0.0302960656315747	0.999765143024666
CPTP	1.02102560207955	-3.28818087263846e-06	0.00144268041376487	0.380883121186579	0.999765143024666
AURKAIP1	12.7103308345203	2.30276790293444e-06	0.00144255640335684	0.765446355610523	0.999765143024666
CCNL2	1.60603521257469	6.09088438612296e-06	0.00144267905388703	0.128840170693278	0.999765143024666
MRPL20	6.94453761569675	-1.55136177767688e-05	0.00144265636085986	0.040509320715264	0.999765143024666
ATAD3B	1.30117514147709	-4.64668635123171e-06	0.0014426796677574	0.240256061896084	0.999765143024666
ATAD3A	1.53640860731113	2.19399629955422e-06	0.00144267398530817	0.56303611723686	0.999765143024666
SSU72	6.68876156925473	3.66701760852801e-06	0.00144261971178722	0.640080817779826	0.999765143024666
MIB2	1.03514357386886	-9.59143119706627e-07	0.00144268294387653	0.85022046818835	0.999765143024666
CDK11B	1.69521303611856	3.4093571661189e-06	0.00144267261980789	0.409068927152016	0.999765143024666
SLC35E2B	0.993375423248601	-4.6454574602403e-06	0.00144268400827901	0.185007256973358	0.999765143024666
CDK11A	2.00472569301406	4.43520922179142e-06	0.00144267152964218	0.310979263942633	0.999765143024666
NADK	2.079825497476	3.56525663355454e-06	0.00144266311547536	0.519725460735675	0.999765143024666
GNB1	3.10456573768032	6.68980819700898e-06	0.00144267217321966	0.155949373386341	0.999765143024666
FAAP20	2.69014316086622	2.72096519056988e-06	0.0014426546330643	0.725686994242577	0.999765143024666
RER1	7.28772289625052	4.1595409816762e-06	0.00144263096422608	0.563852295461645	0.999765143024666
TNFRSF14	4.20531679528449	1.02665790413848e-05	0.00144267120430672	0.403341343088936	0.999765143024666
WRAP73	1.08752635766928	-3.79674824506291e-06	0.00144268072748676	0.310098703618976	0.999765143024666
LRRC47	1.43753007921967	9.89496495595385e-07	0.00144267230047115	0.787710081295302	0.999765143024666
CEP104	1.01958652282989	-2.60257321562754e-06	0.0014426814112203	0.380639116033723	0.999765143024666
C1orf174	1.03952918672459	-6.56749363195933e-07	0.00144268029377413	0.974177375634124	0.999765143024666
KCNAB2	1.33752263465736	-6.99174399402895e-06	0.00144268360929643	0.0726555751791851	0.999765143024666
RPL22	70.1368840063562	-3.9566201594227e-06	0.00144238746121791	0.755958760275718	0.999765143024666
ICMT	1.031883473483	-3.85762475310141e-06	0.00144268216327954	0.263654700463418	0.999765143024666
ACOT7	0.740667217306142	-5.66366646581803e-07	0.00144268614557705	0.939120307602222	0.999765143024666
NOL9	0.82229315277783	-8.01230289122461e-07	0.00144267991259754	0.883113899069354	0.999765143024666
THAP3	0.512636265766044	1.09074058148963e-06	0.00144268614348568	0.504354913994099	0.999765143024666
DNAJC11	1.04660681291415	-9.07619031310716e-07	0.00144268520598172	0.772255042808374	0.999765143024666
CAMTA1	4.15582132454682	7.76809750589896e-07	0.0014426486234389	0.895635001410041	0.999765143024666
PARK7	14.6943695243997	2.7256281371299e-06	0.00144257818228625	0.767334816421861	0.999765143024666
ENO1	15.5946666081865	-3.01847649022148e-06	0.00144265100715062	0.420617667662813	0.999765143024666
SLC2A5	1.39429988253554	4.96011414142092e-06	0.00144268588106062	0.0969319789756471	0.999765143024666
SLC25A33	0.666571124507787	-3.92832206427674e-07	0.00144268509520022	0.954864426558271	0.999765143024666
PIK3CD-AS2	1.28217346958703	-2.37828402292925e-07	0.00144268523871841	0.962223183777396	0.999765143024666
CLSTN1	1.94653387517384	4.83432603479718e-06	0.00144267638149336	0.280173702096453	0.999765143024666
CTNNBIP1	0.801257934649953	8.51559514969578e-07	0.00144268678608079	0.631064224926824	0.999765143024666
LZIC	1.11692659223561	4.13596782235703e-06	0.00144268006292862	0.230264640799154	0.999765143024666
UBE4B	1.2185708489502	1.31303617106534e-06	0.00144267842691952	0.664678447496378	0.999765143024666
PGD	2.48562779834473	-8.45223932379394e-06	0.00144267288437399	0.092848219319892	0.999765143024666
DFFA	1.41905853113738	-2.62087267210885e-06	0.00144267425736086	0.856004876462281	0.999765143024666
PEX14	0.8273589060564	-3.73315866002299e-06	0.0014426855718802	0.282354324951789	0.999765143024666
TARDBP	0.98500820591602	4.08564619038157e-06	0.00144268562424852	0.156165121829393	0.999765143024666
SRM	19.2592239389074	4.56194390025478e-06	0.00144263501438446	0.518005314992303	0.999765143024666
EXOSC10	1.52136903670211	6.46106582946391e-06	0.00144267820036659	0.1215469842758	0.999765143024666
MTOR	1.1376265226395	1.44597441430426e-06	0.00144268017659873	0.617571457839664	0.999765143024666
UBIAD1	0.983527572241991	-5.98174730106449e-07	0.00144267936722307	0.915697980272475	0.999765143024666
FBXO44	0.683559830804336	2.98117402304141e-06	0.00144268844113968	0.155104589398089	0.999765143024666
FBXO6	1.31481696900105	4.56998616765238e-06	0.00144268730777806	0.0706196895457359	0.999765143024666
MAD2L2	2.41779342136715	-8.43454741642218e-06	0.00144267658008371	0.0828540703880642	0.999765143024666
KIAA2013	1.81139168004026	2.33703245271843e-06	0.0014426728246858	0.564846639033353	0.999765143024666
PLOD1	1.26010861116491	1.39730615732969e-06	0.0014426838340889	0.6318087206405	0.999765143024666
MFN2	0.620264240306984	-4.32992332542286e-07	0.00144268591726972	0.994488518299413	0.999765143024666
MIIP	1.23927432255687	1.5644555119032e-06	0.00144267710581074	0.610455433554038	0.999765143024666
TNFRSF1B	0.719551425064553	-4.08020692934841e-06	0.00144268679278354	0.333745174166732	0.999765143024666
PRDM2	2.04980736447252	3.53915467147799e-06	0.00144268215892518	0.28184532273461	0.999765143024666
EFHD2	2.40685731013131	1.08729588152476e-06	0.00144267548806572	0.888946642818798	0.999765143024666
DDI2	0.737255320908601	7.78881377596571e-07	0.00144268449001001	0.560942881580325	0.999765143024666
UQCRHL	2.22389597242878	-1.48834785511484e-07	0.0014426800968742	0.976271102317479	0.999765143024666
SPEN	2.38646607816039	-2.06877601223093e-06	0.00144266163755222	0.401825778603406	0.999765143024666
ZBTB17	0.879342558829736	1.52059494808221e-06	0.00144268054619247	0.593034188697894	0.999765143024666
FBXO42	0.64788363065322	-6.86421899240659e-07	0.00144268439126646	0.960642493459392	0.999765143024666
SZRD1	2.69066890154257	6.07310378361714e-06	0.00144266641193079	0.220233494687415	0.999765143024666
NECAP2	1.14436962817982	-2.27516377030289e-06	0.00144267772559686	0.646195275208754	0.999765143024666
