""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ITGB1	38.5933624657245	0.374143203632999	0.0708689999167718	7.56241243193812e-09	2.07588221256701e-05
RPL5	146.704458170604	-0.192150176344117	0.0375041917916953	3.29458133336527e-08	3.13492013328779e-05
RPL18A	299.260419713012	-0.163031912826464	0.0315541400446058	3.42614222217245e-08	3.13492013328779e-05
GBP5	18.5727445755552	0.459262711979641	0.0941795494160602	5.56571180389912e-08	3.81946972542577e-05
RPL32	385.340171117098	-0.170247676782833	0.0354947121666767	2.05470906046963e-07	9.40029395164856e-05
RPL18	225.944945587922	-0.158545062258098	0.0327411488263851	1.74821935579838e-07	9.40029395164856e-05
RPS7	229.923481948662	-0.148064875734305	0.0325494371393174	8.33503820764795e-07	0.000326852569714195
RPL11	344.280569367956	-0.135793446080038	0.030452280125654	1.46990909297003e-06	0.000336241705016894
GBP1	7.46470117237884	0.612499024052425	0.145236218181133	1.08325195331902e-06	0.000336241705016894
RPS3A	285.3978587412	-0.178729753605925	0.0408387417388618	1.45474892708932e-06	0.000336241705016894
SYNE2	24.6398407756526	0.357926089890676	0.0849555868282226	1.24244283146333e-06	0.000336241705016894
RPL3	173.777173825355	-0.189645325013005	0.0431450109111926	1.20036114946564e-06	0.000336241705016894
RPL19	325.06858052109	-0.158512120910068	0.0365606352461367	2.09283251913013e-06	0.000441909635770169
RPS13	226.54206393773	-0.158464099813937	0.037164091355088	2.74395116274746e-06	0.000538010424410126
RPL30	404.970671724387	-0.134290971514922	0.031379839076967	3.37545406325207e-06	0.000617708093575129
EEF1A1	839.001937880347	-0.176923491063481	0.0429256697854077	4.46157243384177e-06	0.000680389796160869
RPS6	230.108298541972	-0.145789818291761	0.0348657659805204	4.45939686088956e-06	0.000680389796160869
SCAF11	9.36004390745656	0.43325974597501	0.110813676826562	4.31472376373319e-06	0.000680389796160869
RPL8	189.37803306593	-0.19451070113935	0.0488624450850591	7.22572961293439e-06	0.00102932816362825
RPS3	306.175550006011	-0.154373929621397	0.0381678415179244	7.49965875138982e-06	0.00102932816362825
SMCHD1	25.2608361872049	0.367427381601178	0.09959757420017	1.05331162578044e-05	0.00137682876798444
SON	27.11819299794	0.304098623222353	0.0832262171268526	1.37370410406067e-05	0.00171400807529388
RPS18	329.283891077408	-0.170053261884923	0.0449694190826775	1.85799405101266e-05	0.00212508069584573
RPS4X	322.66026618247	-0.140252459876982	0.0363203198412429	1.83445434711077e-05	0.00212508069584573
RPSA	154.489983075291	-0.154118853452654	0.0405138902621089	2.00156657702007e-05	0.00219772010156804
GZMK	3.62988113715562	0.894940150482512	0.260374807587899	2.39672965131583e-05	0.00234965103316499
RPS14	306.108229642825	-0.124990790726523	0.0324781419185491	2.3420808980617e-05	0.00234965103316499
RNF213	20.3420121936131	0.367011598318201	0.105061229022347	2.30838264492768e-05	0.00234965103316499
STAT1	15.1472126812988	0.506998963489383	0.151357799014116	3.00922277048409e-05	0.00279965497219447
MYC	4.57394161690662	-0.618752399744746	0.181110454891838	3.0597322100486e-05	0.00279965497219447
